"мәтін","жапсырма"
"Сет Макфарлейн - нағыз данышпан. Ол тапқыр, мәдени тұрғыдан өткір және өте күлкілі шоу жасады.<br /><br />Әлеуметтік немесе мәдени тақырыптарға «қорлайтын» көзқарас ешқандай мағыналы пікір білдірмейді, тек «қорлайды» деп ойлайтындар үшін мына дәйексөзге назар аударуға болады:<br /><br />Питер (бағаналы жасуша зертханасынан шығып келе жатқанда): Мен онда қанша уақыт болдым? // Күзетші: Бес минут. // Питер: Неге біз мұны қаржыландырмаймыз?!<br /><br />Шынымен де.<br /><br />Рақмет, отбасы досы, теледидардағы ең күлкілі шоу ғана емес (көпшіліктің сүйікті, көпшіліктің сағынған футурамасын қоспағанда), сонымен қатар өте ақылды болғаныңыз үшін.","1"
"Бұл шиеленісті және кейіпкерлерге негізделген романтикалық траги-комедияда бізге отыз жастағы төрт париждіктің тоғысқан өміріне шолу жасалады. Орталықта Винц Касселлдің Макс рөлі ойнайды. Жұлдызды көзді Ромео, ол сұлу бейтаныс Лизаға (Беллуччи) ғашық болады. Өзінің ең жақын досы Люсьеннің (Экоффи, қарапайым, бірақ тиімді ойынында) қолдауымен ол оның жүрегін жаулап алады және олар мәңгілік бақытты өмір сүреді... яғни, айлакер, невротикалық және обсессивті Алиса (жан-жақты роман Борингер) қалған үшеуінің өмірі мен махаббатына араласқанға дейін.<br /><br />Бай сюжет қызықты хронологиялық шатасумен тығыздалады, ал фильм күрделі жұмбақ, суретті ашық хат Париждің көз тартарлық көрінісі ретінде пайда болады. Түстердің қолданылуы, әсіресе Лизаның керемет пәтерінде (бұл фильмнің атауына байланысты), онда қызыл және сары түстер құмарлық пен нәпсіқұмарлық отын тудырады.<br /><br />Көрермендер Максты түсіне алады: ол шынымен де жүрегін жаулап алады және бұл үшін үнемі ирония мен жағдайлармен жазаланады. Бір есте қаларлық көріністе біздің тағдырлас ғашықтарымыз («хореографиялық» түсінбеушілікпен азапты түрде ажыратылады) оларды міндетті түрде қайта қауыштыратын кездейсоқ кездесуді жіберіп алады. Бір-бірінен тәуелсіз олар бір жерге барады: қыз метрода, ол таксиде, іс жүзінде жеке-жеке. Дегенмен, тағдыр оларды таңдаған сияқты, ал көрермендер баурап алады.<br /><br />Бұл фильмдегі рөлдер шынымен де «Апартамент» фильмін ерекшелендіреді. Мен әлі күнге дейін Винсент Касселлдің Франциядан тыс жерде неге үлкен жұлдыз емес екенін түсіне алмаймын. Оның қатысуы мен әртүрлілігі мол. Моника Беллуччи (жазылып жатқан кезде Касселлдің өмірдегі жұбайы) жақында ағылшын тілді киноиндустрияда танымал болды, бірақ мүмкін дұрыс емес себептермен - рас, ол құдайдың сұлулығымен ерекшеленеді, бірақ оның артында классикалық «жетекші ханым» стиліндегі көріністі басқара алатын талантты актриса тұр, оны көптеген британдық және американдық актрисалар тым қарапайым «нәзік» тәсілді қолдайтындықтан қабылдамайды.<br /><br />Жалпы алғанда, бұл фильмді көріңіз! Сіздің көңіліңіз қалатынына күмәнданамын. Бұл қызықты, қанағаттанарлық, күлкілі, қайғылы, мол және көркем фильм жасаудағы сабақ.","1"
"Егер келесілер қызықтыратын болса, онда жергілікті Blockbuster-ге асығып барып, осы фильмді тез арада жалға алыңыз:<br /><br />1. 60-жылдардағы қорқынышты шаш үлгілері, аянышты химиялық бұйралаудан бастап, күмәнді үйрек құйрықтарына дейін.<br /><br />2. Әлемдегі ең нашар бала актер, тек жылап, елестетуге болатын ең тітіркендіргіш дауыспен ӘКЕ деп айтатын.<br /><br />3. Фильмге сәйкес келмейтін аллигаторлар мен маймылдардың көптеген кадрлары. Мүлдем.<br /><br />4. Үтік қолданатын және «ақымақ» деп сөйлейтін стереотиптік үндістер. О, және олар оттың айналасында ыңырсып жүретіні айтпаса да түсінікті.<br /><br />5. Актерлер өздерін картон декорацияның бұрыштарына лақтыратын күлкілі жалған ұшақ апатының механикасы.<br /><br />6. Көк жарықпен жарықтандырылған студияда жіппен жүріп бара жатқан ойыншық ұшаққа ұқсайтын 5 фильмнің сыртқы кадрлары.<br /><br />7. Алғашқы «Жұлдызды жол» сериясында қолданылғандарды салыстырмалы түрде озық етіп көрсететін қорқынышты арнайы эффектілер. (Ерекше атап өту керек: кішкентай баланың жарқыраған сары шашы. Ойпырмай..) <br /><br />8. Күлкілі монтаж және үздіксіздік, мұнда фондық элементтер көріністер арасында ауысады, саундтрек ешқандай ескертусіз толығымен өзгереді және т.б.<br /><br />9. Кәсіби биші жалдауға ақшаңыз жетпей ме? Көшедегі кез келген ханымды ақымақ сияқты билеуге шақырыңыз! Ешкім айырмашылықты байқамайды! Хмм..<br /><br />10. Сазды құм, жыландар (мұрағаттан тағы да көп нәрсе) және көптеген жалған қанды қамтитын «қызықты» шарықтау шегі. Ақымақ «тайпалық» дыбыс шығаратын ән қосуды да ұмытпаңыз!<br /><br />Алайда, араларыңыздағы ақылдылары бұл классикалық телешоу қайта тірілгенде MST3K-да сөзсіз пайда болуын күтеді, содан кейін сіз оны ойлағандай рухта көре аласыз. Бұл қоқыстардан алынатын басқа кез келген ләззат ойға келмейді.. жұмыс істемейтінін айтпағанда. Сондықтан оны сынап көрмеңіз. 0/10","0"
"Бұл фильм Эд Вуд фильмдерімен қатар тұруы керек. Қорқынышты сценарий және нашар, нашар актерлік шеберлік.<br /><br />Терезелердің алдында пулеметпен атыс; бірнеше минуттан кейін біреуге соққы тиеді, ал ешкімнің баспанасы болмайды - бірде-бір терезе сынбайды. Осындай атыстан кейін үлкен U-Haul жүк көлігі сызылып қалған болуы мүмкін деп ойлайсыз - сызат емес.<br /><br />ЦРУ агенттері мен үкімет мердігерлері жүздеген адам қатысқан коктейль кешінде құпия ақпаратқа тап болды ма?<br /><br />Сізге қамқорлық жасайтын бірде-бір актер жоқ; барлығы үстірт және негізінен ұнамайды.<br /><br />Гавайиге бара жатқан 747 ұшағы Лос-Анджелестен ұшып шығып, жиырма минуттан кейін Тынық мұхитында «...100 фут суда...» құлады. Стюардесса басқа бес жолаушыға олардың тек екі сағаттық әуеде қалғанын хабарлаған кезде қысқа уақыт өтеді; 747 ұшағында ма?<br /><br />Келесі күні құтқарушылар тобы келеді және таңқаларлықтай алты жолаушы әлі тірі.<br /><br />Басында орташа болып басталып, одан да жаманға ұласатын фильм.<br /><br />","0"
"Мұнда 1980 жылы түсірілген деп көрсетілген фильм Something Weird Video-дан олардың ""Driver's Ed Scare Films Vol. 5"" фильмінде қолжетімді фильм емес. Біріншіден, 1980 жылғы нұсқасы түрлі-түсті. SWV бұл дискіде Цинциннатидегі WLWT телеарнасының 5-арнасы үшін ақ-қара түсте түсірілген фильмнің бұрынғы нұсқасы (1972) бар. Қалай болғанда да, бұл фильм танымал. Дегенмен, басқа жүргізушілерге арналған фильмдерден айырмашылығы, бұл теледидар арқылы хабар тарату және көпшіліктің көруіне арналған. Осылайша, қырғын деңгейі төмендетілді. Бұл әлі де қанды өлімді білім беру мақсатында пайдаланудың өте қорқынышты жаттығуы. Мен Цинциннати аймағында тұрамын және бұл нәрсе жыл сайын 5-арнада бітіру кеші кезінде көрсетілетіні есімде. Егер сіз осы ерекше американдық кино құбылысының тонын көрсететін фильм іздесеңіз, ""Соңғы бітіру кеші"" өте типтік - көңілсіз, шамадан тыс, өте дидактикалық, мелодрамаға бай. Бұл жасөспірімнің көлік жүргізуіне шынымен әсер етті ме, жоқ па, бәрібір болжам.","0"
"Жарайды, егер сізге тұншыққан, қатып қалған, крахмалды және күркіреген, бірақ көп рет тежелетін құбыжық фильмдері ұнаса, онда итальяндық денені алып жүретін, костюм киген ""Леди Франкенштейнге"" барыңыз. Джозеф Коттен (""Азамат Кейн"") қатал қарт баронның рөлін ойнайды және бұл пәтер ақысын төлеуге мәжбүр болған болуы керек. Әдетте Розабла Нери рөлін ойнаған, соның ішінде ""Айға қарсы Геркулес"" сияқты сиырсыз еуропалық В-фильмдерде ойнаған сексуалды Сара Бэй өзінің амбициялы қызы, хирург, быдырлы кеш көйлегін ойнайды. Коттен ұсқынсыз, үлкен басты құбыжықтың рөлін ойнайды (жақсысын жасау үшін сонша күш жұмсау керек пе??), ол Коттенді бірден тұншықтырады (ол патшалық чегі алып, қашады) және көрінетіндердің бәрін тұншықтырып жүреді. Таня (Бей) сүйіктісінің (ол қартайған және әжім басқан) миын жас жігіттің (ол «әдемі», бірақ ессіз) миымен ауыстыруды шешеді, бұл Коттен жасаған бірінші құбыжықты, адамдарды басып жүретін, басып жүретін құбыжықты басып тұру үшін ТАҒЫ БІР құбыжық жасауды мақсат етеді. Ұзақ түсіндіруден және біраз басып тұрудан кейін, екі құбыжық бір-бірін біраз басып тұрып, Таня бірінші құбыжықты арқасынан пышақтайды, содан кейін екінші құбыжықпен сарайының жалынды қирандыларында жыныстық қатынасқа түседі - бірақ ол оны басып тұруға мәжбүр етеді! Ой! Фильмді басып тұру соншалықты көп болғандықтан, сіз фильмнің өлі тұқы сияқты қызықты екенін және тез қозғалатынын елемей қаласыз. Осы шолу үшін көрген Альфа бейне нұсқасы қатты өңделген, және бұл фильмді онша жақсартпас еді, сондықтан көптеген балаларды алып тастағанына таң қаласың. Режиссер фон Термер бұған дейін Z санатындағы еуропалық фильмдердің түсірілімін жүргізген, соның ішінде «Джунгли жауынгерлері», «Өлілер аралы» (Мел Уэллс рөлінде) және «Сан-Рамонның айқышқа шегеленген қыздары» фильмдері бар. «МуКов» фильмінде мұндай мәйіттен аулақ болып, толық...дроссельді қадағалайтын фильм табу керек деп жазылған. <br /><br />;=8)","0"
"Маған отбасылық жігіттің барлық нәрсесі ұнайды.<br /><br />Менің сүйікті кейіпкерлерім - Брайан мен Стюи, және маған негізінен олар қатысатын эпизодтар ұнайды, мысалы, ""Род-Айлендке жол"" (2-маусым), өйткені олар өте жақсы өзара әрекеттеседі. Олардың пікірлері мені таң қалдырады. Питердің мінез-құлқы да өте күлкілі, себебі оның кейбір әрекеттері ""соншалықты керемет, олар кем ақылды"". Дауыс беру керемет, әсіресе Сет Макфарлейн, өйткені ол Гриффин отбасының жартысына, сондай-ақ олардың азғын көршісі Гленн Куагмайрға дауыс береді және ол бұл диапазонды қалай басқарады (әсіресе ән айтумен), мен білмеймін. Ол зұлым сәби данышпан Стюидің дауысын бергені үшін екі Эмми сыйлығына лайық. Адам Уэст сонымен қатар өзінің күлкілі және мүлдем ессіз тұрақты кейіпкері Куахог мэрімен шоуды ұрлап алды. Маған Кристің (Сет Грин дауыстап) айтқандары оның ақыл-ойы мен парасаттылығы жағынан әкесіне еліктейтінін көрсетеді.<br /><br />Менің ашуымды келтірген жалғыз нәрсе - Ұлыбританияда Fox DVD сатылымын арттыру үшін маусымдарды өзгерту туралы шешім қабылдауы, бұл бағдарламаның өзін емес, маркетингті көрсетеді.<br /><br />Егер сізге Family Guy ұнаса, мен Сет Макфарлейннің басқа әзіл стилін қолданатын, бірақ әлі де өте күлкілі «Американдық әке» жобасын ұсынар едім.","1"
"Сену мүмкін емес қорқынышты. Әрине, Мэн аралында АҚШ болып маска тағылған - өте нашар - және американдық акцентпен сөйлей алмайтын британдық актерлерге толы. Кино дүкенінен шыққан Alien фильмінің түсініксіз жарнамалық бейнесіне ұқсайтын, бұрын-соңды көрмеген ең икемсіз аяқтары бар құбыжық. Душта қыздар шешініп, мысықтар төбелесіп, бла-бла-бла. Түсіндіңіз бе. Көрмеңіз, қашыңыз, тығылыңыз, АУЛАҚ БОЛЫҢЫЗ.","0"
" Ең жақсы сәт: Зері гангстер (Николас Туртурро) қашқынға (Мэттью Модин) «Шейн!.. Қайтып кел, Шейн!» деп айқайлағанда, ал үлкен данышпан одан «Не істеп жатырсың?!» деп сұрағанда, ол жай ғана «Уақытымнан ләззат алып жатырмын!» деп қайталайды. Шын мәнінде, қазіргі уақытта мен сияқты! <br /><br />- Ең қорқынышты бөлігі: Мен көріп отырған уақыт бойы ойландым: мен бұл қызды бұрын қайдан көрдім? қайда? қайда? Қорытынды титрлар кезінде білгенше.. О, ҚҰДАЙЫМ! Ол (Элизабет Беркли)... Шоу қыздарының фиаскосынан! Бірақ мен оны киімімен таный алмадым! Шынымды айтсам, мен қысқа діріл сезіндім. Ол шынымен сүйкімді және мейірімді, бірақ мүмкін Голливудта ешқандай аяушылық болмаған шығар! <br /><br />- Ең сексуалды сәт: (Беркли) «Сізді сүйек ететін нәрсе бар ма?!» дегенде. <br /><br />- Ең күлкілі нәрсе: Көліктің артқы жағында бір күн мен бір түн өткізгеннен кейін кемтар көмекші әлі тірі және сау!!??, сонымен қатар мексикалық контрабандист үш оқ алды (сол көлікте!), бірақ ол да өлген жоқ!!?? <br /><br />- Ең ұсқынсыз нәрсе: Өлтірілген адамдардың барлығы, сондай-ақ көптеген (F) палата өте скучно! <br /><br />- Ең әдемі нәрсе: Барлық күлкілі кейіпкерлер мен қиын жағдайлары бар ақылды сценарий, актерлік шеберлік, әсіресе (Пол Родригес) сериалды ұрлап алған (өйткені ол ең жақсы диалогтарды да айтқан!), жақсы көрінді. <br /><br />- Ең көңілсіз нәрсе: Режиссер оқиғаның әзіл-оспағына мүлдем нұқсан келтірмегенімен, сонымен бірге оған ерекше әсер, теңдессіз қолтаңба, оқиғаның өзіндегідей ессіз күлкі бермеді. Дегенмен, мүмкін, төмен түсірілім оған зиян келтірген шығар! Әрине, арзан түсірілімге байланысты жеңіл дәмсіз музыка да солай болуы мүмкін! <br /><br />- Ең шатастыратын бөлігі: (Мэттью Модин) талантты жігіт, бірақ ол Голливудтың «А» жұлдыздар тізімінен тыс қалу үшін не істеді?! Ол жасаған (немесе жасамаған!) нәрсе «Жіберу» сияқты жеңіл тәуелсіз әзілге айналуы мүмкін бе?!! <br /><br />- Ең жоқ көрініс: Мексикалық контрабандист (Хосе) ақыры қайда кетті?! Мен оны соңында тағы да көреміз деп ойладым, ол тірі қалған кішкентай қылмыскер ретінде тағы да жасырынып, осындай қысқа айла-шарғымен осындай әлемнің үздіксіз тәртіпсіздігін жүзеге асыра алады. <br /><br />- Соңынан кейін менің ең көп қойған сұрағым: Қашан көрісеміз (Жеткізу - 2)? Өйткені мен сол әдемі кішкентай күлкілі, асығыс атмосфераны қайтадан көргім келеді! <br /><br />Бұл менің жеке жауаптарым еді. Егер сіз осы сауалнамаға өз жауаптарыңызды бергіңіз келсе, маған электрондық пошта арқылы хабарласыңыз.","1"
"Бұл таңғажайып фильм. Шикі және керемет әсерлі. Бұл өте тартымды, ақылды сахналық қойылым сияқты сезілді (бірақ сахнадағы адамдарды көргенде пайда болатын тым театрлық сезімсіз), онда ақ өтіріктен қорқып, қорқынышты салдарға дейін жетеді. Барлық негізгі рөлдерді сомдайтын актерлер таң қалдырады. Том Уилкинсон соңында менің жүрегімді жаралады... ал басқалары ерлер мен әйелдердің қолдарын бетке көтеріп, қолдарын созуына қарап бағалайды. Джулиан Феллоуз тағы да жеңіске жетті. Ол ұлттық қазына. Госфорд Парк, Vanity Fair, Мэри Поппинс... және енді мынау. Ол ешқандай қателік жасай ала ма?! БАРЫП КӨРІҢІЗ! Бұл нағыз ересектерге арналған фильм.","1"
