"жапсырма","мәтін"
"2","Мен Los Taquitos-ты Diners, Drive-in және Dives мейрамханаларында болғанын білмей тұрып-ақ татып көргім келіп жүрді, ақыры мүмкіндік туды. Іші дәл мен күткендей болды, ешқандай ерекшелік жоқ, кабиналар мен бірнеше үстелдер бар. Тапсырыс беретін үстелдің соншалықты кішкентай екені және сусын қақпақтарының, майлықтардың, дәмдеуіштердің және пластикалық ыдыстардың дәл жанында тұрғаны маған біртүрлі көрінді. Егер кезек болғанда, өте ыңғайсыз болар еді. Мен күріш, бұршақ және сусын қосылған энчилада стиліндегі тауық етінен жасалған бурритоға тапсырыс бердім. Сусынымды алуға барған кезде оларда Diet Coke таусылып қалды, ол тек су болып шықты. Жарайды, олар жұмыс күндері сағат 13:00 шамасында болғандықтан, өте көп адам болған шығар деп ойладым. Түскі асқа асығыс болуы мүмкін. Мен орындыққа отырып, нөміріме қоңырау шалуды күттім. Буррито дәмді болды, шұлығымды шешкен ештеңе жоқ, тек жақсы буррито болды. Күріш жақсы және жұмсақ болды, бірақ бұршақтардың дәмі жоқ еді. Олар жаман болды. Қайтып ораламын ба? Әрине, бірақ келесі жолы таколарды қолданып көремін және олар сол санатты аздап өзгерте алады деп үміттенемін."
"4"," Тапастың ең кереметі! Уау! Барлығын сынап көруді айта аламын. Беконға оралған құрма нағыз жұмақ. Серфинг пен шөптен жасалған шашлықтар да керемет болды. \n\nМіндетті түрде бір стақан немесе құмыра үйде жасалған сангрия ішіңіз. Керемет атмосфера, жоғары сапалы қызмет көрсету, мейірімді қызметкерлердің барлығы өте орташа бағадағы орынды құрайды, бірақ бағасы әлдеқайда қымбат болуы керек.\n\nМен қайтадан келемін!!"
"3","Салыстырмалы түрде кішкентай, бірақ өте жақсы курорт. Келесі жолы әйелімді Феникске алып келіп, әдеттегі желілік қонақ үйлерден басқа жерде тұруым керек болса, бұл жер сізге өте ыңғайлы болады. Жақын жерде 15 минуттан аз уақытта жаяу жетуге болатын жоғары деңгейлі мейрамханалары бар жоғары деңгейлі сауда орталығы бар. 2-қабаттағы бөлмеміз тыныш және жайлы болды, онда жалпақ экранды теледидар сияқты жақсы жағдайлар болды. Менің жалғыз наразылығым - курорттың күнделікті ақысының қымбаттығы."
"1","Енемнің 70 жасқа толуына арналған кешкі ас іштім, тамағы жақсы болды... кейбір көкөністер суық, омар құйрығы аздап тұзды болды; дегенмен, даяшылар жақсы болды."
"4","Бүгін таңертең итімді сол жерге дайындадым. Ол Лиске бірнеше жылдан бері қарап келеді. Басқа ешкімнің менің Бишон баламды ұстауын сұрамаймын. Оған қарап көріңізші, ол керемет. Ол оны ұқыпты ұстайды және ол әрқашан әдемі болып шығады."
"2","Мен бірнеше достарыммен кездесіп жүрдім, және бұл таңғы ас/түскі ас үшін ұсынылған кездесу орны болды.\n\n\nБірнеше орындық болғандықтан, бұл жерге баруға ыңғайлы болар еді, бірақ жылыту жүйесінің болмауы оны таң қалдырды, тамақтанатын барлық қонақтар күртешелерін киіп жүрді.\n\n\nСтейк сэндвичтерінен, күнделікті арнайы ұсыныстардан, таңғы асқа дейін, толтырылған тоқаштарға дейін жақсы мәзір ұсынылады.\n\n\nТағам ыстық табақтарда берілсе, дәмді болар еді, себебі олар суық табақтарда берілсе, тамақ тез суып кететін.\n\n\nЕден бір-екі күн ішінде сыпырылмағандай көрінді,\n\n\nКофе дәмді, оған кінә жоқ."
"1","Бұл көршілес тағамды әрқашан ұнататынмын, бірақ бірдеңе өзгерді. Достарымды сол жерге апардым, бұл өте көңіл көншітпейтін тамақ болып шықты. 4 ересек адамға 100 доллардан астам (алкоголь, сусындар немесе десерт жоқ және ортақ тағам). Ең үлкен мәселе - негізгі тағамдардың сапасының нашарлығы, олардың барлығы құрғақ және өте піскен еді. Мен картонға дейін пісірілген қой етін әрең турадым, ақырында оны табағымда жемей қалдым. Кейбір негізгі тағамдар күйіп кеткен қара түсті болды - және грильде пісіруге болатындай жақсы емес - бірақ оларды ас үйден шығарып жіберіп, бізге ешқандай ескертусіз көңілді түрде ұсынды. Менеджерге шағымдандым - бірақ тегін нәрсе алуға тырыспайтынымды баса айтты. Ол бізге 4 шанышқысы бар кішкентай десерт әкелді, ол жақсы болды, бірақ сапасыз тағамдарымызды еске түсірмеді. Жақсы жағы - хумус пен толтырылған жүзім жапырақтары жақсы болды. Соған қарамастан, мен қайтадан оралмаймын."
"3","Бірнеше түнді Палаццода өткіздік, содан кейін достар тобымен Cosmo-ға келдік. Лас-Вегастағы басқа орындарға қарағанда мүлдем басқаша атмосфера. Cosmo, әрине, жоғары деңгейлі (қымбатырақ) орын, бірақ оның ерекшелігі мен сәнділігі жоғары. Мұнда Цезарьдың мүсіні немесе ежелгі Еуроаймақтың көшірмелері жоқ. Бөлмелер жаңа және тартымды, ал казино аймағы тіпті жақсырақ әсер қалдырады. Бұл жер CItycenter аймағында орналасқан, сондықтан жолақтың солтүстік жағындағы TI, Wynn немесе басқа казиноларды көргіңіз келсе, серуендеуге дайын болыңыз."
"1","Жұмыс үстеліндегі нашар қызмет көрсету."
"4"," Мұндағы алғашқы сабағым керемет әсер қалдырды! Маған интерьер ұнады, ал нұсқаушы өте көмекшіл және мейірімді болды. Бағалары басқа йога студияларымен салыстыруға болады, бірақ оларда кейбір арнайы ұсыныстар бар. Келесі йога сабағымды асыға күтемін!"
"3","Elizabeth Arden's Red Door Spa орталығының дәл астында орналасқан өте көзге түспейтін кофехана. \n\nОларда бірнеше кондитерлік өнімдер бар, бірақ жаңа ғана 3,00 долларға мұзды кофеге тапсырыс бердім. Менің дәмім бойынша аздап «сұйық» болды, бірақ ыстық күні ол өте ұнады. \n\nДәмін қосу үшін қантты су болса екен деп армандадым, бірақ оны таба алмадым."
"3","Бұл шолу қысқа және тәтті болады (мен ішкен коктейль сияқты), себебі мен Хакслиде кешкі ас алдында сусын ішу үшін қысқа уақытқа ғана болдым. Есіктен кірген кездегі алғашқы реакциям таңқалдым, себебі бұл жер бұрын сол жерде орналасқан Rutland барынан мүлдем өзгеше. Және өте керемет түрде мүлдем басқаша! Барды өте қараңғы ететін барлық биік қара орындықтар мен қара түстер жоғалып кетті. Оның орнына жұмсақ түстер, кішірек қалыпты өлшемді орындықтар және бардың артындағы крандармен ашық ақ плиткалы орындықтар бар. Сондай-ақ, өте жайлы креслолар бар, бірақ тағы да Rutland-тегідей құбыжық өлшемді емес, қалыпты өлшемде қалады.\n\nСусындар мәзірі өте қысқа, бірақ бұл жер кең коктейль барына айналуды мақсат етпейді деп ойлаймын, себебі оларда сыраның үлкен таңдауы бар. Бургерлер мен хот-догтардың мәзіріне сәйкес келетін сыра ішуге арналған орын әлдеқайда көп. дегенмен, коктейльдер тізімінде жақсы таңдау бар және мен таңғы асқа арналған мохитоны таңдадым, ал жігітім толық айға кетті.\n\Біздің сусындарымыздың келуіне біраз уақыт кетті, бірақ мен барменнің оларды жаңадан дайындап жатқанын көрдім, сондықтан олардың сусындарды араластырғанда мұқият болатынын білу жақсы, ал дәмі олардың күш-жігерінің ақталғанын көрсетеді. Менің мохитоым түпнұсқаға керемет өзгеріс енгізді. Грейпфрут шырыны лайм және жалбыздан жасалған, өте жаңа дәмі болды. Мен мұның таңғы асқа қалай үйлесетінін түсіндім, хаха! Жігітімнің сусыны өте жақсы болды, сонымен қатар Blue Moon сырасы жағымды кілегейлі дәм қосты, ал бурбон оған жақсы дәм берді.\n\nсондықтан алғашқы әсерлер жақсы, және біз екеуміз де тамақты қайталап көруіміз керек деп шештік. Сондықтан мәзірдің басқа бөліктерін дәмін татқаннан кейін жаңартуларды күтіңіз :)"
"1"," Пікірлердің арқасында келдік. Жоғары үмітпен келдік және отыру үшін шамамен 20 минут күттік. Бірақ, шынымды айтсам, қызыл омар теңіз өнімдерін жақсы пісірді. Грильде пісірілген асшаяндар өте құрғақ болды. Тамақтанғаннан кейін даяшы жоғалып кетті. Есепшотымызды сұрау үшін МӘҢГІЛІК уақыт кетті."
"3","Жақында досыммен алғаш рет Cafe Lalibela (және эфиопиялық тағамдар) дәмін татып көрдім. \n\nМен жұмсақ қоспаны алдым: yebeg alicha sega wat (қой етінің текшелері), alicha sega wat (сиыр етінің текшелері) және fosolia (бұршақ қоспасы). Қой мен сиыр етінің дәмі бір-бірімен алмастырылуы мүмкін еді, бірақ екеуі де еттің керемет кесектері болды және олардың тұздығы өте дәмді болды. Fosolia (бұршақ) маған ұнамады, бірақ бұл менің жеке қалауым деп ойлаймын, себебі досым оны дәмін татып көрді және ұнатты. Дәмдеуіштердің бір бөлігі менің шайыма ұнамады.\n\nШай туралы айтатын болсақ, мен бір кесе Yekemem Shai (даршын, кардамон және қалампыр қосылған қара шай) да алдым. Бұл тек дәмді иіс қана емес, сонымен қатар керемет дәмі де болды. Мен әдетте шайымды қантпен қанықтырамын, бірақ мен мұны қантсыз ішетінмін және ол одан да дәмді болды. Егер сіз Cafe Lalibela-ға барсаңыз, мен бұл шайды қатты ұсынамын!!\n\nСондай-ақ, даяшы мәзірден таңдау жасаған кезде мейірімді және көмекшіл болды. \n\nМен бұл мейрамханаға тағы да барамын! Керемет тағамдар."
"4"," Иә, мен де солай істеймін. Хипстер стиліндегі декор мен көңіл-күй, дәмді және ерекше таңғы ас. Біз киноа/жаңа піскен жемістерден жасалған ""біздіңше сұлы ботқасын"" бөлістік, ал бадам сүтін таңдадық. Менің сүйіктім таңғы ас клубын алды, ал мен Аризона бурритосын жеп көрдім (мен оны AS-буррито немесе Аризона буррито деп атадым). Екеуі де жаңа болды және тағамдарды соншалықты дәмді ететін қызықты ингредиенттердің үйлесімдері болды. Мұндағы тағамдардың бағасы қолжетімді және дәмді болған кезде неге біреу үлкен желілік мейрамханаларға баратынына сенімді емеспін. Бұл жердің жергілікті жерде болғанын қалар едім."
"3","Біз аштықтан ары-бері серуендеп жүргенде, есік алдындағы кезекпен осы жерге тап болдық (бұл жер кішкентай, сондықтан ол өте толы болып көрінді). Бақытымызға орай, бос үстел болғандықтан, біз оны жеп көруді шештік. \n\nБіз сиыр етінен жасалған бургер, путин және оранжинаны жедік. Қызмет көрсету өте жақсы болды, өйткені жұмыс істейтін 2 адам ғана болды (бір аспаз және бір кассир) және олар әлі де шамамен 5-6 кішкентай үстел мен кезекке тұруы керек. Олар өте тиімді болды және ешқандай қателіктер болған жоқ! Тамақ өте дәмді болды, ақшасына тұрарлық! (бұл мүлдем қымбат емес)"
"2"," Бұл жер бұрын мүлдем нашар еді. Жақында олар ішкі және сыртқы жағын жөндеді, ал қазір бұл өте жағымды, әдемі дүкен.\n\nДегенмен, бұл әлі де Вендидің тағамдары. Бұл қалыпты жағдай."
