мәтін,жапсырма,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
Британдық Колумбия «А» ойыны қажет деп күтеді. Оларға енді еске салудың қажеті жоқ сияқты. Олар салдарын білмейтін сияқты емес. Бостон колледжінде 1-А дивизионындағы команданың 1-А дивизионындағы қарсыласына қарсы кез келген күні не болуы мүмкін екендігінің айқын мысалдары ретінде Ратгерс пен Миссисипи штатын және белгілі бір дәрежеде Питтсбургті келтіруге болады.,1,"мәтін: Британдық Колумбия «А» ойыны қажет деп күтеді. Оларға енді еске салудың қажеті жоқ сияқты. Олар салдарын білмейтін сияқты емес. Бостон колледжінде 1-А дивизионындағы команданың 1-А дивизионындағы қарсыласына қарсы кез келген күні не болуы мүмкін екендігінің айқын мысалдары ретінде Ратгерс пен Миссисипи штатын және белгілі бір дәрежеде Питтсбургті келтіруге болады.
жапсырма: 1","A) Британдық Колумбия «А» жарысы қажет деп күтеді. Оларға енді еске салудың қажеті жоқ сияқты. Олар салдарын білмейтін сияқты емес. Бостон колледжінде 1-А дивизионындағы команданың 1-А дивизионындағы қарсыласына қарсы кез келген күні не болуы мүмкін екендігінің айқын мысалдары ретінде Ратгерс пен Миссисипи штатын және белгілі бір дәрежеде Питтсбургті келтіруге болады.

B) Британдық Колумбия «А» бәсекесі қажет деп күтеді. Оларға енді еске салудың қажеті жоқ сияқты. Олар салдарын білмейтін сияқты емес. Бостон колледжінде 1-А дивизионындағы команданың 1-А дивизионындағы қарсыласына қарсы кез келген күні не болуы мүмкін екендігінің айқын мысалдары ретінде Ратгерс пен Миссисипи штаты және белгілі бір дәрежеде Питтсбургті келтіруге болады.

C) Британдық Колумбия «А» сайысы қажет деп күтеді. Оларға енді еске салудың қажеті жоқ сияқты. Олар салдарын білмейтін сияқты емес. Бостон колледжінде 1-А дивизионындағы команданың 1-А дивизионындағы қарсыласына қарсы кез келген күні не болуы мүмкін екендігінің айқын мысалдары ретінде Ратгерс пен Миссисипи штаты және белгілі бір дәрежеде Питтсбургті келтіруге болады.

D) Британдық Колумбия «А» конкурсы қажет деп күтеді. Оларға енді еске салудың қажеті жоқ сияқты. Олар салдарын білмейтін сияқты емес. Бостон колледжінде 1-А дивизионындағы команданың 1-А дивизионындағы қарсыласына қарсы кез келген күні не болуы мүмкін екендігінің айқын мысалдары ретінде Ратгерс пен Миссисипи штаты және белгілі бір дәрежеде Питтсбургті келтіруге болады.",,,,,E,B,C,D
Ресейлік шенеунік ЮКОС-қа кепілдік берді Қаржы министрі FT-ге салық қарызын өтеу үшін активтерді сату нарыққа бағытталған болатынын айтты. МӘСКЕУ (Рейтер) - Ресейдің қаржы министрі Алексей Кудрин активтерді сату проблемалы салық қарыздарын өтеу үшін болады деп уәде берді,2,"мәтін: Ресейлік шенеунік ЮКОС-қа кепілдік берді Қаржы министрі FT-ге салық қарызын өтеу үшін активтерді сату нарыққа бағытталған болатынын айтты. МӘСКЕУ (Рейтер) - Ресейдің қаржы министрі Алексей Кудрин активтерді сату проблемалы салық қарыздарын өтеу үшін болады деп уәде берді
жапсырма: 2","A) Ресейлік мемлекеттік қызметкер ЮКОС-қа кепілдік берді Қаржы министрі FT-ге салық қарызын өтеу үшін активтерді сату нарыққа бағдарланған болатынын айтты. МӘСКЕУ (Рейтер) - Ресейдің қаржы министрі Алексей Кудрин активтерді сату өтеу проблемалы салық қарыздарын жабу үшін болады деп уәде берді

B) Ресейлік лауазымды тұлға ЮКОС-қа кепілдік берді Қаржы министрі FT-ге салық қарызын өтеу үшін активтерді сату нарыққа бағытталған болатынын айтты. МӘСКЕУ (Рейтер) - Ресейдің қаржы министрі Алексей Кудрин активтерді сату мәселелі салық қарыздарын өтеу үшін болады деп уәде берді

C) Ресейлік шенеунік ЮКОС-қа кепілдік берді Қаржы министрі FT-ге салық міндеттемесін өтеу үшін активтерді сату нарыққа бағдарланған болатынын айтты. МӘСКЕУ (Рейтер) - Ресейдің қаржы министрі Алексей Кудрин активтерді сату қиындықты салық қарыздарын өтеу үшін болады деп уәде берді

D) Ресейлік мемлекеттік қызметші ЮКОС-қа кепілдік берді Қаржы министрі FT-ге салық қарызын өтеу үшін активтерді сату нарыққа бағытталған болатынын айтты. МӘСКЕУ (Рейтер) - Ресейдің қаржы министрі Алексей Кудрин активтерді сату мәселелік салық қарыздарын өтеу үшін болады деп уәде берді",,,,,E,B,C,D
"Король теннисі жанкүйерлерді баурап алды Spike TV бейне ойындарын марапаттау шоуы танымал жұлдыздар мен топтарды тартады, бірақ жанкүйерлерге дауыс береді.",3,"мәтін: Король теннисі жанкүйерлерді баурап алды Spike TV бейне ойындарын марапаттау шоуы танымал жұлдыздар мен топтарды тартады, бірақ жанкүйерлерге дауыс береді.
жапсырма: 3","A) 
мәтін: Король теннисі фанаттарды баурап алды Spike TV бейне ойындарын марапаттау шоуы танымал жұлдыздар мен топтарды тартады, бірақ фанаттарға дауыс береді. 
жапсырма: 3

B) 
мәтін: Король теннисі қолдаушыларды баурап алды Spike TV бейне ойындарын марапаттау шоуы танымал жұлдыздар мен топтарды тартады, бірақ қолдаушыларға дауыс береді. 
жапсырма: 3

C) 
мәтін: Король теннисі әуесқойларды баурап алды Spike TV бейне ойындарын марапаттау шоуы танымал жұлдыздар мен топтарды тартады, бірақ әуесқойларға дауыс береді. 
жапсырма: 3

D) 
мәтін: Король теннисі жұртшылықты баурап алды Spike TV бейне ойындарын марапаттау шоуы танымал жұлдыздар мен топтарды тартады, бірақ жұртшылыққа дауыс береді.
жапсырма: 3","мәтін: Король теннисі фанаттарды баурап алды Spike TV бейне ойындарын марапаттау шоуы танымал жұлдыздар мен топтарды тартады, бірақ фанаттарға дауыс береді. 
жапсырма: 3","мәтін: Король теннисі қолдаушыларды баурап алды Spike TV бейне ойындарын марапаттау шоуы танымал жұлдыздар мен топтарды тартады, бірақ қолдаушыларға дауыс береді. 
жапсырма: 3","мәтін: Король теннисі әуесқойларды баурап алды Spike TV бейне ойындарын марапаттау шоуы танымал жұлдыздар мен топтарды тартады, бірақ әуесқойларға дауыс береді. 
жапсырма: 3","мәтін: Король теннисі жұртшылықты баурап алды Spike TV бейне ойындарын марапаттау шоуы танымал жұлдыздар мен топтарды тартады, бірақ жұртшылыққа дауыс береді.
жапсырма: 3",A,A,A,A
" 1 желтоқсанда бақылауға алынатын акциялар НЬЮ-ЙОРК (Reuters) - Сәрсенбіде бақылауға алынатын АҚШ акциялары: IBM CORP. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=IBM.N target=/stocks/quickinfo/fullquote""&gt;IBM.N&lt;/A&gt;: Компьютер өндірушісі ақпараттық технологиялар компаниясы екі даниялық қызмет көрсетушіні сатып алған екі еуропалық компаниямен 1 миллиард доллардан астам жаңа келісімшарттарға қол қойғанын мәлімдеді.",2,"мәтін:  1 желтоқсанда бақылауға алынатын акциялар НЬЮ-ЙОРК (Reuters) - Сәрсенбіде бақылауға алынатын АҚШ акциялары: IBM CORP. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=IBM.N target=/stocks/quickinfo/fullquote""&gt;IBM.N&lt;/A&gt;: Компьютер өндірушісі ақпараттық технологиялар компаниясы екі даниялық қызмет көрсетушіні сатып алған екі еуропалық компаниямен 1 миллиард доллардан астам жаңа келісімшарттарға қол қойғанын мәлімдеді.
жапсырма: 2","A) мәтін:  1 желтоқсанда бақыланатын акциялар НЬЮ-ЙОРК (Reuters) - Сәрсенбіде бақыланатын АҚШ акциялары: IBM CORP. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=IBM.N target=/stocks/quickinfo/fullquote""&gt;IBM.N&lt;/A&gt;: Компьютер жасаушы ақпараттық технологиялар фирмасы екі даниялық қызмет көрсетушіні сатып алған екі еуропалық ұйыммен 1 миллиард доллардан астам жаңа келісімшарттарға қол қойғанын хабарлады.

B) мәтін:  1 желтоқсанда қаралатын акциялар НЬЮ-ЙОРК (Reuters) - Сәрсенбіде қаралатын АҚШ акциялары: IBM CORP. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=IBM.N target=/stocks/quickinfo/fullquote""&gt;IBM.N&lt;/A&gt;: Компьютер шығарушы ақпараттық технологиялар компаниясы екі даниялық қызмет көрсетушіні сатып алған екі еуропалық кәсіпорынмен 1 миллиард доллардан астам жаңа келісімшарттарға қол қойғанын жариялады.

C) мәтін:  1 желтоқсанда көзқарасқа алынатын акциялар НЬЮ-ЙОРК (Reuters) - Сәрсенбіде көзқарасқа алынатын АҚШ акциялары: IBM CORP. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=IBM.N target=/stocks/quickinfo/fullquote""&gt;IBM.N&lt;/A&gt;: Компьютер өндірушісі ақпараттық технологиялар ұйымы екі даниялық қызмет көрсетушіні сатып алған екі еуропалық компаниямен 1 миллиард доллардан астам жаңа келісімшарттарға қол қойғанын мәлімдеді.

D) мәтін:  1 желтоқсанда тексеруге алынатын акциялар НЬЮ-ЙОРК (Reuters) - Сәрсенбіде тексеруге алынатын АҚШ акциялары: IBM CORP. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=IBM.N target=/stocks/quickinfo/fullquote""&gt;IBM.N&lt;/A&gt;: Компьютер құраушылары ақпараттық технологиялар корпорациясы екі даниялық қызмет көрсетушіні сатып алған екі еуропалық компаниямен 1 миллиард доллардан астам жаңа келісімшарттарға қол қойғанын хабарлады.",,,,,E,B,C,D
Әйелдер және IT болашағы &lt;strong&gt;Сұхбат&lt;/strong&gt; Профессор Венди Холл &lt;em&gt;Қағидалармен&lt;/em&gt; әңгімелеседі.,3,"мәтін: Әйелдер және IT болашағы &lt;strong&gt;Сұхбат&lt;/strong&gt; Профессор Венди Холл &lt;em&gt;Қағидалармен&lt;/em&gt; әңгімелеседі.
жапсырма: 3","A)
мәтін: Әйелдер және IT болашағы &lt;strong&gt;Сұхбат&lt;/strong&gt; Профессор Венди Холл &lt;em&gt;Принциптерімен&lt;/em&gt; әңгімелеседі.

B)
мәтін: Әйелдер және IT болашағы &lt;strong&gt;Сұхбат&lt;/strong&gt; Профессор Венди Холл &lt;em&gt;Ережелерімен&lt;/em&gt; әңгімелеседі.

C)
мәтін: Әйелдер және IT болашағы &lt;strong&gt;Сұхбат&lt;/strong&gt; Профессор Венди Холл &lt;em&gt;Нормаларымен&lt;/em&gt; әңгімелеседі.

D)
мәтін: Әйелдер және IT болашағы &lt;strong&gt;Сұхбат&lt;/strong&gt; Профессор Венди Холл &lt;em&gt;Талаптармен&lt;/em&gt; әңгімелеседі.",мәтін: Әйелдер және IT болашағы &lt;strong&gt;Сұхбат&lt;/strong&gt; Профессор Венди Холл &lt;em&gt;Принциптерімен&lt;/em&gt; әңгімелеседі.,мәтін: Әйелдер және IT болашағы &lt;strong&gt;Сұхбат&lt;/strong&gt; Профессор Венди Холл &lt;em&gt;Ережелерімен&lt;/em&gt; әңгімелеседі.,мәтін: Әйелдер және IT болашағы &lt;strong&gt;Сұхбат&lt;/strong&gt; Профессор Венди Холл &lt;em&gt;Нормаларымен&lt;/em&gt; әңгімелеседі.,мәтін: Әйелдер және IT болашағы &lt;strong&gt;Сұхбат&lt;/strong&gt; Профессор Венди Холл &lt;em&gt;Талаптармен&lt;/em&gt; әңгімелеседі.,A,A,A,A
" AL қорытындысы: Red Sox Devil Rays командасын жеңіп, плей-оффқа жолдама алды НЬЮ-ЙОРК (Reuters) - Мэнни Рамирес лигадағы көшбасшы 43-ші хоум-ранын соқты, ал Джонни Дэймон үш ұпайлық соққы жасады, Бостон Ред Сокс дүйсенбі күні Санкт-Петербургте Tampa Bay Devil Rays командасын 7-3 есебімен жеңіп, плей-оффқа жолдама алды.",1,"мәтін:  AL қорытындысы: Red Sox Devil Rays командасын жеңіп, плей-оффқа жолдама алды НЬЮ-ЙОРК (Reuters) - Мэнни Рамирес лигадағы көшбасшы 43-ші хоум-ранын соқты, ал Джонни Дэймон үш ұпайлық соққы жасады, Бостон Ред Сокс дүйсенбі күні Санкт-Петербургте Tampa Bay Devil Rays командасын 7-3 есебімен жеңіп, плей-оффқа жолдама алды.
жапсырма: 1","A) мәтін:  AL талдауы: Red Sox Devil Rays командасын ұтқаннан кейін, плей-оффқа лицензия алды НЬЮ-ЙОРК (Reuters) - Мэнни Рамирес лигадағы жетекші 43-ші хоум-рани соқты, ал Джонни Дэймон үш ұпайлық соққы орындады, Бостон Ред Сокс дүйсенбі күні Санкт-Петербургте Tampa Bay Devil Rays командасын 7-3 есебімен ұтып, плей-оффқа лицензия алды. жапсырма: 1

B) мәтін:  AL қорытындысы: Red Sox Devil Rays командасын жеңіп, плей-оффқа мүмкіндік алды НЬЮ-ЙОРК (Reuters) - Мэнни Рамирес лигадағы алдыңғы 43-ші хоум-ранын соқты, ал Джонни Дэймон үш ұпайлық соққы жасаған кезде, Бостон Ред Сокс дүйсенбі күні Санкт-Петербургте Tampa Bay Devil Rays командасын 7-3 есебімен жеңіп, плей-оффқа мүмкіндік алды. жапсырма: 1

C) мәтін:  AL нәтижесі: Red Sox Devil Rays командасын жеңіп, плей-оффқа рұқсат алды НЬЮ-ЙОРК (Reuters) - Мэнни Рамирес лигадағы басшы 43-ші хоум-ранын соқты, ал Джонни Дэймон үш ұпайлық соққы орындады, Бостон Ред Сокс дүйсенбі күні Санкт-Петербургте Tampa Bay Devil Rays командасын 7-3 есебімен жеңіп, плей-оффқа рұқсат алды. жапсырма: 1

D) мәтін:  AL қорытындысы: Red Sox Devil Rays командасын жеңіп, плей-оффқа сырау алды НЬЮ-ЙОРК (Reuters) - Мэнни Рамирес лигадағы жетекші 43-ші хоум-ранын салып, ал Джонни Дэймон үш ұпайлық соққы жасады, Бостон Ред Сокс дүйсенбі күні Санкт-Петербургте Tampa Bay Devil Rays командасын 7-3 есебімен жеңіп, плей-оффқа сырау алды. жапсырма: 1",,,,,E,B,C,D
Ирландиялықтардың назары Клементске ауып тұр; Нотр-Дам Биллске қызығушылық танытып отыр &lt;b&gt;...&lt;/b&gt; Буффало Биллс шабуыл үйлестірушісі Том Клементс Нотр-Дам бас бапкерлік бос орнына үміткерлердің қысқа тізімінде пайда болды.,1,"мәтін: Ирландиялықтардың назары Клементске ауып тұр; Нотр-Дам Биллске қызығушылық танытып отыр &lt;b&gt;...&lt;/b&gt; Буффало Биллс шабуыл үйлестірушісі Том Клементс Нотр-Дам бас бапкерлік бос орнына үміткерлердің қысқа тізімінде пайда болды.
жапсырма: 1","A) Ирландиялықтардың назары Клементске ауып тұр; Нотр-Дам Биллске қызығушылық танытып отыр &lt;b&gt;...&lt;/b&gt; Буффало Биллс шабуыл үйлестірушісі Том Клеменс Нотр-Дам бас жаттықтырушысының бос орнына үміткерлердің қысқа тізімінде пайда болды.

B) Ирландиялықтардың назарлары Клементске ауып тұр; Нотр-Дам Биллске қызығушылық білдіріп отыр &lt;b&gt;...&lt;/b&gt; Буффало Биллс шабуыл үйлестірушісі Том Клементс Нотр-Дам бас бапкерлік бос орнына үміткерлердің қысқа тізімінде көрінді.

C) Ирландиялықтардың назарлары Клементске ауып тұр; Нотр-Дам Биллске қызығушылық танытылып отыр &lt;b&gt;...&lt;/b&gt; Буффало Биллс шабуыл үйлестірушісі Том Клементс Нотр-Дам бас жаттықтырушысының бос орнына үміткерлердің қысқа тізімінде пайда болды.

D) Ирландиялықтардың назары Клементске ауысып тұр; Нотр-Дам Биллске қызығушылық білдіріп отыр &lt;b&gt;...&lt;/b&gt; Буффало Биллс шабуыл үйлестірушісі Том Клементс Нотр-Дам бас бапкерлік бос орнына үміткерлердің қысқа тізімінде орын алды.",,,,,E,B,C,D
Бүгін кешке өтетін Буш пен Керри арасындағы пікірталасты қамтамасыз етуге көмектесетін ынтымақтастық жиынтығы АҚШ құпия қызметі және Миссури штатындағы полиция мен төтенше жағдайларды басқару қызметкерлерінің тобы бүгін кешке өтетін президенттік пікірталас кезінде қауіпсіздік туралы ақпарат алмасу үшін алғаш рет Microsoft негізіндегі арнайы жасалған ынтымақтастық порталын пайдаланады.,3,"мәтін: Бүгін кешке өтетін Буш пен Керри арасындағы пікірталасты қамтамасыз етуге көмектесетін ынтымақтастық жиынтығы АҚШ құпия қызметі және Миссури штатындағы полиция мен төтенше жағдайларды басқару қызметкерлерінің тобы бүгін кешке өтетін президенттік пікірталас кезінде қауіпсіздік туралы ақпарат алмасу үшін алғаш рет Microsoft негізіндегі арнайы жасалған ынтымақтастық порталын пайдаланады.
жапсырма: 3","A) Бүгін кешке өтетін Буш пен Керри арасындағы талқыласты қамтамасыз етуге көмектесетін ынтымақтастық жиынтығы АҚШ құпия қызметі және Миссури штатындағы полиция мен төтенше жағдайларды басқару қызметкерлерінің тобы бүгін кешке өтетін президенттік талқы кезінде қауіпсіздік туралы мәлімет алмасу үшін алғаш рет Microsoft негізіндегі арнайы жасалған ынтымақтастық порталына пайдаланады.

B) Бүгін кешке өтетін Буш пен Керри арасындағы сұхбатты қамтамасыз етуге көмектесетін ынтымақтастық жиынтығы АҚШ құпия қызметі және Миссури штатындағы полиция мен төтенше жағдайларды басқару қызметкерлерінің тобы бүгін кешке өтетін президенттік сұхбат кезінде қауіпсіздік туралы деректер алмасу үшін алғаш рет Microsoft негізіндегі арнайы жасалған ынтымақтастық порталын енгізеді.

C) Бүгін кешке өтетін Буш пен Керри арасындағы пікірсайысты қамтамасыз етуге көмектесетін ынтымақтастық жиынтығы АҚШ құпия қызметі және Миссури штатындағы полиция мен төтенше жағдайларды басқару қызметкерлерінің тобы бүгін кешке өтетін президенттік пікірсайыс кезінде қауіпсіздік туралы ақпарат алмасу үшін алғашқы рет Microsoft негізіндегі арнайы жасалған ынтымақтастық порталына қатысады.

D) Бүгін кешке өтетін Буш пен Керри арасындағы пікірталасты қамтамасыз етуге көмектесетін ынтымақтастық жиынтығы АҚШ құпия қызметі және Миссури штатындағы полиция мен төтенше жағдайларды басқару қызметкерлерінің тобы бүгін кешке өтетін президенттік пікірталас кезінде қауіпсіздік туралы мәліметтер алмасу үшін алғаш рет Microsoft негізіндегі арнайы жасалған ынтымақтастық портагын қолданады.",,,,,E,B,C,D
" Ғарышкерлер ғарыш станциясына келді Ресейлік ғарыш кемесі Халықаралық ғарыш станциясына үш ғарышкерді жеткізіп, ұшырылымды кейінге қалдырған түйісу жүйесіндегі мәселелерді шешті.",3,"мәтін:  Ғарышкерлер ғарыш станциясына келді Ресейлік ғарыш кемесі Халықаралық ғарыш станциясына үш ғарышкерді жеткізіп, ұшырылымды кейінге қалдырған түйісу жүйесіндегі мәселелерді шешті.
жапсырма: 3","A)  
Астронавттар ғарыш станциясына келді Ресейлік ғарыш кемесі Халықаралық ғарыш станциясына үш астронавтты жеткізіп, ұшырылымды кейінге қалдырған түйісу жүйесіндегі қиындықтарды шешті.  

B)  
Ғарышкерлер ғарыш орбитасына келді Ресейлік ғарыш кемесі Халықаралық ғарыш станциясына үш ғарышкерді жеткізіп, ұшырылымды кейінге қалдырған түйісу жүйесіндегі мәселелерді реттеді.  

C)  
Астронавттар ғарыш алаңына келді Ресейлік ғарыш кемесі Халықаралық ғарыш станциясына үш астронавтты жеткізіп, ұшырылымды кейінге қалдырған түйісу жүйесіндегі проблемаларды шешті.  

D)  
Ғарышкерлер ғарыш кеңістігіне келді Ресейлік ғарыш кемесі Халықаралық ғарыш станциясына үш ғарышкерді жеткізіп, ұшырылымды кейінге қалдырған түйісу жүйесіндегі қиындықтарды реттеді.  ","Астронавттар ғарыш станциясына келді Ресейлік ғарыш кемесі Халықаралық ғарыш станциясына үш астронавтты жеткізіп, ұшырылымды кейінге қалдырған түйісу жүйесіндегі қиындықтарды шешті.","Ғарышкерлер ғарыш орбитасына келді Ресейлік ғарыш кемесі Халықаралық ғарыш станциясына үш ғарышкерді жеткізіп, ұшырылымды кейінге қалдырған түйісу жүйесіндегі мәселелерді реттеді.","Астронавттар ғарыш алаңына келді Ресейлік ғарыш кемесі Халықаралық ғарыш станциясына үш астронавтты жеткізіп, ұшырылымды кейінге қалдырған түйісу жүйесіндегі проблемаларды шешті.","Ғарышкерлер ғарыш кеңістігіне келді Ресейлік ғарыш кемесі Халықаралық ғарыш станциясына үш ғарышкерді жеткізіп, ұшырылымды кейінге қалдырған түйісу жүйесіндегі қиындықтарды реттеді.",A,A,C,A
"Қысым нүктелері АФИНЫ -- Пол Хамм кеше кешке турниктің астында күтіп тұрғанда, діріл шамамен 10 минутқа созылды. «Уау,» деді Хамм егіз інісі Морганға. «Мен мұндайды бұрын-соңды көрген емеспін.»",1,"мәтін: Қысым нүктелері АФИНЫ -- Пол Хамм кеше кешке турниктің астында күтіп тұрғанда, діріл шамамен 10 минутқа созылды. «Уау,» деді Хамм егіз інісі Морганға. «Мен мұндайды бұрын-соңды көрген емеспін.»
жапсырма: 1","A) Мәтін: Қысым нүктелері АФИНЫ -- Пол Хамм кеше кешкі уақытта турниктің астында күтіп тұрғанда, діріл шамамен 10 минутқа жетті. «Уау,» деді Хамм егіз бауыры Морганға. «Мен мұндайды бұрын-соңды кездестірген емеспін.»

B) Мәтін: Қысым нүктелері АФИНЫ -- Пол Хамм кеше кешкі мезгілде турниктің астында күтіп тұрғанда, діріл шамамен 10 минутқа ұзарды. «Уау,» деді Хамм егіз туғаны Морганға. «Мен мұндайды бұрын-соңды байқамаппын.»

C) Мәтін: Қысым нүктелері АФИНЫ -- Пол Хамм кеше кешкі сәтте турниктің астында күтіп тұрғанда, діріл шамамен 10 минутқа созылды. «Уау,» деді Хамм егіз інісі Морганға. «Мен мұндайды бұрын-соңды кездеспеппін.»

D) Мәтін: Қысым нүктелері АФИНЫ -- Пол Хамм кеше кешкі уақыттағы турниктің астында күтіп тұрғанда, діріл шамамен 10 минутқа енгізілді. «Уау,» деді Хамм егіз ағасы Морганға. «Мен мұндайды бұрын-соңды көріп емеспін.»",,,,,E,B,C,D
