мәтін1, мәтін2, жапсырма, idx, белгі_мәтіні
" Актер Кристофер Ривтің жесірі Дана Рив 44 жасында өкпе рагынан қайтыс болды, деп хабарлайды Кристофер Рив қоры.", Кристофер Рив апатқа ұшырады.,1,0, міндеттеме емес
" Дегенмен, біз қазір антибиотиктердің ауруға қарсы тиімділігін жоғалтып жатқанын анықтап жатырмыз. Ауру тудыратын бактериялар біз жаңа антибиотиктерді ойлап тапқаннан гөрі тезірек мутацияға ұшырайды.", Бактериялар антибиотиктерге қарсы соғыста жеңіске жетуде.,0,1, тарту
"Каирде қазір шамамен 15 миллион адам тұрады - бұл күн сайын шамамен 10 000 тонна қоқыс шығаратын өсіп келе жатқан халық, бұл қоғамдық қызметтерге үлкен жүктеме түсіреді. Соңғы 10 жылда үкімет қоқыс секторына жеке инвестицияларды ынталандыруға тырысты, бірақ кейбір мәліметтер бойынша күн сайын 4000 тонна қалдық қалады, олар біреудің тазалауын күтіп, ыстықта пісіп кетеді. Көбінесе ең кедей аудандардағы адамдар ең көп зардап шегеді. Бірақ кейбір аудандарда олар қарсы күресуде. Қаланың солтүстік аудандарының бірі Шубрада тұрғындар қоғамдық қоқыс төгетін орындар ретінде пайдаланылған қоғамдық орындарды тазалау үшін қоқыс жәшіктері мен щеткалармен қаруланып көшеге шықты.", Каирде күн сайын 15 миллион тонна қоқыс шығарылады.,1,2, міндеттеме емес
"Пенсильваниядағы шамамен 55 000 амиш қауымдастығы электр энергиясы мен автомобильдер сияқты технологиялық жетістіктерден бас тартып, аграрлық өмір салтын ұстанады. Көпшілік өздерінің оқшауланған өмір салты оларға американдық қоғамның зорлық-зомбылығынан қорғалғандай сезім береді дейді. Бірақ мектептің жанына жиналған тұрғындар, кейбіреулері дәстүрлі киім киіп, ат арбаларымен келгенде, қауіпсіздік сезімі жойылғанын айтты. «Егер біреу ақымақтық жасағысы келсе, оларды тоқтата алатын қашықтық жоқ», - дейді балалары атылған бірнеше отбасын білетін амиш шамдарын жасаушы 56 жастағы Джейк Кинг.", Пенсильванияда АҚШ-тағы ең үлкен амиш қауымдастығы бар,1,3, міндеттеме емес
" Жеті кандидатты қоса алғанда, 1000-нан астам адам қаза тапқан сайлау науқанынан кейін қауіпсіздік күштері жоғары дайындыққа көшті.", Қауіпсіздік күштері зорлық-зомбылыққа толы науқаннан кейін жоғары дайындыққа көшті.,0,4, тарту
"1979 жылы көшбасшылар Ақ үйдің алаңында Египет-Израиль бейбітшілік келісіміне қол қойды. Президент Бегин де, Садат та өз жұмыстары үшін Нобель бейбітшілік сыйлығын алды. Екі ел бүгінгі күнге дейін бейбіт қарым-қатынаста.", Израиль-Египет бейбітшілік келісіміне 1979 жылы қол қойылды.,0,5, тарту
" 24 жастағы әнші және актриса Бритни Спирс Лос-Анджелес округінің Жоғарғы Сотында күйеуі 28 жастағы Кевин Федерлинмен ажырасу үшін құжаттарды толтырды. Соттың өкілі Кэти Робертс құжаттарда ажырасудың себебі ретінде «келісімсіз келіспеушіліктер» көрсетілгенін және соттың мәліметі бойынша, Спирстің «Late Night with David Letterman» бағдарламасында пайда болған күні, яғни 6 қараша, дүйсенбіден бастап заңды түрде ажырасқанын мәлімдеді.", Спирс Кевин Федерлайнмен ажырасуға ниетті.,0,6, тарту
" 2010 жылғы Райдер Кубогын Уэльске өткізуге сәтті өтінім берілгеннен кейін, Уэльс Туристік Кеңесі іс-шарадан алынатын пайданың бүкіл ел бойынша сезілуін қамтамасыз ету үшін тапсырыс беру жұмыстарына аз уақыт жұмсады.",Уэльс 2010 жылғы Райдер Кубогын қабылдайды.,0,7, тарту
 Стив Джобс Скалли мен Apple компаниясының басқа басшыларының жаңа өнімдерді жеткілікті түрде жеткізбегені үшін сынға ұшырады және бірнеше аптадан кейін компаниядан кетті., Стив Джобс Apple компаниясында жұмыс істеді.,0,8, тарту
" Дәстүр бойынша, Райсани тайпасының брахуилері асу аймағындағы заңдылық пен тәртіпті басқарады. Бұл тайпа әлі күнге дейін қазіргі Пәкістанның Белуджистан аймағында тұрады.", Райсани тайпасы Пәкістанда тұрады.,0,9, тарту
 «Шекарасыз дәрігерлер»/«Шекарасыз дәрігерлер» (MSF) халықаралық гуманитарлық көмек ұйымы Дарфурдағы барлық жерлерде зорлық-зомбылық құрбандарын емдеуді жалғастыруда., «Шекарасыз дәрігерлер» - халықаралық көмек ұйымы.,0,10, тарту
" Ыдысқа жұмыртқа мен қантты толығымен араласып, көбіктенгенше араластырыңыз."," Ыдысқа жұмыртқаны, қантты және ванильді ашық түске енгенше араластырыңыз.",1,11, міндеттеме емес
"Сахарадан оңтүстікке қарай орналасқан Африкадағы халқы ең көп ел болып табылатын Нигерияда 2,7 миллионнан астам адам АИТВ жұқтырған."," АИТВ жұқтырған адамдардың 2,7 пайызы Африкада тұрады.",1,12, міндеттеме емес
" «Доктор Өлім» деген атпен танымал Джек Кеворкянның Мичиган штатындағы суицидке көмектесуге тыйым салуды бұзған-бұзбағанын алғаш рет қазылар алқасы шешуі керек, ал штат науқастар өмірін қию арқылы ауырсынуын тоқтатқысы келгенде не істеу керектігін шешу мәселесін шешуді жалғастыруда.", Джек Кеворкян - «Доктор Өлімнің» шын есімі.,0,13, тарту
" Тұтынушылық тауарлар алпауыты Procter and Gamble-ді алайық. 1,8 миллиард долларлық ғылыми-зерттеу және тәжірибелік-конструкторлық жұмыстар бюджетімен де, ол жыл сайын 500 белсенді серіктестікті басқарады, олардың көпшілігі шағын компаниялармен."," Procter and Gamble компаниясы ғылыми-зерттеу және тәжірибелік-конструкторлық жұмыстарға 1,8 миллиард доллар жұмсайды.",0,14, тарту
" Қайтыс болған АҚШ сарбаздары мен олардың заттары Жапонияға эвакуацияланып, содан кейін АҚШ-та жерлеу үшін тоңазытқыш контейнерлерде үйлеріне жеткізілді.",АҚШ әскерилері АҚШ азаматтарын эвакуациялады.,1,15, міндеттеме емес
" Зерттеу көрсеткендей, қызыл шарапта кездесетін зат берілген тышқандар майлы тамақтанғанына қарамастан ұзақ өмір сүрген."," Майлы тамақтанғанына қарамастан, қызыл шараппен қоректенген тышқандар ұзақ өмір сүрді.",1,16, міндеттеме емес
