мәтін, жапсырма
 Келіссөздерден кейін Теннесси штатындағы зейнетақыға қатысты қорқыныштар Тернер Ньюаллдағы жұмысшылардың мүддесін қорғайтын кәсіподақтар дағдарысқа ұшыраған бас фирма Federal Mogul-мен келіссөздерден кейін «көңілі қалғанын» айтады.,2
" Жарыс басталды: Екінші жеке команда адам ғарышқа ұшуының ұшырылу күнін белгіледі (SPACE.com) SPACE.com - ТОРОНТО, Канада -- Жеке қаржыландырылатын суборбитальды ғарышқа ұшу байқауы #36;10 миллион Ansari X сыйлығы үшін бақ сынасатын зымыраншылардың екінші командасы өзінің басқарылатын зымыранының алғашқы ұшырылу күнін ресми түрде жариялады.",3
 Ky. компаниясы пептидтерді зерттеуге грант жеңіп алды (AP) AP - Луисвилл университетінің химия зерттеушісі құрған компания ақуыздардың құрылыс блоктары болып табылатын аминқышқылдарының қысқа тізбектері болып табылатын жақсы пептидтерді өндіру әдісін әзірлеуге грант жеңіп алды.,3
"Болжау бөлімі орман өрттерін болжауға көмектеседі (AP) AP - Майк Фицпатрик түрлі-түсті карталардың, суреттердің және шексіз диаграммалардың бұлыңғырлығымен жұмысын бастаған кезде таң атпай-ақ, ол күннің не әкелетінін біледі. Ол күткен жерлерде найзағай ойнайды. Жел күшейеді, ылғалды жерлер кеуіп, жалын күркірейді.",3
" Калифорния фермаларға байланысты смогты шектеуді мақсат етеді (AP) AP - Оңтүстік Калифорнияның смогпен күрес агенттігі жұма күні ірі қара малдың шығарындыларын бақылауға алып, сүтті сиырдың көңінен ауаның ластануын азайтудың алғашқы ережелерін қабылдады.",3
"Мектептердегі британдық авторлық құқықты насихаттауға қарсы ашық хат Британдық Білім және дағдылар департаменті (DfES) жақында британдық музыканттардың келесі буынын тәрбиелеу ниетімен «Музыкалық манифест» науқанын бастады. Өкінішке орай, олар мұны танымал ету үшін музыка индустриясымен (EMI және әртүрлі әртістермен) бірікті. EMI өз мақсатын жақсы шешкен сияқты, сондықтан біздің мектептердегі балаларға енді музыканы жүктеудің заңсыздығы туралы насихатталатын болады. Мұның надандығы мен батылдығы маған аздап әсер етті, сондықтан мен DfES-ке бұл туралы ашық хат жаздым. Өкінішке орай, бұл педантизм, менің ойымша, үкімет өкілдеріне жазған кезде сіз де солай болуыңыз керек. Бірақ мен сізге бұл пайдалы болады деп үміттенемін және сіздің аймағыңызда дәл осындай жағдай болған жағдайда да осындай нәрсе жасауға шабыттанасыз деп үміттенемін.",3
"Терроризмге қарсы соғыста жеңіліске ұшырау \\«Netsky және Sasser вирустарының авторы деп танылған Свен Яшан сәрсенбі күні Sophos антивирустық компаниясы жариялаған алты айлық вирустық шолу бойынша 2004 жылы вирустық инфекциялардың 70 пайызына жауапты».\\«18 жастағы Яшанды мамыр айында Германияда полиция тұтқындады, олар оның Netsky және Sasser құрттарын бағдарламалағанын мойындағанын айтты, бұл Microsoft сарапшыларының растауынша. (Microsoft антивирустық сыйақы бағдарламасы жасөспірімнің тұтқындалуына әкелді.) Яшан тұтқындалғанға дейінгі бес ай ішінде Netsky-дің кем дегенде 25 нұсқасы және портты сканерлейтін желілік құрт \ Sasser болды».\\«Sophos компаниясының аға технологиялық кеңесшісі Грэм Клули бұл таңқаларлық ...\\ деді.",3
"FOAFKey: FOAF, PGP, кілт тарату және гүлдену сүзгілері \\FOAF/LOAF және гүлдену сүзгілері әлеуметтік желі және ақ тізім тарату үшін көптеген қызықты қасиеттерге ие.\\Менің ойымша, біз бір деңгейге жоғары көтеріліп, қарапайым веб-сенімге негізделген кілт тарату үшін FOAF файлына GPG/OpenPGP кілті\саусақ ізі таратуын қоса аламыз.\\Егер біз FOAF пайдалансақ және жеке бастар үшін PGP кілтінің саусақ іздерін қоссақ ше?\Бұл көп нәрсені білдіруі мүмкін. Сіз тікелей достарыңыздың FOAF\файлына PGP кілтінің саусақ іздерін қосасыз, содан кейін бүкіл ақ тізіміңіздің PGP кілтінің\саусақ іздерінің гүлдену сүзгісін қосасыз (әрине, бастапқы FOAF файлы шифрлануы керек).\\Сіздің ақ тізіміңіз клиентіңіз жаңа жеке бас табылған кезде әлеуметтік желіден толтырылады...\\",3
 Уилтшир полициясы алаяқтық бөлімінің бастығы нысанаға алынғаннан кейін «фишинг» туралы ескертеді.,3
"Карта алаяқтығы бөлімі 36 000 картаны анықтады Ұлыбританияның арнайы карта алаяқтығы бөлімі алғашқы екі жылда 36 000 ұрланған картаны қалпына келтіріп, 171 адамды тұтқындады - және 65 миллион доллар үнемдеуге мүмкіндік берді деп есептейді.",3
" Топ жаңа жоғары жылдамдықты сымсыз форматты ұсынады ЛОС-АНЖЕЛЕС (Reuters) - Texas Instruments Inc., STMicroelectronics және Broadcom Corp. сияқты технологиялық компаниялар тобы бейсенбі күні қазіргі буын жылдамдығынан 10 есе жылдам жаңа сымсыз желі стандартын ұсынатындарын мәлімдеді.",3
 Apple графикалық бағдарламалық жасақтама мен бейне жинағын шығарды ЛОС-АНЖЕЛЕС (Reuters) - Apple Computer Inc. сейсенбі күні пайдаланушыларға нақты уақыттағы қозғалыс графикасын жасауға мүмкіндік беретін жаңа бағдарламаны шығара бастады және өзінің жетекші Final Cut Pro бағдарламалық жасақтамасы бар жеңілдікпен бейнені өңдеу бағдарламалық жасақтамасы жинағын таныстырды.,3
АМСТЕРДАМ (Reuters) - Нидерландылық музыкалық бөлшек сауда желісі Free Record Shop сейсенбі күні Еуропадағы сандық ән қызметтері үшін соңғы күрес алаңында жаңа жүктеу қызметін іске қосу арқылы Apple Computer Inc. компаниясын басып озды.,3
 Австралияда құмырсқалардың үлкен колониясы пайда болды. Австралияның Мельбурн қаласында табылған 100 шақырымдық алып құмырсқалар колониясы жергілікті жәндіктер түрлеріне қауіп төндіруі мүмкін.,3
" Дельфин топтарын біріктіретін социалиттер. Ғалымдардың айтуынша, дельфин топтары немесе «капсулалар» олардың құлауына жол бермеу үшін социалиттермен байланысады.",3
 Жасөспірім Т. рекстің құбыжық өскіні Тираннозавр жасөспірім кезіндегі үлкен өсудің арқасында үлкен мөлшерге жетті.,3
 Ғалымдар Ганимед планетасында кесек тәрізді ішкі реактивті қозғалтқыш зертханасы бар екенін анықтады -- Ғалымдар Юпитердің ең үлкен серігі Ганимедтің мұзды бетінің астынан біркелкі емес кесектерді тапты. Бұл біркелкі емес массалар Ганимедтің мұзды қабығымен миллиардтаған жылдар бойы қолдау тапқан тау жыныстары болуы мүмкін...,3
Марс роверлері Mars Express арқылы суреттерді таратады Еуропалық ғарыш агенттігі -- ESA Mars Express планетааралық желілік демонстрациялар жиынтығының бөлігі ретінде NASA-ның Марс роверлерінің бірінен суреттерді алғаш рет таратты. Демонстрациялар болашақ Марс миссияларына бірлескен планетааралық желілік мүмкіндіктерді пайдалануға жол ашады...,3
" Өмір бесігін тербету Тіршілік қашан басталды? Бір дәлелді белгі Батыс Австралиядағы қазба қалдықтарынан алынған, дегенмен бұл қабатты шөгінділердің биологиялық немесе химиялық екендігі қызу пікірталас тудырды. Оксфорд зерттеушісі Никола Маклафлин даулы мәселелердің кейбірін сипаттайды.",3
" Сақтау орны мен серверлер HP компаниясының табысы туралы жаңалықтарды жоққа шығарды. Акцияға шаққандағы табыс өткен жылмен салыстырғанда өсті, бірақ компания аналитиктердің күткенінен әлдеқайда төмен.",3
 IBM компаниясы одан да көп жаңа жұмысшыларды жалдайды Жыл соңына дейін есептеу алыбы 1991 жылдан бергі ең үлкен қызметкерлер санын жасауды жоспарлап отыр.,3
Sun's Looking Glass 3D көрінісін ұсынады. Әзірлеушілер әлі жасалып жатқан жаңа операциялық жүйенің «скинінің» ерте кодын алады.,3
 IBM чиптері бір күні өздерін қалпына келтіруі мүмкін Жаңа технология ақауларды анықтауға және жөндеуге көмектесетін электрлік сақтандырғыштарды қолданады.,3
