"мәтін","жапсырма"
"Британдық Колумбия «А» ойыны қажет деп күтеді. Оларға енді еске салудың қажеті жоқ сияқты. Олар салдарын білмейтін сияқты емес. Бостон колледжінде 1-А дивизионындағы команданың 1-А дивизионындағы қарсыласына қарсы кез келген күні не болуы мүмкін екендігінің айқын мысалдары ретінде Ратгерс пен Миссисипи штатын және белгілі бір дәрежеде Питтсбургті келтіруге болады.","1"
"Ресейлік шенеунік ЮКОС-қа кепілдік берді Қаржы министрі FT-ге салық қарызын өтеу үшін активтерді сату нарыққа бағытталған болатынын айтты. МӘСКЕУ (Рейтер) - Ресейдің қаржы министрі Алексей Кудрин активтерді сату проблемалы салық қарыздарын өтеу үшін болады деп уәде берді","2"
"Король теннисі жанкүйерлерді баурап алды Spike TV бейне ойындарын марапаттау шоуы танымал жұлдыздар мен топтарды тартады, бірақ жанкүйерлерге дауыс береді.","3"
" 1 желтоқсанда бақылауға алынатын акциялар НЬЮ-ЙОРК (Reuters) - Сәрсенбіде бақылауға алынатын АҚШ акциялары: IBM CORP. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=IBM.N target=/stocks/quickinfo/fullquote""&gt;IBM.N&lt;/A&gt;: Компьютер өндірушісі ақпараттық технологиялар компаниясы екі даниялық қызмет көрсетушіні сатып алған екі еуропалық компаниямен 1 миллиард доллардан астам жаңа келісімшарттарға қол қойғанын мәлімдеді.","2"
"Әйелдер және IT болашағы &lt;strong&gt;Сұхбат&lt;/strong&gt; Профессор Венди Холл &lt;em&gt;Қағидалармен&lt;/em&gt; әңгімелеседі.","3"
" AL қорытындысы: Red Sox Devil Rays командасын жеңіп, плей-оффқа жолдама алды НЬЮ-ЙОРК (Reuters) - Мэнни Рамирес лигадағы көшбасшы 43-ші хоум-ранын соқты, ал Джонни Дэймон үш ұпайлық соққы жасады, Бостон Ред Сокс дүйсенбі күні Санкт-Петербургте Tampa Bay Devil Rays командасын 7-3 есебімен жеңіп, плей-оффқа жолдама алды.","1"
"Ирландиялықтардың назары Клементске ауып тұр; Нотр-Дам Биллске қызығушылық танытып отыр &lt;b&gt;...&lt;/b&gt; Буффало Биллс шабуыл үйлестірушісі Том Клементс Нотр-Дам бас бапкерлік бос орнына үміткерлердің қысқа тізімінде пайда болды.","1"
"Бүгін кешке өтетін Буш пен Керри арасындағы пікірталасты қамтамасыз етуге көмектесетін ынтымақтастық жиынтығы АҚШ құпия қызметі және Миссури штатындағы полиция мен төтенше жағдайларды басқару қызметкерлерінің тобы бүгін кешке өтетін президенттік пікірталас кезінде қауіпсіздік туралы ақпарат алмасу үшін алғаш рет Microsoft негізіндегі арнайы жасалған ынтымақтастық порталын пайдаланады.","3"
" Ғарышкерлер ғарыш станциясына келді Ресейлік ғарыш кемесі Халықаралық ғарыш станциясына үш ғарышкерді жеткізіп, ұшырылымды кейінге қалдырған түйісу жүйесіндегі мәселелерді шешті.","3"
"Қысым нүктелері АФИНЫ -- Пол Хамм кеше кешке турниктің астында күтіп тұрғанда, діріл шамамен 10 минутқа созылды. «Уау,» деді Хамм егіз інісі Морганға. «Мен мұндайды бұрын-соңды көрген емеспін.»","1"
"Kodak және IBM сандық камера сенсорларын (AP) жасайды AP - Eastman Kodak Co. және International Business Machines Corp. бейсенбі күні сандық фотоаппараттар мен камералы телефондарға арналған кескін сенсорларын әзірлеу және жасау туралы келісімге келгендерін мәлімдеді.","3"
