id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
2117,elementary_mathematics,Математика,В 4 унциях данного вида мороженого содержится 230 калорий. Сколько калорий в 6 унциях данного мороженого?,232,236,345,460,C,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,В 4 унциях данного вида мороженого содержится 230 калорий. Сколько калорий в 6 унциях данного мороженого?,"A)
В 4 унциях этого сорта десерта присутствует 230 калорий. Какое количество калорий в 6 унциях этого десерта?

B)
В 4 унциях указанного типа лакомства находится 230 калорий. Какое число калорий в 6 унциях указанного лакомства?

C)
В 4 унциях этой разновидности продукта имеется 230 калорий. Как много калорий в 6 унциях этой разновидности продукта?

D)
В 4 унциях конкретной марки мороженого заключено 230 калорий. Сколько именно калорий в 6 унциях конкретной марки мороженого?",В 4 унциях этого сорта десерта присутствует 230 калорий. Какое количество калорий в 6 унциях этого десерта?,В 4 унциях указанного типа лакомства находится 230 калорий. Какое число калорий в 6 унциях указанного лакомства?,В 4 унциях этой разновидности продукта имеется 230 калорий. Как много калорий в 6 унциях этой разновидности продукта?,В 4 унциях конкретной марки мороженого заключено 230 калорий. Сколько именно калорий в 6 унциях конкретной марки мороженого?,A,A,C,D
6562,jurisprudence,Право,Какое из приведенных ниже предложений можно назвать наиболее сильным опровержением Хартом аргументов лорда Девлина?,Общество не имеет права сохранять свою моральную и социальную сплоченность с помощью уголовного права.,Гомосексуальные акты вызывают общественное возмущение.,"Суды - лучшее место для решения моральных вопросов, таких как гомосексуальность и проституция.",Закон является анахронизмом.,A,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Какое из приведенных ниже предложений можно назвать наиболее сильным опровержением Хартом аргументов лорда Девлина?,"A)
Какое из указанных ниже утверждений допустимо считать самым мощным возражением Харта доводам лорда Девлина?

B)
Какую из представленных далее фраз следует именовать максимально веским оспариванием Хартом позиций лорда Девлина?

C)
Какое из перечисленных ниже высказываний удастся обозначить наиболее значимым опровержением Хартом тезисов лорда Девлина?

D)
Какую из данных ниже формулировок можно квалифицировать как наиболее действенное непринятие Хартом взглядов лорда Девлина?",Какое из указанных ниже утверждений допустимо считать самым мощным возражением Харта доводам лорда Девлина?,Какую из представленных далее фраз следует именовать максимально веским оспариванием Хартом позиций лорда Девлина?,Какое из перечисленных ниже высказываний удастся обозначить наиболее значимым опровержением Хартом тезисов лорда Девлина?,Какую из данных ниже формулировок можно квалифицировать как наиболее действенное непринятие Хартом взглядов лорда Девлина?,A,A,C,D
1998,electrical_engineering,Информационные технологии,Преимущества более высокого напряжения электропередач заключаются в,Повышении пропускной способности линии электропередачи,Снижении потерь в линии электропередачи,Уменьшении площади поперечного сечения и объема проводника,Всем вышеперечисленном,D,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,Преимущества более высокого напряжения электропередач заключаются в,"A)
Достоинства более значительного вольтажа энергопередач состоят в

B)
Плюсы более крупного потенциала электролиний выражаются в

C)
Выгоды более существенного вольтажа силовых линий кроются в

D)
Приоритеты более мощного напряжения электромагистралей заключаются в",Достоинства более значительного вольтажа энергопередач состоят в,Плюсы более крупного потенциала электролиний выражаются в,Выгоды более существенного вольтажа силовых линий кроются в,Приоритеты более мощного напряжения электромагистралей заключаются в,A,B,C,D
5737,high_school_us_history,История,"Этот вопрос относится к следующей информации.
""Нет ли опасности для нашей свободы и независимости в банке, который по своей природе так мало привязан к нашей стране? Президент банка сказал нам, что большинство государственных банков существуют благодаря его терпению. Если его влияние сконцентрируется, как это может произойти в результате такого акта, как этот, в руках самоизбранной директории, интересы которой отождествляются с интересами иностранных акционеров, не будет ли причин переживать за чистоту наших выборов в мирное время и за независимость нашей страны в состоянии войны? Их власть будет велика, когда они решат ее использовать; но если эта монополия будет регулярно продлеваться каждые пятнадцать или двадцать лет на условиях, предложенных ими самими, они редко смогут в мирное время использовать свою силу для влияния на выборы или контроля над делами нации. Но если какое-нибудь частное лицо или государственный чиновник вмешается, чтобы ограничить ее полномочия или предотвратить возобновление ее привилегий, можно не сомневаться, что он будет вынужден ощутить ее влияние""."".
Президент Эндрю Джексон, вето Банка Соединенных Штатов, 1832
Выборы 1824 года ознаменовали поворотный момент в президентской политике, поскольку впервые,","президентские выборы выиграл тот, кто не был членом Федералистской партии",кандидат в президенты и вице-президент баллотировались вместе по одному билету,все кандидаты широко проводили предвыборную кампанию по всем штатам,система отбора кандидатов собранием Конгресса потерпела неудачу,D,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,"Этот вопрос относится к следующей информации.
""Нет ли опасности для нашей свободы и независимости в банке, который по своей природе так мало привязан к нашей стране? Президент банка сказал нам, что большинство государственных банков существуют благодаря его терпению. Если его влияние сконцентрируется, как это может произойти в результате такого акта, как этот, в руках самоизбранной директории, интересы которой отождествляются с интересами иностранных акционеров, не будет ли причин переживать за чистоту наших выборов в мирное время и за независимость нашей страны в состоянии войны? Их власть будет велика, когда они решат ее использовать; но если эта монополия будет регулярно продлеваться каждые пятнадцать или двадцать лет на условиях, предложенных ими самими, они редко смогут в мирное время использовать свою силу для влияния на выборы или контроля над делами нации. Но если какое-нибудь частное лицо или государственный чиновник вмешается, чтобы ограничить ее полномочия или предотвратить возобновление ее привилегий, можно не сомневаться, что он будет вынужден ощутить ее влияние""."".
Президент Эндрю Джексон, вето Банка Соединенных Штатов, 1832
Выборы 1824 года ознаменовали поворотный момент в президентской политике, поскольку впервые,","A)
Данный пункт касается нижеследующих сведений.
""Существует ли угроза для нашей вольности и суверенитета в финансовом учреждении, которое по своему характеру столь слабо связано с нашей державой? Глава учреждения сообщил нам, что основная часть региональных банков функционирует благодаря его снисходительности. Если его авторитет сосредоточится, как это способно случиться вследствие подобного закона, как данный, в распоряжении самопровозглашенного правления, выгоды которого сливаются с выгодами зарубежных инвесторов, не возникнет ли поводов беспокоиться за честность наших голосований в спокойный период и за автономию нашего государства в условиях конфликта? Их мощь окажется огромной, когда они пожелают её применить; но если эта исключительная прерогатива станет систематически пролонгироваться каждые полтора или два десятилетия на требованиях, выдвинутых ими самими, они нечасто сумеют в мирные годы задействовать свой потенциал для воздействия на голосования или управления процессами страны. Но если какой-либо частный субъект или правительственный служащий попытается купировать её функции или не допустить продления её льгот, можно быть уверенным, что он окажется принужден почувствовать её давление""."".
Лидер Эндрю Джексон, отказ Банку США, 1832
Голосование 1824 года обозначило решающий этап в исполнительной власти, так как изначально,

B)
Этот запрос касается грядущих данных.
""Нет ли риска для нашего самоопределения и суверенности в кредитной организации, которая по своей сути столь незначительно привязана к нашему отечеству? Руководитель организации известил нас, что большинство местных банков сохраняются благодаря его милости. Если его вес консолидируется, как это может произойти по причине такого постановления, как это, в ведении закрытой группы лиц, цели которой совпадают с целями иноземных вкладчиков, не появится ли оснований опасаться за прозрачность наших плебисцитов в бесконфликтное время и за обособленность нашей нации в фазе сражений? Их господство будет значительным, когда они заходят его проявить; но если данная привилегия будет постоянно возобновляться каждые пятнадцать или двадцать лет на положениях, заявленных ими лично, они редко смогут в гражданское время применять свой ресурс для корректировки плебисцитов или надзора за событиями общества. Но если некий частный человек или казенный работник вмешается, дабы урезать её компетенции или воспрепятствовать реновации её прав, нет сомнений, что он будет вынужден испытать её воздействие""."".
Глава Эндрю Джексон, блокировка Банка Штатов, 1832
Кампания 1824 года зафиксировала переломную веху в верховной политике, поскольку впервые,

C)
Указанная тема отсылает к приведенному материалу.
""Не кроется ли беда для нашей свободы и автономности в банковской структуре, которая по своему типу так скудно сопряжена с нашей родиной? Председатель структуры доложил нам, что масса провинциальных банков выживают благодаря его долготерпению. Если его могущество сузится, как это может случиться в итоге такого указа, как этот, в руках назначенной ими самими верхушки, нужды которой приравниваются к нуждам заграничных держателей акций, не будет ли стимулов переживать за корректность наших выборов в ненапряженное время и за самобытность нашей территории в период войны? Их влияние окажется масштабным, когда они соберутся его использовать; но если эта монополия будет планомерно растягиваться каждые три-четыре пятилетки на критериях, озвученных ими самими, они нечасто смогут в спокойные годы употреблять свою энергию для давления на выборы или мониторинга дел социума. Но если некое гражданское лицо или официальный представитель вклинится, чтобы сузить её полномочия или помешать регенерации её преимуществ, можно не сомневаться, что он будет вынужден осознать её силу""."".
Президент Эндрю Джексон, вето Кредитного института Соединенных Штатов, 1832
Предвыборная гонка 1824 года ознаменовала трансформационный момент в государственной системе, поскольку в первый раз,

D)
Этот вопрос апеллирует к изложенным фактам.
""Не имеется ли опасности для нашей независимости и воли в банке, который по своим свойствам так несильно привязан к нашему краю? Начальник банка поведал нам, что львиная доля штатных банков существуют за счет его выдержки. Если его значимость аккумулируется, как это может статься вследствие такого документа, как этот, в распоряжении избранного ими круга, стремления которого неразрывны со стремлениями зарубежных акционеров, не будет ли резонов волноваться за чистоту наших электоральных процессов в мирную эпоху и за целостность нашей земли в военном состоянии? Их сила станет великой, когда они надумают её внедрить; но если эта исключительность будет стабильно продлеваться каждые полтора или два десятка лет на пунктах, поданных ими самими, они изредка смогут в невоенное время использовать свои возможности для влияния на электорат или контроля над повесткой нации. Но если некий частник или бюрократ воспрепятствует, чтобы ограничить её права или пресечь выдачу её преференций, можно не сомневаться, что он будет обязан прочувствовать её мощь""."".
Президент Эндрю Джексон, запрет Банка Соединенных Штатов Америки, 1832
Избрание 1824 года отметило критическую точку в президентском курсе, потому что впервые,","Данный пункт касается нижеследующих сведений.
""Существует ли угроза для нашей вольности и суверенитета в финансовом учреждении, которое по своему характеру столь слабо связано с нашей державой? Глава учреждения сообщил нам, что основная часть региональных банков функционирует благодаря его снисходительности. Если его авторитет сосредоточится, как это способно случиться вследствие подобного закона, как данный, в распоряжении самопровозглашенного правления, выгоды которого сливаются с выгодами зарубежных инвесторов, не возникнет ли поводов беспокоиться за честность наших голосований в спокойный период и за автономию нашего государства в условиях конфликта? Их мощь окажется огромной, когда они пожелают её применить; но если эта исключительная прерогатива станет систематически пролонгироваться каждые полтора или два десятилетия на требованиях, выдвинутых ими самими, они нечасто сумеют в мирные годы задействовать свой потенциал для воздействия на голосования или управления процессами страны. Но если какой-либо частный субъект или правительственный служащий попытается купировать её функции или не допустить продления её льгот, можно быть уверенным, что он окажется принужден почувствовать её давление""."".
Лидер Эндрю Джексон, отказ Банку США, 1832
Голосование 1824 года обозначило решающий этап в исполнительной власти, так как изначально,","Этот запрос касается грядущих данных.
""Нет ли риска для нашего самоопределения и суверенности в кредитной организации, которая по своей сути столь незначительно привязана к нашему отечеству? Руководитель организации известил нас, что большинство местных банков сохраняются благодаря его милости. Если его вес консолидируется, как это может произойти по причине такого постановления, как это, в ведении закрытой группы лиц, цели которой совпадают с целями иноземных вкладчиков, не появится ли оснований опасаться за прозрачность наших плебисцитов в бесконфликтное время и за обособленность нашей нации в фазе сражений? Их господство будет значительным, когда они заходят его проявить; но если данная привилегия будет постоянно возобновляться каждые пятнадцать или двадцать лет на положениях, заявленных ими лично, они редко смогут в гражданское время применять свой ресурс для корректировки плебисцитов или надзора за событиями общества. Но если некий частный человек или казенный работник вмешается, дабы урезать её компетенции или воспрепятствовать реновации её прав, нет сомнений, что он будет вынужден испытать её воздействие""."".
Глава Эндрю Джексон, блокировка Банка Штатов, 1832
Кампания 1824 года зафиксировала переломную веху в верховной политике, поскольку впервые,","Указанная тема отсылает к приведенному материалу.
""Не кроется ли беда для нашей свободы и автономности в банковской структуре, которая по своему типу так скудно сопряжена с нашей родиной? Председатель структуры доложил нам, что масса провинциальных банков выживают благодаря его долготерпению. Если его могущество сузится, как это может случиться в итоге такого указа, как этот, в руках назначенной ими самими верхушки, нужды которой приравниваются к нуждам заграничных держателей акций, не будет ли стимулов переживать за корректность наших выборов в ненапряженное время и за самобытность нашей территории в период войны? Их влияние окажется масштабным, когда они соберутся его использовать; но если эта монополия будет планомерно растягиваться каждые три-четыре пятилетки на критериях, озвученных ими самими, они нечасто смогут в спокойные годы употреблять свою энергию для давления на выборы или мониторинга дел социума. Но если некое гражданское лицо или официальный представитель вклинится, чтобы сузить её полномочия или помешать регенерации её преимуществ, можно не сомневаться, что он будет вынужден осознать её силу""."".
Президент Эндрю Джексон, вето Кредитного института Соединенных Штатов, 1832
Предвыборная гонка 1824 года ознаменовала трансформационный момент в государственной системе, поскольку в первый раз,","Этот вопрос апеллирует к изложенным фактам.
""Не имеется ли опасности для нашей независимости и воли в банке, который по своим свойствам так несильно привязан к нашему краю? Начальник банка поведал нам, что львиная доля штатных банков существуют за счет его выдержки. Если его значимость аккумулируется, как это может статься вследствие такого документа, как этот, в распоряжении избранного ими круга, стремления которого неразрывны со стремлениями зарубежных акционеров, не будет ли резонов волноваться за чистоту наших электоральных процессов в мирную эпоху и за целостность нашей земли в военном состоянии? Их сила станет великой, когда они надумают её внедрить; но если эта исключительность будет стабильно продлеваться каждые полтора или два десятка лет на пунктах, поданных ими самими, они изредка смогут в невоенное время использовать свои возможности для влияния на электорат или контроля над повесткой нации. Но если некий частник или бюрократ воспрепятствует, чтобы ограничить её права или пресечь выдачу её преференций, можно не сомневаться, что он будет обязан прочувствовать её мощь""."".
Президент Эндрю Джексон, запрет Банка Соединенных Штатов Америки, 1832
Избрание 1824 года отметило критическую точку в президентском курсе, потому что впервые,",D,B,C,D
6500,international_law,Право,"Что такое ""справедливый результат"" в законодательстве и практике делимитации морских границ?","Это единственный метод разграничения, которому следуют международные суды и трибуналы","Справедливый результат - это то, что судья или арбитр принял бы ex equo et bono, т.е. по своему усмотрению и в свете того, что они считают справедливым в деле о разграничении","Это конечный результат, которого должны достичь все делимитации районов континентального шельфа и ИЭЗ, однако после проведения предварительной ""равноудаленной линии"" и корректировки зоны в свете соответствующих обстоятельств и теста на соразмерность.","Достижение справедливого результата - это старый метод разграничения, который в настоящее время неприменим",C,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test,"Что такое ""справедливый результат"" в законодательстве и практике делимитации морских границ?","A)
Что представляет собой ""беспристрастный итог"" в нормах и опыте разграничения морских рубежей?

B)
Что подразумевает ""правомерный исход"" в праве и деятельности определения морских пределов?

C)
Что означает ""корректный финал"" в юриспруденции и осуществлении демаркации морских линий?

D)
Что есть ""обоснованный показатель"" в актах и реализации установления морских контуров?","Что представляет собой ""беспристрастный итог"" в нормах и опыте разграничения морских рубежей?","Что подразумевает ""правомерный исход"" в праве и деятельности определения морских пределов?","Что означает ""корректный финал"" в юриспруденции и осуществлении демаркации морских линий?","Что есть ""обоснованный показатель"" в актах и реализации установления морских контуров?",A,E,E,A
8687,moral_scenarios,Философия,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Я устроил танцы на похоронной службе. Сценарий 2 | Я призвал учеников разрисовать школу.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",B,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Я устроил танцы на похоронной службе. Сценарий 2 | Я призвал учеников разрисовать школу.","A)
Для какого из этих двух сюжетов центральный персонаж (использующий ""я/мне/мой"") совершает что-то очевидно этически неверное, согласно общепринятым моральным нормам в США на момент 2020 года? Сценарий 1 | Я организовал танцы на погребальной церемонии. Сценарий 2 | Я побудил воспитанников разрисовать школу.

B)
Для какого из данных двух набросков протагонист (использующий ""я/мне/мой"") совершает нечто несомненно нравственно предосудительное, согласно типичным моральным критериям в США по состоянию на 2020 год? Сценарий 1 | Я устроил пляски на похоронном обряде. Сценарий 2 | Я призвал школьников раскрасить здание.

C)
Для которого из этих двух описаний ведущее лицо (использующее ""я/мне/мой"") делает что-то бесспорно морально некорректное, согласно традиционным этическим правилам в США к 2020 году? Сценарий 1 | Я провел танцы на траурном мероприятии. Сценарий 2 | Я подбил учащихся изрисовать школу.

D)
Для какого из этих двух примеров ключевой герой (использующий ""я/мне/мой"") совершает нечто явно морально недопустимое, согласно обыденным этическим принципам в США в 2020 году? Сценарий 1 | Я затеял танцы на похоронном ритуале. Сценарий 2 | Я внушил детям разрисовать школу.","Для какого из этих двух сюжетов центральный персонаж (использующий ""я/мне/мой"") совершает что-то очевидно этически неверное, согласно общепринятым моральным нормам в США на момент 2020 года? Сценарий 1 | Я организовал танцы на погребальной церемонии. Сценарий 2 | Я побудил воспитанников разрисовать школу.","Для какого из данных двух набросков протагонист (использующий ""я/мне/мой"") совершает нечто несомненно нравственно предосудительное, согласно типичным моральным критериям в США по состоянию на 2020 год? Сценарий 1 | Я устроил пляски на похоронном обряде. Сценарий 2 | Я призвал школьников раскрасить здание.","Для которого из этих двух описаний ведущее лицо (использующее ""я/мне/мой"") делает что-то бесспорно морально некорректное, согласно традиционным этическим правилам в США к 2020 году? Сценарий 1 | Я провел танцы на траурном мероприятии. Сценарий 2 | Я подбил учащихся изрисовать школу.","Для какого из этих двух примеров ключевой герой (использующий ""я/мне/мой"") совершает нечто явно морально недопустимое, согласно обыденным этическим принципам в США в 2020 году? Сценарий 1 | Я затеял танцы на похоронном ритуале. Сценарий 2 | Я внушил детям разрисовать школу.",A,A,C,D
3458,high_school_geography,География,Какая главная религия практикуется в Европе?,Христианство,Ислам,Индуизм,Анимизм,A,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,Какая главная религия практикуется в Европе?,"A)
Какое основное вероисповедание соблюдается в Европе?

B)
Какая ведущая конфессия исповедуется в Европе?

C)
Какое ключевое верование распространено в Европе?

D)
Какая преобладающая деноминация отправляется в Европе?",Какое основное вероисповедание соблюдается в Европе?,Какая ведущая конфессия исповедуется в Европе?,Какое ключевое верование распространено в Европе?,Какая преобладающая деноминация отправляется в Европе?,A,A,A,A
9621,nutrition,Медицина,"Какие из следующих правил, касающихся взаимопревращения видов топлива, являются центральными для интеграции метаболических путей?",Жирные кислоты могут быть получены из углеводов и аминокислот и преобразованы в них,Углеводы могут быть получены из аминокислот и жирных кислот и преобразованы в них,"Жирные кислоты могут быть получены из углеводов и аминокислот, но не преобразованы в них",Аминокислоты могут быть получены из жирных кислот и преобразованы в них,C,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Какие из следующих правил, касающихся взаимопревращения видов топлива, являются центральными для интеграции метаболических путей?","A)
Какое из указанных положений, затрагивающих взаимозамещение типов горючего, считается основополагающим для объединения обменных циклов?

B)
Какие из данных принципов, относящихся к взаимоконверсии форм энергии, выступают ключевыми для слияния биохимических маршрутов?

C)
Какое из приведенных предписаний, касающихся взаимоперехода разновидностей нутриентов, является определяющим для координации метаболических цепочек?

D)
Какие из нижеперечисленных норм, описывающих взаимопревращение источников питания, признаются главными для интеграции трофических систем?","Какое из указанных положений, затрагивающих взаимозамещение типов горючего, считается основополагающим для объединения обменных циклов?","Какие из данных принципов, относящихся к взаимоконверсии форм энергии, выступают ключевыми для слияния биохимических маршрутов?","Какое из приведенных предписаний, касающихся взаимоперехода разновидностей нутриентов, является определяющим для координации метаболических цепочек?","Какие из нижеперечисленных норм, описывающих взаимопревращение источников питания, признаются главными для интеграции трофических систем?",E,A,E,E
