question,choice_A,choice_B,choice_C,choice_D,answer,category,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_a,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
"What did Madam Bhikaji Cama, M. Barkatullah, V.V.S. Iyer, and M.N. Roy have in common?", All of them were among the prominent revolutionaries outside India operating in different countries during the freedom movement, M. Barkatullah was the Prime Minister and the rest were ministers in the Provisional Government of free India established by a group of revolutionaries at Kabul, All of them were leading members of the International Communist Movement, All of them were accused in the case relating to the throwing of a bomb on Lord Hardinge,A,,val,"question: What did Madam Bhikaji Cama, M. Barkatullah, V.V.S. Iyer, and M.N. Roy have in common?","A)
question: What did Madam Bhikaji Cama, M. Barkatullah, V.V.S. Iyer, and M.N. Roy share in common?

B)
question: What did Madam Bhikaji Cama, M. Barkatullah, V.V.S. Iyer, and M.N. Roy possess in common?

C)
question: What did Madam Bhikaji Cama, M. Barkatullah, V.V.S. Iyer, and M.N. Roy hold in common?

D)
question: What did Madam Bhikaji Cama, M. Barkatullah, V.V.S. Iyer, and M.N. Roy enjoy in common?","question: What did Madam Bhikaji Cama, M. Barkatullah, V.V.S. Iyer, and M.N. Roy share in common?","question: What did Madam Bhikaji Cama, M. Barkatullah, V.V.S. Iyer, and M.N. Roy possess in common?","question: What did Madam Bhikaji Cama, M. Barkatullah, V.V.S. Iyer, and M.N. Roy hold in common?","question: What did Madam Bhikaji Cama, M. Barkatullah, V.V.S. Iyer, and M.N. Roy enjoy in common?",B,E,E,E,B
The Hill-Climbing approach encounters difficulties for the following reasons., Plateaux, Ridges, Local maxima, All of above,C,,val,question: The Hill-Climbing approach encounters difficulties for the following reasons.,"A)
question: The Hill-Climbing method faces challenges for the following reasons.

B)
question: The Hill-Climbing technique runs into problems for the following reasons.

C)
question: The Hill-Climbing strategy meets obstacles for the following reasons.

D)
question: The Hill-Climbing approach faces difficulties for the following reasons.",question: The Hill-Climbing method faces challenges for the following reasons.,question: The Hill-Climbing technique runs into problems for the following reasons.,question: The Hill-Climbing strategy meets obstacles for the following reasons.,question: The Hill-Climbing approach faces difficulties for the following reasons.,E,E,E,E,E
What is the typical particle size of cement?, 100 microns, 45 microns, None of the other choices, 75 microns,C,,val,question: What is the typical particle size of cement?,"A)
question: What is the average particle diameter of cement?

B)
question: What is the common particle dimension of cement?

C)
question: What is the usual grain size of cement?

D)
question: What is the standard particulate size of cement?",question: What is the average particle diameter of cement?,question: What is the common particle dimension of cement?,question: What is the usual grain size of cement?,question: What is the standard particulate size of cement?,E,E,E,E,E
Which of the following options is incorrect?, Tape format D7 is the SMPTE ratified standard for Panasonics DVCPRO., Tape format D10 is the SMPTE ratified standard for Sony IMX., Tape format D8 is the SMPTE ratified standard for Sony Digital-8., Tape format D11 is the SMPTE ratified standard for Sony HDCAM.,C,,val,question: Which of the following options is incorrect?,"A)
question: Which of the following options is erroneous?

B)
question: Which of the subsequent options is incorrect?

C)
question: Which of the following choices is wrong?

D)
question: Which of the subsequent alternatives is inaccurate?",question: Which of the following options is erroneous?,question: Which of the subsequent options is incorrect?,question: Which of the following choices is wrong?,question: Which of the subsequent alternatives is inaccurate?,E,E,E,E,E
A Horn clause is a clause that contains _______ positive literal., None, At least one, All, At most one,B,,val,question: A Horn clause is a clause that contains _______ positive literal.,"A)
question: A Horn clause is a clause that includes _______ positive literal.

B)
question: A Horn clause is a clause that comprises _______ positive literal.

C)
question: A Horn clause is a clause that holds _______ positive literal.

D)
question: A Horn clause is a clause that contains _______ affirmative literal.",question: A Horn clause is a clause that includes _______ positive literal.,question: A Horn clause is a clause that comprises _______ positive literal.,question: A Horn clause is a clause that holds _______ positive literal.,question: A Horn clause is a clause that contains _______ affirmative literal.,E,E,E,E,E
A primary focus on reminder advertising and sales promotion is emphasized during ___________., existing non-durable brand., None of the other choices, the products which is in saturation stage of its life cycle., existing durable brand.,A,,val,question: A primary focus on reminder advertising and sales promotion is emphasized during ___________.,"A)
question: A main emphasis on reminder advertising and sales promotion is stressed during ___________.

B)
question: A primary emphasis on reminder advertising and sales promotion is highlighted during ___________.

C)
question: A central focus on reminder advertising and sales promotion is emphasized during ___________.

D)
question: A primary focus on reminder ads and sales promotion is emphasized during ___________.",question: A main emphasis on reminder advertising and sales promotion is stressed during ___________.,question: A primary emphasis on reminder advertising and sales promotion is highlighted during ___________.,question: A central focus on reminder advertising and sales promotion is emphasized during ___________.,question: A primary focus on reminder ads and sales promotion is emphasized during ___________.,E,E,E,E,E
"The three themes in the study of delinquency are delinquency prevention, delinquency across the life course, and delinquency and ________.", historical policy, economic policy, social policy, legal policy,C,,val,"question: The three themes in the study of delinquency are delinquency prevention, delinquency across the life course, and delinquency and ________.","A)
The three themes in the examination of delinquency are delinquency prevention, delinquency across the life course, and delinquency and ________.

B)
The three topics in the study of delinquency are delinquency prevention, delinquency across the life course, and delinquency and ________.

C)
The three themes in the study of delinquency are prevention of delinquency, delinquency across the life course, and delinquency and ________.

D)
The three themes in the study of delinquency are delinquency prevention, delinquency throughout the life course, and delinquency and ________.","The three themes in the examination of delinquency are delinquency prevention, delinquency across the life course, and delinquency and ________.","The three topics in the study of delinquency are delinquency prevention, delinquency across the life course, and delinquency and ________.","The three themes in the study of delinquency are prevention of delinquency, delinquency across the life course, and delinquency and ________.","The three themes in the study of delinquency are delinquency prevention, delinquency throughout the life course, and delinquency and ________.",E,E,E,E,A
"When deficiency symptoms of an element appear first in young leaves, it indicates that the element is relatively immobile. Which of the following elemental deficiencies would exhibit these symptoms?", nitrogen, potassium, sulphur, magnesium,C,,val,"question: When deficiency symptoms of an element appear first in young leaves, it indicates that the element is relatively immobile. Which of the following elemental deficiencies would exhibit these symptoms?","A)
question: When deficiency symptoms of a nutrient appear first in young leaves, it indicates that the nutrient is comparatively immobile. Which of the following nutrient deficiencies would exhibit these symptoms?

B)
question: When deficiency symptoms of an element manifest first in new leaves, it indicates that the element is relatively immobile. Which of the following elemental deficiencies would display these symptoms?

C)
question: When deficiency symptoms of a mineral appear first in juvenile leaves, it indicates that the mineral is relatively immobile. Which of the following mineral deficiencies would show these symptoms?

D)
question: When deficiency symptoms of an element appear first in immature leaves, it indicates that the element is comparatively immobile. Which of the following elemental shortages would exhibit these symptoms?","question: When deficiency symptoms of a nutrient appear first in young leaves, it indicates that the nutrient is comparatively immobile. Which of the following nutrient deficiencies would exhibit these symptoms?","question: When deficiency symptoms of an element manifest first in new leaves, it indicates that the element is relatively immobile. Which of the following elemental deficiencies would display these symptoms?","question: When deficiency symptoms of a mineral appear first in juvenile leaves, it indicates that the mineral is relatively immobile. Which of the following mineral deficiencies would show these symptoms?","question: When deficiency symptoms of an element appear first in immature leaves, it indicates that the element is comparatively immobile. Which of the following elemental shortages would exhibit these symptoms?",E,E,E,E,E
Which cognitive changes during adolescence contribute to enhanced critical thinking?, Improvement in concrete thinking., Engaging in imaginary audience and personal story processes., None of the other choices, Increased breadth of content knowledge in a variety of domains.,D,,val,question: Which cognitive changes during adolescence contribute to enhanced critical thinking?,"A)
question: Which cognitive developments during adolescence contribute to improved critical thinking?

B)
question: Which mental changes during adolescence contribute to heightened critical thinking?

C)
question: Which cognitive shifts during adolescence contribute to better critical thinking?

D)
question: Which cognitive changes across adolescence contribute to advanced critical thinking?",question: Which cognitive developments during adolescence contribute to improved critical thinking?,question: Which mental changes during adolescence contribute to heightened critical thinking?,question: Which cognitive shifts during adolescence contribute to better critical thinking?,question: Which cognitive changes across adolescence contribute to advanced critical thinking?,E,E,E,E,E
Which field in the `cdc.lsn_time_mapping` table has a `varbinary` data type?, tran_begin_time, start_lsn, tran_id, All of the mentioned,A,,val,question: Which field in the `cdc.lsn_time_mapping` table has a `varbinary` data type?,"A)
question: What column in the `cdc.lsn_time_mapping` table has a `varbinary` data type?

B)
question: What field in the `cdc.lsn_time_mapping` table has a `varbinary` data type?

C)
question: Which column in the `cdc.lsn_time_mapping` table has a `varbinary` data type?

D)
question: Which attribute in the `cdc.lsn_time_mapping` table has a `varbinary` data type?",question: What column in the `cdc.lsn_time_mapping` table has a `varbinary` data type?,question: What field in the `cdc.lsn_time_mapping` table has a `varbinary` data type?,question: Which column in the `cdc.lsn_time_mapping` table has a `varbinary` data type?,question: Which attribute in the `cdc.lsn_time_mapping` table has a `varbinary` data type?,E,E,E,E,E
