идентификатор, диалог, қысқаша мазмұны
 13862856," Ханна: Эй, Беттидің нөмірі бар ма? Аманда: Ханнаны тексеріп көрейін: <file_gif> Аманда: Кешіріңіз, таба алмаймын. Аманда: Ларриден сұраңыз Аманда: Ол оған соңғы рет саябақта бірге болғанымызда қоңырау шалды Ханна: Мен оны жақсы білмеймін Ханна: <file_gif> Аманда: Ұялмаңыз, ол өте жақсы Ханна: Егер солай десеңіз.. Ханна: Мен сіздің оған хабарлама жазғаныңызды қалаймын Аманда: Тек оған хабарлама жазыңыз 🙂 Ханна: Ура.. Жарайды Ханна: Сау бол Аманда: Сау бол"," Ханнаға Беттидің нөмірі керек, бірақ Амандада ол жоқ. Ол Ларримен байланысуы керек."
 13729565,Эрик: МАШИНА! Роб: Бұл өте керемет! Эрик: Білемін! Және американдықтардың орыс тілін қалай көретінін көрсетеді ;) Роб: Және бұл шынымен күлкілі! Эрик: Білемін! Маған әсіресе пойыз бөлігі ұнайды! Роб: Ха-ха-ха! Ешкім машинамен олай сөйлеспейді! Эрик: Бұл оның жалғыз стендапы ма? Роб: Білмеймін. Тексеріп көрейін. Эрик: Әрине. Роб: Жоқ болып шықты! Оның стендаптарының кейбірі YouTube-та бар. Эрик: 8-сынып! Мен оларды қазір көремін! Роб: Мен де! Эрик: МАШИНА! Роб: МАШИНА! Эрик: TTYL? Роб: Әрине :), Эрик пен Роб YouTube-тан стенд-ап көретін болады.
 13680171,"Ленни: Жаным, маған бірдеңе көмектесе аласың ба? Боб: Әрине, не болды? Ленни: Қайсысын таңдауым керек? Боб: Маған фотосуреттер жібер Ленни: <file_photo> Ленни: <file_photo> Ленни: <file_photo> Боб: Маған біріншілері көбірек ұнайды Ленни: Бірақ менде күлгін шалбар бар. Екі жұп алу мағынасы бар ма? Боб: Менің төрт қара жұбым бар :D :D Ленни: иә, бірақ басқа түсті таңдауым керек емес пе? Боб: маңыздысы, сізге ең көп киім нұсқаларын беретініңіз Ленни: Сондықтан мен бірінші немесе үшінші жұпты сатып аламын деп ойлаймын, содан кейін Боб: Ең жақсы сапаны таңдаңыз, содан кейін Ленни: дұрыс айтасың, рақмет Боб: мәселе жоқ :)", Ленни қай шалбар сатып алу керектігін шеше алмады. Боб Ленниге бұл тақырып бойынша кеңес берді. Ленни Бобтың ең сапалы шалбарларды таңдау туралы кеңесіне құлақ асты.
 13729438,"Уилл: сәлем жаным, бүгін кешкі асқа не қалайсың? Эмма: ух, бүгін кешке уайымдама Уилл: не дегенің? бәрі жақсы ма? Эмма: онша емес, бірақ бәрі жақсы, тамақ дайындау туралы уайымдама, мен аш емеспін Уилл: үйде сағат нешеде боласың? Эмма: жақын арада, үміттенемін Уилл: сенімдісің бе? Мүмкін сені алып кетуімді қалайсың ба? Эмма: жоқ, жоқ, бәрі жақсы. Мен жақында үйде боламын, үйге келгенде айтамын. Уилл: жарайды, сені жақсы көремін. Эмма: мен де сені жақсы көремін.", Эмма жақын арада үйге келеді және ол бұл туралы Уиллге хабарлайды.
 13828600,"Олли: Сәлем, сен Варшавадасың ба? Джейн: иә, жаңа ғана оралдым! Айтпақшы, 19-ы күні кешкі асқа боссың ба? Олли: жоқ! Джейн: және 18-і? Олли: жоқ, бізде кеш болады және сен сол жерде болуың керек, есіңде ме? Джейн: дұрыс! Мен күнтізбемді жоғалтып алдым.. еске салғаныңыз үшін рақмет Олли: біз осы аптада түскі ас ішеміз бе? Джейн: қуана! Олли: жұма? Джейн: жарайды Джейн: ""бізде енді виски жоқ!"" дегеніңіз не? lol.. Олли: не!!! Джейн: сен маған қоңырау шалдың, мен тек виски туралы сөйлем естідім... саған не болды? Олли: ой... өте таңқаларлық! Мен абай болуым керек, мүмкін менің ұялы телефонымда тыңшы бар шығар! lol Джейн: алаңдама, жұма күні тексереміз. Олли: өзіңізбен бірге күн сәулесін алуды ұмытпаңыз Джейн: Мароккода болуды асыға күтемін.. Олли: жұма күні көріскенше Джейн: кешіріңіз Олли, мен өте бос емеспін, ертең түскі асқа уақытым болмайды, бірақ курстарымнан кейін сағат 18:00-де болуы мүмкін бе? Мароккоға сапар өте жақсы болды, бірақ уақытты алды! Олли: шай ішуге жарайды! Джейн: Мен жолдамын.. Олли: шай дайын, тоқаштарды әкелдің бе? Джейн: Мен бәрін жеп қойдым... бір минуттан кейін көріскенше Олли: жарайды","Джейн Варшавада. Олли мен Джейннің кеші бар. Джейн күнтізбесін жоғалтып алды. Олар осы аптада жұма күні түскі ас ішеді. Олли кездейсоқ Джейнге қоңырау шалып, виски туралы әңгімелесті. Джейн түскі асты болдырмады. Олар кешкі сағат 6-да шай ішуге кездеседі."
 13716964,"Бенджамин: Сәлем достар, бүгін кілттермен не істейміз? Хилари: Мен оларды алдым. Кім қаласа, түскі ас кезінде немесе Эллиоттан кейін кездесе алады: Мен жақсымын. Біз кешке сусын ішу үшін кездесеміз және бірге пәтерге қайтамыз деп ойлаймын? Хилари: Иә, солай деп ойлаймын Дэниел: Мен Хиларимен біргемін және оны күннің қалған бөлігінде жібермеймін, сондықтан сіздер таңдаған кез келген нұсқа маған жақсы Бенджамин: Хмм, мен түскі ас кезінде өтіп, кілттерді алып, ұйықтап алуым мүмкін. Кешеден кейін қатты шаршадым Хилари: Жақсы естіледі. Біз француздармен түскі ас ішеміз (отаршылдық Мексикадағы тамақ тарихымен айналысатындар - мен сенің басыңды шайқап жатқаныңды көріп тұрмын) Бенджамин: УРА 🙊 Қайда және қайда кездесіп жатырсыңдар? Хилари: Мен олармен сағат 14:00-де конференц-залдың кіреберісінде кездесемін, содан кейін La Cantina деп аталатын жерге барамыз. Итальян тағамдары, бұл өте күлкілі, бірақ олар соны таңдады Бенджамин: Қызық 😱 Шынымды айтсам, Хилари, ойымды өзгерткім келеді. Ұйықтап алғым келсе, қымбатты Хилариге қымбатқа түсуім мүмкін: Ой, қойшы 😂 Бенджамин: Ұйықтар жолындағы осы қорқынышты кедергілердің бәрі маған көп шығын әкелуі мүмкін Хилари: Біз олардың зерттеу тақырыбы туралы сөйлеспеуге тырысамыз. Ой, тоқтаңыз, жоқ, мен олармен кездесіп отырмын, себебі мен олардың зерттеулері туралы әңгімелескім келді lol Эллиот: 🙉 Хилари: Бізге қосылыңыз, біз көңіл көтереміз. Содан кейін сіз кілттерді алып, ең лайықты ұйықтайсыз Эллиот: Жоспар сияқты 😂 Хилари: 😎 Эллиот: 2-де кездескенше xx","Пәтердің кілттері Хилариде. Бенджамин оларды алып, ұйықтап алғысы келеді. Хилари La Cantina-да француздармен түскі ас ішіп отыр. Хилари оларды сағат 14:00-де конференц-залдың кіреберісінде қарсы алады. Бенджамин мен Эллиот оларға қосылуы мүмкін. Олар кешке сусын ішу үшін кездеседі."
 13731487,"Макс: Киім сатып алуға болатын жақсы сайттарды білесіз бе? Пейтон: Әрине :) <file_other> <file_other> <file_other> <file_other> <file_other> <file_other> Макс: Олар көп! Пейтон: Иә, бірақ оларда әртүрлі заттар бар, сондықтан мен әдетте 2 немесе 3-тен заттар сатып аламын. Макс: Мен оларды тексеріп көремін. Рақмет. Пейтон: Ештеңе емес :) Макс: Сіз ше? Пейтон: Мен ше? Макс: Сатып алуды ұнатасыз ба? Пейтон: Иә және жоқ. Макс: Неге? Пейтон: Мен шолу жасағанды, киіп көргенді, айнаға қарап, қалай көрінетінімді көргенді ұнатамын, бірақ әрқашан сатып ала бермеймін. Макс: Иә, жоқ па? Пейтон: Бұл айқын емес пе? ;) Макс: Кешіріңіз ;) Пейтон: Егер мен ұнатқанның бәрін сатып алсам, күн көретін ештеңем қалмас еді ;) Макс: Мен де солай, бірақ басқа санат болуы мүмкін ;) Пейтон: Ха-ха Макс: Сонымен, сіз әдетте не сатып аласыз? Пейтон: Менің қарсы тұруым керек екі нәрсе бар! Макс: Қайсысы? Пейтон: Киімдер, ;) Макс: Дұрыс. Ал екіншісі? Пейтон: Кітаптар. Мен кітап оқуды қатты жақсы көремін! Макс: 8-сынып! Қандай кітаптарды оқисың? Пейтон: Қолыма түскеннің бәрін :) Макс: Апай? Пейтон: Иә :)","Пейтон Максқа киім сататын веб-сайттар ұсынады. Пейтон киімдерді қарап шығуды және киіп көруді ұнатады, бірақ міндетті түрде сатып алуды емес. Пейтон әдетте киім мен кітаптарды сатып алады, себебі ол кітап оқуды жақсы көреді."
 13814882," Рита: Қатты шаршадым. Жұмыста ұйықтап кетіппін. :-( Тина: Не айтқыңыз келгенін түсінемін. Тина: Бастық байқамайды деп үміттеніп, пернетақтаны баса беремін.. Рита: Уақыт созылып жатыр.... Рита: Сағатқа қарай беремін, әлі 4 сағат бар. Тина: Мұндай кездер менің жұмысымды жек көреді. Рита: Мен мұндай зерігуге мүлдем дайын емеспін. Тина: Мен де емеспін."," Рита мен Тина жұмыста зерігіп жүр, әлі 4 сағат уақыты бар."
 13680876,"Беатрис: Мен қаладамын, сауда жасап жүрмін. Шіркеудің жанындағы дүкенде әдемі орамалдары бар. Біреуін алғыңыз келе ме? Лео: Жоқ, рақмет Беатрис: Бірақ сізде орамал жоқ. Лео: Себебі маған ол қажет емес. Беатрис: Өткен қыста сен үнемі суық тиіп жүрдің. Орамал көмектесе алар еді. Лео: Маған олар ұнамайды. Беатрис: Шын мәнінде, маған бәрібір. Саған орамал беріледі. Лео: Сені қалай түсінесің! Беатрис: Сен бүкіл қыс бойы өлетініңді айтып шағымдандың. Жеткілікті. Лео: Ааа."," Беатрис Леоға орамал сатып алғысы келеді, бірақ ол орамалдарды ұнатпайды. Беатрис оның денсаулығына қамқорлық жасайды және оның пікіріне қарамастан, оған орамал сатып алады."
 13809974,"Иван: сәлем Эрик Эрик: иә достым Иван: сен үйлену тойына бара жатырсың Эрик: сенің ағаңның Иван: иә Эрик: білмеймін Иван: СЕН БІЛМЕЙСІҢБІ?? Эрик: менің үйде істейтін шаруаларым көп, сонымен қатар ата-анам рұқсат ете ме, жоқ па, білмеймін Иван: мен сенің ата-анаңа қараймын Эрик: сен маған олармен сөйлесуге батылың бар деп айтып тұрсың XD Иван: бұл менің мәселем Эрик: жарайды достым, егер солай десең Иван: иә, жай ғана қасында бол Эрик: жарайды", Эрик ата-анасының оны Иванның ағасының үйлену тойына жібергенін немесе жібермегенін білмейді. Иван олармен сөйлеседі.
