question,предмет,выбор,отвечать,sheet,instance,generated_options,option_a,option_b,option_c,option_d
 Что такое групповые нормы?,управление," ['Приемлемые и разделяемые членами группы модели поведения' 'Модели поведения, разделяемые некоторыми членами группы' 'Модели поведения, которые бросают вызов ценностям и убеждениям группы' 'Модели поведения, отличающиеся от моделей поведения других членов группы']",0,Sheet1, Что такое групповые нормы?,"A)
Что представляют собой коллективные стандарты?

B)
Что значат общественные правила?

C)
Что подразумевают командные регламенты?

D)
Что выражают артельные установки?",Что представляют собой коллективные стандарты?,Что значат общественные правила?,Что подразумевают командные регламенты?,Что выражают артельные установки?
"Этот вопрос касается следующей информации. «Поэтому необходимо быстро решить вопрос о том, являются ли свободные цветные люди, родившиеся и натурализованные в этой стране, американскими гражданами и имеют ли они право на все права, привилегии и иммунитеты граждан отдельных штатов; и допускает ли Конституция Соединенных Штатов какие-либо дискриминационные различия в отношении цвета кожи или положения свободных жителей. Что касается меня, у меня нет ни малейшего сомнения по этому вопросу. Я считаю, что права свободных цветных людей нужно лишь отстоять перед Верховным судом США, чтобы их получить; что никакие предрассудки или софистика… не могут помешать их признанию… и что действующие законы, затрагивающие ваше положение, явно неконституционны». «Тот факт, что с вами, по общему согласию и общепринятым обычаям, обращались как с иностранцами и животными, не является доказательством законности такого обращения, а лишь демонстрирует силу, горечь и слепоту предрассудков». — Уильям Ллойд Гаррисон, «К свободным цветным людям Соединенных Штатов», «Освободитель», 15 января 1831 г. Аргумент, выдвинутый Уильямом Ллойдом Гаррисоном в этом отрывке, впоследствии был опровергнут в каком из следующих решений Верховного суда?",история США в старшей школе, ['Дред Скотт против Сэнфорда (1857)' 'Ex parte Milligan (1866)' 'Плесси против Фергюсона (1896)' 'Браун против Совета по образованию Топики (1954)'],0,Sheet1,"Этот вопрос касается следующей информации. «Поэтому необходимо быстро решить вопрос о том, являются ли свободные цветные люди, родившиеся и натурализованные в этой стране, американскими гражданами и имеют ли они право на все права, привилегии и иммунитеты граждан отдельных штатов; и допускает ли Конституция Соединенных Штатов какие-либо дискриминационные различия в отношении цвета кожи или положения свободных жителей. Что касается меня, у меня нет ни малейшего сомнения по этому вопросу. Я считаю, что права свободных цветных людей нужно лишь отстоять перед Верховным судом США, чтобы их получить; что никакие предрассудки или софистика… не могут помешать их признанию… и что действующие законы, затрагивающие ваше положение, явно неконституционны». «Тот факт, что с вами, по общему согласию и общепринятым обычаям, обращались как с иностранцами и животными, не является доказательством законности такого обращения, а лишь демонстрирует силу, горечь и слепоту предрассудков». — Уильям Ллойд Гаррисон, «К свободным цветным людям Соединенных Штатов», «Освободитель», 15 января 1831 г. Аргумент, выдвинутый Уильямом Ллойдом Гаррисоном в этом отрывке, впоследствии был опровергнут в каком из следующих решений Верховного суда?","A)
Данный запрос затрагивает нижеследующие сведения. «Следовательно, требуется оперативно урегулировать проблему о том, считаются ли вольные темнокожие лица, появившиеся и легализованные в данном государстве, американскими подданными и обладают ли они полномочиями на все свободы, льготы и гарантии жителей конкретных регионов; и позволяет ли Основной закон США какие-либо предвзятые разграничения касательно оттенка кожи или статуса независимых обывателей. Что касается меня, у меня нет ни тени неуверенности по данному пункту. Я полагаю, что интересы вольных цветных граждан следует только защитить в Высшем суде Америки, дабы их обрести; что никакие заблуждения или уловки… не способны преградить их утверждение… и что текущие акты, касающиеся вашего ранга, очевидно неправомерны». «То обстоятельство, что с вами, по коллективному одобрению и привычным традициям, поступали как с чужаками и зверями, не служит свидетельством правомерности подобного отношения, а только доказывает мощь, суровость и неразумность стереотипов». — Уильям Ллойд Гаррисон, «К вольным цветным лицам Америки», «Освободитель», 15 января 1831 г. Тезис, представленный Уильямом Ллойдом Гаррисоном в этом тексте, в дальнейшем был оспорен в каком из приведённых вердиктов Высшего суда?

B)
Эта тема относится к приведённым данным. «Посему крайне важно незамедлительно рассмотреть тему о том, признаются ли вольные цветные персоны, рождённые и интегрированные в этой державе, гражданами Штатов и наделены ли они доступом ко всем благам, преференциям и защитам жителей разных штатов; и санкционирует ли Конституция Соединенных Штатов любые сегрегационные расхождения в плане тона кожи или роли независимых обитателей. Лично я не испытываю ни малейшего колебания по этому поводу. Я убеждён, что возможности вольных цветных людей необходимо всего лишь подтвердить в Верховном суде США, чтобы их достичь; что никакая предвзятость или демагогия… не в силах воспрепятствовать их легализации… и что существующие постановления, влияющие на ваше положение, явно противозаконны». «То событие, что с вами, по взаимному уговору и укоренившимся порядкам, вели себя как с пришельцами и скотом, не выступает подтверждением справедливости такого поведения, а лишь иллюстрирует влияние, остроту и ограниченность предубеждений». — Уильям Ллойд Гаррисон, «К свободным цветным подданным Соединенных Штатов», «Освободитель», 15 января 1831 г. Довод, высказанный Уильямом Ллойдом Гаррисоном в данном фрагменте, позже был отвергнут в каком из указанных постановлений Верховного суда?

C)
Указанный предмет касается дальнейшего материала. «В связи с этим нужно быстро разрешить дилемму о том, являются ли независимые небелые люди, рожденные и получившие гражданство в этой стране, американскими жителями и имеют ли они претензии на все прерогативы, выгоды и неприкосновенности граждан отдельных территорий; и допускает ли Устав Соединенных Штатов какие-либо дискриминирующие отличия в отношении пигментации кожи или ранга вольных жителей. Относительно меня, у меня отсутствует малейшее сомнение по этой теме. Я мыслю, что права вольных цветных людей требуется лишь отстоять перед Главным судом США, дабы их зафиксировать; что никакая неприязнь или софистика… не могут заблокировать их признание… и что работающие законы, задевающие ваше состояние, определенно антиконституционны». «Тот факт, что с вами, по всеобщему согласию и стандартным привычкам, обходились как с иноземцами и существами, не является залогом законности подобного обращения, а всего лишь выявляет энергию, едкость и темноту предрассудков». — Уильям Ллойд Гаррисон, «К вольным небелым жителям Соединенных Штатов», «Освободитель», 15 января 1831 г. Положение, развитое Уильямом Ллойдом Гаррисоном в этом отрывке, впоследствии было аннулировано в каком из нижеследующих заключений Верховного суда?

D)
Этот вопрос затрагивает представленную информацию. «Именно поэтому требуется безотлагательно прояснить аспект о том, являются ли свободные цветные индивиды, рожденные и натурализованные в данном государстве, субъектами США и обладают ли они правом на совокупность свобод, льгот и гарантий граждан разных штатов; и разрешает ли Конституция Соединенных Штатов какие-либо притесняющие различия касательно цвета кожи или статуса вольных обитателей. Что до меня, я не имею никакого сомнения по данному делу. Я считаю, что права свободных цветных людей следует просто защитить в Верховном суде Америки, чтобы их реализовать; что никакое высокомерие или лукавство… не в состоянии помешать их одобрению… и что действующие нормы, касающиеся вашего бытия, безусловно неконституционны». «То обстоятельство, что с вами, по обоюдному согласию и принятым нормам, обращались как с мигрантами и животными, не служит доказательством легитимности такого подхода, а лишь подчеркивает мощь, горечь и неведение предубеждений». — Уильям Ллойд Гаррисон, «К вольным цветным жителям Соединенных Штатов», «Либератор», 15 января 1831 г. Утверждение, выдвинутое Уильямом Ллойдом Гаррисоном в этом тексте, позже было дезавуировано в каком из следующих актов Верховного суда?","Данный запрос затрагивает нижеследующие сведения. «Следовательно, требуется оперативно урегулировать проблему о том, считаются ли вольные темнокожие лица, появившиеся и легализованные в данном государстве, американскими подданными и обладают ли они полномочиями на все свободы, льготы и гарантии жителей конкретных регионов; и позволяет ли Основной закон США какие-либо предвзятые разграничения касательно оттенка кожи или статуса независимых обывателей. Что касается меня, у меня нет ни тени неуверенности по данному пункту. Я полагаю, что интересы вольных цветных граждан следует только защитить в Высшем суде Америки, дабы их обрести; что никакие заблуждения или уловки… не способны преградить их утверждение… и что текущие акты, касающиеся вашего ранга, очевидно неправомерны». «То обстоятельство, что с вами, по коллективному одобрению и привычным традициям, поступали как с чужаками и зверями, не служит свидетельством правомерности подобного отношения, а только доказывает мощь, суровость и неразумность стереотипов». — Уильям Ллойд Гаррисон, «К вольным цветным лицам Америки», «Освободитель», 15 января 1831 г. Тезис, представленный Уильямом Ллойдом Гаррисоном в этом тексте, в дальнейшем был оспорен в каком из приведённых вердиктов Высшего суда?","Эта тема относится к приведённым данным. «Посему крайне важно незамедлительно рассмотреть тему о том, признаются ли вольные цветные персоны, рождённые и интегрированные в этой державе, гражданами Штатов и наделены ли они доступом ко всем благам, преференциям и защитам жителей разных штатов; и санкционирует ли Конституция Соединенных Штатов любые сегрегационные расхождения в плане тона кожи или роли независимых обитателей. Лично я не испытываю ни малейшего колебания по этому поводу. Я убеждён, что возможности вольных цветных людей необходимо всего лишь подтвердить в Верховном суде США, чтобы их достичь; что никакая предвзятость или демагогия… не в силах воспрепятствовать их легализации… и что существующие постановления, влияющие на ваше положение, явно противозаконны». «То событие, что с вами, по взаимному уговору и укоренившимся порядкам, вели себя как с пришельцами и скотом, не выступает подтверждением справедливости такого поведения, а лишь иллюстрирует влияние, остроту и ограниченность предубеждений». — Уильям Ллойд Гаррисон, «К свободным цветным подданным Соединенных Штатов», «Освободитель», 15 января 1831 г. Довод, высказанный Уильямом Ллойдом Гаррисоном в данном фрагменте, позже был отвергнут в каком из указанных постановлений Верховного суда?","Указанный предмет касается дальнейшего материала. «В связи с этим нужно быстро разрешить дилемму о том, являются ли независимые небелые люди, рожденные и получившие гражданство в этой стране, американскими жителями и имеют ли они претензии на все прерогативы, выгоды и неприкосновенности граждан отдельных территорий; и допускает ли Устав Соединенных Штатов какие-либо дискриминирующие отличия в отношении пигментации кожи или ранга вольных жителей. Относительно меня, у меня отсутствует малейшее сомнение по этой теме. Я мыслю, что права вольных цветных людей требуется лишь отстоять перед Главным судом США, дабы их зафиксировать; что никакая неприязнь или софистика… не могут заблокировать их признание… и что работающие законы, задевающие ваше состояние, определенно антиконституционны». «Тот факт, что с вами, по всеобщему согласию и стандартным привычкам, обходились как с иноземцами и существами, не является залогом законности подобного обращения, а всего лишь выявляет энергию, едкость и темноту предрассудков». — Уильям Ллойд Гаррисон, «К вольным небелым жителям Соединенных Штатов», «Освободитель», 15 января 1831 г. Положение, развитое Уильямом Ллойдом Гаррисоном в этом отрывке, впоследствии было аннулировано в каком из нижеследующих заключений Верховного суда?","Этот вопрос затрагивает представленную информацию. «Именно поэтому требуется безотлагательно прояснить аспект о том, являются ли свободные цветные индивиды, рожденные и натурализованные в данном государстве, субъектами США и обладают ли они правом на совокупность свобод, льгот и гарантий граждан разных штатов; и разрешает ли Конституция Соединенных Штатов какие-либо притесняющие различия касательно цвета кожи или статуса вольных обитателей. Что до меня, я не имею никакого сомнения по данному делу. Я считаю, что права свободных цветных людей следует просто защитить в Верховном суде Америки, чтобы их реализовать; что никакое высокомерие или лукавство… не в состоянии помешать их одобрению… и что действующие нормы, касающиеся вашего бытия, безусловно неконституционны». «То обстоятельство, что с вами, по обоюдному согласию и принятым нормам, обращались как с мигрантами и животными, не служит доказательством легитимности такого подхода, а лишь подчеркивает мощь, горечь и неведение предубеждений». — Уильям Ллойд Гаррисон, «К вольным цветным жителям Соединенных Штатов», «Либератор», 15 января 1831 г. Утверждение, выдвинутое Уильямом Ллойдом Гаррисоном в этом тексте, позже было дезавуировано в каком из следующих актов Верховного суда?"
" Представьте себе человека, который не ищет работу, потому что ему стыдно на собеседовании, когда выясняется, что он не умеет читать. Однако этот человек согласился бы практически на любую предложенную работу. Согласно данным Бюро статистики труда, такой человек...", макроэкономика для старшей школы," ['в составе рабочей силы и безработные'.' 'в составе рабочей силы и занятые'.' 'не в составе рабочей силы'.' 'не в составе рабочей силы, но учитываются как безработные'.]",2,Sheet1," Представьте себе человека, который не ищет работу, потому что ему стыдно на собеседовании, когда выясняется, что он не умеет читать. Однако этот человек согласился бы практически на любую предложенную работу. Согласно данным Бюро статистики труда, такой человек...","A)
Вообразите себе индивида, который не подыскивает занятость, так как ему неловко на интервью, когда обнаруживается, что он не способен читать. Тем не менее этот мужчина принял бы фактически любое выдвинутое место. По сведениям Ведомства статистики занятости, подобный человек...

B)
Пофантазируйте о личности, которая не подбирает вакансию, оттого что ей совестно на встрече, когда открывается, что она не владеет чтением. При этом данная особа одобрила бы почти всякую предоставленную должность. Исходя из материалов Агентства статистики труда, такой субъект...

C)
Нарисуйте образ гражданина, который не запрашивает службу, из-за того что ему конфузно на отборе, когда вскрывается, что он не умеет разбирать буквы. Впрочем этот работник утвердил бы практически каждое обещанное дело. Согласно сводкам Комитета статистики профессий, эта фигура...

D)
Допустите существование человека, который не высматривает ремесло, по причине того что ему постыдно на прослушивании, когда проясняется, что он не обучен грамоте. Но этот субъект согласился бы на любое доступное трудоустройство. По информации Бюро учета труда, данное лицо...","Вообразите себе индивида, который не подыскивает занятость, так как ему неловко на интервью, когда обнаруживается, что он не способен читать. Тем не менее этот мужчина принял бы фактически любое выдвинутое место. По сведениям Ведомства статистики занятости, подобный человек...","Пофантазируйте о личности, которая не подбирает вакансию, оттого что ей совестно на встрече, когда открывается, что она не владеет чтением. При этом данная особа одобрила бы почти всякую предоставленную должность. Исходя из материалов Агентства статистики труда, такой субъект...","Нарисуйте образ гражданина, который не запрашивает службу, из-за того что ему конфузно на отборе, когда вскрывается, что он не умеет разбирать буквы. Впрочем этот работник утвердил бы практически каждое обещанное дело. Согласно сводкам Комитета статистики профессий, эта фигура...","Допустите существование человека, который не высматривает ремесло, по причине того что ему постыдно на прослушивании, когда проясняется, что он не обучен грамоте. Но этот субъект согласился бы на любое доступное трудоустройство. По информации Бюро учета труда, данное лицо..."
"Федеральный закон, регулирующий мошенничество с продовольственными талонами, квалифицирует как преступление умышленное приобретение или хранение продовольственных талонов способом, не разрешенным законом или правилами. Владелец продуктового магазина приобрел у агента под прикрытием продовольственные талоны со скидкой и был арестован за нарушение закона. На суде владелец магазина утверждал, что правительство должно доказать наличие у него конкретного намерения совершить преступление. Правительство же утверждало, что ему достаточно показать, что он умышленно приобрел продовольственные талоны, и что это не является преступлением, требующим конкретного намерения. Судья принял толкование правительства, и владелец магазина был признан виновным. Его апелляция дошла до Верховного суда США. Вероятно ли, что суд отменит или подтвердит обвинительный приговор, и почему?", профессиональное_право,"['Приговор отменен, поскольку владелец магазина освобожден от действия закона, который применяется только к потребителям, незаконно использующим продовольственные талоны.' 'Приговор отменен, поскольку более правильная интерпретация заключается в том, что в закон включен умысел, и владелец должен знать, что его действия нарушают уголовное законодательство.' 'Приговор подтвержден, поскольку значение слова «сознательно» не подразумевает, что у лица, совершающего действия, должно быть конкретное знание о том, что оно является незаконным.' 'Приговор подтвержден, поскольку современная тенденция в праве заключается в признании уголовной ответственности без умысла или конкретного преступного намерения.']",1,Sheet1,"Федеральный закон, регулирующий мошенничество с продовольственными талонами, квалифицирует как преступление умышленное приобретение или хранение продовольственных талонов способом, не разрешенным законом или правилами. Владелец продуктового магазина приобрел у агента под прикрытием продовольственные талоны со скидкой и был арестован за нарушение закона. На суде владелец магазина утверждал, что правительство должно доказать наличие у него конкретного намерения совершить преступление. Правительство же утверждало, что ему достаточно показать, что он умышленно приобрел продовольственные талоны, и что это не является преступлением, требующим конкретного намерения. Судья принял толкование правительства, и владелец магазина был признан виновным. Его апелляция дошла до Верховного суда США. Вероятно ли, что суд отменит или подтвердит обвинительный приговор, и почему?","A)
Общегосударственный акт, контролирующий махинации с продуктовыми карточками, определяет как злодеяние намеренное получение или удержание пищевых купонов методом, не дозволенным кодексом или нормами. Хозяин торговой точки купил у тайного представителя продовольственные купоны по сниженной цене и был задержан за попрание правопорядка. В процессе предприниматель настаивал, что власти обязаны подтвердить присутствие у него специфического умысла совершить правонарушение. Администрация же заявляла, что ей хватит продемонстрировать, что он осознанно выкупил продуктовые карточки, и что это не является деянием, предполагающим специальное намерение. Арбитр одобрил позицию обвинения, и коммерсант был признан ответственным. Его жалоба достигла Высшей инстанции Америки. Ожидаемо ли, что трибунал аннулирует или поддержит вердикт, и по какой причине?

B)
Государственный регламент, регламентирующий обман с пищевыми талонами, трактует как проступок сознательное завладение или сбережение съестных сертификатов путем, не санкционированным законодательством или предписаниями. Обладатель гастронома выкупил у секретного сотрудника съестные марки по дешевке и был схвачен за несоблюдение постановления. На разбирательстве лавочник заявлял, что прокуратура должна обосновать наличие у него особого стремления совершить преступление. Госорганы же доказывали, что им довольно выявить, что он преднамеренно раздобыл пищевые талоны, и что это не считается преступлением, нуждающимся в конкретном помысле. Юрист поддержал версию государства, и ритейлер был объявлен виновным. Его протест дошел до Верховного суда США. Возможно ли, что ведомство отменит или утвердит решение, и вследствие чего?

C)
Центральный закон, ведающий злоупотреблениями с провиантскими купонами, относит к криминалу волевое обретение или владение продуктовыми марками образом, не разрешенным уставом или регламентом. Собственник продовольственной лавки приобрел у внедренного оперативника пищевые талоны с дисконтом и был взят под стражу за нарушение акта. На слушании торговец защищался, что обвинение должно засвидетельствовать наличие у него четкого помысла совершить злодеяние. Сторона обвинения же полагала, что ей достаточно обнаружить, что он специально обзавелся провиантскими купонами, и что это не является правонарушением, требующим специального умысла. Магистрат принял точку зрения властей, и хозяин лавки был признан совершившим преступление. Его кассация поступила в Верховный суд США. Велика ли вероятность, что палата отменит или сохранит приговор, и на каком основании?

D)
Национальный кодекс, регулирующий манипуляции с купонами на питание, классифицирует как уголовное деяние обдуманную покупку или наличие продовольственных талонов способом, не предусмотренным правом или инструкциями. Владелец малого бизнеса достал у агента в штатском пищевые сертификаты по льготной стоимости и был привлечен к ответственности за игнорирование закона. В суде бизнесмен указывал, что гособвинитель должен доказать присутствие у него прямого намерения совершить преступление. Власти же парировали, что им необходимо показать, что он целенаправленно приобрел продовольственные талоны, и что это не выступает преступлением, требующим конкретного умысла. Правосудие согласилось с трактовкой обвинения, и субъект был признан виновным. Его апелляционная жалоба дошла до Верховного суда США. Вероятно ли, что орган отменит или оставит в силе осуждение, и почему?","Общегосударственный акт, контролирующий махинации с продуктовыми карточками, определяет как злодеяние намеренное получение или удержание пищевых купонов методом, не дозволенным кодексом или нормами. Хозяин торговой точки купил у тайного представителя продовольственные купоны по сниженной цене и был задержан за попрание правопорядка. В процессе предприниматель настаивал, что власти обязаны подтвердить присутствие у него специфического умысла совершить правонарушение. Администрация же заявляла, что ей хватит продемонстрировать, что он осознанно выкупил продуктовые карточки, и что это не является деянием, предполагающим специальное намерение. Арбитр одобрил позицию обвинения, и коммерсант был признан ответственным. Его жалоба достигла Высшей инстанции Америки. Ожидаемо ли, что трибунал аннулирует или поддержит вердикт, и по какой причине?","Государственный регламент, регламентирующий обман с пищевыми талонами, трактует как проступок сознательное завладение или сбережение съестных сертификатов путем, не санкционированным законодательством или предписаниями. Обладатель гастронома выкупил у секретного сотрудника съестные марки по дешевке и был схвачен за несоблюдение постановления. На разбирательстве лавочник заявлял, что прокуратура должна обосновать наличие у него особого стремления совершить преступление. Госорганы же доказывали, что им довольно выявить, что он преднамеренно раздобыл пищевые талоны, и что это не считается преступлением, нуждающимся в конкретном помысле. Юрист поддержал версию государства, и ритейлер был объявлен виновным. Его протест дошел до Верховного суда США. Возможно ли, что ведомство отменит или утвердит решение, и вследствие чего?","Центральный закон, ведающий злоупотреблениями с провиантскими купонами, относит к криминалу волевое обретение или владение продуктовыми марками образом, не разрешенным уставом или регламентом. Собственник продовольственной лавки приобрел у внедренного оперативника пищевые талоны с дисконтом и был взят под стражу за нарушение акта. На слушании торговец защищался, что обвинение должно засвидетельствовать наличие у него четкого помысла совершить злодеяние. Сторона обвинения же полагала, что ей достаточно обнаружить, что он специально обзавелся провиантскими купонами, и что это не является правонарушением, требующим специального умысла. Магистрат принял точку зрения властей, и хозяин лавки был признан совершившим преступление. Его кассация поступила в Верховный суд США. Велика ли вероятность, что палата отменит или сохранит приговор, и на каком основании?","Национальный кодекс, регулирующий манипуляции с купонами на питание, классифицирует как уголовное деяние обдуманную покупку или наличие продовольственных талонов способом, не предусмотренным правом или инструкциями. Владелец малого бизнеса достал у агента в штатском пищевые сертификаты по льготной стоимости и был привлечен к ответственности за игнорирование закона. В суде бизнесмен указывал, что гособвинитель должен доказать присутствие у него прямого намерения совершить преступление. Власти же парировали, что им необходимо показать, что он целенаправленно приобрел продовольственные талоны, и что это не выступает преступлением, требующим конкретного умысла. Правосудие согласилось с трактовкой обвинения, и субъект был признан виновным. Его апелляционная жалоба дошла до Верховного суда США. Вероятно ли, что орган отменит или оставит в силе осуждение, и почему?"
