question,choice_A,choice_B,choice_C,choice_D,answer,category,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
Why is it unlikely for planets orbiting high-mass stars to have life?, The stars are too hot to allow for life., The high-mass stars emit too much ultraviolet radiation., The lifetime of a high-mass star is too short., None of the other choices,C,,val,Why is it unlikely for planets orbiting high-mass stars to have life?,"A)
Why is it improbable for worlds circling large-mass suns to possess organisms?

B)
Why is it doubtful for spheres revolving around massive stars to contain biology?

C)
Why is it questionable for planets orbiting heavy-mass stars to harbor existence?

D)
Why is it rare for globes bypasssing high-weight stars to host vitality?",Why is it improbable for worlds circling large-mass suns to possess organisms?,Why is it doubtful for spheres revolving around massive stars to contain biology?,Why is it questionable for planets orbiting heavy-mass stars to harbor existence?,Why is it rare for globes bypasssing high-weight stars to host vitality?,C,A,A,A
Who has been chosen as the recipient of the Vyas Samman-2019 for their exceptional literary contributions in Hindi?, Vishwanath Tripathi, Mannu Bhandari, Narendra Kohli, Nasira Sharma,D,,val,Who has been chosen as the recipient of the Vyas Samman-2019 for their exceptional literary contributions in Hindi?,"A)
Which individual was selected as the awardee of the Vyas Samman-2019 for their outstanding written works in Hindi?

B)
Who was designated as the winner of the Vyas Samman-2019 for their remarkable creative writings in Hindi?

C)
Which person was named as the honoree of the Vyas Samman-2019 for their superior scholarly compositions in Hindi?

D)
Who has been appointed as the beneficiary of the Vyas Samman-2019 for their extraordinary verbal artistry in Hindi?",Which individual was selected as the awardee of the Vyas Samman-2019 for their outstanding written works in Hindi?,Who was designated as the winner of the Vyas Samman-2019 for their remarkable creative writings in Hindi?,Which person was named as the honoree of the Vyas Samman-2019 for their superior scholarly compositions in Hindi?,Who has been appointed as the beneficiary of the Vyas Samman-2019 for their extraordinary verbal artistry in Hindi?,A,B,C,A
Which one of the following statements is false?, Some asset prices purchased during the formation of a bubble may be rational., Asset price bubbles are always harmful to the general economy., None of the other choices, Speculative demand for an asset may contribute to the formation of a bubble.,B,,val,Which one of the following statements is false?,"A)
Which individual of the subsequent declarations is untrue?

B)
Which single of the following assertions is incorrect?

C)
What one of the succeeding accounts is mendacious?

D)
Which part of the trailing remarks is erroneous?",Which individual of the subsequent declarations is untrue?,Which single of the following assertions is incorrect?,What one of the succeeding accounts is mendacious?,Which part of the trailing remarks is erroneous?,B,B,C,D
Which of these is not an assumption of Harrod’s growth model?, The desired capital output ratio is constant., None of the other choices, Factor prices are flexible in the long run., Savings are a constant proportion of real income in the economy.,C,,val,Which of these is not an assumption of Harrod’s growth model?,"A)
Which of those is not a premise of Harrod’s development framework?

B)
Which of these is not a postulate of Harrod’s economic theory?

C)
Which of these is not a supposition of Harrod’s expansion archetype?

D)
Which of these is not a hypothesis of Harrod’s progress paradigm?",Which of those is not a premise of Harrod’s development framework?,Which of these is not a postulate of Harrod’s economic theory?,Which of these is not a supposition of Harrod’s expansion archetype?,Which of these is not a hypothesis of Harrod’s progress paradigm?,B,B,C,D
"When a supervisor's evaluation of an employee's performance is influenced by the employee’s personal characteristics such as gender, what problem has arisen?", central tendency, halo affect, stereotyping, None of the other choices,D,,val,"When a supervisor's evaluation of an employee's performance is influenced by the employee’s personal characteristics such as gender, what problem has arisen?","A)
Whenever a manager's assessment of a worker's productivity is affected by the individual’s private traits like sex, what issue has occurred?

B)
If a boss's appraisal of a staffer's achievement is impacted by the member’s individual qualities including gender, what complication has emerged?

C)
Once a director's review of a subordinate's output is shaped by the person’s inherent attributes such as gender, what difficulty has surfaced?

D)
As a leader's estimation of a contributor's efficiency is swayed by the employee’s personal features like gender, what dilemma has developed?","Whenever a manager's assessment of a worker's productivity is affected by the individual’s private traits like sex, what issue has occurred?","If a boss's appraisal of a staffer's achievement is impacted by the member’s individual qualities including gender, what complication has emerged?","Once a director's review of a subordinate's output is shaped by the person’s inherent attributes such as gender, what difficulty has surfaced?","As a leader's estimation of a contributor's efficiency is swayed by the employee’s personal features like gender, what dilemma has developed?",A,A,A,D
What are the objectives of the Service Reusability design principle? Choose the correct option., To increase organizational agility by enabling wide-scale service composition from service inventories that contains a high percentage of reusable services., To allow for service logic to be repeatedly leveraged over time so as to achieve an increasingly high return on the initial investment of delivering the service., To support the creation of services based upon agnostic service logic., All of the above.,D,,val,What are the objectives of the Service Reusability design principle? Choose the correct option.,"A)
Which represent the goals of the Service Recyclability architecture rule? Select the right alternative.

B)
What constitute the aims of the Service Repeatability construction concept? Pick the proper choice.

C)
Which are the targets of the Service Interoperability structure standard? Opt for the valid selection.

D)
What define the purposes of the Service Multi-use framework guideline? Identify the accurate preference.",Which represent the goals of the Service Recyclability architecture rule? Select the right alternative.,What constitute the aims of the Service Repeatability construction concept? Pick the proper choice.,Which are the targets of the Service Interoperability structure standard? Opt for the valid selection.,What define the purposes of the Service Multi-use framework guideline? Identify the accurate preference.,C,A,D,D
Explain: A strain gauge alters its resistance when subjected to external stress. Stress is quantified as force per unit area (Newton/meter^2). 4. Which kind of strain gauge offers superior resolution?, Semiconductor strain gage, Wire and Semiconductor strain gage, Wire strain gage, None of the mentioned,A,,val,Explain: A strain gauge alters its resistance when subjected to external stress. Stress is quantified as force per unit area (Newton/meter^2). 4. Which kind of strain gauge offers superior resolution?,"A)
Clarify: A tension sensor modifies its impedance when exposed to outside pressure. Pressure is measured as load per unit surface (Newton/meter^2). 4. What type of tension sensor provides better precision?

B)
Elucidate: A deformation meter changes its electrical resistance when undergoing exterior tension. Tension is defined as power per unit space (Newton/meter^2). 4. Which category of deformation meter delivers higher clarity?

C)
Describe: A pressure transducer varies its ohmic value when experiencing outdoor force. Force is calculated as weight per unit region (Newton/meter^2). 4. What sort of pressure transducer yields greater detail?

D)
Interpret: A load cell adjusts its resistivity when encountering foreign strain. Strain is expressed as thrust per unit dimension (Newton/meter^2). 4. Which variety of load cell produces enhanced sensitivity?",Clarify: A tension sensor modifies its impedance when exposed to outside pressure. Pressure is measured as load per unit surface (Newton/meter^2). 4. What type of tension sensor provides better precision?,Elucidate: A deformation meter changes its electrical resistance when undergoing exterior tension. Tension is defined as power per unit space (Newton/meter^2). 4. Which category of deformation meter delivers higher clarity?,Describe: A pressure transducer varies its ohmic value when experiencing outdoor force. Force is calculated as weight per unit region (Newton/meter^2). 4. What sort of pressure transducer yields greater detail?,Interpret: A load cell adjusts its resistivity when encountering foreign strain. Strain is expressed as thrust per unit dimension (Newton/meter^2). 4. Which variety of load cell produces enhanced sensitivity?,A,B,C,D
"When a specimen with an electric current running through it is subjected to a magnetic field, the Hall effect is observed. What is the resultant electric field within the specimen in this scenario?", normal to both current and magnetic field, in the direction of current, in arbitrary direction, antiparallel to magnetic field,A,,val,"When a specimen with an electric current running through it is subjected to a magnetic field, the Hall effect is observed. What is the resultant electric field within the specimen in this scenario?","A)
Whenever a sample with an electrical charge flowing through it is exposed to a magnetic force, the Hall phenomenon is noticed. What is the emerging electrical field inside the sample in this situation?

B)
Once a material with an electronic stream passing through it is placed in a magnetic region, the Hall influence is detected. What is the produced voltage gradient within the material in this case?

C)
If a substance with a current flow moving through it is submitted to a magnetic flux, the Hall result is witnessed. What is the following electric field inside the substance in this instance?

D)
As a prototype with a power transmission traveling through it is presented to a magnetic domain, the Hall reaction is perceived. What is the consequential electric field within the prototype in this circumstance?","Whenever a sample with an electrical charge flowing through it is exposed to a magnetic force, the Hall phenomenon is noticed. What is the emerging electrical field inside the sample in this situation?","Once a material with an electronic stream passing through it is placed in a magnetic region, the Hall influence is detected. What is the produced voltage gradient within the material in this case?","If a substance with a current flow moving through it is submitted to a magnetic flux, the Hall result is witnessed. What is the following electric field inside the substance in this instance?","As a prototype with a power transmission traveling through it is presented to a magnetic domain, the Hall reaction is perceived. What is the consequential electric field within the prototype in this circumstance?",A,B,C,D
The information regarding 'what we want to produce and when' is provided by:, Planned Order Release., Inventory Status File., None of the other choices, Bill of Materials.,C,,val,The information regarding 'what we want to produce and when' is provided by:,"A)
The data concerning 'what we intend to manufacture and when' is supplied by:

B)
The details about 'what we aim to create and when' are delivered by:

C)
The facts involving 'what we plan to generate and when' are furnished by:

D)
The knowledge respecting 'what we wish to develop and when' is offered by:",The data concerning 'what we intend to manufacture and when' is supplied by:,The details about 'what we aim to create and when' are delivered by:,The facts involving 'what we plan to generate and when' are furnished by:,The knowledge respecting 'what we wish to develop and when' is offered by:,A,B,A,D
Which of the following hormones does NOT contain an amino acid?, glucagon, testosterone, insulin, thyroid,B,,val,Which of the following hormones does NOT contain an amino acid?,"A)
Which of the subsequent substances does NOT comprise an amino acid?

B)
Which of the following messengers does NOT possess an amino acid?

C)
Which of the listed regulators does NOT include an amino acid?

D)
Which of the mentioned molecules does NOT incorporate an amino acid?",Which of the subsequent substances does NOT comprise an amino acid?,Which of the following messengers does NOT possess an amino acid?,Which of the listed regulators does NOT include an amino acid?,Which of the mentioned molecules does NOT incorporate an amino acid?,D,A,C,A
