question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_a,bcq_results_for_position_b,bcq_results_for_position_c
9947,"In the atomic nucleus, electrical forces tend to",cause particles to become neutral,increase the mass of the nucleus,cause particles to spin,generate heat within the nucleus,create magnetic fields,charge particles,push particles apart,produce orbital motion,hold particles together,attract particles to the nucleus,G,6,physics,ori_mmlu-conceptual_physics,,test,"In the atomic nucleus, electrical forces tend to","A)
Within the atomic core, electrostatic powers incline to

B)
Inside the nuclear center, galvanic energies lean to

C)
Amidst the atomic heart, charging pressures gravitate to

D)
Throughout the nuclear interior, voltage influences tend to","Within the atomic core, electrostatic powers incline to","Inside the nuclear center, galvanic energies lean to","Amidst the atomic heart, charging pressures gravitate to","Throughout the nuclear interior, voltage influences tend to",E,E,E,E
3598,"A nonvolatile benzoic acid dissolves in ethanol to form an ideal solution. Assuming there is no association or dissociation of the benzoic acid, calculate the solubility of the acid and the vapor pressure of the solution at 80°C given the following data. ∆H, cal/mole Compound Mol. wt M.p ;°C Normalb.p Fusion Vaporization Benzoic acid 122 122 249°C 4,000 12,000 Ethanol 46 -114 80°C 2,000 9,500","0.45 mole fraction, 0.55atm","0.60 mole fraction, 0.40 atm","0.50 mole fraction, 0.50atm","0.70 mole fraction, 0.30 atm","0.55 mole fraction, 0.45atm","0.35 mole fraction, 0.65 atm","0.40 mole fraction, 0.60atm","0.75 mole fraction, 0.25 atm","0.30 mole fraction, 0.70 atm","0.65 mole fraction, 0.35 atm",E,4,chemistry,stemez-PhysicalChemistry,,test,"A nonvolatile benzoic acid dissolves in ethanol to form an ideal solution. Assuming there is no association or dissociation of the benzoic acid, calculate the solubility of the acid and the vapor pressure of the solution at 80°C given the following data. ∆H, cal/mole Compound Mol. wt M.p ;°C Normalb.p Fusion Vaporization Benzoic acid 122 122 249°C 4,000 12,000 Ethanol 46 -114 80°C 2,000 9,500","A)
A non-evaporating benzoic acid liquefies in ethanol to produce an optimal solution. Presuming there is no aggregation or breakdown of the benzoic acid, determine the solubility of the acid and the vapor tension of the solution at 80°C provided the subsequent data. ∆H, cal/mole Compound Mol. wt M.p ;°C Normalb.p Fusion Vaporization Benzoic acid 122 122 249°C 4,000 12,000 Ethanol 46 -114 80°C 2,000 9,500

B)
A stable benzoic acid disperses in ethanol to create a perfect mixture. Postulating there is no clustering or ionization of the benzoic acid, compute the solubility of the acid and the vapor tension of the mixture at 80°C given the following information. ∆H, cal/mole Compound Mol. wt M.p ;°C Normalb.p Fusion Vaporization Benzoic acid 122 122 249°C 4,000 12,000 Ethanol 46 -114 80°C 2,000 9,500

C)
A fixed benzoic acid melts in ethanol to generate a model solution. Expecting there is no union or splitting of the benzoic acid, evaluate the solubility of the acid and the vapor pressure of the solution at 80°C supplied the below statistics. ∆H, cal/mole Compound Mol. wt M.p ;°C Normalb.p Fusion Vaporization Benzoic acid 122 122 249°C 4,000 12,000 Ethanol 46 -114 80°C 2,000 9,500

D)
A non-gaseous benzoic acid integrates in ethanol to yield a standard solution. Speculating there is no grouping or fragmentation of the benzoic acid, estimate the solubility of the acid and the vapor pressure of the solution at 80°C granted the following facts. ∆H, cal/mole Compound Mol. wt M.p ;°C Normalb.p Fusion Vaporization Benzoic acid 122 122 249°C 4,000 12,000 Ethanol 46 -114 80°C 2,000 9,500","A non-evaporating benzoic acid liquefies in ethanol to produce an optimal solution. Presuming there is no aggregation or breakdown of the benzoic acid, determine the solubility of the acid and the vapor tension of the solution at 80°C provided the subsequent data. ∆H, cal/mole Compound Mol. wt M.p ;°C Normalb.p Fusion Vaporization Benzoic acid 122 122 249°C 4,000 12,000 Ethanol 46 -114 80°C 2,000 9,500","A stable benzoic acid disperses in ethanol to create a perfect mixture. Postulating there is no clustering or ionization of the benzoic acid, compute the solubility of the acid and the vapor tension of the mixture at 80°C given the following information. ∆H, cal/mole Compound Mol. wt M.p ;°C Normalb.p Fusion Vaporization Benzoic acid 122 122 249°C 4,000 12,000 Ethanol 46 -114 80°C 2,000 9,500","A fixed benzoic acid melts in ethanol to generate a model solution. Expecting there is no union or splitting of the benzoic acid, evaluate the solubility of the acid and the vapor pressure of the solution at 80°C supplied the below statistics. ∆H, cal/mole Compound Mol. wt M.p ;°C Normalb.p Fusion Vaporization Benzoic acid 122 122 249°C 4,000 12,000 Ethanol 46 -114 80°C 2,000 9,500","A non-gaseous benzoic acid integrates in ethanol to yield a standard solution. Speculating there is no grouping or fragmentation of the benzoic acid, estimate the solubility of the acid and the vapor pressure of the solution at 80°C granted the following facts. ∆H, cal/mole Compound Mol. wt M.p ;°C Normalb.p Fusion Vaporization Benzoic acid 122 122 249°C 4,000 12,000 Ethanol 46 -114 80°C 2,000 9,500",E,E,B,E
5385,How long is a single term in the US Senate?,five years,three years,ten years,two years,six years,seven years,twelve years,eight years,four years,one year,E,4,other,ori_mmlu-miscellaneous,,test,How long is a single term in the US Senate?,"A)
What duration is one individual period in the American Senate?

B)
What length is a lone tenure in the United States Senate?

C)
How extensive is a solitary stint in the US Senate?

D)
What span is a particular session in the Federal Senate?",What duration is one individual period in the American Senate?,What length is a lone tenure in the United States Senate?,How extensive is a solitary stint in the US Senate?,What span is a particular session in the Federal Senate?,E,E,E,E
10165,"A rock drops onto a pond with a smooth surface. A few moments later, the wave produced by the rock’s impact arrives at the shore, touching the ankles of a wading child. Which of the following observations provides evidence that the portion of the wave hitting the child’s ankles carries less energy than the wave did when it was first created by the rock’s impact?",The wave has become more turbulent.,The wave has split into multiple smaller waves.,The wave pulse’s width has become greater.,The wave's height has become greater.,The wave is moving more slowly.,The wave pulse’s width has become smaller.,The wave's speed has increased.,The wave’s height has become smaller.,The temperature of the water has changed.,The wave's color has changed.,H,7,physics,ori_mmlu-high_school_physics,,test,"A rock drops onto a pond with a smooth surface. A few moments later, the wave produced by the rock’s impact arrives at the shore, touching the ankles of a wading child. Which of the following observations provides evidence that the portion of the wave hitting the child’s ankles carries less energy than the wave did when it was first created by the rock’s impact?","A)
A stone falls into a pool with a level exterior. A short while afterward, the ripple generated by the stone’s collision reaches the coast, brushing the lower legs of a bathing youngster. Which of the subsequent findings offers proof that the segment of the ripple striking the youngster’s lower legs possesses less power than the ripple did when it was initially formed by the stone’s collision?

B)
A pebble plunges into a lake with a calm top. A brief period later, the swell caused by the pebble’s strike lands at the bank, meeting the feet of a paddling infant. Which of the following remarks gives testimony that the part of the swell hitting the infant’s feet contains less vigor than the swell did when it was originally made by the pebble’s strike?

C)
A boulder tumbles onto a basin with a flat veneer. A few instances later, the surge triggered by the boulder’s crash attains the beach, contactualizing the shins of a splashing toddler. Which of the undermentioned detections delivers data that the section of the surge hitting the toddler’s shins holds less force than the surge did when it was first produced by the boulder’s crash?

D)
A cobble descends upon a reservoir with a still crust. A little time later, the vibration birthed by the cobble’s hit approaches the margin, grazing the joints of a playing minor. Which of the below notes supplies verification that the area of the vibration hitting the minor’s joints conveys less intensity than the vibration did when it was startingly developed by the cobble’s hit?","A stone falls into a pool with a level exterior. A short while afterward, the ripple generated by the stone’s collision reaches the coast, brushing the lower legs of a bathing youngster. Which of the subsequent findings offers proof that the segment of the ripple striking the youngster’s lower legs possesses less power than the ripple did when it was initially formed by the stone’s collision?","A pebble plunges into a lake with a calm top. A brief period later, the swell caused by the pebble’s strike lands at the bank, meeting the feet of a paddling infant. Which of the following remarks gives testimony that the part of the swell hitting the infant’s feet contains less vigor than the swell did when it was originally made by the pebble’s strike?","A boulder tumbles onto a basin with a flat veneer. A few instances later, the surge triggered by the boulder’s crash attains the beach, contactualizing the shins of a splashing toddler. Which of the undermentioned detections delivers data that the section of the surge hitting the toddler’s shins holds less force than the surge did when it was first produced by the boulder’s crash?","A cobble descends upon a reservoir with a still crust. A little time later, the vibration birthed by the cobble’s hit approaches the margin, grazing the joints of a playing minor. Which of the below notes supplies verification that the area of the vibration hitting the minor’s joints conveys less intensity than the vibration did when it was startingly developed by the cobble’s hit?",E,E,E,E
2375,What is cross-validation and why is it important?,Cross-validation is only used for validating models in large datasets and is not suitable for small datasets,Cross-validation is a method for enhancing the complexity of a model to improve its performance on a single data set,Cross-validation is not important in small samples,"Cross-validation is a method to independently determine the validity of a test on additional samples, it is necessary especially when the initial validation sample is small, to avoid errors and chance factors.",Cross-validation involves using different tests to measure the same variable to ensure the tests agree with each other,Cross-validation is a process where the performance of a test is only assessed once to ensure speed and efficiency,Cross-validation is a method to validate a test without additional samples,Cross-validation is a technique to assess the performance of a model by splitting the data into two sets: one for training and one for final testing,Cross-validation is the replication of a test using the same dataset to confirm the initial results,Cross-validation is a method to determine the validity of a test on the same sample,D,3,psychology,stemez-Psychology,,test,What is cross-validation and why is it important?,"A)
What is rotation estimation and why is it significant?

B)
What is model validation and why is it essential?

C)
What is out-of-sample testing and why is it vital?

D)
What is partition evaluation and why is it crucial?",What is rotation estimation and why is it significant?,What is model validation and why is it essential?,What is out-of-sample testing and why is it vital?,What is partition evaluation and why is it crucial?,E,E,E,E
2706,"A senior psychologist hires a junior psychologist to conduct a research study. The junior psychologist “runs the experiment” and helps analyze and write up the results. When the research is submitted for publication, professional ethics require thar the junior psychologist be",listed as a co-author with the senior psychologist,promoted to a senior position,given a percentage of any profits from the research,given credit in a footnote,credited as the editor of the research,listed in the acknowledgements section,thanked for doing a good job,listed as the first author,given a bonus or raise,listed as an author,J,9,psychology,ori_mmlu-professional_psychology,,test,"A senior psychologist hires a junior psychologist to conduct a research study. The junior psychologist “runs the experiment” and helps analyze and write up the results. When the research is submitted for publication, professional ethics require thar the junior psychologist be","A)
An expert clinician recruits a novice therapist to perform a scientific investigation. The novice therapist “executes the trial” and assists interpret and draft the outcomes. When the investigation is offered for dissemination, occupational standards mandate that the novice therapist be

B)
A veteran practitioner engages a trainee researcher to carry out a formal inquiry. The trainee researcher “manages the procedure” and aids evaluate and compose the findings. When the inquiry is presented for release, vocational principles necessitate that the trainee researcher be

C)
A lead academic employs a budding specialist to execute a scholarly project. The budding specialist “operates the test” and supports examine and record the data. When the project is tendered for printing, ethical guidelines dictate that the budding specialist be

D)
An experienced scientist enlists a subordinate associate to facilitate a laboratory analysis. The subordinate associate “administers the protocol” and helps assess and author the conclusions. When the analysis is submitted for circulation, moral codes demand that the subordinate associate be","An expert clinician recruits a novice therapist to perform a scientific investigation. The novice therapist “executes the trial” and assists interpret and draft the outcomes. When the investigation is offered for dissemination, occupational standards mandate that the novice therapist be","A veteran practitioner engages a trainee researcher to carry out a formal inquiry. The trainee researcher “manages the procedure” and aids evaluate and compose the findings. When the inquiry is presented for release, vocational principles necessitate that the trainee researcher be","A lead academic employs a budding specialist to execute a scholarly project. The budding specialist “operates the test” and supports examine and record the data. When the project is tendered for printing, ethical guidelines dictate that the budding specialist be","An experienced scientist enlists a subordinate associate to facilitate a laboratory analysis. The subordinate associate “administers the protocol” and helps assess and author the conclusions. When the analysis is submitted for circulation, moral codes demand that the subordinate associate be",E,E,E,E
346,"While she was on a recent business trip, May C. Carlisle spent the following amounts: hotel, $63; meals, 42.90; laundry, $3.75; tips, $9.50; taxis, $7.85; telephone, $11.30; customer entertainment, $36.60; and supplies, $4.30. If Ms. Carlisle started out with $300 and paid cash while she was away, how much did she have left?",$120.80,$150.45,$300.00,$178.55,$179.20,$134.90,$98.10,$63.00,$121.70,$111.25,A,0,business,stemez-Business,,test,"While she was on a recent business trip, May C. Carlisle spent the following amounts: hotel, $63; meals, 42.90; laundry, $3.75; tips, $9.50; taxis, $7.85; telephone, $11.30; customer entertainment, $36.60; and supplies, $4.30. If Ms. Carlisle started out with $300 and paid cash while she was away, how much did she have left?","A)
During her being on a late commercial journey, May C. Carlisle used the subsequent sums: lodging, $63; food, 42.90; cleaning, $3.75; gratuities, $9.50; cabs, $7.85; calls, $11.30; client hosting, $36.60; and materials, $4.30. If Ms. Carlisle began with $300 and gave currency while she was gone, what total did she possess remaining?

B)
As she was on a modern work excursion, May C. Carlisle disbursed the following values: inn, $63; dining, 42.90; washing, $3.75; service, $9.50; transport, $7.85; phone, $11.30; guest amusement, $36.60; and items, $4.30. If Ms. Carlisle departed with $300 and handed cash while she was abroad, what balance did she hold leftover?

C)
When she was on a current corporate travel, May C. Carlisle expended the listed figures: room, $63; catering, 42.90; valet, $3.75; perks, $9.50; vehicles, $7.85; communications, $11.30; buyer hospitality, $36.60; and equipment, $4.30. If Ms. Carlisle commenced with $300 and settled cash while she was distant, what amount did she keep remaining?

D)
Whilst she was on a fresh professional tour, May C. Carlisle paid the following costs: residence, $63; nourishment, 42.90; laundry, $3.75; bonuses, $9.50; shuttles, $7.85; telephony, $11.30; consumer diversion, $36.60; and goods, $4.30. If Ms. Carlisle initiated with $300 and provided cash while she was out, how much did she have left?","During her being on a late commercial journey, May C. Carlisle used the subsequent sums: lodging, $63; food, 42.90; cleaning, $3.75; gratuities, $9.50; cabs, $7.85; calls, $11.30; client hosting, $36.60; and materials, $4.30. If Ms. Carlisle began with $300 and gave currency while she was gone, what total did she possess remaining?","As she was on a modern work excursion, May C. Carlisle disbursed the following values: inn, $63; dining, 42.90; washing, $3.75; service, $9.50; transport, $7.85; phone, $11.30; guest amusement, $36.60; and items, $4.30. If Ms. Carlisle departed with $300 and handed cash while she was abroad, what balance did she hold leftover?","When she was on a current corporate travel, May C. Carlisle expended the listed figures: room, $63; catering, 42.90; valet, $3.75; perks, $9.50; vehicles, $7.85; communications, $11.30; buyer hospitality, $36.60; and equipment, $4.30. If Ms. Carlisle commenced with $300 and settled cash while she was distant, what amount did she keep remaining?","Whilst she was on a fresh professional tour, May C. Carlisle paid the following costs: residence, $63; nourishment, 42.90; laundry, $3.75; bonuses, $9.50; shuttles, $7.85; telephony, $11.30; consumer diversion, $36.60; and goods, $4.30. If Ms. Carlisle initiated with $300 and provided cash while she was out, how much did she have left?",E,E,E,E
6808,"Which of the following is the main nitrogenous compound in urine?
",Uric acid,Nitrous Oxide,Nitric Acid,Nitrites,Nitrogen,Urethane,Amino Acids,Urea,Creatinine,Ammonia,H,7,health,ori_mmlu-nutrition,,test,"Which of the following is the main nitrogenous compound in urine?
","A)
Which of the following is the primary nitrogenous substance in urine?

B)
Which of the following is the chief nitrogenous molecule in urine?

C)
Which of the following is the principal nitrogenous component in urine?

D)
Which of the following is the major nitrogenous constituent in urine?",Which of the following is the primary nitrogenous substance in urine?,Which of the following is the chief nitrogenous molecule in urine?,Which of the following is the principal nitrogenous component in urine?,Which of the following is the major nitrogenous constituent in urine?,E,E,E,E
1262,"A manager's competitor sent a defamatory letter to the manager accusing him of professional incompetence and calling him one of the worst businessmen in town. It was addressed to the manager. He read it, put it in a private drawer, and did not read it again. Later, he tried to sue the competitor for defamation as a result of the letter. Will the court likely grant the defendant's motion to dismiss, and on what grounds? Base your answer on the common law definition of defamation.","No, it will not dismiss because a plaintiff in a defamatory action has an absolute right to a jury trial to prove defamation.","Yes, it will dismiss on the grounds that the manager did not suffer any actual harm or damage as a result of the letter.","No, it will not dismiss because the manager has the right to sue for emotional damages.","No, it will not dismiss because the letter constitutes malicious intent.","Yes, it will dismiss on the basis that the language is not damaging to the manager's reputation.","Yes, it will dismiss because the competitor has freedom of speech.","No, it will not dismiss because the competitor intentionally sent the letter to harm the manager's reputation.","Yes, it will dismiss on the basis that the publication is made to the manager alone.","No, it will not dismiss because the circumstances show that all of the elements of defamation are all present.","Yes, it will dismiss on the grounds that the letter does not specifically mention the manager's profession.",H,7,law,ori_mmlu-professional_law,,test,"A manager's competitor sent a defamatory letter to the manager accusing him of professional incompetence and calling him one of the worst businessmen in town. It was addressed to the manager. He read it, put it in a private drawer, and did not read it again. Later, he tried to sue the competitor for defamation as a result of the letter. Will the court likely grant the defendant's motion to dismiss, and on what grounds? Base your answer on the common law definition of defamation.","A)
An executive's rival mailed a libelous note to the executive charging him with vocational ineptitude and naming him one of the poorest entrepreneurs in city. It was directed to the executive. He viewed it, placed it in a secret cabinet, and did not view it again. Afterward, he attempted to litigate the rival for slander as an effect of the note. Will the tribunal probably allow the respondent's request to reject, and on what basis? Foundation your response on the customary law meaning of defamation.

B)
A supervisor's opponent dispatched a slanderous message to the supervisor alleging him of career clumsiness and labeling him one of the foulest merchants in municipality. It was intended for the supervisor. He perused it, stowed it in a personal locker, and did not peruse it again. Subsequently, he sought to prosecute the opponent for disparagement as a consequence of the message. Will the bench potentially permit the litigant's petition to discard, and on what reasons? Ground your reply on the traditional law interpretation of defamation.

C)
An administrator's adversary delivered a malicious missive to the administrator accusing him of occupational inadequacy and dubbing him one of the weakest industrialists in locality. It was targeted to the administrator. He examined it, deposited it in a confidential chest, and did not examine it again. Later, he endeavored to summon the adversary for vilification as a result of the missive. Will the judge likely approve the accused's application to overrule, and on what justifications? Rest your answer on the standard law explanation of defamation.

D)
A director's challenger forwarded a derogatory memo to the director indicting him of work-related incapacity and designating him one of the baddest capitalists in township. It was aimed at the director. He scanned it, tucked it in a restricted compartment, and did not scan it again. Following this, he strove to sue the challenger for calumny as a byproduct of the memo. Will the magistrate probably concede the contestant's move to terminate, and on what factors? Establish your solution on the established law definition of defamation.","An executive's rival mailed a libelous note to the executive charging him with vocational ineptitude and naming him one of the poorest entrepreneurs in city. It was directed to the executive. He viewed it, placed it in a secret cabinet, and did not view it again. Afterward, he attempted to litigate the rival for slander as an effect of the note. Will the tribunal probably allow the respondent's request to reject, and on what basis? Foundation your response on the customary law meaning of defamation.","A supervisor's opponent dispatched a slanderous message to the supervisor alleging him of career clumsiness and labeling him one of the foulest merchants in municipality. It was intended for the supervisor. He perused it, stowed it in a personal locker, and did not peruse it again. Subsequently, he sought to prosecute the opponent for disparagement as a consequence of the message. Will the bench potentially permit the litigant's petition to discard, and on what reasons? Ground your reply on the traditional law interpretation of defamation.","An administrator's adversary delivered a malicious missive to the administrator accusing him of occupational inadequacy and dubbing him one of the weakest industrialists in locality. It was targeted to the administrator. He examined it, deposited it in a confidential chest, and did not examine it again. Later, he endeavored to summon the adversary for vilification as a result of the missive. Will the judge likely approve the accused's application to overrule, and on what justifications? Rest your answer on the standard law explanation of defamation.","A director's challenger forwarded a derogatory memo to the director indicting him of work-related incapacity and designating him one of the baddest capitalists in township. It was aimed at the director. He scanned it, tucked it in a restricted compartment, and did not scan it again. Following this, he strove to sue the challenger for calumny as a byproduct of the memo. Will the magistrate probably concede the contestant's move to terminate, and on what factors? Establish your solution on the established law definition of defamation.",E,E,E,E
101,"A man sells novelty items for $1.25 each. His cost is $.75 apiece plus a fixed cost of $140,000. How many items must he sell to break even? What is his sales revenue at that point?","180,000 units and $225,000","220,000 units and $275,000","240,000 units and $300,000","200,000 units and $250,000","350,000 units and $437,500","260,000 units and $325,000","250,000 units and $312,500","280,000 units and $350,000","300,000 units and $375,000","320,000 units and $400,000",H,7,business,stemez-Business,,test,"A man sells novelty items for $1.25 each. His cost is $.75 apiece plus a fixed cost of $140,000. How many items must he sell to break even? What is his sales revenue at that point?","A)
A person trades unique goods for $1.25 per unit. His expense is $.75 each plus a set charge of $140,000. How many units must he trade to reach profitability? What is his total income at that stage?

B)
A vendor markets gift products for $1.25 every one. His overhead is $.75 per item plus a constant fee of $140,000. How many products must he market to balance costs? What is his gross earnings at that juncture?

C)
A merchant retails specialty objects for $1.25 apiece. His outlay is $.75 per piece plus a stable price of $140,000. How many objects must he retail to cover expenses? What is his commercial yield at that moment?

D)
An individual purveys decorative pieces for $1.25 per piece. His investment is $.75 per unit plus a firm expenditure of $140,000. How many pieces must he purvey to recoup losses? What is his business turnover at that level?","A person trades unique goods for $1.25 per unit. His expense is $.75 each plus a set charge of $140,000. How many units must he trade to reach profitability? What is his total income at that stage?","A vendor markets gift products for $1.25 every one. His overhead is $.75 per item plus a constant fee of $140,000. How many products must he market to balance costs? What is his gross earnings at that juncture?","A merchant retails specialty objects for $1.25 apiece. His outlay is $.75 per piece plus a stable price of $140,000. How many objects must he retail to cover expenses? What is his commercial yield at that moment?","An individual purveys decorative pieces for $1.25 per piece. His investment is $.75 per unit plus a firm expenditure of $140,000. How many pieces must he purvey to recoup losses? What is his business turnover at that level?",E,E,E,E
