id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_a,bcq_results_for_position_c,bcq_results_for_position_d
10258,prehistory,История,Что из следующего указывает на первичный контекст?,"свалка, где скопился мусор от целого сообщества","артефакты, экофакты и кости, обнаженные на поверхности земли в результате эрозии","существование тайника или коллекции артефактов, найденных там, где они были оставлены",все вышеперечисленное,C,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,question: Что из следующего указывает на первичный контекст?,"A)
question: Что из перечисленного указывает на начальный контекст?

B)
question: Что из следующего указывает на начальный контекст?

C)
question: Что из перечисленного указывает на исходный контекст?

D)
question: Что из следующего указывает на исходный контекст?",question: Что из перечисленного указывает на начальный контекст?,question: Что из следующего указывает на начальный контекст?,question: Что из перечисленного указывает на исходный контекст?,question: Что из следующего указывает на исходный контекст?,B,D,B,B
4011,high_school_macroeconomics,Экономика,"Кевин хочет обувь и выращивает репу. Лиза хочет репу и делает из листового металла. Бобу нужен листовой металл, и он делает обувь. Какая функция денег будет наиболее непосредственно соответствовать текущей ситуации?",Хранилище ценностей,Расчетная единица,Средство обмена,Средства отсрочки платежа,C,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"question: Кевин хочет обувь и выращивает репу. Лиза хочет репу и делает из листового металла. Бобу нужен листовой металл, и он делает обувь. Какая функция денег будет наиболее непосредственно соответствовать текущей ситуации?","A)
question: Кевин желает ботинки и растит репу. Лиза желает репу и изготавливает из жести. Бобу требуется листовой металл, и он изготавливает ботинки. Какая роль денег будет наиболее непосредственно соответствовать данной ситуации?

B)
question: Кевин хочет ботинки и выращивает репу. Лиза хочет репу и делает из жести. Бобу нужен листовой металл, и он делает ботинки. Какая функция денег будет наиболее прямо соответствовать текущей ситуации?

C)
question: Кевин желает обувь и растит репу. Лиза желает репу и изготовляет из листового металла. Бобу нужен листовой металл, и он делает обувь. Какая роль денег будет наиболее непосредственно соответствовать текущей ситуации?

D)
question: Кевин хочет туфли и выращивает репу. Лиза хочет репу и делает из листового металла. Бобу требуется листовой металл, и он делает туфли. Какая функция денег будет наиболее прямо соответствовать данной ситуации?","question: Кевин желает ботинки и растит репу. Лиза желает репу и изготавливает из жести. Бобу требуется листовой металл, и он изготавливает ботинки. Какая роль денег будет наиболее непосредственно соответствовать данной ситуации?","question: Кевин хочет ботинки и выращивает репу. Лиза хочет репу и делает из жести. Бобу нужен листовой металл, и он делает ботинки. Какая функция денег будет наиболее прямо соответствовать текущей ситуации?","question: Кевин желает обувь и растит репу. Лиза желает репу и изготовляет из листового металла. Бобу нужен листовой металл, и он делает обувь. Какая роль денег будет наиболее непосредственно соответствовать текущей ситуации?","question: Кевин хочет туфли и выращивает репу. Лиза хочет репу и делает из листового металла. Бобу требуется листовой металл, и он делает туфли. Какая функция денег будет наиболее прямо соответствовать данной ситуации?",B,B,B,B
4801,high_school_physics,Физика,"Автомобиль трогается с места и равномерно разгоняется до конечной скорости 20,0 м/с за 15,0 с. Как далеко проезжает автомобиль за это время?",150 м,300 м,450 м,600 м,A,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"question: Автомобиль трогается с места и равномерно разгоняется до конечной скорости 20,0 м/с за 15,0 с. Как далеко проезжает автомобиль за это время?","A)
question: Машина стартует с места и равномерно ускоряется до конечной скорости 20,0 м/с за 15,0 с. Как далеко проезжает машина за это время?

B)
question: Авто трогается с места и равномерно набирает скорость до конечной скорости 20,0 м/с за 15,0 с. Как далеко проезжает авто за это время?

C)
question: Автомобиль стартует с места и равномерно разгоняется до конечной скорости 20,0 м/с за 15,0 с. Какое расстояние проходит автомобиль за это время?

D)
question: Транспортное средство трогается с места и равномерно ускоряется до конечной скорости 20,0 м/с за 15,0 с. Как далеко проезжает транспортное средство за это время?","question: Машина стартует с места и равномерно ускоряется до конечной скорости 20,0 м/с за 15,0 с. Как далеко проезжает машина за это время?","question: Авто трогается с места и равномерно набирает скорость до конечной скорости 20,0 м/с за 15,0 с. Как далеко проезжает авто за это время?","question: Автомобиль стартует с места и равномерно разгоняется до конечной скорости 20,0 м/с за 15,0 с. Какое расстояние проходит автомобиль за это время?","question: Транспортное средство трогается с места и равномерно ускоряется до конечной скорости 20,0 м/с за 15,0 с. Как далеко проезжает транспортное средство за это время?",C,C,B,B
3657,high_school_government_and_politics,Политика,"Президент применяет ""карманное вето"", делая что из следующего?",Публично выражая отказ от законопроекта,Издавая исполнительный указ о признании недействительным недавно принятого законопроекта,"Отказываясь подписать законопроект после того, как Конгресс прекратил работу",Отзывая послов с мирных переговоров,C,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,"question: Президент применяет ""карманное вето"", делая что из следующего?","A)
question: Глава государства использует ""карманное вето"", делая что из следующего?

B)
question: Руководитель государства применяет ""скрытое вето"", делая что из следующего?

C)
question: Президент прибегает к ""латентному вето"", делая что из следующего?

D)
question: Глава государства вводит ""неявное вето"", делая что из следующего?","question: Глава государства использует ""карманное вето"", делая что из следующего?","question: Руководитель государства применяет ""скрытое вето"", делая что из следующего?","question: Президент прибегает к ""латентному вето"", делая что из следующего?","question: Глава государства вводит ""неявное вето"", делая что из следующего?",B,A,A,A
314,astronomy,Физика,Сколько земных лет длится год на Марсе?,1/2,1,2,4,C,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test,question: Сколько земных лет длится год на Марсе?,"A)
question: Сколько земных лет продолжается год на Марсе?

B)
question: Сколько земных годов длится год на Марсе?

C)
question: Сколько земных лет длится период на Марсе?

D)
question: Сколько земных лет длится год на Красной планете?",question: Сколько земных лет продолжается год на Марсе?,question: Сколько земных годов длится год на Марсе?,question: Сколько земных лет длится период на Марсе?,question: Сколько земных лет длится год на Красной планете?,B,B,C,B
8367,moral_disputes,Философия,"При терапевтическом клонировании цель состоит в том, чтобы",произвести на свет и воспитать ребенка.,идти по пути с чревато тяжелыми последствиями.,лечить болезнь.,ничего из вышеперечисленного,C,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,"question: При терапевтическом клонировании цель состоит в том, чтобы","A)
question: В лечебном клонировании задача заключается в том, чтобы

B)
question: При медицинском клонировании цель заключается в том, чтобы

C)
question: В терапевтическом клонировании задача состоит в том, чтобы

D)
question: При лечебном клонировании цель состоит в том, чтобы","question: В лечебном клонировании задача заключается в том, чтобы","question: При медицинском клонировании цель заключается в том, чтобы","question: В терапевтическом клонировании задача состоит в том, чтобы","question: При лечебном клонировании цель состоит в том, чтобы",B,B,B,B
3767,high_school_government_and_politics,Политика,Что из перечисленного ниже относится к федеральным судьям?,"Они работают в течение четырех лет, что совпадают с президентским сроком.",Они назначаются пожизненно и могут быть смещены с должности только в результате импичмента.,Они избираются Конгрессом и работают в течение десяти лет.,Они назначаются пожизненно и не могут быть отстранены от должности.,B,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,question: Что из перечисленного ниже относится к федеральным судьям?,"A)
question: Что из названного ниже относится к федеральным судьям?

B)
question: Что из перечисленного внизу относится к федеральным судьям?

C)
question: Что из перечисленного ниже относится к судьям федеральной юрисдикции?

D)
question: Что из перечисленного ниже относится к судьям федерального уровня?",question: Что из названного ниже относится к федеральным судьям?,question: Что из перечисленного внизу относится к федеральным судьям?,question: Что из перечисленного ниже относится к судьям федеральной юрисдикции?,question: Что из перечисленного ниже относится к судьям федерального уровня?,B,B,B,B
11226,professional_law,Право,"Супермаркет подписал контракт с пекарней на поставку супермаркету 100 буханок цельнозернового хлеба в неделю в течение 12 недель подряд. Буханки должны были доставляться в первый день каждой недели, а оплата должна была производиться в течение четырех дней с момента доставки. В течение первых четырех недель пекарня поставляла буханки в супермаркет, и супермаркет производил соответствующие платежи. Когда прибыла пятая партия, в супермаркете обнаружили, что в посылке было 80 цельнозерновых батонов и 20 батонов на закваске. Менеджер супермаркета немедленно позвонил в пекарню, чтобы пожаловаться на отправку. Оператор пекарни извинился и предложил отправить 20 буханок цельнозернового хлеба в течение 24 часов. Каковы вероятные юридические последствия разговора оператора с менеджером в отношении пятой партии?",Супермаркет имел бы право отклонить пятую партию товара и расторгнуть свой контракт.,"Супермаркет имел бы право отклонить пятую партию, но был бы привлечен к ответственности за остальные поставки.","Супермаркет не имел бы права отклонять предложение оператора ""вылечить"".","Супермаркет имел бы право ""покрыть расходы"", покупая заменители хлеба.",C,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"question: Супермаркет подписал контракт с пекарней на поставку супермаркету 100 буханок цельнозернового хлеба в неделю в течение 12 недель подряд. Буханки должны были доставляться в первый день каждой недели, а оплата должна была производиться в течение четырех дней с момента доставки. В течение первых четырех недель пекарня поставляла буханки в супермаркет, и супермаркет производил соответствующие платежи. Когда прибыла пятая партия, в супермаркете обнаружили, что в посылке было 80 цельнозерновых батонов и 20 батонов на закваске. Менеджер супермаркета немедленно позвонил в пекарню, чтобы пожаловаться на отправку. Оператор пекарни извинился и предложил отправить 20 буханок цельнозернового хлеба в течение 24 часов. Каковы вероятные юридические последствия разговора оператора с менеджером в отношении пятой партии?","A)
question: Гипермаркет заключил договор с пекарней на поставку гипермаркету 100 буханок цельнозернового хлеба в неделю в течение 12 недель подряд. Буханки должны были доставляться в первый день каждой недели, а оплата должна была производиться в течение четырех дней с момента доставки. В течение первых четырех недель пекарня поставляла буханки в гипермаркет, и гипермаркет производил соответствующие платежи. Когда прибыла пятая партия, в гипермаркете обнаружили, что в посылке было 80 цельнозерновых булок и 20 булок на закваске. Менеджер гипермаркета немедленно позвонил в пекарню, чтобы пожаловаться на отправку. Оператор пекарни извинился и предложил отправить 20 буханок цельнозернового хлеба в течение 24 часов. Каковы вероятные юридические последствия разговора оператора с менеджером в отношении пятой партии?

B)
question: Магазин подписал контракт с пекарней на поставку магазину 100 батонов цельнозернового хлеба в неделю в течение 12 недель подряд. Батоны должны были доставляться в первый день каждой недели, а оплата должна была производиться в течение четырех дней с момента доставки. В течение первых четырех недель пекарня поставляла батоны в магазин, и магазин производил соответствующие платежи. Когда прибыла пятая партия, в магазине обнаружили, что в посылке было 80 цельнозерновых буханок и 20 буханок на закваске. Руководитель магазина немедленно позвонил в пекарню, чтобы пожаловаться на отправку. Служащий пекарни извинился и предложил выслать 20 буханок цельнозернового хлеба в течение 24 часов. Каковы вероятные правовые последствия разговора служащего с руководителем по поводу пятой партии?

C)
question: Розничная сеть заключила соглашение с пекарней о поставке розничной сети 100 булок цельнозернового хлеба в неделю в течение 12 недель подряд. Булки должны были доставляться в первый день каждой недели, а оплата должна была производиться в течение четырех дней с момента доставки. В течение первых четырех недель пекарня поставляла булки в розничную сеть, и розничная сеть производила соответствующие платежи. Когда прибыла пятая партия, в розничной сети обнаружили, что в посылке было 80 цельнозерновых батонов и 20 батонов на закваске. Менеджер розничной сети немедленно позвонил в пекарню, чтобы пожаловаться на отправку. Оператор пекарни извинился и предложил прислать 20 булок цельнозернового хлеба в течение 24 часов. Каковы вероятные юридические последствия разговора оператора с менеджером в отношении пятой партии?

D)
question: Торговая точка подписала договор с пекарней на поставку торговой точке 100 булочек цельнозернового хлеба в неделю в течение 12 недель подряд. Булочки должны были доставляться в первый день каждой недели, а оплата должна была производиться в течение четырех дней с момента доставки. В течение первых четырех недель пекарня поставляла булочки в торговую точку, и торговая точка производила соответствующие платежи. Когда прибыла пятая партия, в торговой точке обнаружили, что в посылке было 80 цельнозерновых батончиков и 20 батончиков на закваске. Менеджер торговой точки немедленно позвонил в пекарню, чтобы пожаловаться на отправку. Сотрудник пекарни извинился и предложил отправить 20 булочек цельнозернового хлеба в течение 24 часов. Каковы вероятные юридические последствия разговора сотрудника с менеджером в отношении пятой партии?","question: Гипермаркет заключил договор с пекарней на поставку гипермаркету 100 буханок цельнозернового хлеба в неделю в течение 12 недель подряд. Буханки должны были доставляться в первый день каждой недели, а оплата должна была производиться в течение четырех дней с момента доставки. В течение первых четырех недель пекарня поставляла буханки в гипермаркет, и гипермаркет производил соответствующие платежи. Когда прибыла пятая партия, в гипермаркете обнаружили, что в посылке было 80 цельнозерновых булок и 20 булок на закваске. Менеджер гипермаркета немедленно позвонил в пекарню, чтобы пожаловаться на отправку. Оператор пекарни извинился и предложил отправить 20 буханок цельнозернового хлеба в течение 24 часов. Каковы вероятные юридические последствия разговора оператора с менеджером в отношении пятой партии?","question: Магазин подписал контракт с пекарней на поставку магазину 100 батонов цельнозернового хлеба в неделю в течение 12 недель подряд. Батоны должны были доставляться в первый день каждой недели, а оплата должна была производиться в течение четырех дней с момента доставки. В течение первых четырех недель пекарня поставляла батоны в магазин, и магазин производил соответствующие платежи. Когда прибыла пятая партия, в магазине обнаружили, что в посылке было 80 цельнозерновых буханок и 20 буханок на закваске. Руководитель магазина немедленно позвонил в пекарню, чтобы пожаловаться на отправку. Служащий пекарни извинился и предложил выслать 20 буханок цельнозернового хлеба в течение 24 часов. Каковы вероятные правовые последствия разговора служащего с руководителем по поводу пятой партии?","question: Розничная сеть заключила соглашение с пекарней о поставке розничной сети 100 булок цельнозернового хлеба в неделю в течение 12 недель подряд. Булки должны были доставляться в первый день каждой недели, а оплата должна была производиться в течение четырех дней с момента доставки. В течение первых четырех недель пекарня поставляла булки в розничную сеть, и розничная сеть производила соответствующие платежи. Когда прибыла пятая партия, в розничной сети обнаружили, что в посылке было 80 цельнозерновых батонов и 20 батонов на закваске. Менеджер розничной сети немедленно позвонил в пекарню, чтобы пожаловаться на отправку. Оператор пекарни извинился и предложил прислать 20 булок цельнозернового хлеба в течение 24 часов. Каковы вероятные юридические последствия разговора оператора с менеджером в отношении пятой партии?","question: Торговая точка подписала договор с пекарней на поставку торговой точке 100 булочек цельнозернового хлеба в неделю в течение 12 недель подряд. Булочки должны были доставляться в первый день каждой недели, а оплата должна была производиться в течение четырех дней с момента доставки. В течение первых четырех недель пекарня поставляла булочки в торговую точку, и торговая точка производила соответствующие платежи. Когда прибыла пятая партия, в торговой точке обнаружили, что в посылке было 80 цельнозерновых батончиков и 20 батончиков на закваске. Менеджер торговой точки немедленно позвонил в пекарню, чтобы пожаловаться на отправку. Сотрудник пекарни извинился и предложил отправить 20 булочек цельнозернового хлеба в течение 24 часов. Каковы вероятные юридические последствия разговора сотрудника с менеджером в отношении пятой партии?",B,B,B,B
4928,high_school_psychology,Общество,"Мишель смотрит Дэвида Леттермана по телевизору, но не узнает его, когда проходит мимо него на Манхэттене. Какое воздействие на восприятие это лучше всего иллюстрирует?",конвергенция,эффект контекста,близость,закрытие,B,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,"question: Мишель смотрит Дэвида Леттермана по телевизору, но не узнает его, когда проходит мимо него на Манхэттене. Какое воздействие на восприятие это лучше всего иллюстрирует?","A)
question: Мишель наблюдает Дэвида Леттермана по телевизору, но не узнает его, когда проходит мимо него на Манхэттене. Какое воздействие на восприятие это лучше всего иллюстрирует?

B)
question: Мишель смотрит Дэвида Леттермана по телевизору, но не опознаёт его, когда проходит мимо него на Манхэттене. Какое воздействие на восприятие это лучше всего иллюстрирует?

C)
question: Мишель смотрит Дэвида Леттермана по телевизору, но не узнает его, когда идет мимо него на Манхэттене. Какое влияние на восприятие это лучше всего иллюстрирует?

D)
question: Мишель наблюдает Дэвида Леттермана по телевизору, но не опознает его, когда идет мимо него на Манхэттене. Какое влияние на восприятие это лучше всего иллюстрирует?","question: Мишель наблюдает Дэвида Леттермана по телевизору, но не узнает его, когда проходит мимо него на Манхэттене. Какое воздействие на восприятие это лучше всего иллюстрирует?","question: Мишель смотрит Дэвида Леттермана по телевизору, но не опознаёт его, когда проходит мимо него на Манхэттене. Какое воздействие на восприятие это лучше всего иллюстрирует?","question: Мишель смотрит Дэвида Леттермана по телевизору, но не узнает его, когда идет мимо него на Манхэттене. Какое влияние на восприятие это лучше всего иллюстрирует?","question: Мишель наблюдает Дэвида Леттермана по телевизору, но не опознает его, когда идет мимо него на Манхэттене. Какое влияние на восприятие это лучше всего иллюстрирует?",B,B,B,B
10683,professional_law,Право,"В одном из штатов был построен ипподром, специально спроектированный и построенный для скачек чистокровных лошадей. Для финансирования строительства ипподрома были выпущены государственные облигации. Облигационный заём предусматривал, что в течение первых пяти лет эксплуатации ипподрома не менее 2 долларов с каждого входного билета будет использоваться для погашения долга по облигациям. Далее в облигационном заёме оговаривалось, что если поступлений от платы за вход в течение первых пяти лет будет недостаточно для погашения долга по облигациям, то не менее 1 доллара от каждой платы за вход в течение следующих пяти лет будет использовано для осуществления необходимых выплат по облигациям. После того как ипподром был построен и проработал два года, законодательное собрание штата приняло закон, обязывающий ипподром продавать всем пожилым людям старше 65 лет льготный входной билет стоимостью 50 центов. Этот закон, вероятно,","конституционный, поскольку является оправданным применением полицейских полномочий штата.","неконституционный, поскольку он лишает граждан моложе 65 лет равной защиты закона.","неконституционный, поскольку нарушает обязательства по договору с держателями облигаций.","неконституционный, поскольку является законом с обратной силой.",C,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"question: В одном из штатов был построен ипподром, специально спроектированный и построенный для скачек чистокровных лошадей. Для финансирования строительства ипподрома были выпущены государственные облигации. Облигационный заём предусматривал, что в течение первых пяти лет эксплуатации ипподрома не менее 2 долларов с каждого входного билета будет использоваться для погашения долга по облигациям. Далее в облигационном заёме оговаривалось, что если поступлений от платы за вход в течение первых пяти лет будет недостаточно для погашения долга по облигациям, то не менее 1 доллара от каждой платы за вход в течение следующих пяти лет будет использовано для осуществления необходимых выплат по облигациям. После того как ипподром был построен и проработал два года, законодательное собрание штата приняло закон, обязывающий ипподром продавать всем пожилым людям старше 65 лет льготный входной билет стоимостью 50 центов. Этот закон, вероятно,","A)
question: В одном из штатов был возведён ипподром, специально спроектированный и возведённый для скачек чистокровных лошадей. Для финансирования сооружения ипподрома были выпущены государственные облигации. Облигационный заём предусматривал, что в течение первых пяти лет эксплуатации ипподрома не менее 2 долларов с каждого входного билета будет использовано для погашения долга по облигациям. Далее в облигационном заёме оговаривалось, что если поступлений от платы за вход в течение первых пяти лет будет недостаточно для погашения долга по облигациям, то не менее 1 доллара от каждой платы за вход в течение следующих пяти лет будет использовано для осуществления необходимых выплат по облигациям. После того как ипподром был построен и проработал два года, законодательное собрание штата приняло закон, обязывающий ипподром продавать всем пожилым людям старше 65 лет льготный входной билет стоимостью 50 центов. Этот закон, вероятно,

B)
question: В одном из штатов был построен ипподром, специально разработанный и сооружённый для скачек чистокровных лошадей. Для финансирования возведения ипподрома были выпущены государственные облигации. Облигационный заём предусматривал, что в течение первых пяти лет эксплуатации ипподрома не менее 2 долларов с каждого входного билета будет расходоваться на погашение долга по облигациям. Далее в облигационном заёме оговаривалось, что если поступлений от платы за вход в течение первых пяти лет будет недостаточно для погашения долга по облигациям, то не менее 1 доллара от каждой платы за вход в течение следующих пяти лет будет израсходовано для осуществления необходимых выплат по облигациям. После того как ипподром был построен и проработал два года, законодательное собрание штата приняло закон, обязывающий ипподром продавать всем пожилым людям старше 65 лет льготный входной билет стоимостью 50 центов. Этот закон, вероятно,

C)
question: В одном из штатов был построен ипподром, специально сконструированный и построенный для скачек чистокровных лошадей. Для финансирования строительства ипподрома были размещены государственные облигации. Облигационный заём предусматривал, что в течение первых пяти лет эксплуатации ипподрома не менее 2 долларов с каждого входного билета будет употребляться для погашения долга по облигациям. Далее в облигационном заёме оговаривалось, что если поступлений от платы за вход в течение первых пяти лет будет недостаточно для погашения долга по облигациям, то не менее 1 доллара от каждой платы за вход в течение следующих пяти лет будет употребляться для осуществления необходимых выплат по облигациям. После того как ипподром был построен и проработал два года, законодательное собрание штата приняло закон, обязывающий ипподром продавать всем пожилым людям старше 65 лет льготный входной билет стоимостью 50 центов. Этот закон, вероятно,

D)
question: В одном из штатов был построен ипподром, специально предназначенный и возведённый для скачек чистокровных лошадей. Для финансирования строительства ипподрома были эмитированы государственные облигации. Облигационный заём предусматривал, что в течение первых пяти лет эксплуатации ипподрома не менее 2 долларов с каждого входного билета будет использоваться для погашения долга по облигациям. Далее в облигационном заёме оговаривалось, что если поступлений от платы за вход в течение первых пяти лет будет недостаточно для погашения долга по облигациям, то не менее 1 доллара от каждой платы за вход в течение следующих пяти лет будет использоваться для осуществления необходимых выплат по облигациям. После того как ипподром был построен и проработал два года, законодательное собрание штата приняло закон, обязывающий ипподром продавать всем пожилым людям старше 65 лет льготный входной билет стоимостью 50 центов. Этот закон, вероятно,","question: В одном из штатов был возведён ипподром, специально спроектированный и возведённый для скачек чистокровных лошадей. Для финансирования сооружения ипподрома были выпущены государственные облигации. Облигационный заём предусматривал, что в течение первых пяти лет эксплуатации ипподрома не менее 2 долларов с каждого входного билета будет использовано для погашения долга по облигациям. Далее в облигационном заёме оговаривалось, что если поступлений от платы за вход в течение первых пяти лет будет недостаточно для погашения долга по облигациям, то не менее 1 доллара от каждой платы за вход в течение следующих пяти лет будет использовано для осуществления необходимых выплат по облигациям. После того как ипподром был построен и проработал два года, законодательное собрание штата приняло закон, обязывающий ипподром продавать всем пожилым людям старше 65 лет льготный входной билет стоимостью 50 центов. Этот закон, вероятно,","question: В одном из штатов был построен ипподром, специально разработанный и сооружённый для скачек чистокровных лошадей. Для финансирования возведения ипподрома были выпущены государственные облигации. Облигационный заём предусматривал, что в течение первых пяти лет эксплуатации ипподрома не менее 2 долларов с каждого входного билета будет расходоваться на погашение долга по облигациям. Далее в облигационном заёме оговаривалось, что если поступлений от платы за вход в течение первых пяти лет будет недостаточно для погашения долга по облигациям, то не менее 1 доллара от каждой платы за вход в течение следующих пяти лет будет израсходовано для осуществления необходимых выплат по облигациям. После того как ипподром был построен и проработал два года, законодательное собрание штата приняло закон, обязывающий ипподром продавать всем пожилым людям старше 65 лет льготный входной билет стоимостью 50 центов. Этот закон, вероятно,","question: В одном из штатов был построен ипподром, специально сконструированный и построенный для скачек чистокровных лошадей. Для финансирования строительства ипподрома были размещены государственные облигации. Облигационный заём предусматривал, что в течение первых пяти лет эксплуатации ипподрома не менее 2 долларов с каждого входного билета будет употребляться для погашения долга по облигациям. Далее в облигационном заёме оговаривалось, что если поступлений от платы за вход в течение первых пяти лет будет недостаточно для погашения долга по облигациям, то не менее 1 доллара от каждой платы за вход в течение следующих пяти лет будет употребляться для осуществления необходимых выплат по облигациям. После того как ипподром был построен и проработал два года, законодательное собрание штата приняло закон, обязывающий ипподром продавать всем пожилым людям старше 65 лет льготный входной билет стоимостью 50 центов. Этот закон, вероятно,","question: В одном из штатов был построен ипподром, специально предназначенный и возведённый для скачек чистокровных лошадей. Для финансирования строительства ипподрома были эмитированы государственные облигации. Облигационный заём предусматривал, что в течение первых пяти лет эксплуатации ипподрома не менее 2 долларов с каждого входного билета будет использоваться для погашения долга по облигациям. Далее в облигационном заёме оговаривалось, что если поступлений от платы за вход в течение первых пяти лет будет недостаточно для погашения долга по облигациям, то не менее 1 доллара от каждой платы за вход в течение следующих пяти лет будет использоваться для осуществления необходимых выплат по облигациям. После того как ипподром был построен и проработал два года, законодательное собрание штата приняло закон, обязывающий ипподром продавать всем пожилым людям старше 65 лет льготный входной билет стоимостью 50 центов. Этот закон, вероятно,",B,B,B,B
