question,предмет,выбор,отвечать,sheet
"Ферма и фруктовый сад — это смежные участки земли, расположенные в одном округе. В 2006 году фермер приобрел ферму, участок площадью 10 акров, в полную собственность. Фруктовый сад, участок площадью 20 акров, расположенный к северу от фермы, принадлежал скотоводу в полной собственности. Дальний предок фермера предоставил пастуху право проезда через ферму на таких условиях, что было создано право пользования, относящееся к фруктовому саду. Это право проезда было оформлено актом и должным образом зарегистрировано. Однако пастух никогда фактически не пользовался этим правом проезда. В 2010 году скотовод передал фруктовый сад фермеру. В следующем году фермер передал фруктовый сад инвестору по акту за 250 000 долларов, получение которых было подтверждено. Ни в договоре между фермером и фермером, ни в договоре между фермером и инвестором не содержалось никаких упоминаний о сервитуте на право проезда. Инвестор теперь утверждает, что у нее есть право проезда через ферму. Фермер, с другой стороны, сообщил инвестору, что такого сервитута не существует. Предположим, что и ферма, и фруктовый сад примыкают к общественной дороге, и что въезд и выезд инвестора осуществляется по этой дороге. В надлежащем порядке действий инвестора для определения ее права пользования правом проезда через ферму она должна",профессиональное_право," ['Проигрыш, поскольку сервитут был прекращен в результате слияния, когда фермер приобрел фруктовый сад у ранчо.' 'Проигрыш, поскольку право проезда было заброшено, так как оно никогда фактически не использовалось.' 'Выигрыш, поскольку фермер имел косвенное уведомление о сервитуте.' 'Выигрыш, поскольку инвестор приобрел сервитут подразумеваемым образом.']",0,Sheet1
 Что из перечисленного не является элементом подхода к политике перераспределения в условиях экономического роста?, глобальные факты, ['законодательство о минимальной заработной плате' 'земельная реформа' 'прогрессивное налогообложение' 'расширение доступа к образованию'],0,Sheet1
При плавлении твердого вещества ожидаемые изменения энтропии и энтальпии составляют:, химия в старшей школе, ['положительное изменение энтальпии и положительное изменение энтропии' 'отрицательное изменение энтропии и отрицательное изменение энтальпии' 'отрицательное изменение энтропии и положительное изменение энтальпии' 'отрицательное изменение энтальпии и положительное изменение энтропии'],0,Sheet1
 Какова была общая тенденция расходов на оборону в Соединенных Штатах в прошлом?, внешняя политика США," ['Устойчивый рост с течением времени.' 'Увеличение расходов во время войн, при этом демобилизация снижает расходы, но не возвращает их к довоенному уровню.' 'Непредсказуемые колебания.' 'Увеличение расходов во время войн, с дальнейшим увеличением после войны для подготовки к будущим сражениям.']",1,Sheet1
 При аверсивном контркондиционировании сексуального фетиша с использованием электрошока условным стимулом является..., профессиональная_психология, ['фетиш-объект' 'новая реакция' 'безусловный страх' 'электрический шок'],0,Sheet1
"Женщина подготовила точное описание своего финансового положения и подала его вместе с заявкой на кредит в местный банк, с которым она сотрудничала много лет. Вскоре после этого финансовое положение женщины значительно ухудшилось, но она не сообщила об этом банку. Не зная об изменении финансового положения женщины, банк согласился предоставить ей кредит. Позже банк узнал о реальном финансовом положении женщины. Банк отказался выполнить свое обещание предоставить кредит, утверждая, что договор между сторонами может быть расторгнут по усмотрению банка из-за предоставления женщиной ложной информации. Если женщина подаст в суд на банк за нарушение договора, будет ли у банка успех в защите от иска о предоставлении ложной информации?", профессиональное_право,"['Нет, потому что женщина не делала никаких последующих ложных заявлений о своем финансовом положении.' 'Нет, потому что заявления женщины были точными на момент подачи ею заявки на кредит в банк.' 'Да, потому что женщина была обязана исправить свои предыдущие заявления о своем финансовом положении, чтобы предотвратить их мошенничество.' 'Да, потому что женщина была обязана сообщить банку об изменении своего финансового положения в связи с давними доверительными отношениями между ними.']",2,Sheet1
 К какому типу суставов относится локтевой?, клинические_знания, ['Шаровой шарнир.' 'Сращенный сустав.' 'Синовиальный шарнир.' 'Простой сустав.'],2,Sheet1
"Профессор работал лектором на курсах подготовки к сдаче экзамена на получение адвокатской лицензии. После 10 лет работы на этих курсах его внезапно уволили. Поскольку профессор был очень популярным и уважаемым человеком в этой сфере, его увольнение вызвало много предположений и интереса. Репортер местного юридического журнала позвонил административному директору курсов и поинтересовался, почему профессора уволили. Директор ответил репортеру, что профессора уволили, потому что президент курсов посчитал, что профессор присвоил деньги. На следующий день репортер написал статью, которая была опубликована в юридическом журнале, в которой цитировались слова директора и утверждалось, что профессора «уволили, потому что он присвоил деньги». Позже выяснилось, что профессор не был виновен в каких-либо противоправных действиях и не присваивал средства. Если профессор подаст иск о клевете против юридического журнала, он, скорее всего, добьется успеха.",профессиональное_право," [«Преимущество будет достигнуто, если профессор докажет злой умысел». «Преимущество будет достигнуто, если газета проявила халатность, не выяснив, действительно ли профессор присвоил какие-либо средства». «Преимущество не будет достигнуто, поскольку директор лишь высказал мнение о причине увольнения профессора». «Преимущество не будет достигнуто, поскольку юридический журнал просто повторял то, что ему сообщил источник».]",1,Sheet1
 Маркетинговые исследования:, маркетинг,"['Работа, проводимая для понимания того, как принимать конкретные решения в области маркетинговой стратегии.' 'Сбор и анализ данных на основе выборки или переписи отдельных лиц или организаций.' 'Включает все формы рыночных, социологических и социальных исследований, такие как потребительские и отраслевые опросы.' 'Работа, проводимая для определения структурных характеристик интересующей отрасли.']",0,Sheet1
 Световые реакции фотосинтеза обеспечивают цикл Кальвина следующими веществами:, биология для старшей школы," ['Световые реакции обеспечивают кислородом светонезависимые реакции.' 'АТФ и НАДФН обеспечивают энергию и сырье для цикла Кальвина.' 'Вода, поступающая в растение через корни, обеспечивает водородом непосредственно цикл Кальвина.' 'CO2, выделяемый в результате светозависимых реакций, обеспечивает сырьем для цикла Кальвина.']",1,Sheet1
