id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_a,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
7036,https://itest.kz/kz/endless,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),Шарап жасайтын зауыттар орналасқан облыстар:,"Ақтөбе, Тараз","Шымкент, Тараз","Алматы, Оңтүстік Қазақстан","Алматы, Тараз",,C,test,question: Шарап жасайтын зауыттар орналасқан облыстар:,"A)
question: Шарап өндіретін зауыттар орналасқан облыстар:

B)
question: Вино жасайтын кәсіпорындар орналасқан аймақтар:

C)
question: Шарап дайындайтын өндіріс орындары жайғасқан аймақтар:

D)
question: Шарап өндіретін кәсіпорындар орналасқан облыстар:",question: Шарап өндіретін зауыттар орналасқан облыстар:,question: Вино жасайтын кәсіпорындар орналасқан аймақтар:,question: Шарап дайындайтын өндіріс орындары жайғасқан аймақтар:,question: Шарап өндіретін кәсіпорындар орналасқан облыстар:,E,E,E,E,E
21827,https://itest.kz/kz/endless,Humanities,World_History,High School,Kazakh,World History (High School in kaz),Ежелгі Хетт мемлекеті қазіргі мына елдің территориясында орналасқан:,Иран,Түркия,Сирия,Ирак,,B,test,question: Ежелгі Хетт мемлекеті қазіргі мына елдің территориясында орналасқан:,"A)
question: Бұрынғы Хетт мемлекеті қазіргі осы елдің аумағында орналасқан:

B)
question: Ерте Хетт мемлекеті қазіргі осы елдің аумағында орналасқан:

C)
question: Бұрынғы Хетт патшалығы қазіргі мына елдің территориясында орналасқан:

D)
question: Тарихи Хетт патшалығы қазіргі осы елдің аумағында жайғасқан:",question: Бұрынғы Хетт мемлекеті қазіргі осы елдің аумағында орналасқан:,question: Ерте Хетт мемлекеті қазіргі осы елдің аумағында орналасқан:,question: Бұрынғы Хетт патшалығы қазіргі мына елдің территориясында орналасқан:,question: Тарихи Хетт патшалығы қазіргі осы елдің аумағында жайғасқан:,E,E,E,E,E
11833,https://ymnik.kz/tests_old/literature_kz/?v=37,Humanities,Kazakh_Literature,High School,Kazakh,Kazakh Literature (High School in kaz),Импровизация деген сөздің мәнін көрсетіңіз.,Еңбек адамының бақытты өмірін суреттейтін өлең.,Күлкілі пьеса немесе көрініс.,"Прозалық,  поэзиялық шығарманы сахнаға лайықтап қайта жазу.",Дауыс толқыны.,Өлеңді тұтқиылдан суырып салу өнері.,E,test,question: Импровизация деген сөздің мәнін көрсетіңіз.,"A)
question: Ойдан шығарма деген сөздің мәнін көрсетіңіз.

B)
question: Жедел ойлау деген сөздің мәнін көрсетіңіз.

C)
question: Шұғыл ойлап табу деген сөздің мәнін көрсетіңіз.

D)
question: Кездейсоқ орындау деген сөздің мәнін көрсетіңіз.",question: Ойдан шығарма деген сөздің мәнін көрсетіңіз.,question: Жедел ойлау деген сөздің мәнін көрсетіңіз.,question: Шұғыл ойлап табу деген сөздің мәнін көрсетіңіз.,question: Кездейсоқ орындау деген сөздің мәнін көрсетіңіз.,E,E,E,E,E
2582,https://oltest.kz/tests/biologiya/,STEM,Biology,University,Russian,Biology (Professional & University in rus),Все глубже лежащие отделы ЦНС функционально подчинены:,"
промежуточному мозгу",коре большого мозга,коре мозжечка,ретикулярной формации,ретикулярной формации,B,test,question: Все глубже лежащие отделы ЦНС функционально подчинены:,"A)
question: Более глубоко расположенные отделы ЦНС функционально подчинены:

B)
question: Все глубже расположенные отделы ЦНС функционально подчинены:

C)
question: Все глубже расположенные части ЦНС функционально подчинены:

D)
question: Все глубже лежащие структуры ЦНС функционально подчинены:",question: Более глубоко расположенные отделы ЦНС функционально подчинены:,question: Все глубже расположенные отделы ЦНС функционально подчинены:,question: Все глубже расположенные части ЦНС функционально подчинены:,question: Все глубже лежащие структуры ЦНС функционально подчинены:,E,E,E,E,E
21788,https://ymnik.kz/tests_old/worldhistory_kz/?v=28,Humanities,World_History,High School,Kazakh,World History (High School in kaz),Концентрациялық өлім лагерінде фашистер жүргізген жою саясаты:,Шовинизм.,Апартеид.,Нәсілшілдік.,Геноцид.,Сионизм.,D,test,question: Концентрациялық өлім лагерінде фашистер жүргізген жою саясаты:,"A)
question: Концентрацияланған өлім лагерінде фашистік күштер жүзеге асырған жою саясаты:

B)
question: Концентрациялық қаза лагерінде фашистік басқыншылар жүргізген жою саясаты:

C)
question: Концентрацияланған қырғын лагерінде фашистер орындаған жою саясаты:

D)
question: Концентрациялық қырғын лагерінде фашистік күштер іске асырған жою саясаты:",question: Концентрацияланған өлім лагерінде фашистік күштер жүзеге асырған жою саясаты:,question: Концентрациялық қаза лагерінде фашистік басқыншылар жүргізген жою саясаты:,question: Концентрацияланған қырғын лагерінде фашистер орындаған жою саясаты:,question: Концентрациялық қырғын лагерінде фашистік күштер іске асырған жою саясаты:,E,E,E,E,E
7655,https://itest.kz/ru/endless,Social Science,Geography,High School,Russian,Geography (High School in rus),Долгота характеризуется,Отношением к северо-востоку и юго-западу,Отношением к северу и югу,Отношением к востоку и западу,Направлениями «вперед» и «назад»,,C,test,question: Долгота характеризуется,"A)
question: Географическая долгота характеризуется

B)
question: Долготная координата характеризуется

C)
question: Долгота описывается

D)
question: Географическая долгота определяется",question: Географическая долгота характеризуется,question: Долготная координата характеризуется,question: Долгота описывается,question: Географическая долгота определяется,E,E,E,E,E
7631,https://ymnik.kz/tests_old/geography/?v=64,Social Science,Geography,High School,Russian,Geography (High School in rus),Реки Аральского бассейна:,"Сырдарья, Шу.","Ишим, Каратал","Лепсы, Тентек.",Урал Эмба.,"Иртыш, Тобол",A,test,question: Реки Аральского бассейна:,"A)
question: Водотоки Аральского водосбора:

B)
question: Речные потоки Аральского бассейна:

C)
question: Ручьи Аральского бассейна:

D)
question: Водные артерии Аральского водосбора:",question: Водотоки Аральского водосбора:,question: Речные потоки Аральского бассейна:,question: Ручьи Аральского бассейна:,question: Водные артерии Аральского водосбора:,E,E,E,E,E
4110,https://itest.kz/ru/endless,STEM,Chemistry,High School,Russian,Chemistry (High School in rus),Валентный угол связи в молекуле \(H_2O\),120°,"104,5°",180°,90°,,B,test,question: Валентный угол связи в молекуле \(H_2O\),"A)
question: Valence bond angle in the molecule \(H_2O\)

B)
question: Bonding angle in the molecule \(H_2O\)

C)
question: Valency angle of the bond in the molecule \(H_2O\)

D)
question: Bond angle in the molecule \(H_2O\)",question: Valence bond angle in the molecule \(H_2O\),question: Bonding angle in the molecule \(H_2O\),question: Valency angle of the bond in the molecule \(H_2O\),question: Bond angle in the molecule \(H_2O\),E,E,E,E,E
8217,https://itest.kz/ru/endless,STEM,Informatics,High School,Russian,Informatics (High School in rus),"Объем изображения размером 200х480 пикселей, каждый из которых кодируется 32 битами. Объем информации данного изображения в Килобайтах равен",375,"0,37",3000,475,,A,test,"question: Объем изображения размером 200х480 пикселей, каждый из которых кодируется 32 битами. Объем информации данного изображения в Килобайтах равен","A)
question: Объем картинки размером 200х480 пикселей, каждый из которых кодируется 32 битами. Объем информации этого изображения в Килобайтах равен

B)
question: Величина изображения размером 200х480 пикселей, каждый из которых кодируется 32 битами. Объем информации данного изображения в Килобайтах равен

C)
question: Размер рисунка размером 200х480 пикселей, каждый из которых кодируется 32 битами. Объем информации данного изображения в Килобайтах равен

D)
question: Объем изображения размером 200х480 пикселей, каждый из них кодируется 32 битами. Объем информации данного изображения в Килобайтах равен","question: Объем картинки размером 200х480 пикселей, каждый из которых кодируется 32 битами. Объем информации этого изображения в Килобайтах равен","question: Величина изображения размером 200х480 пикселей, каждый из которых кодируется 32 битами. Объем информации данного изображения в Килобайтах равен","question: Размер рисунка размером 200х480 пикселей, каждый из которых кодируется 32 битами. Объем информации данного изображения в Килобайтах равен","question: Объем изображения размером 200х480 пикселей, каждый из них кодируется 32 битами. Объем информации данного изображения в Килобайтах равен",E,D,E,E,E
10813,https://itest.kz/kz/endless,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),Дауыссыз дыбыстардың түрі,Ашық,Үнді,Еріндік,Езулік,,B,test,question: Дауыссыз дыбыстардың түрі,"A)
question: Дауысты емес дыбыстардың түрі

B)
question: Дауысы жоқ дыбыстардың түрі

C)
question: Дауыссыз фонемалардың түрі

D)
question: Дауысы жоқ фонемалардың түрі",question: Дауысты емес дыбыстардың түрі,question: Дауысы жоқ дыбыстардың түрі,question: Дауыссыз фонемалардың түрі,question: Дауысы жоқ фонемалардың түрі,E,E,E,E,E
