"мәтін1","мәтін2","жапсырма","idx","белгі_мәтіні"
" Массачусетс Жоғарғы Сот соты штаттағы лесбиянкалар мен гей жұптардың некеге тұруына жол ашып, үкіметтік адвокаттар оларға бұл құқықты бермеу үшін «конституциялық тұрғыдан жеткілікті себеп таба алмады» деп шешті.","АҚШ Жоғарғы Соты бір жынысты некеге рұқсат берді","0","98","тарту"
"Олимп тауы жердің ортасынан көтеріліп тұр.","Олимп тауы жердің орталығында орналасқан.","0","135","тарту"
"Соңғы шабуылдар АҚШ елшілігі мен Өзбекстан астанасындағы жоғары прокуратураға бағытталған.","Кеше Өзбекстан астанасындағы Израиль елшілігінің кіреберісінде болған террористік жарылыстар екі адамның өмірін қиды.","1","230","міндеттеме емес"
" NIH-тің 2005 қаржы жылына арналған 28,8 миллиард доллар көлеміндегі бюджеттік сұрауы Ұлттық жалпы медициналық ғылымдар институты үшін 3,4 пайызға өсіммен 2 миллиард долларды және Ұлттық зерттеу ресурстары орталығына 1,1 миллиард долларды және 2004 қаржы жылымен салыстырғанда 7,2 пайызға төмендеуді қамтиды."," Сұраныс 1,1 миллиард долларға дейін қысқартылды","1","223","міндеттеме емес"
" Джакарта Рая қаласының астаналық ауданымен қатар орналасқан, ол Яваның солтүстік-батыс жағалауындағы Чиливунг (Ливунг өзені) сағасында орналасқан.","Джакарта Ява аралының солтүстік-батыс жағалауындағы Чиливунг (Ливунг) өзенінің сағасында орналасқан.","0","170","тарту"
"Жоғарғы Сот бүгін штаттар өз тілектерін білдірмеген немесе білдіре алмайтын комадағы науқастарға өмірді сақтап қалатын емдеуді тоқтатуға тыйым салуы мүмкін деп мәлімдеді.","Өмірді қамтамасыз ету жүйесін алып тастау туралы Жоғарғы Сот шешімі бар.","0","97","тарту"
" Шарль де Голль 1970 жылы сексен жасында қайтыс болды. Осылайша, ол елу жаста еді, жақында бригада генералы (уақытша) шеніне көтерілген белгісіз офицер ретінде ол 1940 жылдың мамыр-маусым айларындағы дағдарыстан кейін Францияның нацистерге берілуін жоққа шығарып, Лондоннан әйгілі хабарын жасады.","Шарль де Голль 1970 жылы қайтыс болды.","0","17","тарту"
" «Доктор Өлім» деген атпен танымал Джек Кеворкянның Мичиган штатындағы суицидке көмектесуге тыйым салуды бұзған-бұзбағанын алғаш рет қазылар алқасы шешуі керек, ал штат науқастар өмірін қию арқылы ауырсынуын тоқтатқысы келгенде не істеу керектігін шешу мәселесін шешуді жалғастыруда.","Джек Кеворкян - «Доктор Өлімнің» шын есімі.","0","13","тарту"
" Словенияның астанасы - Любляна, халқы 270 000 адам.","Словенияда 270 000 халық тұрады.","1","270","міндеттеме емес"
" Шамамен бес айдан кейін, 1935 жылы 24 қаңтарда MOHAWK жолаушылар кемесі норвегиялық TALISMAN моторлы кемесімен соқтығысып, батып кетті, нәтижесінде 45 адам қаза тапты.","Паром апатынан 100 немесе одан да көп адам қаза тапты.","1","192","міндеттеме емес"
"Германия археологиялық институтының зерттеушілері Моңғолиядағы қазба жұмыстары кезінде мәңгілік мұзда шамамен 2500 жылдық мумия тапты.","Алтай мұз қызы үлкен дау тудырды.","1","203","міндеттеме емес"
"Романо Проди Еуропалық комиссияның төрағасы ретінде АҚШ президенті Джордж Бушпен кездеседі.","Романи Проди - АҚШ президенті.","1","163","міндеттеме емес"
"Марк Аллен Коннелли (сол кезде жерлеу қызметтері комиссиясының бас кеңесшісі болған) жазып, Дик МакНейлге (Буш тағайындаған жерлеу комиссиясының төрағасы) жіберген жазбада Коннеллидің Техас штатының шенеуніктерінен екі жерлеу комиссары SCI-де жұмыс істейтіні туралы «ақпарат алғаны» айтылған.","Марк Аллен Коннелли SCI компаниясында жұмыс істеді.","1","172","міндеттеме емес"
" Сан-Диего Падрес командасының шабуылшысы Джейк Пиви «Сент-Луис Кардиналсқа» қарсы ойында 8-5 есебімен жеңіліп, жарақат алды.","Сан-Диего Падрес командасы Сент-Луис Кардиналс командасына қарсы ойында жеңіске жетті.","1","25","міндеттеме емес"
"Миллер түсіндіргендей, қате жазылған емле оның жазбаларының Либбимен сұхбаттарға қатысы жоқ бөлімінде орын алған. Басқа жазбаларда Либбимен 2003 жылы жүргізілген 3 сұхбат құжатталған, онда ол өзінің NYT бағанында былай деп жазған: 23 маусым) ... Либби мырза Уилсон мырзаның әйелі туралы тақырыпты алғаш рет көтерді. Мен жазбаларымның ішінде жақшаның ішінде: «Әйелі бюрода жұмыс істей ме?» деп жаздым. Мен Фицджеральд мырзаға Уилсон мырзаның әйелі ЦРУ-да жұмыс істеуі мүмкін екендігі туралы маған алғаш рет айтылғанын айттым.","Джудит Миллер New York Times газетінде жұмыс істейді.","0","195","тарту"
" 12 шілдеде Португалия президенті Хорхе Сампайо Педро Сантана Лопестен үкімет құруды сұрайды. Жаңа үкімет 17 шілдеде ант береді және оған сыртқы істер министрі ретінде Антонио Монтейро, ішкі істер министрі ретінде Даниэль Санчес және қаржы министрі ретінде Антонио Баго Фликс кіреді; Пауло Портас қорғаныс министрі болып қалады.","Португалияның жаңа премьер-министрі сайланды.","0","129","тарту"
" Өйткені, Уилсон Offspring-тің үш альбомының барлығын шығарды, соның ішінде төрт ай ішінде 1 миллион дана сатылыммен барлығын таң қалдырған «Smash» альбомы да бар, бұл бұрын-соңды белгісіз болған топты Green Day тобымен бірге панк үшін бұрын-соңды болмаған коммерциялық табыс толқынының көшбасшысы ретінде танытты.","«Smash» - Offspring тобының үшінші альбомының атауы.","1","147","міндеттеме емес"
"«Шекарасыз дәрігерлер»/«Шекарасыз дәрігерлер» (MSF) халықаралық гуманитарлық көмек ұйымы Дарфурдағы барлық жерлерде зорлық-зомбылық құрбандарын емдеуді жалғастыруда.","«Шекарасыз дәрігерлер» - халықаралық көмек ұйымы.","0","10","тарту"
" Табиғаттағы алып пандалардың санының бүгінгі таңдағы ең жақсы бағасы - Қытайдың Сычуань провинциясында, сондай-ақ Шэньси мен Ганьсу провинцияларында 32 бөлек популяцияда тіршілік ететін шамамен 1100 дара.","Қытайда жабайы табиғатта 32 панда бар.","1","167","міндеттеме емес"
" Карачи қалалық ауруханасының дәрігері Икрар Аббасидің айтуынша, қаза тапқандардың бірі ата-анасымен бірге өтіп бара жатқан бала болған.","Дәрігер ата-анасының қолынан қаза тапты.","1","72","міндеттеме емес"
"Каирде қазір шамамен 15 миллион адам тұрады - бұл күн сайын шамамен 10 000 тонна қоқыс шығаратын өсіп келе жатқан халық, бұл қоғамдық қызметтерге үлкен жүктеме түсіреді. Соңғы 10 жылда үкімет қоқыс секторына жеке инвестицияларды ынталандыруға тырысты, бірақ кейбір мәліметтер бойынша күн сайын 4000 тонна қалдық қалады, олар біреудің тазалауын күтіп, ыстықта пісіп кетеді. Көбінесе ең кедей аудандардағы адамдар ең көп зардап шегеді. Бірақ кейбір аудандарда олар қарсы күресуде. Қаланың солтүстік аудандарының бірі Шубрада тұрғындар қоғамдық қоқыс төгетін орындар ретінде пайдаланылған қоғамдық орындарды тазалау үшін қоқыс жәшіктері мен щеткалармен қаруланып көшеге шықты.","Каирде күн сайын 15 миллион тонна қоқыс шығарылады.","1","2","міндеттеме емес"
" Ирактағы коалицияның жоғары лауазымды шенеунігінің айтуынша, АҚШ әскери полициясы Бағдадтың батысында тапқан мәйіт көліктен лақтырылған сияқты.","АҚШ әскери полициясы мәйітті тапты.","0","259","тарту"
"«Қолдар бөліну арқылы» қозғалысы 2001 жылдың наурыз айында құрылды және оның тікелей мақсаттарының бірі Кипрдің екі бөлігі арасында байланыс пен коммуникация еркіндігін тез арада қамтамасыз ету және «Кипр мәселесін» шешуге бағытталған ерте ілгерілеу болды.","Кипр 2001 жылдың наурыз айында екі бөлікке бөлінді.","1","36","міндеттеме емес"
" Қайтыс болған АҚШ сарбаздары мен олардың заттары Жапонияға эвакуацияланып, содан кейін АҚШ-та жерлеу үшін тоңазытқыш контейнерлерде үйлеріне жеткізілді.","АҚШ әскерилері АҚШ азаматтарын эвакуациялады.","1","15","міндеттеме емес"
"Өлім жазасы тежеуші фактор ретінде әрекет етеді.","Өлім жазасы қылмыстың алдын алудың құралы болып табылады.","0","197","тарту"
" Бұл мақалада осы дәлелдің екі жағы да ұсынылған, бірақ бұл мақалада есірткіні заңдастыру қоғамымыз үшін зиянды болатынын баса көрсету әрекеті көрсетілген.","Есірткіні заңдастырудың пайдасы бар.","1","113","міндеттеме емес"
"Аргентина министрінің ресми сапары Ұлыбритания мен Аргентина қарым-қатынастарын қалыпқа келтірудегі тағы бір қадам болып табылады.","Аргентина мен Ұлыбритания арасындағы қарым-қатынастар ынтымақтастықты арттырып келеді.","1","83","міндеттеме емес"
" Негізгі теміржол компаниясы үшін неміс, француз және итальян тілдерінде SBB, CFF және FFS ерекшеленетінін ескеріңіз.","Француз теміржол компаниясы SNCF деп аталады.","1","138","міндеттеме емес"
" Эсхил б.з.д. 525 жылы дүниеге келген және жастық шағын Афина әскерінде сарбаз ретінде өткізген. Ол «Парсылар» атты еңбегін 53 жасында жазған, бірақ бұл оның бізге жеткен ең алғашқы еңбегі.","«Парсыларды» Эсхил жазған.","0","262","тарту"
