question,choice_A,choice_B,choice_C,choice_D,answer,category,split
"What did Madam Bhikaji Cama, M. Barkatullah, V.V.S. Iyer, and M.N. Roy have in common?", All of them were among the prominent revolutionaries outside India operating in different countries during the freedom movement, M. Barkatullah was the Prime Minister and the rest were ministers in the Provisional Government of free India established by a group of revolutionaries at Kabul, All of them were leading members of the International Communist Movement, All of them were accused in the case relating to the throwing of a bomb on Lord Hardinge,A,,val
The Hill-Climbing approach encounters difficulties for the following reasons., Plateaux, Ridges, Local maxima, All of above,C,,val
What is the typical particle size of cement?, 100 microns, 45 microns, None of the other choices, 75 microns,C,,val
Which of the following options is incorrect?, Tape format D7 is the SMPTE ratified standard for Panasonics DVCPRO., Tape format D10 is the SMPTE ratified standard for Sony IMX., Tape format D8 is the SMPTE ratified standard for Sony Digital-8., Tape format D11 is the SMPTE ratified standard for Sony HDCAM.,C,,val
A Horn clause is a clause that contains _______ positive literal., None, At least one, All, At most one,B,,val
A primary focus on reminder advertising and sales promotion is emphasized during ___________., existing non-durable brand., None of the other choices, the products which is in saturation stage of its life cycle., existing durable brand.,A,,val
"The three themes in the study of delinquency are delinquency prevention, delinquency across the life course, and delinquency and ________.", historical policy, economic policy, social policy, legal policy,C,,val
"When deficiency symptoms of an element appear first in young leaves, it indicates that the element is relatively immobile. Which of the following elemental deficiencies would exhibit these symptoms?", nitrogen, potassium, sulphur, magnesium,C,,val
Which cognitive changes during adolescence contribute to enhanced critical thinking?, Improvement in concrete thinking., Engaging in imaginary audience and personal story processes., None of the other choices, Increased breadth of content knowledge in a variety of domains.,D,,val
Which field in the `cdc.lsn_time_mapping` table has a `varbinary` data type?, tran_begin_time, start_lsn, tran_id, All of the mentioned,A,,val
"What is the type of reasoning called that necessitates drawing a conclusion beyond the presented information, relying on your own background knowledge?", divergent, descriptive, inferential, convergent,D,,val
Why is trust essential for developing social capital?, Contracts between a firm and its suppliers cannot be enforced., Contracts do not exist between a firm and its customers., Partners must be confident that neither party will take advantage of the other ., Firms must be reassured that they will be reimbursed for their expenses.,C,,val
