id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
9689,https://ymnik.kz/tests_old/history/?v=59,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),"Выдающийся востоковед, академик, опубликовавший серию текстов «Образцы народной литературы тюркских племен»:",П.П.Семенов-Тянь-Шанский.,Н.А.Северцов.,А.И.Добромыслов.,И.В.Мушкетов.,В.В.Радлов.,E,test,"Выдающийся востоковед, академик, опубликовавший серию текстов «Образцы народной литературы тюркских племен»:","A)
Знаменитый тюрколог, член академии, выпустивший цикл трудов «Образцы народной литературы тюркских племен»:

B)
Прославленный востоковед, ученый, напечатавший подборку работ «Образцы народной литературы тюркских племен»:

C)
Именитый исследователь Востока, академик, издавший комплекс сочинений «Образцы народной литературы тюркских племен»:

D)
Видный востоковед, действительный член академии, представивший ряд материалов «Образцы народной литературы тюркских племен»:","Знаменитый тюрколог, член академии, выпустивший цикл трудов «Образцы народной литературы тюркских племен»:","Прославленный востоковед, ученый, напечатавший подборку работ «Образцы народной литературы тюркских племен»:","Именитый исследователь Востока, академик, издавший комплекс сочинений «Образцы народной литературы тюркских племен»:","Видный востоковед, действительный член академии, представивший ряд материалов «Образцы народной литературы тюркских племен»:",D,B,C,A
693,https://ymnik.kz/tests_old/biology_kz/?v=34,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Дәрумендер (витаминдер)... түзілуіне қатысады.,тұздардың,гормондардың,көмірсулардың,майлардың,ферменттердің,E,test,Дәрумендер (витаминдер)... түзілуіне қатысады.,"A)
Витаминдер (дәрумендер)... құрылуына араласады.

B)
Биологиялық белсенді заттар (витаминдер)... пайда болуына септігін тигізеді.

C)
Дәрумендер (өмірлік маңызды заттар)... қалыптасуына атсалысады.

D)
Витаминдер (дәрумендер)... жасалуына қатысады.",Витаминдер (дәрумендер)... құрылуына араласады.,Биологиялық белсенді заттар (витаминдер)... пайда болуына септігін тигізеді.,Дәрумендер (өмірлік маңызды заттар)... қалыптасуына атсалысады.,Витаминдер (дәрумендер)... жасалуына қатысады.,D,D,D,D
10829,https://itest.kz/kz/endless,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),"Көп нүктенің орнына қай еліктеу сөз қойылатынын белгілеңіз. ...-... басқан, ... басқан, Шудаларын шаң басқан.","Гүрс-гүрс, гүрс","Тарс-тарс, тарс","Елп-елп, елп","Маң-маң, маң",,D,test,"Көп нүктенің орнына қай еліктеу сөз қойылатынын белгілеңіз. ...-... басқан, ... басқан, Шудаларын шаң басқан.","A)
Көп нүктенің орнына қай еліктеуіш сөз қойылатынын анықтаңыз. ...-... аяңдаған, ... аяңдаған, Түктерін шаң басқан.

B)
Көп нүктенің тұсына қай еліктеуіш сөз жазылатынын көрсетіңіз. ...-... жүрген, ... жүрген, Жүндерін шаң басқан.

C)
Көп нүктенің орнына қай бейнелеуіш сөз қойылатынын таңдаңыз. ...-... аттаған, ... аттаған, Түбіттерін шаң басқан.

D)
Көп нүктенің жеріне қай еліктеу сөзі қойылатынын табыңыз. ...-... қозғалған, ... қозғалған, Түктерін тозаң басқан.","Көп нүктенің орнына қай еліктеуіш сөз қойылатынын анықтаңыз. ...-... аяңдаған, ... аяңдаған, Түктерін шаң басқан.","Көп нүктенің тұсына қай еліктеуіш сөз жазылатынын көрсетіңіз. ...-... жүрген, ... жүрген, Жүндерін шаң басқан.","Көп нүктенің орнына қай бейнелеуіш сөз қойылатынын таңдаңыз. ...-... аттаған, ... аттаған, Түбіттерін шаң басқан.","Көп нүктенің жеріне қай еліктеу сөзі қойылатынын табыңыз. ...-... қозғалған, ... қозғалған, Түктерін тозаң басқан.",A,A,A,A
467,https://ymnik.kz/tests_old/biology_kz/?v=5,STEM,Biology,High School,Kazakh,Biology (High School in kaz),"Атақты селекционер, ғалым:",С.П.Боткин.,И.П.Павлов.,И.В.Мичурин.,И.И.Мечников.,И.М.Сеченов.,C,test,"Атақты селекционер, ғалым:","A)
Әйгілі сұрыптаушы, зерттеуші:

B)
Белгілі асылдандырушы, маман:

C)
Даңқты селекцияшы, оқымысты:

D)
Көрнекті түрлендіруші, білгір:","Әйгілі сұрыптаушы, зерттеуші:","Белгілі асылдандырушы, маман:","Даңқты селекцияшы, оқымысты:","Көрнекті түрлендіруші, білгір:",C,B,C,D
17964,https://itest.kz/ru/endless,STEM,Physics,High School,Russian,Physics (High School in rus),"Концентрация молекул паров ртути в одном кубическом метре воздуха \(3\cdot10^{16}\: м^{-3} \). Масса ртути в воздухе 
\((M=200\cdot10^{-3}\: кг/моль, \: N_A=6\cdot10^{23}\: моль^{-1})\)",\(10^{-8}\:кг\),\(10^{-6}\:кг\),\(10^{-9}\:кг\),\(10^{-10}\:кг\),,A,test,"Концентрация молекул паров ртути в одном кубическом метре воздуха \(3\cdot10^{16}\: м^{-3} \). Масса ртути в воздухе 
\((M=200\cdot10^{-3}\: кг/моль, \: N_A=6\cdot10^{23}\: моль^{-1})\)","A)
Плотность молекул испарений ртути в одном кубическом метре атмосферы \(3\cdot10^{16}\: м^{-3} \). Вес ртути в атмосфере 
\((M=200\cdot10^{-3}\: кг/моль, \: N_A=6\cdot10^{23}\: моль^{-1})\)

B)
Содержание молекул газа ртути в единице объёма воздуха \(3\cdot10^{16}\: м^{-3} \). Масса металла в воздухе 
\((M=200\cdot10^{-3}\: кг/моль, \: N_A=6\cdot10^{23}\: моль^{-1})\)

C)
Количество молекул паров гидраргирума в одном кубическом метре кислорода \(3\cdot10^{16}\: м^{-3} \). Масса вещества в газе 
\((M=200\cdot10^{-3}\: кг/моль, \: N_A=6\cdot10^{23}\: моль^{-1})\)

D)
Число молекул ртутных паров в одном кубометре воздушной среды \(3\cdot10^{16}\: м^{-3} \). Масса ртути в среде 
\((M=200\cdot10^{-3}\: кг/моль, \: N_A=6\cdot10^{23}\: моль^{-1})\)","Плотность молекул испарений ртути в одном кубическом метре атмосферы \(3\cdot10^{16}\: м^{-3} \). Вес ртути в атмосфере 
\((M=200\cdot10^{-3}\: кг/моль, \: N_A=6\cdot10^{23}\: моль^{-1})\)","Содержание молекул газа ртути в единице объёма воздуха \(3\cdot10^{16}\: м^{-3} \). Масса металла в воздухе 
\((M=200\cdot10^{-3}\: кг/моль, \: N_A=6\cdot10^{23}\: моль^{-1})\)","Количество молекул паров гидраргирума в одном кубическом метре кислорода \(3\cdot10^{16}\: м^{-3} \). Масса вещества в газе 
\((M=200\cdot10^{-3}\: кг/моль, \: N_A=6\cdot10^{23}\: моль^{-1})\)","Число молекул ртутных паров в одном кубометре воздушной среды \(3\cdot10^{16}\: м^{-3} \). Масса ртути в среде 
\((M=200\cdot10^{-3}\: кг/моль, \: N_A=6\cdot10^{23}\: моль^{-1})\)",D,B,C,D
10986,https://ymnik.kz/tests_old/kazakh_kz/?v=38,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),"Баяндауыш құрамында келетін ""жөн"" сөзі қайсысына тән.",Жақты.,Толымсыз,Атаулы.,Жақсыз.,Толымды.,D,test,"Баяндауыш құрамында келетін ""жөн"" сөзі қайсысына тән.","A)
Баяндауыш сыныбында кездесетін ""жөн"" лексемасы қайсысына лайық.

B)
Баяндауыш тобында ұшырасатын ""жөн"" атауы қайсысына қатысты.

C)
Баяндауыш ішінде қолданылатын ""жөн"" термині қайсысына тән.

D)
Баяндауыш құрылымында жүретін ""жөн"" бірлігі қайсысына сай.","Баяндауыш сыныбында кездесетін ""жөн"" лексемасы қайсысына лайық.","Баяндауыш тобында ұшырасатын ""жөн"" атауы қайсысына қатысты.","Баяндауыш ішінде қолданылатын ""жөн"" термині қайсысына тән.","Баяндауыш құрылымында жүретін ""жөн"" бірлігі қайсысына сай.",A,A,A,A
10648,https://itest.kz/ru/endless,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),"Казахское ханство относительно сильно ук­репилось экономически, из-за чего привлекло к нему и другие разрозненные ка­захские племена к",Концу XIV века,Концу XVII века,Концу XVI века,Концу XV века,,D,test,"Казахское ханство относительно сильно ук­репилось экономически, из-за чего привлекло к нему и другие разрозненные ка­захские племена к","A)
Казахское государство сравнительно мощно утвердилось финансово, вследствие чего притянуло к нему и прочие разрозненные казахские роды к

B)
Казахское владение в некоторой степени прочно консолидировалось хозяйственно, по причине чего склонило к нему и остальные разобщенные казахские общины к

C)
Казахское правительство достаточно серьезно закрепилось материально, отчего вовлекло к нему и иные разделенные казахские народности к

D)
Казахское княжество довольно значительно стабилизировалось ресурсно, благодаря чему присоседило к нему и другие разрозненные казахские кланы к","Казахское государство сравнительно мощно утвердилось финансово, вследствие чего притянуло к нему и прочие разрозненные казахские роды к","Казахское владение в некоторой степени прочно консолидировалось хозяйственно, по причине чего склонило к нему и остальные разобщенные казахские общины к","Казахское правительство достаточно серьезно закрепилось материально, отчего вовлекло к нему и иные разделенные казахские народности к","Казахское княжество довольно значительно стабилизировалось ресурсно, благодаря чему присоседило к нему и другие разрозненные казахские кланы к",A,A,C,D
7272,https://ymnik.kz/tests_old/geography/?v=10,Social Science,Geography,High School,Russian,Geography (High School in rus),Ильменский заповедник находится на,п-ове Таймыр.,Кольском п-ове.,Кавказе.,Урале.,Дальнем Востоке.,D,test,Ильменский заповедник находится на,"A)
Ильменский заказник располагается на

B)
Ильменский резерват размещается на

C)
Ильменский госзаповедник локализуется на

D)
Ильменский природоохранный парк пребывает на",Ильменский заказник располагается на,Ильменский резерват размещается на,Ильменский госзаповедник локализуется на,Ильменский природоохранный парк пребывает на,A,A,C,D
11485,https://ymnik.kz/tests_old/kazakh_kz/?v=38,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),“Айгүлдің әжесі”тіркесінің лексика-грамматикалық мағынасын айқындаңыз.,Туыстық мағына.,Көлемдік мағына.,Қимыл-сындық мағына.,Бүтіннің бөлшекке қатысы.,Істің мақсаты.,A,test,“Айгүлдің әжесі”тіркесінің лексика-грамматикалық мағынасын айқындаңыз.,"A)
“Айгүлдің әжесі”тіркесінің сөздік-құрылымдық мазмұнын белгілеңіз.

B)
“Айгүлдің әжесі”тіркесінің семантика-морфологиялық мәнін көрсетіңіз.

C)
“Айгүлдің әжесі”тіркесінің мағыналық-синтаксистік сипатын анықтаңыз.

D)
“Айгүлдің әжесі”тіркесінің ұғымдық-категориялық түсінігін нақтылаңыз.",“Айгүлдің әжесі”тіркесінің сөздік-құрылымдық мазмұнын белгілеңіз.,“Айгүлдің әжесі”тіркесінің семантика-морфологиялық мәнін көрсетіңіз.,“Айгүлдің әжесі”тіркесінің мағыналық-синтаксистік сипатын анықтаңыз.,“Айгүлдің әжесі”тіркесінің ұғымдық-категориялық түсінігін нақтылаңыз.,A,A,A,A
18457,https://itest.kz/ru/endless,STEM,Physics,High School,Russian,Physics (High School in rus),Беспорядочное движение молекул в теле называется,Испарение,Тепловое движение,Кипение,Сублимация,,B,test,Беспорядочное движение молекул в теле называется,"A)
Хаотичное перемещение частиц в объекте именуется

B)
Неупорядоченное смещение микрочастиц в структуре обозначается

C)
Произвольное передвижение элементов в субстанции зовется

D)
Сумбурное шествие атомов в организме величается",Хаотичное перемещение частиц в объекте именуется,Неупорядоченное смещение микрочастиц в структуре обозначается,Произвольное передвижение элементов в субстанции зовется,Сумбурное шествие атомов в организме величается,A,B,C,D
