мәтін1, мәтін2, жапсырма, idx, белгі_мәтіні
 Дренаж түктермен бітеліп қалған. Оны тазалау керек., Шашты тазалау керек.,0,0, міндеттеме емес
" Джейн Сюзанның есігін қақты, бірақ ол жауап бермеді.", Сьюзан жауап бермеді.,1,1, тарту
" Бет оны бөліп тастаған Саллиге ашуланған жоқ, себебі ол тоқтап, онға дейін санады."," Салли тоқтап, онға дейін санады.",0,2, міндеттеме емес
" Ешкім Facebook-ке қайғырып, жалғызсырау үшін кірмейді. Бірақ Висконсин университетінің психологы Джордж Линкольннің жаңа зерттеуі дәл осылай сезінуге мәжбүр ететінін айтады.", Facebook бізге дәл осылай әсер етеді.,1,3, тарту
" Ер адам баласының салмағы ауыр болғандықтан, оны көтере алмады.", Ұлының салмағы өте ауыр еді.,1,4, тарту
" Сьюзан Энннің ұлының көлік апатына ұшырағанын білгендіктен, оған бұл туралы айтты.", Энн оған бұл туралы айтып берді.,0,5, міндеттеме емес
"Томми балмұздағын тастағанда, Тимми күліп жіберді, сондықтан әкесі оған қатал қарады.", Әкесі Тиммиге қатал көзқараспен қарады.,1,6, тарту
" Менің және сахнаның арасында бағана бар, мен оның айналасын көре алмаймын.", Мен бағананың айналасын көре алмаймын.,1,7, тарту
 Қарашы! Дәл сол үйректің астында кішкентай балық жүзіп жүр! Тезірек қауіпсіз жерге қашып кетуі керек!, Үйректің тезірек қауіпсіз жерге қашып кетуі керек еді!,0,8, міндеттеме емес
" Бернард үкімет шенеунігіне үй шаруашылығына талап арыз берген кезде 21 жасқа толмағанын айтпағандықтан, ол ешқандай адал емес әрекет жасадым деп санамады. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алып қоя алады.", Оның 19 жаста екенін білетін кез келген адам оның талабын кез келген адамнан тартып ала алатын.,0,9, міндеттеме емес
" Заң жобасының демеушілері қалалық әкімдікке келгенде, бөлменің қарсыластарға толы екенін көріп таң қалды. Олар басым көпшілік болды.", Демеушілер басым көпшілік болды.,0,10,міндеттеме емес
 Мен ол ағашты балтамен шауып тастай алмаймын; ол тым жуан., Ағаш тым қалың.,1,11, тарту
" Үлкен шар стирофамнан жасалғандықтан, үстелдің үстінен құлап түсті.", Үлкен шар пенопласттан жасалған.,0,12, міндеттеме емес
" Мен лимон ағаштарында лимондар өсіп тұрған бақшаның суретін салуға тырыстым, бірақ олар шамдарға көбірек ұқсап шықты.", Лимон ағаштары шамдарға көбірек ұқсап шықты.,0,13, міндеттеме емес
 Мадонна жігітімен ұйықтағаны үшін жаттықтырушысын жұмыстан шығарды., Мадонна жігітімен ұйықтады.,0,14, міндеттеме емес
" Егер алаяқ Сэмді алдап кетсе, ол көп ақша алар еді.", Сэм көп ақша табатын еді.,0,15, міндеттеме емес
" Адвокат куәгерге сұрақ қойды, бірақ ол оны қайталаудан бас тартты.", Адвокат оны қайталаудан бас тартты.,1,16, тарту
Сұлы печеньесін барлығы қатты ұнатты; шоколадты печеньені бірнеше адам ғана ұнатты. Келесі жолы оларды азырақ жасауымыз керек., Сұлы печеньесін азырақ жасауымыз керек.,0,17, міндеттеме емес
 Боб тротуарда құлап түсті. Көп ұзамай ол Карлдың көмекке келе жатқанын көрді. Ол қатты ауырып жатқан еді., Карл қатты ауырып қалды.,0,18, міндеттеме емес
" Монкрифф мырза Честердің Нью-Йорктегі сәнді пәтеріне барып, оны ұлы Эдвардқа тиесілі деп ойлады. Нәтижесінде Монкрифф мырза Эдвардтың қаржылық қолдауына мұқтаж емес деген негізде оның жәрдемақысын алып тастау туралы шешім қабылдады.", Оған енді Честердің қаржылық қолдауы қажет емес.,0,19, міндеттеме емес
