question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split
4483,"Under standard temperature and pressure conditions, compare the relative rates at which inert gases,Ar, He, and Kr diffuse through a common orifice.",.1002 : .3002 : .4002,.3582 : .4582 : .0582,.2582 : .4998 : .3092,.1582 : .6008 : .2092,.1582 : .4998 : .1092,.2002 : .4002 : .1092,.1582 : .3998 : .2592,.2502 : .4502 : .1502,.2082 : .5998 : .1592,.1802 : .4802 : .2802,E,4,chemistry,stemez-Chemistry,,test
11541,"A friction cone clutch operates at 250 rpm and delivers 25 hp. Evaluate the required cone surface width if the clutch angleis 12°, the mean radius of the cone is 7(1 / 2) in., the maximumpermissible pressure is 30 psi and the coefficient offriction is 0.40.",2.0 in,2.5 in,2.8 in,1.2 in,1.8 in,3.0 in,1.0 in,1.5 in,1.6 in,3.5 in,H,7,engineering,stemez-MachineDesign,,test
8083,"In a set of 20 positive integers, at least how many pairs of numbers have a difference that is a multiple of 10?",15,10,2,30,5,9,20,25,18,35,B,1,math,theoremQA-Math,,test
984,"In 2006, an investor purchased a 100-acre tract located in a rural county. Shortly thereafter, the investor prepared a subdivision plan that created 90 one-acre residential building lots on this tract with the remaining 10-acre lot proposed for a public school building. In the investor's sales brochure promoting the subdivision, he stated that ""in addition to the close proximity of the proposed school for subdivision residents, the county school district would not need to expend tax money to acquire this property for school construction. "" In 2007, the subdivision plan was recorded with the county recorder's office. On January 15, 2009, the county school board voted to build a new school on the 10-acre tract. The investor's proposed designation of the 1 0-acre tract for construction of a school building would best be described as a (an)",equitable servitude.,easement for public use.,invalid legal agreement.,implied easement.,adverse possession.,restrictive covenant.,real estate lien.,unenforceable restriction.,right of way easement.,zoning regulation.,B,1,law,ori_mmlu-professional_law,,test
467,"Mr. Ed Williams, owner of a newspaper delivery service, bought a new truck for his business on the installment plan. The pertinent information is given below: Price of truck $3,000 Additional equipment 240 Sales tax 5% Insurance $ 60 Cash deposit $ 500 Used car allowance $ 732 Assume a 5% finance charge, find the amount to be financed, and deter-mine the amount to be paid each month to pay off the truck in one year",$196.50,"$2,800",$185.42,$195,"$2,068","$2,500","$2,341.50",$210.50,$2145,$220.75,D,3,business,stemez-Business,,test
5952,Erection in the male and vaginal lubrication in the female mark the __________ stage of sexual response.,resolution,relaxation,refractory,orgasm,pre-plateau,arousal,excitement,post-orgasm,recovery,plateau,G,6,other,ori_mmlu-human_sexuality,,test
12130,"The length of bus cycle in 8086/8088 is four clock cycles, T1, T2, T3, T4 and an indeterminate number of wait state clock cycles denoted by Tw. The wait states are always inserted between",T1 & T2,T2 & T3,T3 & T4,T4 & T1,,,,,,,C,2,engineering,ori_mmlu-electrical_engineering,,test
6790,"A 19-year-old Asian female college student comes to the university health center because of a 1-week history of nasal stuffiness, occasional clear rhinorrhea, and a mild sore throat. Two days ago, she began to feel hot, but she has not taken her temperature. Medical history is unremarkable and her only medication is an oral contraceptive. She has no history of allergies. She does not smoke cigarettes. BMI is 22 kg/m2 . Vital signs are temperature 38.1°C (100.6°F), pulse 88/min, respirations 16/min, and blood pressure 116/74 mm Hg. Physical examination discloses tenderness over the left maxillary sinus without purulent drainage. There is clear fluid behind the left tympanic membrane, enlarged tonsils bilaterally, and pain with tapping of the left upper incisors. Left frontal sinus does not transilluminate. Cardiopulmonary examination discloses no abnormalities. Which of the following is the most likely underlying mechanism of this patient's sinusitis?",Mucosal edema,Fungal infection,Bacterial infection,Chronic sinusitis,Oral contraceptive use,Viral infection,Allergic reaction,Immune system disorder,Nasal polyps,Eustachian tube dysfunction,A,0,health,ori_mmlu-professional_medicine,,test
6890,What is the main contrast between the short-run and long-run Phillips curve?,In the short run there is a negative relationship between inflation and unemployment and in the long run the relationship is positive.,In the short run there is a constant relationship between inflation and unemployment and in the long run the relationship is positive.,In the short run there is a constant relationship between inflation and unemployment and in the long run the relationship is negative.,In the short run there is a negative relationship between inflation and unemployment and in the long run the relationship is constant.,"In the short run there is a positive relationship between inflation and unemployment, in the long run the relationship is non-existent.","In the short run, inflation and unemployment are unrelated, while in the long run, there is a positive relationship.",In the short run there is a positive relationship between inflation and unemployment and in the long run the relationship is constant.,In the short run there is a positive relationship between inflation and unemployment and in the long run the relationship is negative.,"In the short run, inflation and unemployment are unrelated, while in the long run, there is a negative relationship.",,D,3,economics,ori_mmlu-high_school_macroeconomics,,test
6755,"A 13-month-old child is brought to the emergency department because of urticaria, swelling of the lips, and difficulty breathing immediately after eating an egg. A potential risk for hypersensitivity reaction is posed by vaccination against which of the following illnesses?",Influenza,Rotavirus,Human papillomavirus,Poliomyelitis,Measles,Meningitis,Varicella,Tuberculosis,Pertussis,Hepatitis,A,0,health,ori_mmlu-professional_medicine,,test
7466,"In making his original analysis of monopolistic competition, Edward Chamberlin assumed that all of the firms in an industry face similar cost and demand curves. What is the problem with this assumption?","The problem is that it assumes consumers have perfect information about all products, which is rarely the case.",The problem is that it does not account for the possibility of collusion among firms to set prices.,The problem is that firms would have different costs and face the same demand curves.,The problem is that it overlooks the impact of government regulations on cost structures and demand.,"The problem is that it assumes no barriers to entry or exit in the market, which is not realistic.",The problem is that product differentiation would mean that firms would have the same costs and face the same demand curves.,The problem is that it ignores the potential for economies of scale that could lead to cost differences among firms.,The problem is that product differentiation would mean that firms would have different costs and face different demand curves.,The problem is that firms would have the same costs and face the same demand curves.,The problem is that all firms would have different costs but face identical demand curves due to perfect competition.,H,7,economics,stemez-Economics,,test
10823," What is an example of ""mutual coercion, mutually agreed upon""?",all countries cooperating to change the existing incentive structure by introducing a system of enforceable sanctions to curb climate change.,the agreement of more powerful nations to require less powerful nations to curb greenhouse gas emissions for the benefit of all humanity.,the agreement of less powerful nations to boycott trade with more powerful nations until the latter agree to curb their greenhouse gas emissions.,the agreement of a large number of individual agents to restrict their own pollution.,,,,,,,A,0,philosophy,ori_mmlu-moral_disputes,,test
4859,"This question refers to the following information.
At the peak of their power, the domains of the Mongol khans, or rulers, made up a vast realm in which once-hostile peoples lived together in peace and virtually all religions were tolerated. . . . The law code first promulgated by Chinggis Khan ordered human interaction. The result was an important new stage in international contact. From eastern Europe to southern China, merchants and travelers could move across the well-policed Mongol domains without fear for their lives or property. The great swath of Mongol territory that covered or connected most of Europe, Asia, and the Middle East served as a bridge between the civilizations of the Eastern Hemisphere. The caravans and embassies that crossed the Mongol lands transmitted new food, inventions, and ideas from one civilized pool to others and from civilized pools to the nomadic peoples who served as intermediaries. Secure trade routes made for prosperous merchants and wealthy, cosmopolitan cities. They also facilitated the spread of foods [and] inventions . . . a major force for economic and social development and the enhancement of civilized life.
—Robert Guisepi, 1992
Which of the following was a long-term consequence of the Mongol conquest of Russia in the 1200s?",Russia developed a centralized bureaucracy.,The Russian language was replaced by Mongolian.,Russia benefited by becoming the administrative center of Mongol political activity.,Mongol law code was fully adopted in Russia.,Russia was excluded from Western European developments (like the Renaissance).,Islam became the dominant religion of Russia.,Russia's population significantly declined due to Mongol invasions.,Russia became the cultural center of Mongol civilization.,,,E,4,history,ori_mmlu-high_school_world_history,,test
7643,Monetary tools of the Federal Reserve do not include which of the following choices?,Changing the reserve ratio,Changing the discount rate,Increasing the federal funds rate,Selling Treasury securities to commercial banks,Buying Treasury securities from commercial banks,Changing tariffs and quotas on imported goods,,,,,F,5,economics,ori_mmlu-high_school_macroeconomics,,test
