question,тақырып,таңдаулар,жауап,sheet
" Айталық, Тайгер Вудс Англиядан гольф добын 1 долларға сатып алды және Англияда тұтынуға шекті бейімділік 0,75-ке тең болды. Мырза Вудстың сатып алуынан Англияның нақты ЖІӨ-нің жалпы өсуі қандай?", орта мектеп_макроэкономикасы, ['$1' '$1.25' '$1.75' '$4' '],3,Sheet1
" Джералд Паттерсон мен оның әріптестерінің (1992) пікірінше, балалардағы агрессивті мінез-құлықтың негізгі себебі келесілердің қайсысы?", кәсіби_психология,['баланың ақыл-ойы.' 'баланың «негізгі тұлғасы.'' 'ата-ана мен баланың арасындағы байланыстың күші.' 'ата-ананың бала тәрбиесіндегі мінез-құлқы'],3,Sheet1
"Психиатриялық мекемедегі кадр комитетін басқаратын психолог доктор Гарольд Хансон өзіне қарсы жыныстық қудалау бойынша шешілмеген айыптауы бар психологты лауазымдық өсуге қарастырмауды ұсынады. Этикалық міндеттеріне келетін болсақ, доктор Хансон:", кәсіби_психология," ['жыныстық қудалау этикалық нұсқаулармен тікелей тыйым салынғандықтан, этикалық тұрғыдан әрекет етті.' 'егер ол қудалау айыбы бойынша ақталған жағдайда психологты лауазымдық өсу үшін қарастыруға дайын болған жағдайда этикалық тұрғыдан әрекет етті.' 'оның шешімі психикалық денсаулық сақтау мекемесінің мәлімделген лауазымдық өсу саясатына сәйкес келген жағдайда этикалық тұрғыдан әрекет етті.' 'жұмысқа орналастыру рәсімдеріне қатысты этикалық нұсқаулардың талаптарын бұзу арқылы этикалық емес әрекет етті.']",3,Sheet1
 Рефрактерлік кезең ерлерде ______ сатысында болады., адам_жыныстық_қатынас, ['шешімділік' 'оргазм' 'платео' 'қозу'],0,Sheet1
 Үндістанда қандай жануар қасиетті деп саналады?, әртүрлі, ['Қой' 'Сиыр' 'Тауық' 'Ит'],1,Sheet1
Екінші дүниежүзілік соғыс кезінде осы елдердің қайсысы Ось одағына кірмеді?, әртүрлі, ['Германия' 'Италия' 'Испания' 'Жапония']],2,Sheet1
Әлеуметтік конструктивистік тәсіл милитаризация процесін қалай түсіндіреді?, қауіпсіздікті зерттеу,"[«Қауіпсіздікті әлеуметтік тұрғыдан құрылған тұжырымдама ретінде қарастыра отырып, конструктивисттер милитаризацияның қауіпсіздікке төнетін қауіп туралы түсініктерінің негізінде жатқан ортақ құндылықтар мен мәдени нормаларға негізделген үкіметтік шешімдердің нәтижесі екенін айтады. Тиісінше, әртүрлі үкіметтер әртүрлі қауіптерді анықтап, әртүрлі жолдармен әрекет етеді». «Әлеуметтік конструктивисттер зерттеу саласы ретінде әскери емес, халыққа назар аударуға бейім, сондықтан милитаризация процесін негізінен оның адам қауіпсіздігіне әсері тұрғысынан қарастырады». «Әлеуметтік конструктивисттер бұл процесс эмпирикалық түрде анықталатын қауіптерді халық мойындаған кезде жүзеге асырылады деп мәлімдейді; мәселе нақты және негізді қауіп төндіретіні мойындалған кезде, ол милитаризацияны қажет етеді». «Адам қауіпсіздігін бірыңғай жақтау және қауіпсіздік зерттеулеріне адами-орталық тәсілді қабылдау арқылы әлеуметтік конструктивисттер милитаризацияны кеңірек қауіпсіздік мақсаттарына жетуге зиян келтіретін процесс ретінде қарастырады және қауіпсіздік жүйесін демилитаризациялауды белсенді түрде ынталандырады».",0,Sheet1
1-мәлімдеме | Логистикалық регрессия модельдері сияқты тірек векторлық машиналар кіріс мысалы берілген мүмкін белгілер бойынша ықтималдық үлестірімін береді. 2-мәлімдеме | Сызықтық ядродан жоғары ретті полиномдық ядроларға ауысқан кезде тірек векторларының жалпы алғанда өзгеріссіз қалуын күтеміз., машиналық оқыту," ['Шын, Рас' 'Жалған, Жалған' 'Шын, Жалған' 'Жалған, Рас']",1,Sheet1
" Когнитивтік диссонанс теориясына сәйкес, мәжбүрлі бағыну жағдайларында сенімнің үлкен өзгерісі болады.", кәсіби_психология, ['алдын ала шешім қабылдау кезеңінде' 'сәйкестік үлкен сыйақымен қатар жүргенде' 'сәйкестік шағын сыйақымен қатар жүргенде' 'шектен тыс поляризация болғанда'],2,Sheet1
 Хабарлама алушы оны алуға келісім беретін электрондық пошта арқылы маркетинг әдісі қалай аталады:, маркетинг, ['Іздеу маркетингі.' 'Интернет жарнамасы.' 'Рұқсатқа негізделген электрондық пошта маркетингі.' 'Әлеуметтік веб-маркетинг.'],2,Sheet1
