id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split
2571,global_facts,Общие факты,"По состоянию на 2019 год, примерно какой процент немцев считает отношения между США и Германией хорошими?",34%,49%,64%,79%,A,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
10802,professional_law,Право,"Водитель грузовика из штата А и водитель автобуса из штата Б попали в столкновение в штате Б, в результате которого водитель грузовика получил травмы. Водитель грузовика подал федеральный иск о разнообразии в штате Б на основании халатности, требуя от водителя автобуса возмещения ущерба в размере 100000 $. Какой закон о халатности должен применить суд?",Суд должен применить федеральный общий закон о халатности.,"Суд должен применить закон о халатности штата А, штата гражданства водителя грузовика.","Суд должен рассмотреть законы о халатности как штата А, так и штата Б и применить закон, который, по мнению суда, наиболее адекватно регулирует халатность в данном деле.","Суд должен определить, закон о халатности какого штата применил бы суд штата Б, и применить этот закон в данном иске.",D,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
8978,moral_scenarios,Философия,"В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает поступок, явно противоречащий моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Я наблюдал со стороны, пока она принимала душ. Сценарий 2 | Я объяснил ей, что ее дом горит, несмотря на то, что терпеть не мог ее драмы.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",B,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test
11732,professional_law,Право,"Пенсионер владел фермой площадью 100 акров. В течение многих лет пенсионер выращивал табак на участке площадью 10 акров, расположенном в северо-восточной части собственности. В марте пенсионер посадил свой ежегодный урожай табака, который он обычно собирал в начале октября. В сентябре пенсионер продал свою ферму производителю табака за 100000 $. В то время, когда пенсионер передал собственность производителю, урожай табака был достаточно развит и созрел. Когда пенсионер и производитель заключали соглашение о продаже земли, в нем не упоминался статус или право собственности на урожай табака. В начале октября, после того как производитель вступил во владение собственностью, пенсионер связался с ним и попросил разрешения собрать и убрать урожай табака. Производитель отказал пенсионеру вернуться на территорию. Пенсионер подает иск против производителя, стремясь к возвращению собственности и сбору урожая посаженного им табака. Что из нижеследующего является правильным в отношении соответствующих прав сторон?","Пенсионер имеет право убрать урожай табака, но он должен заплатить производителю разумную сумму за въезд на территорию, получив таким образом доступ к урожаю.","Пенсионер имеет право убрать урожай табака и не обязан платить производителю за въезд на территорию собственности, получая таким образом доступ к урожаю.","Пенсионер не имеет права убирать урожай табака и, следовательно, не имеет права повторно въезжать на территорию собственности.","Пенсионер и производитель табака имеют право собственности на табачный урожай, и, следовательно, должно быть справедливое распределение доходов от продажи урожая между обеими сторонами.",C,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
13998,world_religions,Философия,"Что означает слово ""Шветамбара""?","""Облаченный в небо""","""Обнаженный""","""Ходящий в белом""","""Облаченный""",C,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test
8033,miscellaneous,Общие факты,"Какая актриса снималась в ""Ангелах Чарли"" на протяжении всего сериала?",Шерил Лэдд,Фарра Фосетт,Жаклин Смит,Кейт Джексон,C,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
2109,elementary_mathematics,Математика,"У Терезы был мешок с 72 шариками. Она разложила шарики на 9 равных групп. Какое числовое предложение показывает, как найти количество шариков, которые Тереза положила в каждую группу?",72 ÷ 9 = 8,72 – 9 = 63,9 + 72 = 81,"9 ÷ 72 = 0,125",A,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
6263,human_aging,Медицина,"Пожилые люди способны улучшить свою память и уменьшить беспокойство по поводу ухудшения памяти, когда",Они узнают о памяти и старении и осваивают некоторые техники,Они просто изучают ряд методов улучшения памяти,"Они узнают, что многие аспекты памяти не ухудшаются, а некоторые даже улучшаются","Пожилые люди не могут сделать ни того, ни другого",A,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
9971,philosophy,Философия,"В ""Республике"" Фрасимах утверждает, что справедливость - это:",говорить правду и платить свои долги.,"делать то, что угодно богам.",преимущество более сильного.,гармония души.,C,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
13889,world_religions,Философия,"Сколько лет было Гуру Нанаку, когда он начал проповедовать послание божественного Имени?",30,40,33,52,A,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
