question,предмет,выбор,отвечать,sheet,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
" С точки зрения поведенческой психологии, фобические реакции на безобидные объекты или события возникают, когда эти объекты или события начинают ассоциироваться со стимулом, который естественным образом вызывает реакцию страха. Другими словами, фобические реакции обусловлены:", профессиональная_психология, ['Отрицательное подкрепление'.' 'Отрицательное наказание'.' 'Обобщение стимулов'.' 'Классическое обусловливание'.],3,Sheet1," С точки зрения поведенческой психологии, фобические реакции на безобидные объекты или события возникают, когда эти объекты или события начинают ассоциироваться со стимулом, который естественным образом вызывает реакцию страха. Другими словами, фобические реакции обусловлены:","A)
С позиции бихевиоральной психологии, фобические отклики на безвредные предметы или инциденты появляются, когда данные предметы или инциденты начинают связываться с раздражителем, который природным путем порождает чувство боязни. Иными словами, фобические отклики детерминированы:

B)
Согласно аспекту поведенческой психологии, фобические проявления на неопасные вещи или ситуации зарождаются, когда эти вещи или ситуации начинают соотноситься с фактором, который обычным образом провоцирует состояние испуга. Иначе говоря, фобические проявления вызваны:

C)
С точки зрения психологии поведения, фобические рефлексы на безопасные элементы или происшествия формируются, когда такие элементы или происшествия начинают сопрягаться с импульсом, который врожденным образом вызывает эмоцию ужаса. По-другому, фобические рефлексы предопределены:

D)
Исходя из концепции поведенческой психологии, фобические импульсы на невинные объекты или обстоятельства возникают, когда указанные объекты или обстоятельства начинают перекликаться с сигналом, который естественным порядком пробуждает ответ страха. Выражаясь иначе, фобические импульсы обуславливаются:","С позиции бихевиоральной психологии, фобические отклики на безвредные предметы или инциденты появляются, когда данные предметы или инциденты начинают связываться с раздражителем, который природным путем порождает чувство боязни. Иными словами, фобические отклики детерминированы:","Согласно аспекту поведенческой психологии, фобические проявления на неопасные вещи или ситуации зарождаются, когда эти вещи или ситуации начинают соотноситься с фактором, который обычным образом провоцирует состояние испуга. Иначе говоря, фобические проявления вызваны:","С точки зрения психологии поведения, фобические рефлексы на безопасные элементы или происшествия формируются, когда такие элементы или происшествия начинают сопрягаться с импульсом, который врожденным образом вызывает эмоцию ужаса. По-другому, фобические рефлексы предопределены:","Исходя из концепции поведенческой психологии, фобические импульсы на невинные объекты или обстоятельства возникают, когда указанные объекты или обстоятельства начинают перекликаться с сигналом, который естественным порядком пробуждает ответ страха. Выражаясь иначе, фобические импульсы обуславливаются:",A,B,C,D
 В период своего расцвета лишь около _______ инкской империи состояло из этнических инков., доисторический период, ['1 процент' '10 процентов' '30 процентов' '50 процентов'],0,Sheet1, В период своего расцвета лишь около _______ инкской империи состояло из этнических инков.,"A)
В эпоху своего могущества только приблизительно _______ инкского государства складывалось из коренных инков.

B)
Во время своего пика всего порядка _______ инкской державы формировалось из родовых инков.

C)
В фазе своего величия исключительно около _______ инкской цивилизации создавалось из исконных инков.

D)
В стадию своего процветания лишь почти _______ инкской территории состояло из кровных инков.",В эпоху своего могущества только приблизительно _______ инкского государства складывалось из коренных инков.,Во время своего пика всего порядка _______ инкской державы формировалось из родовых инков.,В фазе своего величия исключительно около _______ инкской цивилизации создавалось из исконных инков.,В стадию своего процветания лишь почти _______ инкской территории состояло из кровных инков.,A,B,C,D
 Синдром ДиДжорджа/Шпринтцена вызван делецией в какой хромосоме?, медицинская генетика, ['4' '7' '15' '22'],3,Sheet1, Синдром ДиДжорджа/Шпринтцена вызван делецией в какой хромосоме?,"A)
Синдром ДиДжорджи/Шпринтцена обусловлен делецией в какой хромосоме?

B)
Синдром ДиДжорджи/Шпринтцена спровоцирован нехваткой участка в какой хромосоме?

C)
Болезнь ДиДжорджи/Шпринтцена вызвана утратой сегмента в какой хромосоме?

D)
Патология ДиДжорджи/Шпринтцена порождена дефицитом фрагмента в какой хромосоме?",Синдром ДиДжорджи/Шпринтцена обусловлен делецией в какой хромосоме?,Синдром ДиДжорджи/Шпринтцена спровоцирован нехваткой участка в какой хромосоме?,Болезнь ДиДжорджи/Шпринтцена вызвана утратой сегмента в какой хромосоме?,Патология ДиДжорджи/Шпринтцена порождена дефицитом фрагмента в какой хромосоме?,A,A,C,D
 Какое из следующих утверждений лучше всего описывает практику «разделения билетов»?, школьное_правительство_и_политика," ['Кандидат в президенты выбирает себе напарника, который сможет заручиться поддержкой групп избирателей, чья поддержка кандидата слаба.' 'Избиратель выбирает кандидата в президенты от одной крупной партии, но выбирает кандидатов в Конгресс от другой крупной партии.' 'Мэр приказывает местной полиции выписывать меньше штрафов за нарушение правил парковки в течение нескольких недель, предшествующих всеобщим выборам.' 'Делегат на национальном партийном съезде поддерживает лидера гонки, но не определился с партийной платформой.']",1,Sheet1, Какое из следующих утверждений лучше всего описывает практику «разделения билетов»?,"A)
Какое из нижеперечисленных положений наиболее точно характеризует метод «расщепления квитков»?

B)
Какое из приведённых высказываний удачнее всего формулирует концепцию «дробления талонов»?

C)
Какое из указанных суждений оптимальнее всего излагает суть «сегментации проездных»?

D)
Какое из данных свидетельств правильнее всего трактует процедуру «разбивки билетов»?",Какое из нижеперечисленных положений наиболее точно характеризует метод «расщепления квитков»?,Какое из приведённых высказываний удачнее всего формулирует концепцию «дробления талонов»?,Какое из указанных суждений оптимальнее всего излагает суть «сегментации проездных»?,Какое из данных свидетельств правильнее всего трактует процедуру «разбивки билетов»?,A,A,A,D
" Каковы основные причины, по которым организации привлекают сторонних консультантов по связям с общественностью?", связи с общественностью,"«Они обеспечивают гибкость в использовании талантов и навыков. Они повышают авторитет работы. Они обеспечат ощутимую окупаемость инвестиций в проект или программу. Они могут уделять проекту больше внимания и внимания к деталям, чем штатные сотрудники».",0,Sheet1," Каковы основные причины, по которым организации привлекают сторонних консультантов по связям с общественностью?","A)
Какие ключевые факторы, в силу которых компании нанимают внешних экспертов по коммуникациям с социумом?

B)
В чем заключаются главные поводы, из-за которых фирмы приглашают независимых специалистов по взаимодействию с аудиторией?

C)
Что является ведущими мотивами, согласно которым учреждения задействуют привлеченных советников по контактам с общественностью?

D)
Перечислите важнейшие обстоятельства, на основании которых предприятия используют сторонних консультантов по формированию имиджа в обществе?","Какие ключевые факторы, в силу которых компании нанимают внешних экспертов по коммуникациям с социумом?","В чем заключаются главные поводы, из-за которых фирмы приглашают независимых специалистов по взаимодействию с аудиторией?","Что является ведущими мотивами, согласно которым учреждения задействуют привлеченных советников по контактам с общественностью?","Перечислите важнейшие обстоятельства, на основании которых предприятия используют сторонних консультантов по формированию имиджа в обществе?",A,B,C,D
 Что из перечисленного верно для типичного спада делового цикла?, макроэкономика для старшей школы,"['Потребление падает, но богатство домохозяйств растет.' 'Потребление увеличивается.' 'Частные инвестиции растут.' 'Занятость и инфляция низкие.']",3,Sheet1, Что из перечисленного верно для типичного спада делового цикла?,"A)
Что из указанного справедливо для стандартного снижения делового цикла?

B)
Что из названного правильно для обычного сокращения делового цикла?

C)
Что из приведённого истинно для характерного регресса делового цикла?

D)
Что из изложенного корректно для классического падения делового цикла?",Что из указанного справедливо для стандартного снижения делового цикла?,Что из названного правильно для обычного сокращения делового цикла?,Что из приведённого истинно для характерного регресса делового цикла?,Что из изложенного корректно для классического падения делового цикла?,A,A,A,D
" Утверждение 1 | После отображения в пространство признаков Q с помощью радиальной базисной функции ядра, 1-NN с использованием невзвешенного евклидова расстояния может обеспечить лучшую производительность классификации, чем в исходном пространстве (хотя мы не можем этого гарантировать). Утверждение 2 | Размерность VC персептрона меньше, чем размерность VC простого линейного SVM.", машинное обучение,"['Истина, Истина' 'Ложь, Ложь' 'Истина, Ложь' 'Ложь, Истина']",1,Sheet1," Утверждение 1 | После отображения в пространство признаков Q с помощью радиальной базисной функции ядра, 1-NN с использованием невзвешенного евклидова расстояния может обеспечить лучшую производительность классификации, чем в исходном пространстве (хотя мы не можем этого гарантировать). Утверждение 2 | Размерность VC персептрона меньше, чем размерность VC простого линейного SVM.","A)
Тезис 1 | Вследствие проецирования в пространство атрибутов Q посредством радиально-базисной функции ядра, 1-NN с применением невзвешенной евклидовой метрики способен дать более высокую эффективность классификации, нежели в начальном пространстве (невзирая на то, что мы не в состоянии это обещать). Тезис 2 | Емкость Вапника-Червоненкиса перцептрона ниже, чем емкость Вапника-Червоненкиса обычного линейного SVM.

B)
Положение 1 | В результате маппинга в пространство характеристик Q при помощи радиальной базисной ядерной функции, 1-NN с использованием ненормированного евклидова интервала может продемонстрировать лучший результат классификации, чем в первоначальном пространстве (пусть даже мы не можем этого ручаться). Положение 2 | VC-размерность перцептрона меньше, чем VC-размерность элементарного линейного SVM.

C)
Высказывание 1 | После трансформации в пространство параметров Q через радиальную базисную функцию ядра, 1-NN с задействованием невзвешенного евклидова расстояния может гарантировать более качественную точность классификации, чем в исходном пространстве (хотя мы не имеем возможности это подтвердить). Высказывание 2 | Параметр VC перцептрона меньше, чем параметр VC простого линейного SVM.

D)
Суждение 1 | По завершении отображения в пространство свойств Q с эксплуатацией радиальной базисной функции ядра, 1-NN с применением невзвешенного евклидова расстояния может показать превосходящую продуктивность классификации, чем в стартовом пространстве (несмотря на то, что мы не можем этого заверить). Суждение 2 | Размерность Вапника-Червоненкиса перцептрона меньше, чем размерность Вапника-Червоненкиса базового линейного SVM.","Тезис 1 | Вследствие проецирования в пространство атрибутов Q посредством радиально-базисной функции ядра, 1-NN с применением невзвешенной евклидовой метрики способен дать более высокую эффективность классификации, нежели в начальном пространстве (невзирая на то, что мы не в состоянии это обещать). Тезис 2 | Емкость Вапника-Червоненкиса перцептрона ниже, чем емкость Вапника-Червоненкиса обычного линейного SVM.","Положение 1 | В результате маппинга в пространство характеристик Q при помощи радиальной базисной ядерной функции, 1-NN с использованием ненормированного евклидова интервала может продемонстрировать лучший результат классификации, чем в первоначальном пространстве (пусть даже мы не можем этого ручаться). Положение 2 | VC-размерность перцептрона меньше, чем VC-размерность элементарного линейного SVM.","Высказывание 1 | После трансформации в пространство параметров Q через радиальную базисную функцию ядра, 1-NN с задействованием невзвешенного евклидова расстояния может гарантировать более качественную точность классификации, чем в исходном пространстве (хотя мы не имеем возможности это подтвердить). Высказывание 2 | Параметр VC перцептрона меньше, чем параметр VC простого линейного SVM.","Суждение 1 | По завершении отображения в пространство свойств Q с эксплуатацией радиальной базисной функции ядра, 1-NN с применением невзвешенного евклидова расстояния может показать превосходящую продуктивность классификации, чем в стартовом пространстве (несмотря на то, что мы не можем этого заверить). Суждение 2 | Размерность Вапника-Червоненкиса перцептрона меньше, чем размерность Вапника-Червоненкиса базового линейного SVM.",A,B,C,D
"Этот вопрос относится к следующей информации. «Далеко простирающееся, безграничное будущее станет эпохой величия Америки. В своем великолепном пространстве и времени нация многих наций призвана явить человечеству превосходство божественных принципов; воздвигнуть на земле самый благородный храм, когда-либо посвященный поклонению Всевышнему — Священному и Истинному. Его полом будет полусфера, его крышей — небесная твердь, усеянная звездами, а его собранием — Союз многих республик, включающий сотни счастливых миллионов, призывающих, не признающих никого своим господином, но управляемых естественным и моральным законом равенства Бога, законом братства — законом «мира и доброй воли между людьми».» Джон Л. О’Салливан, «Великая нация будущего», 1839. Какое из следующих изменений в миграции на запад, скорее всего, произошло в 1840-х годах?", история США в старшей школе,"«Число пионеров, направлявшихся на территорию Орегона, уменьшилось, в то время как число тех, кто направлялся в Калифорнию, значительно увеличилось». «Первая крупная волна миграции закончилась, и число мигрантов оставалось крайне низким до окончания Гражданской войны». «Впервые пионеры начали селиться в районах к западу от реки Миссисипи». «Большое количество свободных чернокожих, нежелательных на Востоке, начали переселяться на Запад».",0,Sheet1,"Этот вопрос относится к следующей информации. «Далеко простирающееся, безграничное будущее станет эпохой величия Америки. В своем великолепном пространстве и времени нация многих наций призвана явить человечеству превосходство божественных принципов; воздвигнуть на земле самый благородный храм, когда-либо посвященный поклонению Всевышнему — Священному и Истинному. Его полом будет полусфера, его крышей — небесная твердь, усеянная звездами, а его собранием — Союз многих республик, включающий сотни счастливых миллионов, призывающих, не признающих никого своим господином, но управляемых естественным и моральным законом равенства Бога, законом братства — законом «мира и доброй воли между людьми».» Джон Л. О’Салливан, «Великая нация будущего», 1839. Какое из следующих изменений в миграции на запад, скорее всего, произошло в 1840-х годах?","A)
Данный пункт касается нижеследующих сведений. «Широко раскинувшееся, бескрайнее грядущее окажется эрой могущества Штатов. В собственном грандиозном охвате и периоде страна многих народов рождена продемонстрировать людям доминирование небесных канонов; возвести в мире величайший собор, когда-либо отданный почитанию Создателя — Праведного и Подлинного. Его настилом окажется полушарие, его сводом — небесный купол, украшенный светилами, а его паствой — Альянс многочисленных штатов, охватывающий сотни радостных миллионов, взывающих, не видящих никого своим хозяином, но ведомых природным и этическим кодексом паритета Творца, кодексом единства — правилом «согласия и благодушия среди лиц».» Джон Л. О’Салливан, «Великая держава грядущего», 1839. Какая из нижеуказанных перемен в переселении на закат, вероятнее всего, случилась в 1840-х периодах?

B)
Этот запрос касается указанных материалов. «Протяженное, необозримое завтра станет периодом триумфа Соединенных Штатов. В своем величественном масштабе и длительности государство многих этносов призвано показать миру главенство сакральных догм; соорудить на планете наиболее возвышенное святилище, когда-либо предназначенное служению Владыке — Святому и Истинному. Его основанием станет полушарие, его кровельным сводом — небесная высь, усыпанная созвездиями, а его обществом — Федерация многих земель, вмещающая сотни благополучных миллионов, молящихся, не признающих никого своим правителем, но подчиненных врожденному и духовному уставу эквивалентности Господа, уставу товарищества — уставу «спокойствия и благорасположения между индивидами».» Джон Л. О’Салливан, «Могучая страна завтрашнего дня», 1839. Какая из приведенных трансформаций в движении на запад, скорее всего, имела место в 1840-х годах?

C)
Настоящая тема затрагивает приложенную статью. «Далеко идущее, бесконечное грядущее явится эрой процветания Америки. В своем дивном просторе и вечности союз многих племен обязан явить цивилизации преимущество духовных устоев; выстроить на суше самый достойный пантеон, когда-либо посвященный обожествлению Бога — Чистого и Реального. Его фундаментом будет полусфера, его верхом — небесный атлас, покрытый звездами, а его конгрегацией — Содружество многих провинций, содержащее сотни удачливых миллионов, взывающих, не считающих никого своим властелином, но направляемых исконным и нравственным регламентом подобия Всевышнего, регламентом родства — регламентом «тишины и доброго расположения между личностями».» Джон Л. О’Салливан, «Славная держава будущего», 1839. Какое из нижеследующих преобразований в колонизации запада, по всей видимости, зафиксировано в 1840-х датах?

D)
Указанный вопрос соотносится с предоставленным текстом. «Обширное, беспредельное будущее окажется эпохой величия США. В своем прекрасном объеме и хронологии нация многих культур должна раскрыть человечеству верховенство божественных истин; поставить на земле самый величественный алтарь, который когда-либо приносился поклонению Творцу — Сакральному и Подлинному. Его подножием будет полусфера, его куполом — небесная ширь, убранная звездами, а его общиной — Блок многих территорий, включающий сотни процветающих миллионов, просящих, не принимающих никого своим лидером, но управляемых естественным и этическим тезисом равенства Вседержителя, тезисом содружества — тезисом «мира и доброй воли в народе».» Джон Л. О’Салливан, «Великая нация завтрашнего», 1839. Какое из представленных корректировок в миграции на запад, наиболее вероятно, произошло в 1840-х годах?","Данный пункт касается нижеследующих сведений. «Широко раскинувшееся, бескрайнее грядущее окажется эрой могущества Штатов. В собственном грандиозном охвате и периоде страна многих народов рождена продемонстрировать людям доминирование небесных канонов; возвести в мире величайший собор, когда-либо отданный почитанию Создателя — Праведного и Подлинного. Его настилом окажется полушарие, его сводом — небесный купол, украшенный светилами, а его паствой — Альянс многочисленных штатов, охватывающий сотни радостных миллионов, взывающих, не видящих никого своим хозяином, но ведомых природным и этическим кодексом паритета Творца, кодексом единства — правилом «согласия и благодушия среди лиц».» Джон Л. О’Салливан, «Великая держава грядущего», 1839. Какая из нижеуказанных перемен в переселении на закат, вероятнее всего, случилась в 1840-х периодах?","Этот запрос касается указанных материалов. «Протяженное, необозримое завтра станет периодом триумфа Соединенных Штатов. В своем величественном масштабе и длительности государство многих этносов призвано показать миру главенство сакральных догм; соорудить на планете наиболее возвышенное святилище, когда-либо предназначенное служению Владыке — Святому и Истинному. Его основанием станет полушарие, его кровельным сводом — небесная высь, усыпанная созвездиями, а его обществом — Федерация многих земель, вмещающая сотни благополучных миллионов, молящихся, не признающих никого своим правителем, но подчиненных врожденному и духовному уставу эквивалентности Господа, уставу товарищества — уставу «спокойствия и благорасположения между индивидами».» Джон Л. О’Салливан, «Могучая страна завтрашнего дня», 1839. Какая из приведенных трансформаций в движении на запад, скорее всего, имела место в 1840-х годах?","Настоящая тема затрагивает приложенную статью. «Далеко идущее, бесконечное грядущее явится эрой процветания Америки. В своем дивном просторе и вечности союз многих племен обязан явить цивилизации преимущество духовных устоев; выстроить на суше самый достойный пантеон, когда-либо посвященный обожествлению Бога — Чистого и Реального. Его фундаментом будет полусфера, его верхом — небесный атлас, покрытый звездами, а его конгрегацией — Содружество многих провинций, содержащее сотни удачливых миллионов, взывающих, не считающих никого своим властелином, но направляемых исконным и нравственным регламентом подобия Всевышнего, регламентом родства — регламентом «тишины и доброго расположения между личностями».» Джон Л. О’Салливан, «Славная держава будущего», 1839. Какое из нижеследующих преобразований в колонизации запада, по всей видимости, зафиксировано в 1840-х датах?","Указанный вопрос соотносится с предоставленным текстом. «Обширное, беспредельное будущее окажется эпохой величия США. В своем прекрасном объеме и хронологии нация многих культур должна раскрыть человечеству верховенство божественных истин; поставить на земле самый величественный алтарь, который когда-либо приносился поклонению Творцу — Сакральному и Подлинному. Его подножием будет полусфера, его куполом — небесная ширь, убранная звездами, а его общиной — Блок многих территорий, включающий сотни процветающих миллионов, просящих, не принимающих никого своим лидером, но управляемых естественным и этическим тезисом равенства Вседержителя, тезисом содружества — тезисом «мира и доброй воли в народе».» Джон Л. О’Салливан, «Великая нация завтрашнего», 1839. Какое из представленных корректировок в миграции на запад, наиболее вероятно, произошло в 1840-х годах?",B,B,C,D
 В настоящее время в отношении местного бизнесмена проводится заседание большого жюри. Что не соответствует действительности в отношении заседаний большого жюри?, профессиональное_право, ['Судебное разбирательство проводится в тайне.' 'Право на адвоката отсутствует.' 'Право на заслушивание предупреждений Миранды имеется.' 'Право на исключение доказательств отсутствует.'],2,Sheet1, В настоящее время в отношении местного бизнесмена проводится заседание большого жюри. Что не соответствует действительности в отношении заседаний большого жюри?,"A)
В данный момент в отношении локального предпринимателя осуществляется слушание расширенной коллегии. Что является ложным касательно заседаний расширенной коллегии?

B)
В текущий период в отношении регионального коммерсанта ведется разбирательство расширенного состава присяжных. Что не является правдой касательно слушаний расширенного состава присяжных?

C)
На сегодняшний день в отношении здешнего дельца инициирован процесс большой коллегии. Что противоречит фактам касательно процессов большой коллегии?

D)
Сейчас в отношении территориального субагента организуется сессия коллегии присяжных. Что не является истинным касательно сессий коллегии присяжных?",В данный момент в отношении локального предпринимателя осуществляется слушание расширенной коллегии. Что является ложным касательно заседаний расширенной коллегии?,В текущий период в отношении регионального коммерсанта ведется разбирательство расширенного состава присяжных. Что не является правдой касательно слушаний расширенного состава присяжных?,На сегодняшний день в отношении здешнего дельца инициирован процесс большой коллегии. Что противоречит фактам касательно процессов большой коллегии?,Сейчас в отношении территориального субагента организуется сессия коллегии присяжных. Что не является истинным касательно сессий коллегии присяжных?,A,A,A,A
Какое из следующих утверждений является основным отличием между системой «точно в срок» (JIT) и традиционным подходом к производству?, профессиональный_бухгалтерский_учет," «Подход JIT обычно предполагает большое количество поставщиков, в то время как традиционные подходы, как правило, предполагают лишь небольшое количество поставщиков». «Подход JIT требует централизованных закупок, в то время как традиционные подходы поощряют принятие решений о закупках производственными сотрудниками». «Подход JIT использует систему ""проталкивания"", в то время как традиционные подходы используют систему ""вытягивания""». «Подход JIT работает с низким уровнем запасов, в то время как традиционные подходы могут работать с высоким уровнем запасов».",3,Sheet1,Какое из следующих утверждений является основным отличием между системой «точно в срок» (JIT) и традиционным подходом к производству?,"A)
Какое из нижеприведенных высказываний выступает главным расхождением между методом «точно в срок» (JIT) и классической методикой изготовления?

B)
Какое из указанных положений представляет собой ключевую разницу между концепцией «точно в срок» (JIT) и стандартным принципом выпуска?

C)
Какая из данных формулировок считается существенным отличительным признаком между схемой «точно в срок» (JIT) и консервативным форматом производства?

D)
Какая из перечисленных фраз является фундаментальным отличием между технологией «точно в срок» (JIT) и обычным способом организации работ?",Какое из нижеприведенных высказываний выступает главным расхождением между методом «точно в срок» (JIT) и классической методикой изготовления?,Какое из указанных положений представляет собой ключевую разницу между концепцией «точно в срок» (JIT) и стандартным принципом выпуска?,Какая из данных формулировок считается существенным отличительным признаком между схемой «точно в срок» (JIT) и консервативным форматом производства?,Какая из перечисленных фраз является фундаментальным отличием между технологией «точно в срок» (JIT) и обычным способом организации работ?,A,A,C,D
