question,choice_A,choice_B,choice_C,choice_D,answer,category,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_a,bcq_results_for_position_c,bcq_results_for_position_d
"Who is attributed to the statement, ""Those who live for others live in true sense, the rest though live are like corpse""?", Swami Vivekananda, Ram Manohar Lohia, Sri Krishna, Dr Sarvpalli Radhakrishnan,A,,val,"question: Who is attributed to the statement, ""Those who live for others live in true sense, the rest though live are like corpse""?","A)
question: Who is credited to the statement, ""Those who live for others live in true sense, the rest though live are like cadaver""?

B)
question: Who is ascribed to the statement, ""Those who live for others live in genuine sense, the rest though live are like corpse""?

C)
question: Who is assigned to the remark, ""Those who live for others live in real sense, the rest though live are like dead body""?

D)
question: Who is attributed to the saying, ""Those who live for others live in true meaning, the rest though live are like carcass""?","question: Who is credited to the statement, ""Those who live for others live in true sense, the rest though live are like cadaver""?","question: Who is ascribed to the statement, ""Those who live for others live in genuine sense, the rest though live are like corpse""?","question: Who is assigned to the remark, ""Those who live for others live in real sense, the rest though live are like dead body""?","question: Who is attributed to the saying, ""Those who live for others live in true meaning, the rest though live are like carcass""?",B,B,B,B
Who first challenged Freud’s perspective on the role of the ego?, Freud himself., None of the other choices, Jung., Erikson.,B,,val,question: Who first challenged Freud’s perspective on the role of the ego?,"A)
question: Who initially contested Freud’s viewpoint on the function of the ego?

B)
question: Who originally disputed Freud’s view on the function of the ego?

C)
question: Who first questioned Freud’s stance on the role of the ego?

D)
question: Who initially opposed Freud’s interpretation on the role of the ego?",question: Who initially contested Freud’s viewpoint on the function of the ego?,question: Who originally disputed Freud’s view on the function of the ego?,question: Who first questioned Freud’s stance on the role of the ego?,question: Who initially opposed Freud’s interpretation on the role of the ego?,B,B,B,B
Which one of the following is linked to the secondary processes?, ego, ego-ideal, id, superego,A,,val,question: Which one of the following is linked to the secondary processes?,"A)
question: Which one of the following is associated with the secondary processes?

B)
question: Which one of the following is connected to the secondary processes?

C)
question: Which one of the following is related to the secondary processes?

D)
question: Which one of the following is allied to the secondary processes?",question: Which one of the following is associated with the secondary processes?,question: Which one of the following is connected to the secondary processes?,question: Which one of the following is related to the secondary processes?,question: Which one of the following is allied to the secondary processes?,B,B,B,B
"In Marxist theory, the idea of hegemony is linked to which concept?", Gramsci, Lenin, Mao, Marx,A,,val,"question: In Marxist theory, the idea of hegemony is linked to which concept?","A)
question: In Marxian theory, the idea of hegemony is linked to which concept?

B)
question: Within Marxist theory, the notion of hegemony is connected to which concept?

C)
question: In Marxist thought, the idea of domination is associated with which concept?

D)
question: Within Marxian thought, the notion of dominance is tied to which concept?","question: In Marxian theory, the idea of hegemony is linked to which concept?","question: Within Marxist theory, the notion of hegemony is connected to which concept?","question: In Marxist thought, the idea of domination is associated with which concept?","question: Within Marxian thought, the notion of dominance is tied to which concept?",B,B,B,A
Which process in Project Procurement Management includes analytical techniques as a tool and technique?, Close Procurements, Conduct Procurements, None of the other choices, Plan Procurement Management,B,,val,question: Which process in Project Procurement Management includes analytical techniques as a tool and technique?,"A)
question: Which procedure in Project Procurement Management incorporates analytical methods as a tool and technique?

B)
question: Which process in Project Procurement Management comprises analytical techniques as a tool and technique?

C)
question: Which procedure in Project Procurement Management includes analytical methods as a tool and technique?

D)
question: Which process in Project Procurement Management contains analytical techniques as a tool and technique?",question: Which procedure in Project Procurement Management incorporates analytical methods as a tool and technique?,question: Which process in Project Procurement Management comprises analytical techniques as a tool and technique?,question: Which procedure in Project Procurement Management includes analytical methods as a tool and technique?,question: Which process in Project Procurement Management contains analytical techniques as a tool and technique?,B,B,B,B
What kind of powder is utilized to develop fingerprints on dark or colored surfaces by creating a contrast with the background?, Fluorescent Powder, None of the other choices, Magnetic Powder, White Powder,D,,val,question: What kind of powder is utilized to develop fingerprints on dark or colored surfaces by creating a contrast with the background?,"A)
question: What type of powder is used to develop fingerprints on dark or colored surfaces by creating a contrast with the background?

B)
question: What kind of powder is employed to reveal fingerprints on dark or colored surfaces by creating a contrast with the background?

C)
question: What sort of powder is utilized to develop fingerprints on dark or colored surfaces by creating a contrast with the background?

D)
question: What type of powder is employed to reveal fingerprints on dark or colored surfaces by creating a contrast with the background?",question: What type of powder is used to develop fingerprints on dark or colored surfaces by creating a contrast with the background?,question: What kind of powder is employed to reveal fingerprints on dark or colored surfaces by creating a contrast with the background?,question: What sort of powder is utilized to develop fingerprints on dark or colored surfaces by creating a contrast with the background?,question: What type of powder is employed to reveal fingerprints on dark or colored surfaces by creating a contrast with the background?,B,B,B,B
What is the paper strip used in partition chromatography known as?, Chroma, Chromatographing strip, Chromatograph, Chromatogram,B,,val,question: What is the paper strip used in partition chromatography known as?,"A)
question: Which is the paper strip utilized in partition chromatography called?

B)
question: Which is the paper strip employed in partition chromatography referred to as?

C)
question: Which is the paper band used in partition chromatography called?

D)
question: Which is the paper strip applied in partition chromatography termed?",question: Which is the paper strip utilized in partition chromatography called?,question: Which is the paper strip employed in partition chromatography referred to as?,question: Which is the paper band used in partition chromatography called?,question: Which is the paper strip applied in partition chromatography termed?,B,B,B,B
Which instruction is used to store the coprocessor's environment into a specified memory location?, FSTENV, FFREE, FLDENV, FINCSTP,D,,val,question: Which instruction is used to store the coprocessor's environment into a specified memory location?,"A)
Which instruction is used to save the coprocessor's state into a designated memory address?

B)
Which instruction is used to write the coprocessor's context into a particular memory location?

C)
Which instruction is used to record the coprocessor's settings into an assigned memory address?

D)
Which instruction is used to preserve the coprocessor's configuration into a specified memory location?",Which instruction is used to save the coprocessor's state into a designated memory address?,Which instruction is used to write the coprocessor's context into a particular memory location?,Which instruction is used to record the coprocessor's settings into an assigned memory address?,Which instruction is used to preserve the coprocessor's configuration into a specified memory location?,B,B,B,B
What is the value of 3a - 2b given that 5b = 6a + 16 and 9a = 7b - 20?, –8,4, –4,8,C,,val,question: What is the value of 3a - 2b given that 5b = 6a + 16 and 9a = 7b - 20?,"A)
question: What is the result of 3a - 2b given that 5b = 6a + 16 and 9a = 7b - 20?

B)
question: What is the value of 3a - 2b provided that 5b = 6a + 16 and 9a = 7b - 20?

C)
question: What is the value of 3a - 2b assuming that 5b = 6a + 16 and 9a = 7b - 20?

D)
question: What is the value of 3a - 2b knowing that 5b = 6a + 16 and 9a = 7b - 20?",question: What is the result of 3a - 2b given that 5b = 6a + 16 and 9a = 7b - 20?,question: What is the value of 3a - 2b provided that 5b = 6a + 16 and 9a = 7b - 20?,question: What is the value of 3a - 2b assuming that 5b = 6a + 16 and 9a = 7b - 20?,question: What is the value of 3a - 2b knowing that 5b = 6a + 16 and 9a = 7b - 20?,B,B,B,B
What is the name of the Artificial Intelligence system created by Terry A. Winograd that enables interactive dialogue within the blocks-world domain?, None of the other choices, SIMD, SHRDLU, STUDENT,C,,val,question: What is the name of the Artificial Intelligence system created by Terry A. Winograd that enables interactive dialogue within the blocks-world domain?,"A)
question: What is the designation of the Artificial Intelligence system developed by Terry A. Winograd that permits interactive dialogue within the blocks-world domain?

B)
question: What is the title of the Artificial Intelligence system devised by Terry A. Winograd that allows interactive dialogue within the blocks-world domain?

C)
question: What is the appellation of the Artificial Intelligence system fashioned by Terry A. Winograd that facilitates interactive dialogue within the blocks-world domain?

D)
question: What is the moniker of the Artificial Intelligence system constructed by Terry A. Winograd that supports interactive dialogue within the blocks-world domain?",question: What is the designation of the Artificial Intelligence system developed by Terry A. Winograd that permits interactive dialogue within the blocks-world domain?,question: What is the title of the Artificial Intelligence system devised by Terry A. Winograd that allows interactive dialogue within the blocks-world domain?,question: What is the appellation of the Artificial Intelligence system fashioned by Terry A. Winograd that facilitates interactive dialogue within the blocks-world domain?,question: What is the moniker of the Artificial Intelligence system constructed by Terry A. Winograd that supports interactive dialogue within the blocks-world domain?,B,B,B,B
