"идентификатор","диалог","қысқаша мазмұны"
"13819343"," Оуэн: оның ісінде бірдеңе дұрыс емес Нил: Білемін, солай ма? Пенни: сен Эми туралы айтып тұрсың ба? Оуэн: иә Нил: ол әрқашан байсалды көрінеді Пенни: сен онымен сөйлестің бе? Оуэн: жоқ Нил: мен де сөйлескен жоқпын Пенни: мәселе осында, біз онымен жеке кездесуіміз керек"," Эмидің аурасы қатты. Пенни, Оуэн және Нил онымен жеке кездескісі келеді."
"13681520","Джейн: Мен 10 минутқа кешігіп қалуым мүмкін. Кешіріңіз. Алекс: Жарайды. Мен сол жақ кіреберісте тұрмын. Джейн: Автобус кешігіп барады. Мен супермаркеттің жанынан өттім. Алекс: Уайымдамаңыз. Мен сізді күтемін. Джейн: Рақмет, Алекс: Ксерокс көшірмелері бар файлды алуды ұмытпадыңыз ба? Джейн: Иә. Пайдалы болады деп үміттенемін. Бұл өте қиын. Алекс: Солай деп үміттенемін, Джейн: Біз жақсы боламыз :-) Алекс: Басқа амал жоқ. Оларға хабарласудың соңғы мүмкіндігі сияқты. Джейн: Мүмкін олар біздің материалдарымызды көргеннен кейін сенімді болар.","Джейн шамамен 10 минутқа кешігеді. Алекс сол жақ кіреберісте күтіп тұр және олар кездесуге барады. Бұл Джейн мен Алекстің олармен байланысуының соңғы мүмкіндігі болуы мүмкін."
"13729409","Куинн: Қалайсың, балам? Кайл: Жаман емес, бүгін кешке шығасың ба? Куинн: Иә, мектеп біткеннен кейін біраз уақытқа кетуім керек. Кайл: Құдай-ау, иә! Бұл өте жаман жер, келесі жылы кетуді асыға күтемін, мен Пасха мерекесінде кетемін 😆 Куинн: Бақытыңа орай, менде GCSES бар. Егер ата-анаң сенің оқуда қалуыңды талап етпесе, сен жамансың. Кайл: Ештеңе етпейді! Мен құрылыс алаңында Кев ағамның қолында жұмыс істеймін, немере ағам өткен жылы кірпіш қалау бойынша шәкірттікке алынды, мүмкін өзім де солай істермін. Куинн: Құдай-ау, мен қатты қызғанамын! Мен мектепті жек көремін және емтихандарды да жаман тапсырамын! Олар әрқашан оларды өзіммен бірге өткізуім керек дейді. Кайл: Неге олармен бұл туралы сөйлеспейсің? Куинн: Олар тыңдамас еді! Мен де сынамаларымды бұзып алдым, содан кейін құлаған пәндерді қайта тапсыруым керек, бұл ешқашан аяқталмайды!😭 Кайл: Неге Кевтен сайт туралы сұрамаймын, оларға әрқашан жұмысшылар қажет және олар бізді, жастарды, ұнатады, өйткені біз сағат сайын арзанырақпыз. Куинн: Білмеймін, аязда тентек болып жүру, бөксемді тоңдыру немесе жазда күйіп өлу! Қорқынышты естіледі! Кайл: Жарайды, өзіңізге келіңіз! Кейінірек ішетін сусын бар ма? Куинн: Жоқ, кеңсеге бара алмадым. Кайл: Олар саған бәрібір қызмет көрсетпейді, ақымақ! Мен ағамнан арақ пен темекі алып келуін сұраймын, ол керемет. Куинн: Керемет! Бүгін кешке Кирсти бар, білесің бе? Кайл: Білмеймін, бірақ мен оның осы күндері Натан Бейкермен бірге екенін естідім. Куинн: Қоңырау аяқталды! Әәә😒 Ал, таңғы сағат 6-да клубтың сыртында кездескенше. Кайл: Көріскенше.","Куинн мен Кайл бүгін кешке серуенге шығады. Кайл Пасха мерекесінде мектептен шығып, ағасына жұмыс істейді. Куинннің ата-анасы оның GCSE емтихандарын қайта тапсыруын қалайды. Кайлдың ағасы оларға алкоголь мен темекі сатып алады. Олардың досы Кирсти Натан Бейкермен кездесіп жүр. Куинн мен Кайл клубтың сыртында шамамен сағат 6-да кездеседі."
"13681139","Люк: сен әлі де Netflix отбасына қосылатын біреуді іздеп жүрсің бе? Пол: иә, 1 адам :) Люк: мен солмын! Пол: әрине, жексенбі күні саған логин мен құпия сөзді жіберемін Люк: жарайды, ертең сөйлесе аламыз Пол: қазір есімде жоқ Люк: маған банк шотының мәліметтерін де жібер, сонда мен саған ай сайын ақша аудара аламын. Сен осы үшін төлейсің бе, әлде басқа біреу ме? Пол: төлеймін, және мен кіретіндердің барлығын бақылап отырамын, сондықтан ешқандай тыйым салуды күтпеу керек :D Люк: қарапайым дос :D сен әлі де қызыңмен демалыстасың ба? Пол: соңғы кешкі ас :( ертең біз кетеміз Люк: сен онда қанша уақыт болдың? Пол: 8 күннен аз :/","Пол өзінің Netflix аккаунтын Люкпен бөліспекші. Ал оның орнына Люк жазылымға ақша аударады. Пол Люкке банктік деректемелерін жібереді. Пол ертеңге дейін сүйіктісімен демалыста."
"13819314","Марко: Осы күзде Болоньяға келесің бе? Даниэль: кездейсоқ, мен бүгін Болоньяға ұшамын деп ойладым, бірақ сол жерде киімімді ауыстыруым керек болды. Марко: уау! Әуежайда қанша уақыт боласың? Даниэль: бар болғаны 2 сағат. Марко: жарайды, сені көру үшін тым қысқа болуы мүмкін. Симон: егер сен Марконы қарсы алғың келсе, желтоқсанда демалыс күндеріне келуім мүмкін.: қуана-қуана! Әрқашан айтатынымдай :) Симон: керемет, саған хабарлаймын.","Дэниел бүгін Болоньяға барады. Ол келесі рейске отыру үшін сол жерге ауысуы керек. Ол әуежайда екі сағат болады. Симоне желтоқсанда Маркоға барады."
"13716103","Августин: Жігіттер, келесі аптада Уортонның туған күні екенін есіңізде ме? Дарлин: ура, кеш! Хезер: ура! Оған сыйлық сатып алуымыз керек Уокер: ол бірде қағаз ұсақтағыш туралы айтқан Августин: не болды?!? Уокер: шынымен айтты. Еш себепсіз. Хезер: оны қуантатын нәрсе Дарлин: маған жақсы. кеште қағаздарды ұсақтай аламыз Августин: өте қызықты Хезер: ақымақ жігіттер, сіздер кеңсе жабдықтарын алуымыз керек дейсіздер ме??? Дарлин: Жүріңдер, одан шынымен ұната ма деп сұраңдар, егер ұнаса, онда түсінеміз Уокер: мен оның солай дегенін естідім. Мас болған жоқпын. Мен де. Дарлин: бірақ одан екі рет сұраған дұрыс Уокер: істеймін Августин: 2 күн жарай ма? Дарлин: және кеш туралы сұраңыз!"," Келесі апта Уортонның туған күні. Августин, Дарлин, Хезер және Уокер оған қағаз ұсақтағыш сатып алғысы келеді. Уокер Уортонның шынымен қалағанына көз жеткізеді."
"13728433"," Пит: Тағы қандай дәмдегі йогурт алғың келді? Бүгін менің миым електен өтіп жатыр. Джен: Алмұрт, бірақ егер оларда болса ғана. Әйтпесе, алаңдама. Пит: Айналамды қарап көрейін. Егер оларда алмұрт болмаса, басқа дәм таба аламын ба? Джен: Маған басқа дәм ұнамайды. Егер оларда алмұрт болмаса, онда ештеңе алмаңыз. Пит: Жарайды."," Егер Пит Дженге алмұрт йогурты әкелсе, ол оны береді."
"13862785"," Роб: эй, телефоныңды ал :) Энн: болмайды - кездесу :) Роб: кешір... Энн: мәселе жоқ - өте зеріктіргіш :) Энн: саған не керек, жаным? Роб: Мен азық-түлік дүкеніндемін және бізге бірдеңе керек пе деп ойлап отырмын Энн: тамақ :) Роб: иә, мен мұны ақылды деп ойладым :) Энн: :* Роб: мәліметтер? жейтін ештеңе жоқ деп ренжімеу үшін :) Энн: есімде қалғаны бойынша, ертең кешкі ас пен түскі асқа бәрі бар, мүмкін жемістер мен көкөністер бар шығар? Роб: ерекше бірдеңе бар ма? Энн: қияр, қызанақ, банан, алма және не ұнатсаң да Роб: жарайды","Роб азық-түлік дүкенінде сауда жасап жүр. Энн оған қияр, қызанақ, банан және алма сатып алуды бұйырды."
"13680767"," Блэр: Жұмыстан кейін үйлену тойын ұйымдастырушымен кездесіп жатқанымыз есіңде ме? Чак: Әрине, онымен қайда кездесеміз? Блэр: Нонна Ританың үйінде Чак: Мен олардың теңіз өнімдерінен жасалған тальятелле тапсырыс бере аламын ба, әлде онымен кофе ішеміз бе? Мен өткен айда сол жерге барғаннан бері армандап жүрмін. Блэр: Ха-ха, неге жоқ? Чак: Біз екеуміз де Дианамен соңғы кездесуіміздегі спагетти-помодоро апатын есімізде сақтаймыз. Блэр: О, Құдайым-ау, ха-ха, бұл оның ақ блузкасының үстіне шашылып кеткен. Чак: :D Блэр: :P","Блэр мен Чак жұмыстан кейін Nonna Rita's-те үйлену тойын ұйымдастырушымен кездеспекші. Nonna Rita's-те берілетін тальятелле өте дәмді."
"13828550"," Эрик: Йо йо Дэн: Йо мырза Эрик: «Жазалаушының» 2-маусымын көрдіңіз бе? Дэн: Иә, керемет болды Эрик: Менің ойымша, біріншісі жақсырақ болды, бірақ екіншісі кейбір нәрселерді жақсырақ жасады Дэн: Не сияқты? Эрик: Фрэнкті отбасы үшін кек алуды көздейтін жігіт емес, нағыз жазалаушы ретінде көрсету сияқты Дэн: Иә, 1-маусым біртүрлі болды Эрик: Қалай болғанда да, менің ойымша, олар Jigsaw-ға көбірек тыртықтар беруі керек еді Дэн: Иә Эрик: Қалай болғанда да, олардың тоқтатқаны өкінішті Дэредвил Дэн: Білемін... ұят ұят ұят Эрик: Netflix-тің ұят жолы Дэн: Олар Мэтт Мердок сияқты соқыр, бірақ радарсыз XD"," Дэн ""Каратель"" фильмінің 2-маусымын көрді, ал Эрик біріншісін екіншісіне қарағанда жақсырақ деп санайды. Екеуі де ""Дэредвилді"" тоқтатқандары өкінішті деп санайды."
