мәтін1,мәтін2,жапсырма,idx,белгі_мәтіні,instance,generated_options,option_a,option_b,option_c,option_d
" Массачусетс Жоғарғы Сот соты штаттағы лесбиянкалар мен гей жұптардың некеге тұруына жол ашып, үкіметтік адвокаттар оларға бұл құқықты бермеу үшін «конституциялық тұрғыдан жеткілікті себеп таба алмады» деп шешті.",АҚШ Жоғарғы Соты бір жынысты некеге рұқсат берді,0,98,тарту,"мәтін1:  Массачусетс Жоғарғы Сот соты штаттағы лесбиянкалар мен гей жұптардың некеге тұруына жол ашып, үкіметтік адвокаттар оларға бұл құқықты бермеу үшін «конституциялық тұрғыдан жеткілікті себеп таба алмады» деп шешті.
мәтін2: АҚШ Жоғарғы Соты бір жынысты некеге рұқсат берді
жапсырма: 0","A)  Массачусетс Жоғарғы Соты соты штаттағы лесбиянкалар мен гей жұптардың некеге тұруына мүмкіндік беріп, үкіметтік адвокаттар оларға бұл құқықты бермеу үшін «конституциялық тұрғыдан жеткілікті негіз таба алмады» деп шешті.

B)  Массачусетс Жоғарғы Соты соты штаттағы лесбиянкалар мен гей жұптардың некеге тұруына мүмкіндік жасап, үкіметтік адвокаттар оларға бұл құқықты бермеу үшін «конституциялық тұрғыдан жеткілікті себеп таба алмады» деп шешті.

C)  Массачусетс Жоғарғы Соты соты штаттағы лесбиянкалар мен гей жұптардың некеге тұруына мүмкіндік ашып, үкіметтік адвокаттар оларға бұл құқықты бермеу үшін «конституциялық тұрғыдан жеткілікті түрде себеп таба алмады» деп шешті.

D)  Массачусетс Жоғарғы Соты соты штаттағы лесбиянкалар мен гей жұптардың некеге тұруына жол беріп, үкіметтік адвокаттар оларға бұл құқықты бермеу үшін «конституциялық тұрғыдан жеткілікті негіз таба алмады» деп шешті.","Массачусетс Жоғарғы Соты соты штаттағы лесбиянкалар мен гей жұптардың некеге тұруына мүмкіндік беріп, үкіметтік адвокаттар оларға бұл құқықты бермеу үшін «конституциялық тұрғыдан жеткілікті негіз таба алмады» деп шешті.","Массачусетс Жоғарғы Соты соты штаттағы лесбиянкалар мен гей жұптардың некеге тұруына мүмкіндік жасап, үкіметтік адвокаттар оларға бұл құқықты бермеу үшін «конституциялық тұрғыдан жеткілікті себеп таба алмады» деп шешті.","Массачусетс Жоғарғы Соты соты штаттағы лесбиянкалар мен гей жұптардың некеге тұруына мүмкіндік ашып, үкіметтік адвокаттар оларға бұл құқықты бермеу үшін «конституциялық тұрғыдан жеткілікті түрде себеп таба алмады» деп шешті.","Массачусетс Жоғарғы Соты соты штаттағы лесбиянкалар мен гей жұптардың некеге тұруына жол беріп, үкіметтік адвокаттар оларға бұл құқықты бермеу үшін «конституциялық тұрғыдан жеткілікті негіз таба алмады» деп шешті."
Олимп тауы жердің ортасынан көтеріліп тұр.,Олимп тауы жердің орталығында орналасқан.,0,135,тарту,"мәтін1: Олимп тауы жердің ортасынан көтеріліп тұр.
мәтін2: Олимп тауы жердің орталығында орналасқан.
жапсырма: 0","A) Олимп тауы жердің жайынан көтеріліп тұр.  
B) Олимп тауы жердің ортасында орналасқан.  
C) Олимп тауы жердің орта тұсында көтеріліп тұр.  
D) Олимп тауы жердің ортасынан жатқызылып тұр.",Олимп тауы жердің жайынан көтеріліп тұр.,Олимп тауы жердің ортасында орналасқан.,Олимп тауы жердің орта тұсында көтеріліп тұр.,Олимп тауы жердің ортасынан жатқызылып тұр.
Соңғы шабуылдар АҚШ елшілігі мен Өзбекстан астанасындағы жоғары прокуратураға бағытталған.,Кеше Өзбекстан астанасындағы Израиль елшілігінің кіреберісінде болған террористік жарылыстар екі адамның өмірін қиды.,1,230,міндеттеме емес,"мәтін1: Соңғы шабуылдар АҚШ елшілігі мен Өзбекстан астанасындағы жоғары прокуратураға бағытталған.
мәтін2: Кеше Өзбекстан астанасындағы Израиль елшілігінің кіреберісінде болған террористік жарылыстар екі адамның өмірін қиды.
жапсырма: 1","A) Соңғы соққылар АҚШ елшілігі мен Өзбекстан астанасындағы жоғарғы прокуратураға бағытталған.

B) Соңғы шабуылдар Америка елшілігі мен Өзбекстан астанасындағы жоғары прокуратураға бағытталған.

C) Соңғы шабуылдар АҚШ дипломатиялық миссиясы мен Өзбекстан астанасындағы басты прокуратураға бағытталған.

D) Соңғы шабуылдар Америка елшілігі мен Өзбекстан астанасындағы жоғарғы прокуратураға бағытталған.",Соңғы соққылар АҚШ елшілігі мен Өзбекстан астанасындағы жоғарғы прокуратураға бағытталған.,Соңғы шабуылдар Америка елшілігі мен Өзбекстан астанасындағы жоғары прокуратураға бағытталған.,Соңғы шабуылдар АҚШ дипломатиялық миссиясы мен Өзбекстан астанасындағы басты прокуратураға бағытталған.,Соңғы шабуылдар Америка елшілігі мен Өзбекстан астанасындағы жоғарғы прокуратураға бағытталған.
" NIH-тің 2005 қаржы жылына арналған 28,8 миллиард доллар көлеміндегі бюджеттік сұрауы Ұлттық жалпы медициналық ғылымдар институты үшін 3,4 пайызға өсіммен 2 миллиард долларды және Ұлттық зерттеу ресурстары орталығына 1,1 миллиард долларды және 2004 қаржы жылымен салыстырғанда 7,2 пайызға төмендеуді қамтиды."," Сұраныс 1,1 миллиард долларға дейін қысқартылды",1,223,міндеттеме емес,"мәтін1:  NIH-тің 2005 қаржы жылына арналған 28,8 миллиард доллар көлеміндегі бюджеттік сұрауы Ұлттық жалпы медициналық ғылымдар институты үшін 3,4 пайызға өсіммен 2 миллиард долларды және Ұлттық зерттеу ресурстары орталығына 1,1 миллиард долларды және 2004 қаржы жылымен салыстырғанда 7,2 пайызға төмендеуді қамтиды.
мәтін2:  Сұраныс 1,1 миллиард долларға дейін қысқартылды
жапсырма: 1","A)  NIH-тің 2005 қаржы жылына арналған 28,8 миллиард доллар көлеміндегі бюджеттік өтініші Ұлттық жалпы медициналық ғылымдар институты үшін 3,4 пайызға ұлғаюмен 2 миллиард долларды және Ұлттық зерттеу ресурстары орталығына 1,1 миллиард долларды және 2004 қаржы жылымен салыстырғанда 7,2 пайызға төмендеуді қамтиды.  
B)  NIH-тің 2005 қаржы жылына қарай 28,8 миллиард доллар мөлшеріндегі бюджеттік талаптары Ұлттық жалпы медициналық ғылымдар институты үшін 3,4 пайызға өсуімен 2 миллиард долларды және Ұлттық зерттеу ресурстары орталығына 1,1 миллиард долларды және 2004 қаржы жылымен салыстырғанда 7,2 пайызға құлдырауды қамтиды.  
C)  NIH-тің 2005 қаржы жылына бағытталған 28,8 миллиард долларлық бюджеттік сұранысы Ұлттық жалпы медициналық ғылымдар институты үшін 3,4 пайызға артуымен 2 миллиард долларды және Ұлттық зерттеу ресурстары орталығына 1,1 миллиард долларды және 2004 қаржы жылымен салыстырғанда 7,2 пайызға азаюды қамтиды.  
D)  NIH-тің 2005 қаржы жылына қатысты 28,8 миллиард доллар көлеміндегі бюджеттік ұсынысы Ұлттық жалпы медициналық ғылымдар институты үшін 3,4 пайызға көтерілуімен 2 миллиард долларды және Ұлттық зерттеу ресурстары орталығына 1,1 миллиард долларды және 2004 қаржы жылымен салыстырғанда 7,2 пайызға төмендеуді қамтиды.  ","NIH-тің 2005 қаржы жылына арналған 28,8 миллиард доллар көлеміндегі бюджеттік өтініші Ұлттық жалпы медициналық ғылымдар институты үшін 3,4 пайызға ұлғаюмен 2 миллиард долларды және Ұлттық зерттеу ресурстары орталығына 1,1 миллиард долларды және 2004 қаржы жылымен салыстырғанда 7,2 пайызға төмендеуді қамтиды.","NIH-тің 2005 қаржы жылына қарай 28,8 миллиард доллар мөлшеріндегі бюджеттік талаптары Ұлттық жалпы медициналық ғылымдар институты үшін 3,4 пайызға өсуімен 2 миллиард долларды және Ұлттық зерттеу ресурстары орталығына 1,1 миллиард долларды және 2004 қаржы жылымен салыстырғанда 7,2 пайызға құлдырауды қамтиды.","NIH-тің 2005 қаржы жылына бағытталған 28,8 миллиард долларлық бюджеттік сұранысы Ұлттық жалпы медициналық ғылымдар институты үшін 3,4 пайызға артуымен 2 миллиард долларды және Ұлттық зерттеу ресурстары орталығына 1,1 миллиард долларды және 2004 қаржы жылымен салыстырғанда 7,2 пайызға азаюды қамтиды.","NIH-тің 2005 қаржы жылына қатысты 28,8 миллиард доллар көлеміндегі бюджеттік ұсынысы Ұлттық жалпы медициналық ғылымдар институты үшін 3,4 пайызға көтерілуімен 2 миллиард долларды және Ұлттық зерттеу ресурстары орталығына 1,1 миллиард долларды және 2004 қаржы жылымен салыстырғанда 7,2 пайызға төмендеуді қамтиды."
" Джакарта Рая қаласының астаналық ауданымен қатар орналасқан, ол Яваның солтүстік-батыс жағалауындағы Чиливунг (Ливунг өзені) сағасында орналасқан.",Джакарта Ява аралының солтүстік-батыс жағалауындағы Чиливунг (Ливунг) өзенінің сағасында орналасқан.,0,170,тарту,"мәтін1:  Джакарта Рая қаласының астаналық ауданымен қатар орналасқан, ол Яваның солтүстік-батыс жағалауындағы Чиливунг (Ливунг өзені) сағасында орналасқан.
мәтін2: Джакарта Ява аралының солтүстік-батыс жағалауындағы Чиливунг (Ливунг) өзенінің сағасында орналасқан.
жапсырма: 0","A) Джакарта Рая қаласының орталық ауданымен қатар орналасқан, ол Яваның солтүстік-батыс жағалауындағы Чиливунг (Ливунг өзені) сағасында орналасқан.  
B) Джакарта Рая қаласының астаналық бөлімімен қатар орналасқан, ол Яваның солтүстік-батыс жағалауындағы Чиливунг (Ливунг өзені) сағасында орналасқан.  
C) Джакарта Рая қаласының үкіметтік ауданымен қатар орналасқан, ол Яваның солтүстік-батыс жағалауындағы Чиливунг (Ливунг өзені) сағасында орналасқан.  
D) Джакарта Рая қаласының әкімшілік ауданымен қатар орналасқан, ол Яваның солтүстік-батыс жағалауындағы Чиливунг (Ливунг өзені) сағасында орналасқан.  ","Джакарта Рая қаласының орталық ауданымен қатар орналасқан, ол Яваның солтүстік-батыс жағалауындағы Чиливунг (Ливунг өзені) сағасында орналасқан.","Джакарта Рая қаласының астаналық бөлімімен қатар орналасқан, ол Яваның солтүстік-батыс жағалауындағы Чиливунг (Ливунг өзені) сағасында орналасқан.","Джакарта Рая қаласының үкіметтік ауданымен қатар орналасқан, ол Яваның солтүстік-батыс жағалауындағы Чиливунг (Ливунг өзені) сағасында орналасқан.","Джакарта Рая қаласының әкімшілік ауданымен қатар орналасқан, ол Яваның солтүстік-батыс жағалауындағы Чиливунг (Ливунг өзені) сағасында орналасқан."
Жоғарғы Сот бүгін штаттар өз тілектерін білдірмеген немесе білдіре алмайтын комадағы науқастарға өмірді сақтап қалатын емдеуді тоқтатуға тыйым салуы мүмкін деп мәлімдеді.,Өмірді қамтамасыз ету жүйесін алып тастау туралы Жоғарғы Сот шешімі бар.,0,97,тарту,"мәтін1: Жоғарғы Сот бүгін штаттар өз тілектерін білдірмеген немесе білдіре алмайтын комадағы науқастарға өмірді сақтап қалатын емдеуді тоқтатуға тыйым салуы мүмкін деп мәлімдеді.
мәтін2: Өмірді қамтамасыз ету жүйесін алып тастау туралы Жоғарғы Сот шешімі бар.
жапсырма: 0","A)
Жоғарғы Сот бүгін штаттар өз қалауларын білдірмеген немесе білдіре алмайтын комадағы науқастарға өмірді сақтап қалатын емдеуді тоқтатуға тыйым салуы мүмкін деп хабарлады.

B)
Жоғарғы Сот бүгін штаттар өз ниеттерін білдірмеген немесе білдіре алмайтын комадағы науқастарға өмірді сақтап қалатын емдеуді тоқтатуға тыйым салуы мүмкін деп мәлімдеді.

C)
Жоғарғы Сот бүгін штаттар өз тілектерін көрсетуге қарсы немесе көрсете алмайтын комадағы науқастарға өмірді сақтап қалатын емдеуді тоқтатуға тыйым салуы мүмкін деп хабарлады.

D)
Жоғарғы Сот бүгін штаттар өз талаптарын білдірмеген немесе білдіре алмайтын комадағы науқастарға өмірді сақтап қалатын емдеуді тоқтатуға тыйым салуы мүмкін деп мәлімдеді.",Жоғарғы Сот бүгін штаттар өз қалауларын білдірмеген немесе білдіре алмайтын комадағы науқастарға өмірді сақтап қалатын емдеуді тоқтатуға тыйым салуы мүмкін деп хабарлады.,Жоғарғы Сот бүгін штаттар өз ниеттерін білдірмеген немесе білдіре алмайтын комадағы науқастарға өмірді сақтап қалатын емдеуді тоқтатуға тыйым салуы мүмкін деп мәлімдеді.,Жоғарғы Сот бүгін штаттар өз тілектерін көрсетуге қарсы немесе көрсете алмайтын комадағы науқастарға өмірді сақтап қалатын емдеуді тоқтатуға тыйым салуы мүмкін деп хабарлады.,Жоғарғы Сот бүгін штаттар өз талаптарын білдірмеген немесе білдіре алмайтын комадағы науқастарға өмірді сақтап қалатын емдеуді тоқтатуға тыйым салуы мүмкін деп мәлімдеді.
" Шарль де Голль 1970 жылы сексен жасында қайтыс болды. Осылайша, ол елу жаста еді, жақында бригада генералы (уақытша) шеніне көтерілген белгісіз офицер ретінде ол 1940 жылдың мамыр-маусым айларындағы дағдарыстан кейін Францияның нацистерге берілуін жоққа шығарып, Лондоннан әйгілі хабарын жасады.",Шарль де Голль 1970 жылы қайтыс болды.,0,17,тарту,"мәтін1:  Шарль де Голль 1970 жылы сексен жасында қайтыс болды. Осылайша, ол елу жаста еді, жақында бригада генералы (уақытша) шеніне көтерілген белгісіз офицер ретінде ол 1940 жылдың мамыр-маусым айларындағы дағдарыстан кейін Францияның нацистерге берілуін жоққа шығарып, Лондоннан әйгілі хабарын жасады.
мәтін2: Шарль де Голль 1970 жылы қайтыс болды.
жапсырма: 0","A) Шарль де Голль 1970 жылы өлді.

B) Шарль де Голль 1970 жылы өмірден озды.

C) Шарль де Голль 1970 жылы дүниеден өтті.

D) Шарль де Голль 1970 жылы қайтыс болды.",Шарль де Голль 1970 жылы өлді.,Шарль де Голль 1970 жылы өмірден озды.,Шарль де Голль 1970 жылы дүниеден өтті.,Шарль де Голль 1970 жылы қайтыс болды.
" «Доктор Өлім» деген атпен танымал Джек Кеворкянның Мичиган штатындағы суицидке көмектесуге тыйым салуды бұзған-бұзбағанын алғаш рет қазылар алқасы шешуі керек, ал штат науқастар өмірін қию арқылы ауырсынуын тоқтатқысы келгенде не істеу керектігін шешу мәселесін шешуді жалғастыруда.",Джек Кеворкян - «Доктор Өлімнің» шын есімі.,0,13,тарту,"мәтін1:  «Доктор Өлім» деген атпен танымал Джек Кеворкянның Мичиган штатындағы суицидке көмектесуге тыйым салуды бұзған-бұзбағанын алғаш рет қазылар алқасы шешуі керек, ал штат науқастар өмірін қию арқылы ауырсынуын тоқтатқысы келгенде не істеу керектігін шешу мәселесін шешуді жалғастыруда.
мәтін2: Джек Кеворкян - «Доктор Өлімнің» шын есімі.
жапсырма: 0","A) «Доктор Өлім» деп аталатын Джек Кеворкянның Мичиган штатындағы өзіне-өзі қол жұмсауға көмек көрсетуге тыйым салуды бұзған-бұзбағанын алғаш рет қазылар алқасы анықтауы керек, ал штат науқастар өмірін қию арқылы азабын тоқтатқысы келгенде не істеу керектігін анықтау мәселесін шешуді жалғастыруда.

B) «Доктор Өлім» ретінде танымал Джек Кеворкянның Мичиган штатындағы суицидке көмек көрсетуге тыйым салуды бұзған-бұзбағанын ең алғаш рет қазылар алқасы анықтауы тиіс, ал штат науқастар өмірін жою арқылы ауырсынуын тоқтатқысы келгенде не істеу керек екенін шешу мәселесін шешуді жалғастыруда.

C) «Доктор Өлім» деп таныс Джек Кеворкянның Мичиган штатындағы өз-өзіне қол жұмсауға көмектесуге тыйым салуды бұзған-бұзбағанын алғаш рет қазылар алқасы анықтауы керек, ал штат науқастар өмірін қию арқылы азабын тоқтатқысы келгенде не істеу керектігін шешу мәселесін шешуді жалғастыруда.

D) «Доктор Өлім» дегенмен белгілі Джек Кеворкянның Мичиган штатындағы суицидке көмектесуге тыйым салуды бұзған-бұзбағанын бірінші рет қазылар алқасы шешуі керек, ал штат науқастар өмірін жою арқылы ауырсынуын тоқтатқысы келгенде не істеу керектігін анықтау мәселесін жалғастыруда.","«Доктор Өлім» деп аталатын Джек Кеворкянның Мичиган штатындағы өзіне-өзі қол жұмсауға көмек көрсетуге тыйым салуды бұзған-бұзбағанын алғаш рет қазылар алқасы анықтауы керек, ал штат науқастар өмірін қию арқылы азабын тоқтатқысы келгенде не істеу керектігін анықтау мәселесін шешуді жалғастыруда.","«Доктор Өлім» ретінде танымал Джек Кеворкянның Мичиган штатындағы суицидке көмек көрсетуге тыйым салуды бұзған-бұзбағанын ең алғаш рет қазылар алқасы анықтауы тиіс, ал штат науқастар өмірін жою арқылы ауырсынуын тоқтатқысы келгенде не істеу керек екенін шешу мәселесін шешуді жалғастыруда.","«Доктор Өлім» деп таныс Джек Кеворкянның Мичиган штатындағы өз-өзіне қол жұмсауға көмектесуге тыйым салуды бұзған-бұзбағанын алғаш рет қазылар алқасы анықтауы керек, ал штат науқастар өмірін қию арқылы азабын тоқтатқысы келгенде не істеу керектігін шешу мәселесін шешуді жалғастыруда.","«Доктор Өлім» дегенмен белгілі Джек Кеворкянның Мичиган штатындағы суицидке көмектесуге тыйым салуды бұзған-бұзбағанын бірінші рет қазылар алқасы шешуі керек, ал штат науқастар өмірін жою арқылы ауырсынуын тоқтатқысы келгенде не істеу керектігін анықтау мәселесін жалғастыруда."
" Словенияның астанасы - Любляна, халқы 270 000 адам.",Словенияда 270 000 халық тұрады.,1,270,міндеттеме емес,"мәтін1:  Словенияның астанасы - Любляна, халқы 270 000 адам.
мәтін2: Словенияда 270 000 халық тұрады.
жапсырма: 1","A)  
Словенияның астанасы - Любляна, тұрғындары 270 000 адам.  

B)  
Словенияның астанасы - Любляна, адамдар саны 270 000.  

C)  
Словенияның астанасы - Любляна, халық саны 270 000 адам.  

D)  
Словенияда 270 000 тұрғын тұрады.  ","Словенияның астанасы - Любляна, тұрғындары 270 000 адам.","Словенияның астанасы - Любляна, адамдар саны 270 000.","Словенияның астанасы - Любляна, халық саны 270 000 адам.",Словенияда 270 000 тұрғын тұрады.
" Шамамен бес айдан кейін, 1935 жылы 24 қаңтарда MOHAWK жолаушылар кемесі норвегиялық TALISMAN моторлы кемесімен соқтығысып, батып кетті, нәтижесінде 45 адам қаза тапты.",Паром апатынан 100 немесе одан да көп адам қаза тапты.,1,192,міндеттеме емес,"мәтін1:  Шамамен бес айдан кейін, 1935 жылы 24 қаңтарда MOHAWK жолаушылар кемесі норвегиялық TALISMAN моторлы кемесімен соқтығысып, батып кетті, нәтижесінде 45 адам қаза тапты.
мәтін2: Паром апатынан 100 немесе одан да көп адам қаза тапты.
жапсырма: 1","A) Шамамен бес айдан кейін, 1935 жылы 24 қаңтарда MOHAWK жолаушылар кемесі норвегиялық TALISMAN моторлы кемесімен кездесіп, батып кетті, нәтижесінде 45 адам қаза тапты.  
B) Шамамен бес айдан кейін, 1935 жылы 24 қаңтарда MOHAWK жолаушылар кемесі норвегиялық TALISMAN қозғалтқышты кемесімен соқтығысып, батып кетті, нәтижесінде 45 адам қаза тапты.  
C) Шамамен бес айдан кейін, 1935 жылы 24 қаңтарда MOHAWK жолаушылар кемесі норвегиялық TALISMAN моторлы кемесімен ұшырасып, батып кетті, нәтижесінде 45 адам қаза тапты.  
D) Шамамен бес айдан кейін, 1935 жылы 24 қаңтарда MOHAWK жолаушылар кемесі норвегиялық TALISMAN моторлы кемесімен қақтығысып, батып кетті, нәтижесінде 45 адам қаза тапты.  ","Шамамен бес айдан кейін, 1935 жылы 24 қаңтарда MOHAWK жолаушылар кемесі норвегиялық TALISMAN моторлы кемесімен кездесіп, батып кетті, нәтижесінде 45 адам қаза тапты.","Шамамен бес айдан кейін, 1935 жылы 24 қаңтарда MOHAWK жолаушылар кемесі норвегиялық TALISMAN қозғалтқышты кемесімен соқтығысып, батып кетті, нәтижесінде 45 адам қаза тапты.","Шамамен бес айдан кейін, 1935 жылы 24 қаңтарда MOHAWK жолаушылар кемесі норвегиялық TALISMAN моторлы кемесімен ұшырасып, батып кетті, нәтижесінде 45 адам қаза тапты.","Шамамен бес айдан кейін, 1935 жылы 24 қаңтарда MOHAWK жолаушылар кемесі норвегиялық TALISMAN моторлы кемесімен қақтығысып, батып кетті, нәтижесінде 45 адам қаза тапты."
