question,предмет,выбор,отвечать,sheet,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_a,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
 Теплопроводность включает в себя главным образом, концептуальная_физика, ['электроны' 'протоны' 'нейтроны' 'ионы'],0,Sheet1,question:  Теплопроводность включает в себя главным образом,"A)
question:  Теплопередача содержит в себе в основном

B)
question:  Теплопроводимость включает в себя преимущественно

C)
question:  Теплоперенос охватывает в себе прежде всего

D)
question:  Теплопроводность предусматривает в себе преимущественно",question:  Теплопередача содержит в себе в основном,question:  Теплопроводимость включает в себя преимущественно,question:  Теплоперенос охватывает в себе прежде всего,question:  Теплопроводность предусматривает в себе преимущественно,E,E,E,E,E
"Полиция заподозрила женщину в торговле крадеными кредитными картами. Сотрудник полиции под прикрытием постучал в дверь женщины и сказал ей, что готов заплатить за исправные кредитные карты. Когда женщина спросила, полицейский ли он, офицер ответил: «Нет», назвав ей ложное имя и сказав: «Можете позвонить Харви — он поручится за меня». Женщина впустила его в свой дом. После того как она вышла из комнаты, чтобы позвонить Харви, офицер поднял с стола какие-то бумаги и обнаружил под ними три кредитные карты на разные имена. Он изъял карты, а когда женщина вернулась, арестовал её. Женщина подала ходатайство об исключении изъятых доказательств на том основании, что были нарушены её права, гарантированные Четвёртой поправкой к Конституции США. Должен ли суд удовлетворить ходатайство об исключении доказательств?", профессиональное_право,"['Нет, потому что сразу стало очевидно, что карты были украдены.' 'Нет, потому что женщина приняла на себя риск того, что офицер изъят вещи на виду у всех.' 'Да, потому что права женщины были нарушены, когда офицер забрал бумаги.' 'Да, потому что права женщины были нарушены, когда офицер проник внутрь обманным путем.']",2,Sheet1,"question: Полиция заподозрила женщину в торговле крадеными кредитными картами. Сотрудник полиции под прикрытием постучал в дверь женщины и сказал ей, что готов заплатить за исправные кредитные карты. Когда женщина спросила, полицейский ли он, офицер ответил: «Нет», назвав ей ложное имя и сказав: «Можете позвонить Харви — он поручится за меня». Женщина впустила его в свой дом. После того как она вышла из комнаты, чтобы позвонить Харви, офицер поднял с стола какие-то бумаги и обнаружил под ними три кредитные карты на разные имена. Он изъял карты, а когда женщина вернулась, арестовал её. Женщина подала ходатайство об исключении изъятых доказательств на том основании, что были нарушены её права, гарантированные Четвёртой поправкой к Конституции США. Должен ли суд удовлетворить ходатайство об исключении доказательств?","A)
question: Полицейские заподозрили женщину в сбыте украденных кредитных карт. Полицейский инкогнито постучал в дверь женщины и сказал ей, что готов заплатить за годные кредитные карты. Когда женщина поинтересовалась, является ли он полицейским, офицер ответил: «Нет», назвав ей ложное имя и добавив: «Можете позвонить Харви — он ручается за меня». Женщина впустила его в свой дом. После того как она вышла из комнаты, чтобы позвонить Харви, офицер взял со стола какие-то документы и обнаружил под ними три кредитные карты на различные имена. Он забрал карты, а когда женщина вернулась, арестовал её. Женщина подала ходатайство об исключении изъятых доказательств на том основании, что были нарушены её права, гарантированные Четвёртой поправкой к Конституции США. Должен ли суд удовлетворить ходатайство об исключении доказательств?

B)
question: Полиция заподозрила женщину в продаже похищенных кредитных карт. Сотрудник полиции инкогнито постучал в дверь женщины и сообщил ей, что готов заплатить за пригодные кредитные карты. Когда женщина спросила, является ли он полицейским, офицер ответил: «Нет», назвав ей ложное имя и сказав: «Можете набрать Харви — он поручится за меня». Женщина впустила его в свой дом. После того как она вышла из комнаты, чтобы позвонить Харви, офицер поднял со стола какие-то бумаги и обнаружил под ними три кредитные карты на разные имена. Он конфисковал карты, а когда женщина вернулась, задержал её. Женщина подала ходатайство об исключении изъятых доказательств на том основании, что были нарушены её права, гарантированные Четвёртой поправкой к Конституции США. Должен ли суд удовлетворить ходатайство об исключении доказательств?

C)
question: Полиция заподозрила женщину в обращении украденных кредитных карт. Сотрудник полиции под прикрытием постучал в дверь женщины и сказал ей, что готов заплатить за работоспособные кредитные карты. Когда женщина поинтересовалась, полицейский ли он, офицер ответил: «Нет», назвав ей вымышленное имя и заявив: «Можете позвонить Харви — он поручится за меня». Женщина впустила его в свой дом. После того как она вышла из комнаты, чтобы связаться с Харви, офицер поднял с стола какие-то бумаги и обнаружил под ними три кредитные карты на разные имена. Он изъял карты, а когда женщина вернулась, арестовал её. Женщина подала ходатайство об исключении изъятых доказательств на том основании, что были нарушены её права, гарантированные Четвёртой поправкой к Конституции США. Должен ли суд удовлетворить ходатайство об исключении доказательств?

D)
question: Полицейские заподозрили женщину в торговле крадеными кредитными картами. Полицейский под прикрытием постучал в дверь женщины и сказал ей, что готов заплатить за исправные кредитные карты. Когда женщина спросила, полицейский ли он, сотрудник ответил: «Нет», назвав ей ложное имя и сказав: «Можете позвонить Харви — он поручится за меня». Женщина впустила его в свой дом. После того как она выбежала из комнаты, чтобы позвонить Харви, офицер поднял с стола некоторые бумаги и обнаружил под ними три кредитные карты на разные имена. Он изъял карты, а когда женщина вернулась, арестовал её. Женщина подала ходатайство об исключении изъятых доказательств на том основании, что были нарушены её права, гарантированные Четвёртой поправкой к Конституции США. Должен ли суд удовлетворить ходатайство об исключении доказательств?","question: Полицейские заподозрили женщину в сбыте украденных кредитных карт. Полицейский инкогнито постучал в дверь женщины и сказал ей, что готов заплатить за годные кредитные карты. Когда женщина поинтересовалась, является ли он полицейским, офицер ответил: «Нет», назвав ей ложное имя и добавив: «Можете позвонить Харви — он ручается за меня». Женщина впустила его в свой дом. После того как она вышла из комнаты, чтобы позвонить Харви, офицер взял со стола какие-то документы и обнаружил под ними три кредитные карты на различные имена. Он забрал карты, а когда женщина вернулась, арестовал её. Женщина подала ходатайство об исключении изъятых доказательств на том основании, что были нарушены её права, гарантированные Четвёртой поправкой к Конституции США. Должен ли суд удовлетворить ходатайство об исключении доказательств?","question: Полиция заподозрила женщину в продаже похищенных кредитных карт. Сотрудник полиции инкогнито постучал в дверь женщины и сообщил ей, что готов заплатить за пригодные кредитные карты. Когда женщина спросила, является ли он полицейским, офицер ответил: «Нет», назвав ей ложное имя и сказав: «Можете набрать Харви — он поручится за меня». Женщина впустила его в свой дом. После того как она вышла из комнаты, чтобы позвонить Харви, офицер поднял со стола какие-то бумаги и обнаружил под ними три кредитные карты на разные имена. Он конфисковал карты, а когда женщина вернулась, задержал её. Женщина подала ходатайство об исключении изъятых доказательств на том основании, что были нарушены её права, гарантированные Четвёртой поправкой к Конституции США. Должен ли суд удовлетворить ходатайство об исключении доказательств?","question: Полиция заподозрила женщину в обращении украденных кредитных карт. Сотрудник полиции под прикрытием постучал в дверь женщины и сказал ей, что готов заплатить за работоспособные кредитные карты. Когда женщина поинтересовалась, полицейский ли он, офицер ответил: «Нет», назвав ей вымышленное имя и заявив: «Можете позвонить Харви — он поручится за меня». Женщина впустила его в свой дом. После того как она вышла из комнаты, чтобы связаться с Харви, офицер поднял с стола какие-то бумаги и обнаружил под ними три кредитные карты на разные имена. Он изъял карты, а когда женщина вернулась, арестовал её. Женщина подала ходатайство об исключении изъятых доказательств на том основании, что были нарушены её права, гарантированные Четвёртой поправкой к Конституции США. Должен ли суд удовлетворить ходатайство об исключении доказательств?","question: Полицейские заподозрили женщину в торговле крадеными кредитными картами. Полицейский под прикрытием постучал в дверь женщины и сказал ей, что готов заплатить за исправные кредитные карты. Когда женщина спросила, полицейский ли он, сотрудник ответил: «Нет», назвав ей ложное имя и сказав: «Можете позвонить Харви — он поручится за меня». Женщина впустила его в свой дом. После того как она выбежала из комнаты, чтобы позвонить Харви, офицер поднял с стола некоторые бумаги и обнаружил под ними три кредитные карты на разные имена. Он изъял карты, а когда женщина вернулась, арестовал её. Женщина подала ходатайство об исключении изъятых доказательств на том основании, что были нарушены её права, гарантированные Четвёртой поправкой к Конституции США. Должен ли суд удовлетворить ходатайство об исключении доказательств?",A,A,A,E,A
" 68-летний мужчина находится в больнице, поскольку ему требуется искусственная вентиляция легких из-за обострения хронической обструктивной болезни легких. На второй день после госпитализации у него развился правосторонний пневмоторакс, потребовавший дренирования плевральной полости. В течение следующих 24 часов отмечалась утечка воздуха, которая сейчас прекратилась. Однако пациент стал беспокойным и агрессивным. Дыхательные шумы в правой половине грудной клетки ослаблены, и у пациента появилась тахикардия. Артериальное давление составляет 130/80 мм рт. ст. После назначения срочной портативной рентгенографии грудной клетки, какой из следующих шагов является наиболее целесообразным?", профессиональная_медицина,['Назначить бета-блокаторы' 'Назначить алпразолам' 'Отключить пациента от аппарата ИВЛ и проводить вентиляцию легких с помощью мешка Амбу' 'Изменить положение дренажной трубки в грудной клетке'],3,Sheet1,"question:  68-летний мужчина находится в больнице, поскольку ему требуется искусственная вентиляция легких из-за обострения хронической обструктивной болезни легких. На второй день после госпитализации у него развился правосторонний пневмоторакс, потребовавший дренирования плевральной полости. В течение следующих 24 часов отмечалась утечка воздуха, которая сейчас прекратилась. Однако пациент стал беспокойным и агрессивным. Дыхательные шумы в правой половине грудной клетки ослаблены, и у пациента появилась тахикардия. Артериальное давление составляет 130/80 мм рт. ст. После назначения срочной портативной рентгенографии грудной клетки, какой из следующих шагов является наиболее целесообразным?","A)
question:  68-летний пациент госпитализирован, так как ему необходима искусственная вентиляция легких в связи с усугублением хронической обструктивной болезни легких. На второй день после госпитализации у него возник правосторонний пневмоторакс, потребовавший дренажа плевральной полости. В течение следующих 24 часов наблюдалась утечка воздуха, которая сейчас прекратилась. Однако пациент стал беспокойным и агрессивным. Дыхательные шумы в правой половине грудной клетки ослаблены, и у пациента появилась тахикардия. Артериальное давление составляет 130/80 мм рт. ст. После назначения срочной портативной рентгенографии грудной клетки, какой из следующих шагов является наиболее целесообразным?

B)
question:  68-летний мужчина находится в стационаре, потому что ему требуется аппаратная вентиляция легких из-за обострения хронического обструктивного заболевания легких. На второй день после госпитализации у него развился правосторонний пневмоторакс, потребовавший дренирования плевральной полости. В течение следующих 24 часов отмечалась утечка воздуха, которая сейчас прекратилась. Однако больной стал беспокойным и агрессивным. Дыхательные шумы в правой половине грудной клетки ослаблены, и у пациента развилась тахикардия. Артериальное давление составляет 130/80 мм рт. ст. После назначения срочной портативной рентгенографии грудной клетки, какой из следующих шагов является наиболее целесообразным?

C)
question:  68-летний мужчина госпитализирован в отделение, поскольку ему требуется ИВЛ по поводу рецидива хронической обструктивной болезни легких. На второй день после госпитализации у него возник правосторонний пневмоторакс, потребовавший дренирования плевральной полости. В течение последующих 24 часов происходила утечка воздуха, которая в настоящее время прекратилась. Тем не менее пациент стал тревожным и агрессивным. Дыхательные шумы в правой половине грудной клетки ослаблены, и у пациента появилась тахикардия. Артериальное давление составляет 130/80 мм рт. ст. После назначения срочной портативной рентгенографии грудной клетки, какой из следующих шагов является наиболее целесообразным?

D)
question:  68-летний мужчина госпитализирован, так как нуждается в искусственной вентиляции легких вследствие ухудшения хронической обструктивной болезни легких. На второй день после госпитализации у него развился правосторонний пневмоторакс, потребовавший дренажа плевральной полости. В течение следующих 24 часов фиксировалась утечка воздуха, которая сейчас прекратилась. Однако пациент стал возбужденным и агрессивным. Дыхательные шумы в правой половине грудной клетки ослаблены, и у него появилась тахикардия. Артериальное давление составляет 130/80 мм рт. ст. После назначения срочной портативной рентгенографии грудной клетки, какой из следующих шагов является наиболее целесообразным?","question:  68-летний пациент госпитализирован, так как ему необходима искусственная вентиляция легких в связи с усугублением хронической обструктивной болезни легких. На второй день после госпитализации у него возник правосторонний пневмоторакс, потребовавший дренажа плевральной полости. В течение следующих 24 часов наблюдалась утечка воздуха, которая сейчас прекратилась. Однако пациент стал беспокойным и агрессивным. Дыхательные шумы в правой половине грудной клетки ослаблены, и у пациента появилась тахикардия. Артериальное давление составляет 130/80 мм рт. ст. После назначения срочной портативной рентгенографии грудной клетки, какой из следующих шагов является наиболее целесообразным?","question:  68-летний мужчина находится в стационаре, потому что ему требуется аппаратная вентиляция легких из-за обострения хронического обструктивного заболевания легких. На второй день после госпитализации у него развился правосторонний пневмоторакс, потребовавший дренирования плевральной полости. В течение следующих 24 часов отмечалась утечка воздуха, которая сейчас прекратилась. Однако больной стал беспокойным и агрессивным. Дыхательные шумы в правой половине грудной клетки ослаблены, и у пациента развилась тахикардия. Артериальное давление составляет 130/80 мм рт. ст. После назначения срочной портативной рентгенографии грудной клетки, какой из следующих шагов является наиболее целесообразным?","question:  68-летний мужчина госпитализирован в отделение, поскольку ему требуется ИВЛ по поводу рецидива хронической обструктивной болезни легких. На второй день после госпитализации у него возник правосторонний пневмоторакс, потребовавший дренирования плевральной полости. В течение последующих 24 часов происходила утечка воздуха, которая в настоящее время прекратилась. Тем не менее пациент стал тревожным и агрессивным. Дыхательные шумы в правой половине грудной клетки ослаблены, и у пациента появилась тахикардия. Артериальное давление составляет 130/80 мм рт. ст. После назначения срочной портативной рентгенографии грудной клетки, какой из следующих шагов является наиболее целесообразным?","question:  68-летний мужчина госпитализирован, так как нуждается в искусственной вентиляции легких вследствие ухудшения хронической обструктивной болезни легких. На второй день после госпитализации у него развился правосторонний пневмоторакс, потребовавший дренажа плевральной полости. В течение следующих 24 часов фиксировалась утечка воздуха, которая сейчас прекратилась. Однако пациент стал возбужденным и агрессивным. Дыхательные шумы в правой половине грудной клетки ослаблены, и у него появилась тахикардия. Артериальное давление составляет 130/80 мм рт. ст. После назначения срочной портативной рентгенографии грудной клетки, какой из следующих шагов является наиболее целесообразным?",A,A,A,A,A
Что из перечисленного НЕ является частью внутренней структуры женской груди?, человеческая_сексуальность, ['Моль молочной железы' 'Млечный проток' 'Млечный синус' 'Мышца Дартоса'],3,Sheet1,question: Что из перечисленного НЕ является частью внутренней структуры женской груди?,"A)
question: Что из названного НЕ является элементом внутренней структуры женской груди?

B)
question: Что из перечисленного НЕ представляет собой часть внутренней конструкции женской груди?

C)
question: Что из перечисленного НЕ служит составной частью внутреннего строения женской груди?

D)
question: Что из перечисленного НЕ относится к внутренней архитектуре женской груди?",question: Что из названного НЕ является элементом внутренней структуры женской груди?,question: Что из перечисленного НЕ представляет собой часть внутренней конструкции женской груди?,question: Что из перечисленного НЕ служит составной частью внутреннего строения женской груди?,question: Что из перечисленного НЕ относится к внутренней архитектуре женской груди?,E,E,E,E,E
" Это деятельность в сфере маркетинговых коммуникаций, направленная на оказание поддержки сотрудникам отдела продаж и мерчандайзинга:", маркетинг, ['Магазинный маркетинг.' 'Полевой маркетинг.' 'Стимулирование продаж.' 'Личные продажи.'],1,Sheet1,"question:  Это деятельность в сфере маркетинговых коммуникаций, направленная на оказание поддержки сотрудникам отдела продаж и мерчандайзинга:","A)
question:  Это работа в области маркетинговых коммуникаций, ориентированная на оказание помощи сотрудникам отдела продаж и мерчандайзинга:

B)
question:  Это деятельность в области маркетинговых коммуникаций, направленная на предоставление поддержки персоналу отдела продаж и мерчандайзинга:

C)
question:  Это деятельность в сфере рекламных коммуникаций, направленная на оказание помощи сотрудникам службы продаж и мерчандайзинга:

D)
question:  Это работа в сфере маркетинговых коммуникаций, предназначенная для оказания поддержки работникам отдела продаж и мерчандайзинга:","question:  Это работа в области маркетинговых коммуникаций, ориентированная на оказание помощи сотрудникам отдела продаж и мерчандайзинга:","question:  Это деятельность в области маркетинговых коммуникаций, направленная на предоставление поддержки персоналу отдела продаж и мерчандайзинга:","question:  Это деятельность в сфере рекламных коммуникаций, направленная на оказание помощи сотрудникам службы продаж и мерчандайзинга:","question:  Это работа в сфере маркетинговых коммуникаций, предназначенная для оказания поддержки работникам отдела продаж и мерчандайзинга:",E,E,E,E,E
" Согласно де Марнеффу, какая из следующих причин может послужить основанием для того, чтобы назвать кого-либо наркоманом?", моральные_споры,"['Они употребляют наркотики, чтобы утолить тягу.' 'Они употребляют наркотики, даже если им явно не следует этого делать.' 'Хотя они считают, что должны употреблять наркотики, когда решают это сделать, в другое время они считают, что больше не должны их употреблять.' 'все вышеперечисленное']",3,Sheet1,"question:  Согласно де Марнеффу, какая из следующих причин может послужить основанием для того, чтобы назвать кого-либо наркоманом?","A)
Согласно де Марнеффу, какая из перечисленных причин может послужить поводом для того, чтобы назвать кого-либо наркоманом?

B)
Согласно де Марнеффу, какая из следующих причин может стать основанием для того, чтобы назвать кого-либо наркоманом?

C)
Согласно де Марнеффу, какая из указанных причин может послужить основанием для того, чтобы назвать кого-либо наркоманом?

D)
Согласно де Марнеффу, какая из перечисленных причин может стать поводом для того, чтобы назвать кого-либо наркоманом?","Согласно де Марнеффу, какая из перечисленных причин может послужить поводом для того, чтобы назвать кого-либо наркоманом?","Согласно де Марнеффу, какая из следующих причин может стать основанием для того, чтобы назвать кого-либо наркоманом?","Согласно де Марнеффу, какая из указанных причин может послужить основанием для того, чтобы назвать кого-либо наркоманом?","Согласно де Марнеффу, какая из перечисленных причин может стать поводом для того, чтобы назвать кого-либо наркоманом?",E,E,E,E,E
" Стоимость кошачьего корма составляет 0,47 доллара за фунт. Сколько стоит мешок весом 6 фунтов?", элементарная_математика, ['$2.82 ' '$2.97 ' '$6.47 ' '$12.77 '],0,Sheet1,"question:  Стоимость кошачьего корма составляет 0,47 доллара за фунт. Сколько стоит мешок весом 6 фунтов?","A)
question:  Цена корма для кошек равна 0,47 доллара за фунт. Сколько стоит мешок весом 6 фунтов?

B)
question:  Стоимость кошачьего питания равна 0,47 доллара за фунт. Сколько стоит мешок весом 6 фунтов?

C)
question:  Цена кошачьего корма составляет 0,47 доллара за фунт. Сколько стоит мешок весом 6 фунтов?

D)
question:  Цена корма для кошек составляет 0,47 доллара за фунт. Сколько стоит мешок весом 6 фунтов?","question:  Цена корма для кошек равна 0,47 доллара за фунт. Сколько стоит мешок весом 6 фунтов?","question:  Стоимость кошачьего питания равна 0,47 доллара за фунт. Сколько стоит мешок весом 6 фунтов?","question:  Цена кошачьего корма составляет 0,47 доллара за фунт. Сколько стоит мешок весом 6 фунтов?","question:  Цена корма для кошек составляет 0,47 доллара за фунт. Сколько стоит мешок весом 6 фунтов?",E,E,E,E,E
 Каким образом вирусы семейства папиллом вызывают рак?, вирусология," ['Реплицируется в делящихся клетках и кодирует три онкогенных белка: E5, E6 и E7' 'Интегрирует вирусный геном в клеточную ДНК' 'Имеет онкоген, способный инициировать рак' 'Действует как кофактор для клеточного онкогена']",1,Sheet1,question:  Каким образом вирусы семейства папиллом вызывают рак?,"A)
question:  Каким образом вирусы семейства папиллом индуцируют рак?

B)
question:  Каким образом вирусы рода папиллом провоцируют рак?

C)
question:  Каким образом патогены семейства папиллом вызывают злокачественные опухоли?

D)
question:  Каким способом вирусы семейства папиллом вызывают рак?",question:  Каким образом вирусы семейства папиллом индуцируют рак?,question:  Каким образом вирусы рода папиллом провоцируют рак?,question:  Каким образом патогены семейства папиллом вызывают злокачественные опухоли?,question:  Каким способом вирусы семейства папиллом вызывают рак?,E,E,E,E,E
 Какое из следующих утверждений о метаболической потребности в аминокислотах является правильным?, питание," «Потребность в метаболизме удовлетворяется только за счет пищи», «Потребность в метаболизме заключается в поддержании белкового обмена», «Потребление аминокислот включает в себя их потребление в результате ряда необратимых процессов, которые могут быть как обязательными, так и адаптивными», «Потребность в метаболизме представляет собой фиксированное количество».",2,Sheet1,question:  Какое из следующих утверждений о метаболической потребности в аминокислотах является правильным?,"A)
question:  Какое из нижеследующих утверждений о метаболической потребности в аминокислотах является верным?

B)
question:  Какое из следующих суждений о метаболической потребности в аминокислотах является правильным?

C)
question:  Какое из последующих утверждений о метаболической потребности в аминокислотах является истинным?

D)
question:  Какое из приведённых ниже утверждений о метаболической потребности в аминокислотах является корректным?",question:  Какое из нижеследующих утверждений о метаболической потребности в аминокислотах является верным?,question:  Какое из следующих суждений о метаболической потребности в аминокислотах является правильным?,question:  Какое из последующих утверждений о метаболической потребности в аминокислотах является истинным?,question:  Какое из приведённых ниже утверждений о метаболической потребности в аминокислотах является корректным?,E,E,E,E,E
" Поле имеет форму трапеции. Длина короткого основания трапеции составляет 130 ярдов, а длинного — 390 ярдов. Расстояние между основаниями равно 75 ярдам. Какова площадь поля?", элементарная_математика," ['9,750 ярдов^2' '19,500 ярдов^2' '29,250 ярдов^2' '39,000 ярдов^2']",1,Sheet1,"question:  Поле имеет форму трапеции. Длина короткого основания трапеции составляет 130 ярдов, а длинного — 390 ярдов. Расстояние между основаниями равно 75 ярдам. Какова площадь поля?","A)
question:  Участок представляет собой трапецию. Длина меньшего основания трапеции равна 130 ярдов, а большего — 390 ярдов. Расстояние между основаниями равно 75 ярдам. Какова площадь участка?

B)
question:  Территория имеет форму трапеции. Длина короткого основания трапеции равна 130 ярдов, а длинного — 390 ярдов. Расстояние между основаниями составляет 75 ярдов. Какова площадь территории?

C)
question:  Поле представляет форму трапеции. Величина короткого основания трапеции составляет 130 ярдов, а длинного — 390 ярдов. Расстояние между основаниями равно 75 ярдам. Какова площадь поля?

D)
question:  Поле имеет очертание трапеции. Длина короткого основания трапеции равняется 130 ярдам, а длинного — 390 ярдов. Расстояние между основаниями равно 75 ярдам. Чему равна площадь поля?","question:  Участок представляет собой трапецию. Длина меньшего основания трапеции равна 130 ярдов, а большего — 390 ярдов. Расстояние между основаниями равно 75 ярдам. Какова площадь участка?","question:  Территория имеет форму трапеции. Длина короткого основания трапеции равна 130 ярдов, а длинного — 390 ярдов. Расстояние между основаниями составляет 75 ярдов. Какова площадь территории?","question:  Поле представляет форму трапеции. Величина короткого основания трапеции составляет 130 ярдов, а длинного — 390 ярдов. Расстояние между основаниями равно 75 ярдам. Какова площадь поля?","question:  Поле имеет очертание трапеции. Длина короткого основания трапеции равняется 130 ярдам, а длинного — 390 ярдов. Расстояние между основаниями равно 75 ярдам. Чему равна площадь поля?",E,E,E,E,E
