мәтін1,мәтін2,жапсырма,idx,белгі_мәтіні,instance,generated_options,option_a,option_b,option_c,option_d
" Менің және сахнаның арасында бағана бар, мен оны көре алмаймын.",Сахнаның айналасын көре алмаймын.,1,33,тарту,"мәтін1:  Менің және сахнаның арасында бағана бар, мен оны көре алмаймын.
мәтін2: Сахнаның айналасын көре алмаймын.
жапсырма: 1","A)  
Менің және сахнаның арасында тірек бар, мен оны көре алмаймын.  

B)  
Менің және сахнаның арасында стержень бар, мен оны көре алмаймын.  

C)  
Менің және сахнаның арасында қолдау бар, мен оны көре алмаймын.  

D)  
Менің және сахнаның арасында штанга бар, мен оны көре алмаймын.  ","Менің және сахнаның арасында тірек бар, мен оны көре алмаймын.","Менің және сахнаның арасында стержень бар, мен оны көре алмаймын.","Менің және сахнаның арасында қолдау бар, мен оны көре алмаймын.","Менің және сахнаның арасында штанга бар, мен оны көре алмаймын."
Дренаж түктермен бітеліп қалған. Оны тазалау керек.,Шашты тазалау керек.,0,0,міндеттеме емес,"мәтін1: Дренаж түктермен бітеліп қалған. Оны тазалау керек.
мәтін2: Шашты тазалау керек.
жапсырма: 0","A)  
Дренаж талшықтармен бітеліп қалған. Оны тазарту керек.

B)  
Дренаж жіптермен бітеліп қалған. Оны тазалауды қажет.

C)  
Дренаж элементтерімен бітеліп қалған. Оны жуып шығару керек.

D)  
Дренаж компоненттерімен бітеліп қалған. Оны тазартуға кезек бар.",Дренаж талшықтармен бітеліп қалған. Оны тазарту керек.,Дренаж жіптермен бітеліп қалған. Оны тазалауды қажет.,Дренаж элементтерімен бітеліп қалған. Оны жуып шығару керек.,Дренаж компоненттерімен бітеліп қалған. Оны тазартуға кезек бар.
"Егер алаяқ Сэмді алдап кетсе, ол көп ақша алар еді.",Алаяқ көп ақша табатын еді.,1,62,тарту,"мәтін1: Егер алаяқ Сэмді алдап кетсе, ол көп ақша алар еді.
мәтін2: Алаяқ көп ақша табатын еді.
жапсырма: 1","A) Егер алаяқ Сэмді алдап шықса, ол көп қаржы алар еді.  
B) Егер алаяқ Сэмді алдап кетсе, ол көп ақшаны алар еді.  
C) Егер алаяқ Сэмді алдап өтсе, ол көп ақша алатын еді.  
D) Егер алаяқ Сэмді алдап кеткен жағдайда, ол көп ақша табатын еді.  ","Егер алаяқ Сэмді алдап шықса, ол көп қаржы алар еді.","Егер алаяқ Сэмді алдап кетсе, ол көп ақшаны алар еді.","Егер алаяқ Сэмді алдап өтсе, ол көп ақша алатын еді.","Егер алаяқ Сэмді алдап кеткен жағдайда, ол көп ақша табатын еді."
Дренаж түктермен бітеліп қалған. Оны тазалау керек.,Дренажды тазалау керек.,1,39,тарту,"мәтін1: Дренаж түктермен бітеліп қалған. Оны тазалау керек.
мәтін2: Дренажды тазалау керек.
жапсырма: 1","A)
Дренаж сымдармен бітеліп қалған. Оны тазарту керек.

B)
Дренаж жіптермен бітеліп қалған. Оны тазалауды қажет.

C)
Дренаж түйіндермен бітеліп қалған. Оны тазартуға тиіс.

D)
Дренаж арналармен бітеліп қалған. Оны тазалау қажет.",Дренаж сымдармен бітеліп қалған. Оны тазарту керек.,Дренаж жіптермен бітеліп қалған. Оны тазалауды қажет.,Дренаж түйіндермен бітеліп қалған. Оны тазартуға тиіс.,Дренаж арналармен бітеліп қалған. Оны тазалау қажет.
" Бет оны бөліп тастаған Саллиге ашуланған жоқ, себебі ол тоқтап, онға дейін санады."," Салли тоқтап, онға дейін санады.",0,2,міндеттеме емес,"мәтін1:  Бет оны бөліп тастаған Саллиге ашуланған жоқ, себебі ол тоқтап, онға дейін санады.
мәтін2:  Салли тоқтап, онға дейін санады.
жапсырма: 0","A)  
Бет оны бөліп тастаған Саллиге ренжіген жоқ, себебі ол тоқтап, онға дейін санады.

B)  
Бет оны бөліп тастаған Саллиге ашуланған емес, себебі ол тоқтап, онға дейін санады.

C)  
Бет оны бөліп тастаған Саллиге наразылық танытқан жоқ, себебі ол тоқтап, онға дейін санады.

D)  
Бет оны бөліп тастаған Саллиге ызаланған жоқ, себебі ол тоқтап, онға дейін санады.","Бет оны бөліп тастаған Саллиге ренжіген жоқ, себебі ол тоқтап, онға дейін санады.","Бет оны бөліп тастаған Саллиге ашуланған емес, себебі ол тоқтап, онға дейін санады.","Бет оны бөліп тастаған Саллиге наразылық танытқан жоқ, себебі ол тоқтап, онға дейін санады.","Бет оны бөліп тастаған Саллиге ызаланған жоқ, себебі ол тоқтап, онға дейін санады."
Дренаж түктермен бітеліп қалған. Оны алып тастау керек.,Дренажды алып тастау керек.,0,40,міндеттеме емес,"мәтін1: Дренаж түктермен бітеліп қалған. Оны алып тастау керек.
мәтін2: Дренажды алып тастау керек.
жапсырма: 0","A)  
Дренаж жіптермен бітеліп қалған. Оны алып тастау қажет.  

B)  
Дренаж талшықтармен бітеліп қалған. Оны алып тастау керек.  

C)  
Дренаж жолақтармен бітеліп қалған. Оны алып тастау қажет.  

D)  
Дренаж секторлармен бітеліп қалған. Оны алып тастау керек.  ",Дренаж жіптермен бітеліп қалған. Оны алып тастау қажет.,Дренаж талшықтармен бітеліп қалған. Оны алып тастау керек.,Дренаж жолақтармен бітеліп қалған. Оны алып тастау қажет.,Дренаж секторлармен бітеліп қалған. Оны алып тастау керек.
" Энн Мэриден кітапхананың қашан жабылатынын сұрады, себебі ол ұмытып кеткен еді.",Мэри ұмытып кеткен еді.,0,21,міндеттеме емес,"мәтін1:  Энн Мэриден кітапхананың қашан жабылатынын сұрады, себебі ол ұмытып кеткен еді.
мәтін2: Мэри ұмытып кеткен еді.
жапсырма: 0","A)  Энн Мэриден кітапхананың қашан бітетінін сұрады, себебі ол ұмытып қалған еді.  

B)  Энн Мэриден кітапхананың қашан тоқтайтынын сұрады, себебі ол ұмытқан еді.  

C)  Энн Мэриден кітапхананың қашан жабылатынын сұрады, себебі ол есінен шығарып алған еді.  

D)  Энн Мэриден кітапхананың қашан аяқталатынын сұрады, себебі ол ұмытқан болатын.  ","Энн Мэриден кітапхананың қашан бітетінін сұрады, себебі ол ұмытып қалған еді.","Энн Мэриден кітапхананың қашан тоқтайтынын сұрады, себебі ол ұмытқан еді.","Энн Мэриден кітапхананың қашан жабылатынын сұрады, себебі ол есінен шығарып алған еді.","Энн Мэриден кітапхананың қашан аяқталатынын сұрады, себебі ол ұмытқан болатын."
Менің картамда бұл ғимарат көрінетініне сенімдімін; ол өте әйгілі.,Ғимарат өте танымал.,1,35,тарту,"мәтін1: Менің картамда бұл ғимарат көрінетініне сенімдімін; ол өте әйгілі.
мәтін2: Ғимарат өте танымал.
жапсырма: 1","A)  
Менің картамда бұл құрылыс көрінетініне сенімдімін; ол өте атақты.  

B)  
Менің картамда бұл нысан көрінетініне сенімдімін; ол өте танымал.  

C)  
Менің картамда бұл ғимарат көрінетініне сенімдімін; ол өте белгілі.  

D)  
Менің картамда бұл ғимарат көрінетініне күмәнданбаймын; ол өте әйгілі.  ",Менің картамда бұл құрылыс көрінетініне сенімдімін; ол өте атақты.,Менің картамда бұл нысан көрінетініне сенімдімін; ол өте танымал.,Менің картамда бұл ғимарат көрінетініне сенімдімін; ол өте белгілі.,Менің картамда бұл ғимарат көрінетініне күмәнданбаймын; ол өте әйгілі.
Жеткізу көлігі мектеп автобусының жанынан өте баяу өтіп бара жатқандықтан өтіп кетті.,Мектеп автобусы өте баяу жүріп келе жатты.,1,23,тарту,"мәтін1: Жеткізу көлігі мектеп автобусының жанынан өте баяу өтіп бара жатқандықтан өтіп кетті.
мәтін2: Мектеп автобусы өте баяу жүріп келе жатты.
жапсырма: 1","A) Жеткізу транспорты мектеп автобусының жанынан өте баяу өтіп бара жатқандықтан өтіп кетті.  
B) Жеткізу көлігі мектеп автобусының жанынан өте баяу қозғалып бара жатқандықтан өтіп кетті.  
C) Жеткізу көлігі мектеп автобусының жанынан тым баяу өтіп бара жатқандықтан өтіп кетті.  
D) Жеткізу көлігі оқу автобусының жанынан өте баяу өтіп бара жатқандықтан өтіп кетті.  ",Жеткізу транспорты мектеп автобусының жанынан өте баяу өтіп бара жатқандықтан өтіп кетті.,Жеткізу көлігі мектеп автобусының жанынан өте баяу қозғалып бара жатқандықтан өтіп кетті.,Жеткізу көлігі мектеп автобусының жанынан тым баяу өтіп бара жатқандықтан өтіп кетті.,Жеткізу көлігі оқу автобусының жанынан өте баяу өтіп бара жатқандықтан өтіп кетті.
" Үлкен шар стирофамнан жасалғандықтан, үстелдің үстінен құлап түсті.",Үлкен шар пенопласттан жасалған.,0,12,міндеттеме емес,"мәтін1:  Үлкен шар стирофамнан жасалғандықтан, үстелдің үстінен құлап түсті.
мәтін2: Үлкен шар пенопласттан жасалған.
жапсырма: 0","A)  
Үлкен шар полистиролдан жасалғандықтан, үстелдің үстінен құлап түсті.  

B)  
Үлкен шар полистиролдан жасалған.  

C)  
Үлкен шар стиролдан жасалғандықтан, үстелдің үстінен құлап түсті.  

D)  
Үлкен шар стиролдан жасалған.  ","Үлкен шар полистиролдан жасалғандықтан, үстелдің үстінен құлап түсті.",Үлкен шар полистиролдан жасалған.,"Үлкен шар стиролдан жасалғандықтан, үстелдің үстінен құлап түсті.",Үлкен шар стиролдан жасалған.
