question,предмет,выбор,отвечать,sheet,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_a,bcq_results_for_position_c,bcq_results_for_position_d
"Ферма и фруктовый сад — это смежные участки земли, расположенные в одном округе. В 2006 году фермер приобрел ферму, участок площадью 10 акров, в полную собственность. Фруктовый сад, участок площадью 20 акров, расположенный к северу от фермы, принадлежал скотоводу в полной собственности. Дальний предок фермера предоставил пастуху право проезда через ферму на таких условиях, что было создано право пользования, относящееся к фруктовому саду. Это право проезда было оформлено актом и должным образом зарегистрировано. Однако пастух никогда фактически не пользовался этим правом проезда. В 2010 году скотовод передал фруктовый сад фермеру. В следующем году фермер передал фруктовый сад инвестору по акту за 250 000 долларов, получение которых было подтверждено. Ни в договоре между фермером и фермером, ни в договоре между фермером и инвестором не содержалось никаких упоминаний о сервитуте на право проезда. Инвестор теперь утверждает, что у нее есть право проезда через ферму. Фермер, с другой стороны, сообщил инвестору, что такого сервитута не существует. Предположим, что и ферма, и фруктовый сад примыкают к общественной дороге, и что въезд и выезд инвестора осуществляется по этой дороге. В надлежащем порядке действий инвестора для определения ее права пользования правом проезда через ферму она должна",профессиональное_право," ['Проигрыш, поскольку сервитут был прекращен в результате слияния, когда фермер приобрел фруктовый сад у ранчо.' 'Проигрыш, поскольку право проезда было заброшено, так как оно никогда фактически не использовалось.' 'Выигрыш, поскольку фермер имел косвенное уведомление о сервитуте.' 'Выигрыш, поскольку инвестор приобрел сервитут подразумеваемым образом.']",0,Sheet1,"question: Ферма и фруктовый сад — это смежные участки земли, расположенные в одном округе. В 2006 году фермер приобрел ферму, участок площадью 10 акров, в полную собственность. Фруктовый сад, участок площадью 20 акров, расположенный к северу от фермы, принадлежал скотоводу в полной собственности. Дальний предок фермера предоставил пастуху право проезда через ферму на таких условиях, что было создано право пользования, относящееся к фруктовому саду. Это право проезда было оформлено актом и должным образом зарегистрировано. Однако пастух никогда фактически не пользовался этим правом проезда. В 2010 году скотовод передал фруктовый сад фермеру. В следующем году фермер передал фруктовый сад инвестору по акту за 250 000 долларов, получение которых было подтверждено. Ни в договоре между фермером и фермером, ни в договоре между фермером и инвестором не содержалось никаких упоминаний о сервитуте на право проезда. Инвестор теперь утверждает, что у нее есть право проезда через ферму. Фермер, с другой стороны, сообщил инвестору, что такого сервитута не существует. Предположим, что и ферма, и фруктовый сад примыкают к общественной дороге, и что въезд и выезд инвестора осуществляется по этой дороге. В надлежащем порядке действий инвестора для определения ее права пользования правом проезда через ферму она должна","A)
question: Хозяйство и плодовый сад — это соседние участки земли, расположенные в одном округе. В 2006 году земледелец купил хозяйство, участок площадью 10 акров, в полную собственность. Плодовый сад, участок площадью 20 акров, расположенный к северу от хозяйства, принадлежал скотоводу в полной собственности. Дальний предок землевладельца предоставил пастуху право проезда через хозяйство на таких условиях, что возникло право пользования, относящееся к плодовому саду. Это право проезда было зафиксировано актом и надлежащим образом зарегистрировано. Однако пастух никогда фактически не использовал это право проезда. В 2010 году скотовод передал плодовый сад земледельцу. В следующем году землевладелец передал плодовый сад инвестору по акту за 250 000 долларов, получение которых было подтверждено. Ни в договоре между землевладельцем и скотоводом, ни в договоре между землевладельцем и инвестором не содержалось никаких упоминаний о сервитуте на право проезда. Инвестор теперь утверждает, что у нее имеется право проезда через хозяйство. Землевладелец, с другой стороны, уведомил инвестора, что такого сервитута не существует. Предположим, что и хозяйство, и плодовый сад примыкают к общественной дороге, и что въезд и выезд инвестора осуществляется по этой дороге. В надлежащем порядке действий инвестора для установления ее права пользования правом проезда через хозяйство она должна

B)
question: Фермерское хозяйство и фруктовый сад — это смежные наделы земли, находящиеся в одном округе. В 2006 году фермер приобрёл фермерское хозяйство, участок площадью 10 акров, в полную собственность. Фруктовый сад, участок площадью 20 акров, расположенный к северу от фермерского хозяйства, принадлежал скотоводу в полной собственности. Дальний предок фермера уступил пастуху право проезда через фермерское хозяйство на таких условиях, что образовалось право пользования, относящееся к фруктовому саду. Это право проезда было оформлено актом и должным образом зарегистрировано. Однако пастух никогда фактически не пользовался данным правом проезда. В 2010 году скотовод передал фруктовый сад фермеру. В следующем году фермер передал фруктовый сад инвестору по акту за 250 000 долларов, получение которых было подтверждено. Ни в договоре между фермером и скотоводом, ни в договоре между фермером и инвестором не содержалось никаких упоминаний о сервитуте на право проезда. Инвестор теперь заявляет, что у нее есть право проезда через фермерское хозяйство. Фермер, с другой стороны, сообщил инвестору, что такого сервитута не существует. Предположим, что и фермерское хозяйство, и фруктовый сад примыкают к общественной дороге, и что въезд и выезд инвестора осуществляется по этой дороге. В надлежащем порядке действий инвестора для определения ее права пользования правом проезда через фермерское хозяйство она должна

C)
question: Ферма и плодовый сад — это прилегающие земельные участки, расположенные в одном округе. В 2006 году собственник приобрёл ферму, участок площадью 10 акров, в полную собственность. Плодовый сад, участок площадью 20 акров, расположенный к северу от фермы, принадлежал скотоводу в полной собственности. Дальний предок собственника предоставил пастуху право проезда через ферму на таких условиях, что было создано право пользования, относящееся к плодовому саду. Это право проезда было оформлено документом и надлежащим образом зарегистрировано. Однако пастух никогда фактически не осуществлял это право проезда. В 2010 году скотовод передал плодовый сад собственнику. В следующем году собственник передал плодовый сад инвестору по акту за 250 000 долларов, получение которых было подтверждено. Ни в договоре между собственником и скотоводом, ни в договоре между собственником и инвестором не содержалось никаких упоминаний о сервитуте на право проезда. Инвестор теперь утверждает, что у неё имеется право проезда через ферму. Собственник, с другой стороны, сообщил инвестору, что такого сервитута не существует. Предположим, что и ферма, и плодовый сад примыкают к общественной дороге, и что въезд и выезд инвестора осуществляется по этой дороге. В надлежащем порядке действий инвестора для определения её права пользования правом проезда через ферму она должна

D)
question: Ферма и фруктовый сад — это соседние земельные наделы, размещённые в одном округе. В 2006 году фермер стал владельцем фермы, участок площадью 10 акров, в полную собственность. Фруктовый сад, участок площадью 20 акров, расположенный к северу от фермы, находился в полной собственности у скотовода. Дальний предок фермера наделил пастуха правом проезда через ферму на таких условиях, что возникло право пользования, относящееся к фруктовому саду. Это право проезда было оформлено актом и должным образом зарегистрировано. Однако пастух никогда фактически не пользовался этим правом проезда. В 2010 году скотовод передал фруктовый сад фермеру. В следующем году фермер передал фруктовый сад инвестору по акту за 250 000 долларов, получение которых было подтверждено. Ни в договоре между фермером и скотоводом, ни в договоре между фермером и инвестором не содержалось никаких упоминаний о сервитуте на право проезда. Инвестор теперь утверждает, что у неё есть право проезда через ферму. Фермер, с другой стороны, сообщил инвестору, что такого сервитута не существует. Предположим, что и ферма, и фруктовый сад примыкают к общественной дороге, и что въезд и выезд инвестора осуществляется по этой дороге. В надлежащем порядке действий инвестора для определения её права пользования правом проезда через ферму она должна","question: Хозяйство и плодовый сад — это соседние участки земли, расположенные в одном округе. В 2006 году земледелец купил хозяйство, участок площадью 10 акров, в полную собственность. Плодовый сад, участок площадью 20 акров, расположенный к северу от хозяйства, принадлежал скотоводу в полной собственности. Дальний предок землевладельца предоставил пастуху право проезда через хозяйство на таких условиях, что возникло право пользования, относящееся к плодовому саду. Это право проезда было зафиксировано актом и надлежащим образом зарегистрировано. Однако пастух никогда фактически не использовал это право проезда. В 2010 году скотовод передал плодовый сад земледельцу. В следующем году землевладелец передал плодовый сад инвестору по акту за 250 000 долларов, получение которых было подтверждено. Ни в договоре между землевладельцем и скотоводом, ни в договоре между землевладельцем и инвестором не содержалось никаких упоминаний о сервитуте на право проезда. Инвестор теперь утверждает, что у нее имеется право проезда через хозяйство. Землевладелец, с другой стороны, уведомил инвестора, что такого сервитута не существует. Предположим, что и хозяйство, и плодовый сад примыкают к общественной дороге, и что въезд и выезд инвестора осуществляется по этой дороге. В надлежащем порядке действий инвестора для установления ее права пользования правом проезда через хозяйство она должна","question: Фермерское хозяйство и фруктовый сад — это смежные наделы земли, находящиеся в одном округе. В 2006 году фермер приобрёл фермерское хозяйство, участок площадью 10 акров, в полную собственность. Фруктовый сад, участок площадью 20 акров, расположенный к северу от фермерского хозяйства, принадлежал скотоводу в полной собственности. Дальний предок фермера уступил пастуху право проезда через фермерское хозяйство на таких условиях, что образовалось право пользования, относящееся к фруктовому саду. Это право проезда было оформлено актом и должным образом зарегистрировано. Однако пастух никогда фактически не пользовался данным правом проезда. В 2010 году скотовод передал фруктовый сад фермеру. В следующем году фермер передал фруктовый сад инвестору по акту за 250 000 долларов, получение которых было подтверждено. Ни в договоре между фермером и скотоводом, ни в договоре между фермером и инвестором не содержалось никаких упоминаний о сервитуте на право проезда. Инвестор теперь заявляет, что у нее есть право проезда через фермерское хозяйство. Фермер, с другой стороны, сообщил инвестору, что такого сервитута не существует. Предположим, что и фермерское хозяйство, и фруктовый сад примыкают к общественной дороге, и что въезд и выезд инвестора осуществляется по этой дороге. В надлежащем порядке действий инвестора для определения ее права пользования правом проезда через фермерское хозяйство она должна","question: Ферма и плодовый сад — это прилегающие земельные участки, расположенные в одном округе. В 2006 году собственник приобрёл ферму, участок площадью 10 акров, в полную собственность. Плодовый сад, участок площадью 20 акров, расположенный к северу от фермы, принадлежал скотоводу в полной собственности. Дальний предок собственника предоставил пастуху право проезда через ферму на таких условиях, что было создано право пользования, относящееся к плодовому саду. Это право проезда было оформлено документом и надлежащим образом зарегистрировано. Однако пастух никогда фактически не осуществлял это право проезда. В 2010 году скотовод передал плодовый сад собственнику. В следующем году собственник передал плодовый сад инвестору по акту за 250 000 долларов, получение которых было подтверждено. Ни в договоре между собственником и скотоводом, ни в договоре между собственником и инвестором не содержалось никаких упоминаний о сервитуте на право проезда. Инвестор теперь утверждает, что у неё имеется право проезда через ферму. Собственник, с другой стороны, сообщил инвестору, что такого сервитута не существует. Предположим, что и ферма, и плодовый сад примыкают к общественной дороге, и что въезд и выезд инвестора осуществляется по этой дороге. В надлежащем порядке действий инвестора для определения её права пользования правом проезда через ферму она должна","question: Ферма и фруктовый сад — это соседние земельные наделы, размещённые в одном округе. В 2006 году фермер стал владельцем фермы, участок площадью 10 акров, в полную собственность. Фруктовый сад, участок площадью 20 акров, расположенный к северу от фермы, находился в полной собственности у скотовода. Дальний предок фермера наделил пастуха правом проезда через ферму на таких условиях, что возникло право пользования, относящееся к фруктовому саду. Это право проезда было оформлено актом и должным образом зарегистрировано. Однако пастух никогда фактически не пользовался этим правом проезда. В 2010 году скотовод передал фруктовый сад фермеру. В следующем году фермер передал фруктовый сад инвестору по акту за 250 000 долларов, получение которых было подтверждено. Ни в договоре между фермером и скотоводом, ни в договоре между фермером и инвестором не содержалось никаких упоминаний о сервитуте на право проезда. Инвестор теперь утверждает, что у неё есть право проезда через ферму. Фермер, с другой стороны, сообщил инвестору, что такого сервитута не существует. Предположим, что и ферма, и фруктовый сад примыкают к общественной дороге, и что въезд и выезд инвестора осуществляется по этой дороге. В надлежащем порядке действий инвестора для определения её права пользования правом проезда через ферму она должна",B,B,B,B
 Что из перечисленного не является элементом подхода к политике перераспределения в условиях экономического роста?, глобальные факты, ['законодательство о минимальной заработной плате' 'земельная реформа' 'прогрессивное налогообложение' 'расширение доступа к образованию'],0,Sheet1,question:  Что из перечисленного не является элементом подхода к политике перераспределения в условиях экономического роста?,"A)
question:  Что из указанных не представляет собой компонент подхода к политике перераспределения в условиях экономического роста?

B)
question:  Что из перечисленного не относится к составляющим подхода к политике перераспределения в условиях экономического роста?

C)
question:  Что из перечисленного не является составляющей подхода к политике перераспределения в условиях роста экономики?

D)
question:  Что из указанных не является элементом подхода к перераспределительной политике в условиях экономического роста?",question:  Что из указанных не представляет собой компонент подхода к политике перераспределения в условиях экономического роста?,question:  Что из перечисленного не относится к составляющим подхода к политике перераспределения в условиях экономического роста?,question:  Что из перечисленного не является составляющей подхода к политике перераспределения в условиях роста экономики?,question:  Что из указанных не является элементом подхода к перераспределительной политике в условиях экономического роста?,B,B,B,B
При плавлении твердого вещества ожидаемые изменения энтропии и энтальпии составляют:, химия в старшей школе, ['положительное изменение энтальпии и положительное изменение энтропии' 'отрицательное изменение энтропии и отрицательное изменение энтальпии' 'отрицательное изменение энтропии и положительное изменение энтальпии' 'отрицательное изменение энтальпии и положительное изменение энтропии'],0,Sheet1,question: При плавлении твердого вещества ожидаемые изменения энтропии и энтальпии составляют:,"A)
question: Во время плавления твердого вещества ожидаемые величины энтропии и энтальпии составляют:

B)
question: При плавке твердого вещества ожидаемые изменения энтропии и энтальпии составляют:

C)
question: В процессе плавления кристаллического вещества ожидаемые изменения энтропии и энтальпии составляют:

D)
question: При плавлении твердого вещества предполагаемые изменения энтропии и энтальпии составляют:",question: Во время плавления твердого вещества ожидаемые величины энтропии и энтальпии составляют:,question: При плавке твердого вещества ожидаемые изменения энтропии и энтальпии составляют:,question: В процессе плавления кристаллического вещества ожидаемые изменения энтропии и энтальпии составляют:,question: При плавлении твердого вещества предполагаемые изменения энтропии и энтальпии составляют:,B,C,B,B
 Какова была общая тенденция расходов на оборону в Соединенных Штатах в прошлом?, внешняя политика США," ['Устойчивый рост с течением времени.' 'Увеличение расходов во время войн, при этом демобилизация снижает расходы, но не возвращает их к довоенному уровню.' 'Непредсказуемые колебания.' 'Увеличение расходов во время войн, с дальнейшим увеличением после войны для подготовки к будущим сражениям.']",1,Sheet1,question:  Какова была общая тенденция расходов на оборону в Соединенных Штатах в прошлом?,"A)
question:  Какая имелась совокупная направленность затрат на защиту в Соединенных Штатах в прошлом?

B)
question:  Какова оставалась суммарная тенденция затрат на оборону в Соединенных Штатах в прошлом?

C)
question:  Какая была основная тенденция издержек на оборону в Соединенных Штатах в прошлом?

D)
question:  Какова была всеобщая тенденция расходов на защиту в Соединенных Штатах в прошлом?",question:  Какая имелась совокупная направленность затрат на защиту в Соединенных Штатах в прошлом?,question:  Какова оставалась суммарная тенденция затрат на оборону в Соединенных Штатах в прошлом?,question:  Какая была основная тенденция издержек на оборону в Соединенных Штатах в прошлом?,question:  Какова была всеобщая тенденция расходов на защиту в Соединенных Штатах в прошлом?,B,B,B,B
 При аверсивном контркондиционировании сексуального фетиша с использованием электрошока условным стимулом является..., профессиональная_психология, ['фетиш-объект' 'новая реакция' 'безусловный страх' 'электрический шок'],0,Sheet1,question:  При аверсивном контркондиционировании сексуального фетиша с использованием электрошока условным стимулом является...,"A)
question:  При неприятном контрусловливании эротического фетиша с применением электрического удара условным раздражителем является...

B)
question:  Во время аверсионного контркондиционирования полового фетиша с использованием электрического тока условным стимулом является...

C)
question:  В процессе отталкивающего контр-обусловливания сексуального фетиша при помощи электрошока условным сигналом является...

D)
question:  При аверсионном контркондиционировании эротического влечения с применением электрического разряда условным раздражителем является...",question:  При неприятном контрусловливании эротического фетиша с применением электрического удара условным раздражителем является...,question:  Во время аверсионного контркондиционирования полового фетиша с использованием электрического тока условным стимулом является...,question:  В процессе отталкивающего контр-обусловливания сексуального фетиша при помощи электрошока условным сигналом является...,question:  При аверсионном контркондиционировании эротического влечения с применением электрического разряда условным раздражителем является...,B,B,B,B
"Женщина подготовила точное описание своего финансового положения и подала его вместе с заявкой на кредит в местный банк, с которым она сотрудничала много лет. Вскоре после этого финансовое положение женщины значительно ухудшилось, но она не сообщила об этом банку. Не зная об изменении финансового положения женщины, банк согласился предоставить ей кредит. Позже банк узнал о реальном финансовом положении женщины. Банк отказался выполнить свое обещание предоставить кредит, утверждая, что договор между сторонами может быть расторгнут по усмотрению банка из-за предоставления женщиной ложной информации. Если женщина подаст в суд на банк за нарушение договора, будет ли у банка успех в защите от иска о предоставлении ложной информации?", профессиональное_право,"['Нет, потому что женщина не делала никаких последующих ложных заявлений о своем финансовом положении.' 'Нет, потому что заявления женщины были точными на момент подачи ею заявки на кредит в банк.' 'Да, потому что женщина была обязана исправить свои предыдущие заявления о своем финансовом положении, чтобы предотвратить их мошенничество.' 'Да, потому что женщина была обязана сообщить банку об изменении своего финансового положения в связи с давними доверительными отношениями между ними.']",2,Sheet1,"question: Женщина подготовила точное описание своего финансового положения и подала его вместе с заявкой на кредит в местный банк, с которым она сотрудничала много лет. Вскоре после этого финансовое положение женщины значительно ухудшилось, но она не сообщила об этом банку. Не зная об изменении финансового положения женщины, банк согласился предоставить ей кредит. Позже банк узнал о реальном финансовом положении женщины. Банк отказался выполнить свое обещание предоставить кредит, утверждая, что договор между сторонами может быть расторгнут по усмотрению банка из-за предоставления женщиной ложной информации. Если женщина подаст в суд на банк за нарушение договора, будет ли у банка успех в защите от иска о предоставлении ложной информации?","A)
question: Гражданка составила доскональное описание своего финансового положения и подала его вместе с заявкой на кредит в местный банк, с которым она сотрудничала много лет. Вскоре после этого финансовое состояние гражданки существенно ухудшилось, но она не сообщила об этом банку. Не зная об изменении финансового положения гражданки, банк согласился предоставить ей кредит. Позже банк узнал о реальном финансовом положении гражданки. Банк отказался выполнить свое обещание предоставить кредит, утверждая, что договор между сторонами может быть расторгнут по усмотрению банка из-за предоставления гражданкой ложной информации. Если гражданка подаст в суд на банк за нарушение договора, будет ли у банка успех в защите от иска о предоставлении ложной информации?

B)
question: Дама оформила точное изложение своего материального положения и направила его вместе с заявлением на кредит в местный банк, с которым она сотрудничала много лет. Вскоре после этого материальное положение дамы сильно ухудшилось, но она не уведомила об этом банку. Не зная об изменении материального положения дамы, банк согласился предоставить ей кредит. Позже банк узнал о действительном материальном положении дамы. Банк отказался выполнить свое обещание предоставить кредит, утверждая, что договор между сторонами может быть расторгнут по усмотрению банка из-за предоставления дамой ложных сведений. Если дама подаст в суд на банк за нарушение договора, будет ли у банка успех в защите от иска о предоставлении ложных сведений?

C)
question: Заёмщица подготовила верное описание своего финансового положения и подала его вместе с просьбой о кредите в местный банк, с которым она работала много лет. Вскоре после этого финансовое положение заёмщицы заметно ухудшилось, но она не известила об этом банк. Не зная об изменении финансового положения заёмщицы, банк согласился предоставить ей кредит. Позже банк узнал о реальном финансовом положении заёмщицы. Банк отказался выполнить свое обещание предоставить кредит, утверждая, что договор между сторонами может быть расторгнут по усмотрению банка из-за представления заёмщицей ложных данных. Если заёмщица подаст в суд на банк за нарушение договора, будет ли у банка успех в защите от иска о представлении ложных данных?

D)
question: Она составила аккуратное описание своего материального положения и подала его вместе с заявкой на ссуду в местный банк, с которым она сотрудничала много лет. Вскоре после этого её материальное положение значительно ухудшилось, но она не проинформировала об этом банк. Не зная об изменении её материального положения, банк согласился предоставить ей ссуду. Позже банк узнал о реальном материальном положении её. Банк отказался выполнить свое обещание предоставить ссуду, утверждая, что договор между сторонами может быть расторгнут по усмотрению банка из-за предоставления ею ложной информации. Если она подаст в суд на банк за нарушение договора, будет ли у банка успех в защите от иска о предоставлении ложной информации?","question: Гражданка составила доскональное описание своего финансового положения и подала его вместе с заявкой на кредит в местный банк, с которым она сотрудничала много лет. Вскоре после этого финансовое состояние гражданки существенно ухудшилось, но она не сообщила об этом банку. Не зная об изменении финансового положения гражданки, банк согласился предоставить ей кредит. Позже банк узнал о реальном финансовом положении гражданки. Банк отказался выполнить свое обещание предоставить кредит, утверждая, что договор между сторонами может быть расторгнут по усмотрению банка из-за предоставления гражданкой ложной информации. Если гражданка подаст в суд на банк за нарушение договора, будет ли у банка успех в защите от иска о предоставлении ложной информации?","question: Дама оформила точное изложение своего материального положения и направила его вместе с заявлением на кредит в местный банк, с которым она сотрудничала много лет. Вскоре после этого материальное положение дамы сильно ухудшилось, но она не уведомила об этом банку. Не зная об изменении материального положения дамы, банк согласился предоставить ей кредит. Позже банк узнал о действительном материальном положении дамы. Банк отказался выполнить свое обещание предоставить кредит, утверждая, что договор между сторонами может быть расторгнут по усмотрению банка из-за предоставления дамой ложных сведений. Если дама подаст в суд на банк за нарушение договора, будет ли у банка успех в защите от иска о предоставлении ложных сведений?","question: Заёмщица подготовила верное описание своего финансового положения и подала его вместе с просьбой о кредите в местный банк, с которым она работала много лет. Вскоре после этого финансовое положение заёмщицы заметно ухудшилось, но она не известила об этом банк. Не зная об изменении финансового положения заёмщицы, банк согласился предоставить ей кредит. Позже банк узнал о реальном финансовом положении заёмщицы. Банк отказался выполнить свое обещание предоставить кредит, утверждая, что договор между сторонами может быть расторгнут по усмотрению банка из-за представления заёмщицей ложных данных. Если заёмщица подаст в суд на банк за нарушение договора, будет ли у банка успех в защите от иска о представлении ложных данных?","question: Она составила аккуратное описание своего материального положения и подала его вместе с заявкой на ссуду в местный банк, с которым она сотрудничала много лет. Вскоре после этого её материальное положение значительно ухудшилось, но она не проинформировала об этом банк. Не зная об изменении её материального положения, банк согласился предоставить ей ссуду. Позже банк узнал о реальном материальном положении её. Банк отказался выполнить свое обещание предоставить ссуду, утверждая, что договор между сторонами может быть расторгнут по усмотрению банка из-за предоставления ею ложной информации. Если она подаст в суд на банк за нарушение договора, будет ли у банка успех в защите от иска о предоставлении ложной информации?",D,D,C,D
