id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split,instance,generated_options,option_a,option_b,option_c,option_d
2571,global_facts,Общие факты,"По состоянию на 2019 год, примерно какой процент немцев считает отношения между США и Германией хорошими?",34%,49%,64%,79%,A,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"По состоянию на 2019 год, примерно какой процент немцев считает отношения между США и Германией хорошими?","A)
Согласно данным на 2019 год, ориентировочно какая доля жителей Германии полагает связи между США и ФРГ качественными?

B)
По информации на 2019 год, приблизительно какая часть германцев находит взаимодействие между США и Германией позитивным?

C)
Исходя из ситуации на 2019 год, какой именно процент граждан Германии расценивает контакты между США и Германией благополучными?

D)
В соответствии с положением на 2019 год, какой примерно объем немцев оценивает взаимоотношения между США и Германией как достойные?","Согласно данным на 2019 год, ориентировочно какая доля жителей Германии полагает связи между США и ФРГ качественными?","По информации на 2019 год, приблизительно какая часть германцев находит взаимодействие между США и Германией позитивным?","Исходя из ситуации на 2019 год, какой именно процент граждан Германии расценивает контакты между США и Германией благополучными?","В соответствии с положением на 2019 год, какой примерно объем немцев оценивает взаимоотношения между США и Германией как достойные?"
10802,professional_law,Право,"Водитель грузовика из штата А и водитель автобуса из штата Б попали в столкновение в штате Б, в результате которого водитель грузовика получил травмы. Водитель грузовика подал федеральный иск о разнообразии в штате Б на основании халатности, требуя от водителя автобуса возмещения ущерба в размере 100000 $. Какой закон о халатности должен применить суд?",Суд должен применить федеральный общий закон о халатности.,"Суд должен применить закон о халатности штата А, штата гражданства водителя грузовика.","Суд должен рассмотреть законы о халатности как штата А, так и штата Б и применить закон, который, по мнению суда, наиболее адекватно регулирует халатность в данном деле.","Суд должен определить, закон о халатности какого штата применил бы суд штата Б, и применить этот закон в данном иске.",D,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Водитель грузовика из штата А и водитель автобуса из штата Б попали в столкновение в штате Б, в результате которого водитель грузовика получил травмы. Водитель грузовика подал федеральный иск о разнообразии в штате Б на основании халатности, требуя от водителя автобуса возмещения ущерба в размере 100000 $. Какой закон о халатности должен применить суд?","A)
Шофер фуры из региона А и оператор транспорта из региона Б оказались в аварии в регионе Б, вследствие которой шофер фуры понес увечья. Шофер фуры направил федеральный иск о гражданстве в регионе Б за проявленную неосторожность, запрашивая от оператора транспорта компенсации вреда в сумме 100000 $. Какую норму о небрежности обязан задействовать суд?

B)
Управляющий трейлера из области А и пилот автобуса из области Б вошли в соударение в области Б, в итоге которого управляющий трейлера приобрел ранения. Управляющий трейлера предъявил федеральную жалобу о принадлежности в области Б ввиду беспечности, ожидая от пилота автобуса выплаты потерь в объеме 100000 $. Какое правило о виновности должен употребить суд?

C)
Перевозчик большегруза из территории А и извозчик лайнера из территории Б угодили в происшествие в территории Б, в исходе которого перевозчик большегруза заимел повреждения. Перевозчик большегруза выставил федеральную претензию о подсудности в территории Б по причине невнимательности, взыскивая с извозчика лайнера возмещения убытков в величине 100000 $. Какой кодекс о нерадивости должен использовать суд?

D)
Владелец машины из округа А и вожатый экипажа из округа Б вступили в инцидент в округе Б, в следствие которого владелец машины возымел дефекты. Владелец машины инициировал федеральную тяжбу о статусе в округе Б ввиду оплошности, требуя от вожатого экипажа покрытия затрат в охвате 100000 $. Какой акт о недосмотре должен внедрить суд?","Шофер фуры из региона А и оператор транспорта из региона Б оказались в аварии в регионе Б, вследствие которой шофер фуры понес увечья. Шофер фуры направил федеральный иск о гражданстве в регионе Б за проявленную неосторожность, запрашивая от оператора транспорта компенсации вреда в сумме 100000 $. Какую норму о небрежности обязан задействовать суд?","Управляющий трейлера из области А и пилот автобуса из области Б вошли в соударение в области Б, в итоге которого управляющий трейлера приобрел ранения. Управляющий трейлера предъявил федеральную жалобу о принадлежности в области Б ввиду беспечности, ожидая от пилота автобуса выплаты потерь в объеме 100000 $. Какое правило о виновности должен употребить суд?","Перевозчик большегруза из территории А и извозчик лайнера из территории Б угодили в происшествие в территории Б, в исходе которого перевозчик большегруза заимел повреждения. Перевозчик большегруза выставил федеральную претензию о подсудности в территории Б по причине невнимательности, взыскивая с извозчика лайнера возмещения убытков в величине 100000 $. Какой кодекс о нерадивости должен использовать суд?","Владелец машины из округа А и вожатый экипажа из округа Б вступили в инцидент в округе Б, в следствие которого владелец машины возымел дефекты. Владелец машины инициировал федеральную тяжбу о статусе в округе Б ввиду оплошности, требуя от вожатого экипажа покрытия затрат в охвате 100000 $. Какой акт о недосмотре должен внедрить суд?"
8978,moral_scenarios,Философия,"В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает поступок, явно противоречащий моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Я наблюдал со стороны, пока она принимала душ. Сценарий 2 | Я объяснил ей, что ее дом горит, несмотря на то, что терпеть не мог ее драмы.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",B,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,"В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает поступок, явно противоречащий моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Я наблюдал со стороны, пока она принимала душ. Сценарий 2 | Я объяснил ей, что ее дом горит, несмотря на то, что терпеть не мог ее драмы.","A)
В каком из данных двух случаев центральный персонаж (применяющий ""я/мне/мой"") совершает действие, очевидно нарушающее этические правила, установленные в США по состоянию на 2020 год? Случай 1 | Я подглядывал со стороны, пока она мылась. Случай 2 | Я сообщил ей, что её здание охвачено огнём, вопреки тому, что ненавидел её театральность.

B)
В какой из этих двух ситуаций основной субъект (использующий ""я/мне/мой"") совершает деяние, открыто противоречащее нравственным устоям, принятым в США по состоянию на 2020 год? Ситуация 1 | Я следил со стороны, пока она была под душем. Ситуация 2 | Я известил её, что её жилище полыхает, невзирая на то, что терпеть не мог её эмоциональность.

C)
В каком из указанных двух эпизодов протагонист (употребляющий ""я/мне/мой"") совершает шаг, явно идущий вразрез с моральными стандартами, действующими в США по состоянию на 2020 год? Эпизод 1 | Я смотрел со стороны, пока она совершала омовение. Эпизод 2 | Я донес до неё, что её помещение горит, несмотря на то, что не переносил её экспрессивность.

D)
В какой из представленных двух фабул ведущее лицо (пользующееся ""я/мне/мой"") совершает акт, несомненно попирающий общественные ценности, признанные в США по состоянию на 2020 год? Фабула 1 | Я наблюдал со стороны, пока она находилась в душе. Фабула 2 | Я разъяснил ей, что её кров в огне, при том что не выносил её преувеличений.","В каком из данных двух случаев центральный персонаж (применяющий ""я/мне/мой"") совершает действие, очевидно нарушающее этические правила, установленные в США по состоянию на 2020 год? Случай 1 | Я подглядывал со стороны, пока она мылась. Случай 2 | Я сообщил ей, что её здание охвачено огнём, вопреки тому, что ненавидел её театральность.","В какой из этих двух ситуаций основной субъект (использующий ""я/мне/мой"") совершает деяние, открыто противоречащее нравственным устоям, принятым в США по состоянию на 2020 год? Ситуация 1 | Я следил со стороны, пока она была под душем. Ситуация 2 | Я известил её, что её жилище полыхает, невзирая на то, что терпеть не мог её эмоциональность.","В каком из указанных двух эпизодов протагонист (употребляющий ""я/мне/мой"") совершает шаг, явно идущий вразрез с моральными стандартами, действующими в США по состоянию на 2020 год? Эпизод 1 | Я смотрел со стороны, пока она совершала омовение. Эпизод 2 | Я донес до неё, что её помещение горит, несмотря на то, что не переносил её экспрессивность.","В какой из представленных двух фабул ведущее лицо (пользующееся ""я/мне/мой"") совершает акт, несомненно попирающий общественные ценности, признанные в США по состоянию на 2020 год? Фабула 1 | Я наблюдал со стороны, пока она находилась в душе. Фабула 2 | Я разъяснил ей, что её кров в огне, при том что не выносил её преувеличений."
11732,professional_law,Право,"Пенсионер владел фермой площадью 100 акров. В течение многих лет пенсионер выращивал табак на участке площадью 10 акров, расположенном в северо-восточной части собственности. В марте пенсионер посадил свой ежегодный урожай табака, который он обычно собирал в начале октября. В сентябре пенсионер продал свою ферму производителю табака за 100000 $. В то время, когда пенсионер передал собственность производителю, урожай табака был достаточно развит и созрел. Когда пенсионер и производитель заключали соглашение о продаже земли, в нем не упоминался статус или право собственности на урожай табака. В начале октября, после того как производитель вступил во владение собственностью, пенсионер связался с ним и попросил разрешения собрать и убрать урожай табака. Производитель отказал пенсионеру вернуться на территорию. Пенсионер подает иск против производителя, стремясь к возвращению собственности и сбору урожая посаженного им табака. Что из нижеследующего является правильным в отношении соответствующих прав сторон?","Пенсионер имеет право убрать урожай табака, но он должен заплатить производителю разумную сумму за въезд на территорию, получив таким образом доступ к урожаю.","Пенсионер имеет право убрать урожай табака и не обязан платить производителю за въезд на территорию собственности, получая таким образом доступ к урожаю.","Пенсионер не имеет права убирать урожай табака и, следовательно, не имеет права повторно въезжать на территорию собственности.","Пенсионер и производитель табака имеют право собственности на табачный урожай, и, следовательно, должно быть справедливое распределение доходов от продажи урожая между обеими сторонами.",C,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Пенсионер владел фермой площадью 100 акров. В течение многих лет пенсионер выращивал табак на участке площадью 10 акров, расположенном в северо-восточной части собственности. В марте пенсионер посадил свой ежегодный урожай табака, который он обычно собирал в начале октября. В сентябре пенсионер продал свою ферму производителю табака за 100000 $. В то время, когда пенсионер передал собственность производителю, урожай табака был достаточно развит и созрел. Когда пенсионер и производитель заключали соглашение о продаже земли, в нем не упоминался статус или право собственности на урожай табака. В начале октября, после того как производитель вступил во владение собственностью, пенсионер связался с ним и попросил разрешения собрать и убрать урожай табака. Производитель отказал пенсионеру вернуться на территорию. Пенсионер подает иск против производителя, стремясь к возвращению собственности и сбору урожая посаженного им табака. Что из нижеследующего является правильным в отношении соответствующих прав сторон?","A)
Пожилой человек обладал угодием размером 100 акров. На протяжении долгих лет старик культивировал табак на делянке размером 10 акров, находящейся в северо-восточном секторе владения. В марте мужчина посеял свой ежегодный посев табака, который он традиционно убирал в первых числах октября. В сентябре бывший владелец реализовал свое поместье табаководу за 100000 $. В момент, когда пенсионер переуступил право на землю аграрию, продукт табака был вполне сформирован и готов. Когда ветеран и предприниматель подписывали контракт о реализации надела, в документе не указывался режим или принадлежность урожая табака. В начале октября, после того как покупатель принял управление территорией, пенсионер обратился к нему и запросил позволения сорвать и вывезти урожай табака. Земледелец запретил истцу заходить на участок. Пенсионер инициирует тяжбу против ответчика, добиваясь восстановления прав и жатвы выращенного им табака. Что из дальнейшего считается верным касательно законных притязаний участников?

B)
Отставник распоряжался ранчо величиной 100 акров. В течение длительного периода гражданин производил табак на территории величиной 10 акров, размещенной в северо-восточной зоне хозяйства. В марте субъект засадил свой сезонный объем табака, который он обыкновенно срезал в начале октября. В сентябре дедушка сбыл свою недвижимость агроному за 100000 $. В период, когда хозяин отдал владение закупщику, плоды табака были изрядно выросли и поспели. Когда продавец и фермер оформляли сделку о купле земли, в ней не оговаривался порядок или титул на урожай табака. В начале октября, после того как приобретатель занял данную собственность, пенсионер позвонил ему и потребовал санкции забрать и транспортировать урожай табака. Производитель воспрепятствовал пенсионеру прибыть на землю. Пенсионер предъявляет претензию против производителя, требуя возврата активов и изъятия посаженного им табака. Что из нижеуказанного признается истинным в отношении надлежащих интересов сторон?

C)
Старец имел хозяйство охватом 100 акров. В продолжение многих сезонов сельчанин взращивал табак на поле охватом 10 акров, локализованном в северо-восточном краю имения. В марте земледелец разместил свой регулярный сбор табака, который он привычно обмолачивал в начале октября. В сентябре собственник передал свою дачу плантатору за 100000 $. В часы, когда пенсионер вручил имущество изготовителю, посевы табака были предельно созревшими и выросшими. Когда отчуждатель и приобретатель заключали договор о трансфере территории, в тексте не комментировался статус или правообладание на урожай табака. В начале октября, после того как контрагент вошел в распоряжение активом, пенсионер связался с ним и выпросил одобрения изъять и забрать урожай табака. Хозяин не позволил пенсионеру явиться на объект. Пенсионер подает жалобу против производителя, надеясь на получение имущества и обмолот посаженного им табака. Что из последующего является корректным касательно соответствующих полномочий сторон?

D)
Ветеран являлся собственником фермы объемом 100 акров. Много лет подряд этот человек сеял табак на куске земли объемом 10 акров, расположенном в северо-восточном углу участка. В марте мужчина произвел свой ежегодный посев табака, который он всегда снимал в начале октября. В сентябре пенсионер продал свои угодья коммерсанту за 100000 $. В миг, когда отставник переписал собственность на табаковода, урожай табака был достаточно велик и дозрел. Когда пенсионер и покупатель составляли соглашение о продаже грунта, в нем не фиксировался характер или право собственности на урожай табака. В начале октября, после того как производитель приступил к эксплуатации собственности, пенсионер набрал его и испросил согласия собрать и переместить урожай табака. Фермер отказал пенсионеру посещать территорию. Пенсионер подает иск против производителя, настаивая на возвращении собственности и сборе урожая посаженного им табака. Что из нижеследующего является правильным в отношении соответствующих прав сторон?","Пожилой человек обладал угодием размером 100 акров. На протяжении долгих лет старик культивировал табак на делянке размером 10 акров, находящейся в северо-восточном секторе владения. В марте мужчина посеял свой ежегодный посев табака, который он традиционно убирал в первых числах октября. В сентябре бывший владелец реализовал свое поместье табаководу за 100000 $. В момент, когда пенсионер переуступил право на землю аграрию, продукт табака был вполне сформирован и готов. Когда ветеран и предприниматель подписывали контракт о реализации надела, в документе не указывался режим или принадлежность урожая табака. В начале октября, после того как покупатель принял управление территорией, пенсионер обратился к нему и запросил позволения сорвать и вывезти урожай табака. Земледелец запретил истцу заходить на участок. Пенсионер инициирует тяжбу против ответчика, добиваясь восстановления прав и жатвы выращенного им табака. Что из дальнейшего считается верным касательно законных притязаний участников?","Отставник распоряжался ранчо величиной 100 акров. В течение длительного периода гражданин производил табак на территории величиной 10 акров, размещенной в северо-восточной зоне хозяйства. В марте субъект засадил свой сезонный объем табака, который он обыкновенно срезал в начале октября. В сентябре дедушка сбыл свою недвижимость агроному за 100000 $. В период, когда хозяин отдал владение закупщику, плоды табака были изрядно выросли и поспели. Когда продавец и фермер оформляли сделку о купле земли, в ней не оговаривался порядок или титул на урожай табака. В начале октября, после того как приобретатель занял данную собственность, пенсионер позвонил ему и потребовал санкции забрать и транспортировать урожай табака. Производитель воспрепятствовал пенсионеру прибыть на землю. Пенсионер предъявляет претензию против производителя, требуя возврата активов и изъятия посаженного им табака. Что из нижеуказанного признается истинным в отношении надлежащих интересов сторон?","Старец имел хозяйство охватом 100 акров. В продолжение многих сезонов сельчанин взращивал табак на поле охватом 10 акров, локализованном в северо-восточном краю имения. В марте земледелец разместил свой регулярный сбор табака, который он привычно обмолачивал в начале октября. В сентябре собственник передал свою дачу плантатору за 100000 $. В часы, когда пенсионер вручил имущество изготовителю, посевы табака были предельно созревшими и выросшими. Когда отчуждатель и приобретатель заключали договор о трансфере территории, в тексте не комментировался статус или правообладание на урожай табака. В начале октября, после того как контрагент вошел в распоряжение активом, пенсионер связался с ним и выпросил одобрения изъять и забрать урожай табака. Хозяин не позволил пенсионеру явиться на объект. Пенсионер подает жалобу против производителя, надеясь на получение имущества и обмолот посаженного им табака. Что из последующего является корректным касательно соответствующих полномочий сторон?","Ветеран являлся собственником фермы объемом 100 акров. Много лет подряд этот человек сеял табак на куске земли объемом 10 акров, расположенном в северо-восточном углу участка. В марте мужчина произвел свой ежегодный посев табака, который он всегда снимал в начале октября. В сентябре пенсионер продал свои угодья коммерсанту за 100000 $. В миг, когда отставник переписал собственность на табаковода, урожай табака был достаточно велик и дозрел. Когда пенсионер и покупатель составляли соглашение о продаже грунта, в нем не фиксировался характер или право собственности на урожай табака. В начале октября, после того как производитель приступил к эксплуатации собственности, пенсионер набрал его и испросил согласия собрать и переместить урожай табака. Фермер отказал пенсионеру посещать территорию. Пенсионер подает иск против производителя, настаивая на возвращении собственности и сборе урожая посаженного им табака. Что из нижеследующего является правильным в отношении соответствующих прав сторон?"
13998,world_religions,Философия,"Что означает слово ""Шветамбара""?","""Облаченный в небо""","""Обнаженный""","""Ходящий в белом""","""Облаченный""",C,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,"Что означает слово ""Шветамбара""?","A)
Что символизирует термин ""Шветамбара""?

B)
Что выражает понятие ""Шветамбара""?

C)
Что обозначает наименование ""Шветамбара""?

D)
Что подразумевает лексема ""Шветамбара""?","Что символизирует термин ""Шветамбара""?","Что выражает понятие ""Шветамбара""?","Что обозначает наименование ""Шветамбара""?","Что подразумевает лексема ""Шветамбара""?"
8033,miscellaneous,Общие факты,"Какая актриса снималась в ""Ангелах Чарли"" на протяжении всего сериала?",Шерил Лэдд,Фарра Фосетт,Жаклин Смит,Кейт Джексон,C,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Какая актриса снималась в ""Ангелах Чарли"" на протяжении всего сериала?","A)
Какая артистка участвовала в ""Ангелах Чарли"" в течение всего телесериала?

B)
Какая исполнительница играла в ""Ангелах Чарли"" во время всего шоу?

C)
Какая кинозвезда снималась в ""Ангелах Чарли"" на протяжении всех серий?

D)
Какая знаменитость работала в ""Ангелах Чарли"" в продолжение всего проекта?","Какая артистка участвовала в ""Ангелах Чарли"" в течение всего телесериала?","Какая исполнительница играла в ""Ангелах Чарли"" во время всего шоу?","Какая кинозвезда снималась в ""Ангелах Чарли"" на протяжении всех серий?","Какая знаменитость работала в ""Ангелах Чарли"" в продолжение всего проекта?"
2109,elementary_mathematics,Математика,"У Терезы был мешок с 72 шариками. Она разложила шарики на 9 равных групп. Какое числовое предложение показывает, как найти количество шариков, которые Тереза положила в каждую группу?",72 ÷ 9 = 8,72 – 9 = 63,9 + 72 = 81,"9 ÷ 72 = 0,125",A,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"У Терезы был мешок с 72 шариками. Она разложила шарики на 9 равных групп. Какое числовое предложение показывает, как найти количество шариков, которые Тереза положила в каждую группу?","A)
У Терезы имелся пакет с 72 сферами. Она распределила сферы на 9 одинаковых наборов. Какое математическое выражение демонстрирует, как вычислить число сфер, которые Тереза поместила в каждый набор?

B)
У Терезы находилась сумка с 72 бусинами. Она разделила бусины на 9 идентичных партий. Какое числовое выражение иллюстрирует, как определить сумму бусин, которые Тереза отправила в каждую партию?

C)
У Терезы был мешочек с 72 элементами. Она разнесла элементы по 9 эквивалентным категориям. Какая числовая фраза отображает, как разузнать количество элементов, которые Тереза расположила в каждой категории?

D)
У Терезы имелась упаковка с 72 объектами. Она сгруппировала объекты в 9 равномерных секций. Какое числовое высказывание указывает, как выявить объём объектов, которые Тереза заложила в каждую секцию?","У Терезы имелся пакет с 72 сферами. Она распределила сферы на 9 одинаковых наборов. Какое математическое выражение демонстрирует, как вычислить число сфер, которые Тереза поместила в каждый набор?","У Терезы находилась сумка с 72 бусинами. Она разделила бусины на 9 идентичных партий. Какое числовое выражение иллюстрирует, как определить сумму бусин, которые Тереза отправила в каждую партию?","У Терезы был мешочек с 72 элементами. Она разнесла элементы по 9 эквивалентным категориям. Какая числовая фраза отображает, как разузнать количество элементов, которые Тереза расположила в каждой категории?","У Терезы имелась упаковка с 72 объектами. Она сгруппировала объекты в 9 равномерных секций. Какое числовое высказывание указывает, как выявить объём объектов, которые Тереза заложила в каждую секцию?"
6263,human_aging,Медицина,"Пожилые люди способны улучшить свою память и уменьшить беспокойство по поводу ухудшения памяти, когда",Они узнают о памяти и старении и осваивают некоторые техники,Они просто изучают ряд методов улучшения памяти,"Они узнают, что многие аспекты памяти не ухудшаются, а некоторые даже улучшаются","Пожилые люди не могут сделать ни того, ни другого",A,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Пожилые люди способны улучшить свою память и уменьшить беспокойство по поводу ухудшения памяти, когда","A)
Старшие граждане могут усовершенствовать свои воспоминания и снизить тревожность относительно ослабления когнитивных функций, если

B)
Престарелые лица вправе развить свои когнитивные навыки и минимизировать волнение касательно деградации запоминания, в случае когда

C)
Лица преклонного возраста умеют восстановить свой интеллект и ослабить мандраж по причине снижения концентрации, однажды

D)
Представители старшего поколения могут подтянуть свою внимательность и приглушить опасения насчет затухания умственных способностей, в то время как","Старшие граждане могут усовершенствовать свои воспоминания и снизить тревожность относительно ослабления когнитивных функций, если","Престарелые лица вправе развить свои когнитивные навыки и минимизировать волнение касательно деградации запоминания, в случае когда","Лица преклонного возраста умеют восстановить свой интеллект и ослабить мандраж по причине снижения концентрации, однажды","Представители старшего поколения могут подтянуть свою внимательность и приглушить опасения насчет затухания умственных способностей, в то время как"
