question_id,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,choice_J,answer,answer_index,category,src,cot_content,split,instance,generated_options,option_a,option_b,option_c,option_d
2525,"A school psychologist is providing feedback to a student's parents regarding the student's performance on a measure of academic achievement. To explain the concept of grade equivalent, the school psychologist should explain that it is",the grade in which a student should be placed in school,the average score on that measure obtained by students in a given grade,the score that represents the student's potential ability in a particular grade level,a measure of a student's academic progress compared to national standards,the score that represents the student's current grade level performance regardless of age,the score that represents the student's individual performance compared to other students,the average score on that measure obtained by students at a given age,utilized to determine accountability among peers,used to determine a student's eligibility for special education services,,B,1,psychology,ori_mmlu-high_school_psychology,,test,"question: A school psychologist is providing feedback to a student's parents regarding the student's performance on a measure of academic achievement. To explain the concept of grade equivalent, the school psychologist should explain that it is","A)
question: A school psychologist is giving feedback to a student's parents about the student's performance on an assessment of academic achievement. To clarify the concept of grade equivalent, the school psychologist should state that it is

B)
question: A school psychologist is offering feedback to a student's parents concerning the student's performance on a test of academic achievement. To illustrate the concept of grade equivalent, the school psychologist should explain that it is

C)
question: A school psychologist is providing feedback to a student's parents regarding the student's performance on a measure of scholastic achievement. To explain the concept of grade equivalent, the school psychologist should explain that it is

D)
question: A school psychologist is supplying feedback to a student's guardians about the student's performance on an evaluation of academic attainment. To expound the concept of grade equivalent, the school psychologist should indicate that it is","question: A school psychologist is giving feedback to a student's parents about the student's performance on an assessment of academic achievement. To clarify the concept of grade equivalent, the school psychologist should state that it is","question: A school psychologist is offering feedback to a student's parents concerning the student's performance on a test of academic achievement. To illustrate the concept of grade equivalent, the school psychologist should explain that it is","question: A school psychologist is providing feedback to a student's parents regarding the student's performance on a measure of scholastic achievement. To explain the concept of grade equivalent, the school psychologist should explain that it is","question: A school psychologist is supplying feedback to a student's guardians about the student's performance on an evaluation of academic attainment. To expound the concept of grade equivalent, the school psychologist should indicate that it is"
10996, Singer argues that developing nations are harming poor nations by,exploiting their natural resources without adequate compensation.,indoctrinating them with Western values.,forcing them to adopt Western educational systems.,imposing their political systems on them.,promoting consumerism and materialistic values.,causing global warming.,ignoring important aspects of their culture.,refusing to help with debt relief.,imposing trade restrictions and tariffs.,"handing out too much foreign aid, which increases need.",F,5,philosophy,ori_mmlu-moral_disputes,,test,question:  Singer argues that developing nations are harming poor nations by,"A)
question:  Singer contends that developing countries are damaging impoverished nations by

B)
question:  Singer maintains that emerging nations are harming poorer countries by

C)
question:  Singer asserts that less-developed countries are injuring destitute states by

D)
question:  Singer claims that industrializing states are harming underprivileged nations by",question:  Singer contends that developing countries are damaging impoverished nations by,question:  Singer maintains that emerging nations are harming poorer countries by,question:  Singer asserts that less-developed countries are injuring destitute states by,question:  Singer claims that industrializing states are harming underprivileged nations by
11127," Which of the given formulas of PL is the best symbolization of the following sentence?
Either England's importing beef is a necessary condition for France's subsidizing agriculture or China promotes human rights given that South Africa doesn't supply diamonds.",(F ⊃ E) ∨ (~S ⊃ C),(E ≡ F) ∨ (C ⊃ ~S),(F ≡ E) ∨ (S ≡ ~C),(F ⊃ E) ∨ (S ≡ C),(E ⊃ F) ∨ (S ⊃~C),(F ⊃ E) ∨ (~S ≡ C),(E ⊃ F) ∨ (C ⊃ S),(E ⊃ F) ∨ (~C ⊃ S),(E ⊃ F) ∨ (~S ≡ ~C),(E ⊃ F) ∨ (C ≡ ~S),A,0,philosophy,ori_mmlu-formal_logic,,test,"question:  Which of the given formulas of PL is the best symbolization of the following sentence?
Either England's importing beef is a necessary condition for France's subsidizing agriculture or China promotes human rights given that South Africa doesn't supply diamonds.","A)
question:  Which of the provided formulas of PL is the optimal formalization of the subsequent sentence?
Either England's importing beef is a necessary prerequisite for France's subsidizing agriculture or China advances human rights provided that South Africa does not supply diamonds.

B)
question:  Which of the presented formulas of PL is the most accurate representation of the ensuing sentence?
Either England's importing beef is a necessary condition for France's subsidizing agriculture or China promotes human rights assuming that South Africa fails to supply diamonds.

C)
question:  Which of the stated formulas of PL is the most appropriate representation of the ensuing sentence?
Either England's importing beef is a necessary condition for France's subsidizing agriculture or China fosters human rights on the assumption that South Africa doesn't provide diamonds.

D)
question:  Which of the supplied formulas of PL is the finest symbolization of the following sentence?
Either England's importing beef is a necessary condition for France's subsidizing agriculture or China champions human rights in view of South Africa not supplying diamonds.","question:  Which of the provided formulas of PL is the optimal formalization of the subsequent sentence?
Either England's importing beef is a necessary prerequisite for France's subsidizing agriculture or China advances human rights provided that South Africa does not supply diamonds.","question:  Which of the presented formulas of PL is the most accurate representation of the ensuing sentence?
Either England's importing beef is a necessary condition for France's subsidizing agriculture or China promotes human rights assuming that South Africa fails to supply diamonds.","question:  Which of the stated formulas of PL is the most appropriate representation of the ensuing sentence?
Either England's importing beef is a necessary condition for France's subsidizing agriculture or China fosters human rights on the assumption that South Africa doesn't provide diamonds.","question:  Which of the supplied formulas of PL is the finest symbolization of the following sentence?
Either England's importing beef is a necessary condition for France's subsidizing agriculture or China champions human rights in view of South Africa not supplying diamonds."
10928,Which of the following describes he fallacy of appeal to pride?,arguing someone should accept a claim based only on the evidence that he or she has the favorable characteristics to understand the truth of the claim.,arguing that a claim should be accepted based only on the evidence that it's in line with traditional or cultural beliefs.,arguing that a claim should be accepted based only on the evidence that it's supported by a famous or respected figure.,arguing that a claim should be accepted based only on the evidence that rejecting it will lead to negative consequences.,"arguing that an act or series of acts should be carried out because they will have no significant consequences, when there is no evidence for the lack of significant effects.","arguing something should be done based only on evidence that it's been done that way in the past, or should be believed only because it's been believed for a long time.",arguing that a claim should be accepted based only on the evidence that it's widely accepted by the public.,arguing that a claim should be accepted based only on the evidence that it's appealing or desirable.,arguing a claim should be accepted based only on evidence that unidentified authorities accept it.,"arguing that a claim should be accepted based only on the evidence that it's been scientifically proven, without providing the actual proof.",A,0,philosophy,ori_mmlu-logical_fallacies,,test,question: Which of the following describes he fallacy of appeal to pride?,"A)
question: Which of the following describes he fallacy of appeal to vanity?

B)
question: Which of the following characterizes he error of appeal to vanity?

C)
question: Which of the following depicts he fallacy of appeal to pride?

D)
question: Which of the following defines he fallacy of appeal to vanity?",question: Which of the following describes he fallacy of appeal to vanity?,question: Which of the following characterizes he error of appeal to vanity?,question: Which of the following depicts he fallacy of appeal to pride?,question: Which of the following defines he fallacy of appeal to vanity?
10261,A simple and correct way to comprehend satellites orbiting Earth is to view them as,defying gravity through an internal mechanism.,in mechanical equilibrium with a net force of zero.,being propelled by constant rocket thrust.,beyond the main pull of Earth gravity.,moving in a straight line at a constant speed.,having sufficient tangential velocities to fall around rather than into Earth.,being pushed by solar winds.,suspended in the atmosphere by helium balloons.,balanced between gravitational and centripetal forces.,being held up by the magnetic field of the Earth.,F,5,physics,ori_mmlu-conceptual_physics,,test,question: A simple and correct way to comprehend satellites orbiting Earth is to view them as,"A)
question: A straightforward and accurate method to understand satellites circling Earth is to regard them as

B)
question: A simple and correct way to grasp satellites orbiting Earth is to see them as

C)
question: A basic and proper means to comprehend spacecraft revolving around Earth is to consider them as

D)
question: A plain and right approach to apprehend satellites revolving about Earth is to treat them as",question: A straightforward and accurate method to understand satellites circling Earth is to regard them as,question: A simple and correct way to grasp satellites orbiting Earth is to see them as,question: A basic and proper means to comprehend spacecraft revolving around Earth is to consider them as,question: A plain and right approach to apprehend satellites revolving about Earth is to treat them as
605,"You have just redesigned your kitchen. The new floor dimensions are 7'6"" × 11'8"". Now you want to cover the floor with linoleum, which sells for $1.79 per running foot in 6' width, what is the best way to cover the floor? How much will it cost?",$48.60,$26.85,$30.99,$42.56,$29.99,$38.40,$31.50,$23.94,$20.12,$35.70,B,1,business,stemez-Business,,test,"question: You have just redesigned your kitchen. The new floor dimensions are 7'6"" × 11'8"". Now you want to cover the floor with linoleum, which sells for $1.79 per running foot in 6' width, what is the best way to cover the floor? How much will it cost?","A)
question: You have just remodeled your kitchen. The new floor dimensions are 7'6"" × 11'8"". Now you wish to cover the floor with linoleum, which retails for $1.79 per running foot in 6' width, what is the best way to cover the floor? How much will it cost?

B)
question: You have just renovated your kitchen. The new floor dimensions are 7'6"" × 11'8"". Now you intend to cover the floor with linoleum, which costs $1.79 per running foot in 6' width, what is the best way to cover the floor? How much will it cost?

C)
question: You have just refitted your kitchen. The new floor dimensions are 7'6"" × 11'8"". Now you plan to cover the floor with linoleum, which is priced at $1.79 per running foot in 6' width, what is the best way to cover the floor? How much will it cost?

D)
question: You have just updated your kitchen. The new floor dimensions are 7'6"" × 11'8"". Now you propose to cover the floor with linoleum, which sells for $1.79 per running foot in 6' width, what is the best way to cover the floor? How much will it cost?","question: You have just remodeled your kitchen. The new floor dimensions are 7'6"" × 11'8"". Now you wish to cover the floor with linoleum, which retails for $1.79 per running foot in 6' width, what is the best way to cover the floor? How much will it cost?","question: You have just renovated your kitchen. The new floor dimensions are 7'6"" × 11'8"". Now you intend to cover the floor with linoleum, which costs $1.79 per running foot in 6' width, what is the best way to cover the floor? How much will it cost?","question: You have just refitted your kitchen. The new floor dimensions are 7'6"" × 11'8"". Now you plan to cover the floor with linoleum, which is priced at $1.79 per running foot in 6' width, what is the best way to cover the floor? How much will it cost?","question: You have just updated your kitchen. The new floor dimensions are 7'6"" × 11'8"". Now you propose to cover the floor with linoleum, which sells for $1.79 per running foot in 6' width, what is the best way to cover the floor? How much will it cost?"
5264,"While performing interim audit procedures of accounts receivable, numerous unexpected errors are found resulting in a change of risk assessment. Which of the following audit responses would be most appropriate?",Send negative accounts receivable confirmations instead of positive accounts receivable confirmations,Use more experienced audit team members to perform year-end testing,Ignore the errors as they are not material to the audit conclusion,Use less experienced audit team members to perform year-end testing,Decrease the use of sampling during audit procedures,Perform fewer audit procedures to save time,Move detailed analytical procedures from interim to year-end,Increase the dollar threshold of vouching customer invoices,,,B,1,other,ori_mmlu-professional_accounting,,test,"question: While performing interim audit procedures of accounts receivable, numerous unexpected errors are found resulting in a change of risk assessment. Which of the following audit responses would be most appropriate?","A)
question: While conducting interim audit procedures of accounts receivable, numerous unexpected errors are found resulting in a change of risk assessment. Which of the following audit responses would be most appropriate?

B)
question: While performing interim audit procedures of trade receivables, numerous unexpected errors are found resulting in a change of risk assessment. Which of the following audit responses would be most appropriate?

C)
question: While performing preliminary audit procedures of accounts receivable, numerous unanticipated errors are found resulting in a change of risk assessment. Which of the following audit responses would be most appropriate?

D)
question: While carrying out interim audit procedures of accounts receivable, many unexpected errors are detected resulting in a change of risk assessment. Which of the following audit responses would be most appropriate?","question: While conducting interim audit procedures of accounts receivable, numerous unexpected errors are found resulting in a change of risk assessment. Which of the following audit responses would be most appropriate?","question: While performing interim audit procedures of trade receivables, numerous unexpected errors are found resulting in a change of risk assessment. Which of the following audit responses would be most appropriate?","question: While performing preliminary audit procedures of accounts receivable, numerous unanticipated errors are found resulting in a change of risk assessment. Which of the following audit responses would be most appropriate?","question: While carrying out interim audit procedures of accounts receivable, many unexpected errors are detected resulting in a change of risk assessment. Which of the following audit responses would be most appropriate?"
9740,determine the ratio of the radius of a uranium-238 nucleus to the radius of a helium-4 nucleus.,4.8,7.1,5.5,1.8,4.2,3.9,6.3,3.0,2.5,2.0,F,5,physics,theoremQA-Physics,,test,question: determine the ratio of the radius of a uranium-238 nucleus to the radius of a helium-4 nucleus.,"A)
question: calculate the ratio of the radius of a uranium-238 nucleus to the radius of a helium-4 nucleus.

B)
question: determine the quotient of the radius of a uranium-238 nucleus to the radius of a helium-4 nucleus.

C)
question: find the ratio of the radius of a U-238 nucleus to the radius of a He-4 nucleus.

D)
question: compute the proportion of the radius of a U-238 nucleus to the radius of a He-4 nucleus.",question: calculate the ratio of the radius of a uranium-238 nucleus to the radius of a helium-4 nucleus.,question: determine the quotient of the radius of a uranium-238 nucleus to the radius of a helium-4 nucleus.,question: find the ratio of the radius of a U-238 nucleus to the radius of a He-4 nucleus.,question: compute the proportion of the radius of a U-238 nucleus to the radius of a He-4 nucleus.
9780,"A particular type of x-ray equipment discharges a capacitor to obtain its electrical energy. The capacitor of capacitance 0.25\muFis charged to 100 kV and discharged to 40 kV during a 0.1-s exposure. Calculate the quantity of charge supplied to the x-ray tube, the average current through it, and the energy dissipated.","Charge: 0.02 C, Current: 160 mA, Energy: 1150 J","Charge: 0.015 C, Current: 150 mA, Energy: 1050 J","Charge: 0.022 C, Current: 220 mA, Energy: 1100 J","Charge: 0.01 C, Current: 100 mA, Energy: 850 J","Charge: 0.018 C, Current: 180 mA, Energy: 950 J","Charge: 0.025 C, Current: 200 mA, Energy: 1250 J","Charge: 0.008 C, Current: 80 mA, Energy: 800 J","Charge: 0.012 C, Current: 120 mA, Energy: 900 J","Charge: 0.03 C, Current: 300 mA, Energy: 1350 J","Charge: 0.017 C, Current: 170 mA, Energy: 1200 J",B,1,physics,stemez-Physics,,test,"question: A particular type of x-ray equipment discharges a capacitor to obtain its electrical energy. The capacitor of capacitance 0.25\muFis charged to 100 kV and discharged to 40 kV during a 0.1-s exposure. Calculate the quantity of charge supplied to the x-ray tube, the average current through it, and the energy dissipated.","A)
question: A specific kind of x-ray apparatus unloads a capacitor to obtain its electrical energy. The capacitor of capacitance 0.25\muFis charged to 100 kV and reduced to 40 kV during a 0.1-s exposure. Compute the amount of charge delivered to the x-ray tube, the average current through it, and the energy dissipated.

B)
question: A certain variety of x-ray machine releases a capacitor to obtain its electrical energy. The capacitor of capacitance 0.25\muFis charged to 100 kV and lowered to 40 kV during a 0.1-s exposure. Calculate the quantity of charge supplied to the x-ray tube, the mean current through it, and the energy dissipated.

C)
question: A particular sort of x-ray device allows a capacitor to release its electrical energy. The capacitor of capacitance 0.25\muFis charged to 100 kV and fell to 40 kV during a 0.1-s exposure. Determine the amount of charge delivered to the x-ray tube, the average current through it, and the energy dissipated.

D)
question: A specific class of x-ray instrument draws its electrical energy from a capacitor. The capacitor of capacitance 0.25\muFis charged to 100 kV and dropped to 40 kV during a 0.1-s exposure. Compute the quantity of charge supplied to the x-ray tube, the mean current through it, and the energy dissipated.","question: A specific kind of x-ray apparatus unloads a capacitor to obtain its electrical energy. The capacitor of capacitance 0.25\muFis charged to 100 kV and reduced to 40 kV during a 0.1-s exposure. Compute the amount of charge delivered to the x-ray tube, the average current through it, and the energy dissipated.","question: A certain variety of x-ray machine releases a capacitor to obtain its electrical energy. The capacitor of capacitance 0.25\muFis charged to 100 kV and lowered to 40 kV during a 0.1-s exposure. Calculate the quantity of charge supplied to the x-ray tube, the mean current through it, and the energy dissipated.","question: A particular sort of x-ray device allows a capacitor to release its electrical energy. The capacitor of capacitance 0.25\muFis charged to 100 kV and fell to 40 kV during a 0.1-s exposure. Determine the amount of charge delivered to the x-ray tube, the average current through it, and the energy dissipated.","question: A specific class of x-ray instrument draws its electrical energy from a capacitor. The capacitor of capacitance 0.25\muFis charged to 100 kV and dropped to 40 kV during a 0.1-s exposure. Compute the quantity of charge supplied to the x-ray tube, the mean current through it, and the energy dissipated."
6738,Identity refers to one's,Financial status and societal position,Control over one's own life story,Level of intelligence and education,Individual perception of societal norms,Coherent sense of self,Physical appearance and overall personality,Capacity to maintain emotional balance,Use of a particular coping strategy,Ability to adapt to change,Influence on others,E,4,health,ori_mmlu-human_aging,,test,question: Identity refers to one's,"A)
question: Selfhood denotes a person's

B)
question: Self-identity signifies an individual's

C)
question: Personhood relates to one's

D)
question: Individuality pertains to a person's",question: Selfhood denotes a person's,question: Self-identity signifies an individual's,question: Personhood relates to one's,question: Individuality pertains to a person's
