question,тақырып,таңдаулар,жауап,sheet,instance,generated_options,option_a,option_b,option_c,option_d
" Айталық, Тайгер Вудс Англиядан гольф добын 1 долларға сатып алды және Англияда тұтынуға шекті бейімділік 0,75-ке тең болды. Мырза Вудстың сатып алуынан Англияның нақты ЖІӨ-нің жалпы өсуі қандай?", орта мектеп_макроэкономикасы, ['$1' '$1.25' '$1.75' '$4' '],3,Sheet1," Айталық, Тайгер Вудс Англиядан гольф добын 1 долларға сатып алды және Англияда тұтынуға шекті бейімділік 0,75-ке тең болды. Мырза Вудстың сатып алуынан Англияның нақты ЖІӨ-нің жалпы өсуі қандай?","A)
Мәселен, Тайгер Вудс Англиядан гольф шартығын 1 долларға иемденді және Англияда тұтынуға шекті бейімділік 0,75-ке тең болды. Мырза Вудстың сатып алуынан Англияның нақты ЖІӨ-нің жалпы ұлғаюы қандай?

B)
Айта кетейік, Тайгер Вудс Англиядан гольф добын 1 долларға алды және Англияда тұтынуға шекті бейімділік 0,75-ке тең болды. Мырза Вудстың сатып алуынан Англияның нақты ЖІӨ-нің жиынтық өсімі қандай?

C)
Мысалы, Тайгер Вудс Англиядан гольф добын 1 долларға сатып алды және Англияда тұтынуға шекті бейімділік 0,75-ке тең болды. Вудс мырзаның сатып алуынан Англияның нақты ЖІӨ-нің жалпы көбеюі қандай?

D)
Айталық, Тайгер Вудс Англиядан гольф добын 1 долларға сатып алды және Англияда тұтынуға шекті бейімділік 0,75-ке тең болды. Мырза Вудстың сатып алуынан Англияның нақты ЖІӨ-нің жалпы өсуі қандай?","Мәселен, Тайгер Вудс Англиядан гольф шартығын 1 долларға иемденді және Англияда тұтынуға шекті бейімділік 0,75-ке тең болды. Мырза Вудстың сатып алуынан Англияның нақты ЖІӨ-нің жалпы ұлғаюы қандай?","Айта кетейік, Тайгер Вудс Англиядан гольф добын 1 долларға алды және Англияда тұтынуға шекті бейімділік 0,75-ке тең болды. Мырза Вудстың сатып алуынан Англияның нақты ЖІӨ-нің жиынтық өсімі қандай?","Мысалы, Тайгер Вудс Англиядан гольф добын 1 долларға сатып алды және Англияда тұтынуға шекті бейімділік 0,75-ке тең болды. Вудс мырзаның сатып алуынан Англияның нақты ЖІӨ-нің жалпы көбеюі қандай?","Айталық, Тайгер Вудс Англиядан гольф добын 1 долларға сатып алды және Англияда тұтынуға шекті бейімділік 0,75-ке тең болды. Мырза Вудстың сатып алуынан Англияның нақты ЖІӨ-нің жалпы өсуі қандай?"
" Джералд Паттерсон мен оның әріптестерінің (1992) пікірінше, балалардағы агрессивті мінез-құлықтың негізгі себебі келесілердің қайсысы?", кәсіби_психология,['баланың ақыл-ойы.' 'баланың «негізгі тұлғасы.'' 'ата-ана мен баланың арасындағы байланыстың күші.' 'ата-ананың бала тәрбиесіндегі мінез-құлқы'],3,Sheet1," Джералд Паттерсон мен оның әріптестерінің (1992) пікірінше, балалардағы агрессивті мінез-құлықтың негізгі себебі келесілердің қайсысы?","A)
Джералд Паттерсон және оның серіктестерінің (1992) көзқарасы бойынша, бүлдіршіндердегі қатыгез іс-әрекеттің басты факторы төмендегілердің қайсысы?

B)
Джералд Паттерсон мен оның әріптес-ғалымдарының (1992) тұжырымына сәйкес, жасөспірімдердегі ашушаң мінез-құлықтың түпкі негізі келесілердің қайсысы?

C)
Джералд Паттерсон және оның қызметкерлерінің (1992) ойынша, балақайлардағы деструктивті жүріс-тұрыстың негізгі қайнар көзі төмендегілердің қайсысы?

D)
Джералд Паттерсон мен оның зерттеушілер тобының (1992) пайымдауынша, жас балалардағы жауласушылық бағыттың басты себепшісі келесілердің қайсысы?","Джералд Паттерсон және оның серіктестерінің (1992) көзқарасы бойынша, бүлдіршіндердегі қатыгез іс-әрекеттің басты факторы төмендегілердің қайсысы?","Джералд Паттерсон мен оның әріптес-ғалымдарының (1992) тұжырымына сәйкес, жасөспірімдердегі ашушаң мінез-құлықтың түпкі негізі келесілердің қайсысы?","Джералд Паттерсон және оның қызметкерлерінің (1992) ойынша, балақайлардағы деструктивті жүріс-тұрыстың негізгі қайнар көзі төмендегілердің қайсысы?","Джералд Паттерсон мен оның зерттеушілер тобының (1992) пайымдауынша, жас балалардағы жауласушылық бағыттың басты себепшісі келесілердің қайсысы?"
"Психиатриялық мекемедегі кадр комитетін басқаратын психолог доктор Гарольд Хансон өзіне қарсы жыныстық қудалау бойынша шешілмеген айыптауы бар психологты лауазымдық өсуге қарастырмауды ұсынады. Этикалық міндеттеріне келетін болсақ, доктор Хансон:", кәсіби_психология," ['жыныстық қудалау этикалық нұсқаулармен тікелей тыйым салынғандықтан, этикалық тұрғыдан әрекет етті.' 'егер ол қудалау айыбы бойынша ақталған жағдайда психологты лауазымдық өсу үшін қарастыруға дайын болған жағдайда этикалық тұрғыдан әрекет етті.' 'оның шешімі психикалық денсаулық сақтау мекемесінің мәлімделген лауазымдық өсу саясатына сәйкес келген жағдайда этикалық тұрғыдан әрекет етті.' 'жұмысқа орналастыру рәсімдеріне қатысты этикалық нұсқаулардың талаптарын бұзу арқылы этикалық емес әрекет етті.']",3,Sheet1,"Психиатриялық мекемедегі кадр комитетін басқаратын психолог доктор Гарольд Хансон өзіне қарсы жыныстық қудалау бойынша шешілмеген айыптауы бар психологты лауазымдық өсуге қарастырмауды ұсынады. Этикалық міндеттеріне келетін болсақ, доктор Хансон:","A)
Психологиялық ұйымдағы персонал комиссиясын жетектейтін маман доктор Гарольд Хансон өзіне қарсы интимдік қысым көрсету бойынша реттелмеген кінәсі бар сарапшыны қызметтік көтерілуге талқыламауды кеңес береді. Моральдық борыштарына тоқталатын болсақ, доктор Хансон:

B)
Психикалық емханадағы мамандар бөлімін басқаратын қызметкер доктор Гарольд Хансон өзіне қарсы тән құмарлығы бойынша қаралмаған шағымы бар дәрігерді мансаптық өсуге іріктемеуді алға тартады. Кәсіби міндеттеріне қатысты айтар болсақ, доктор Хансон:

C)
Психоневрологиялық орталықтағы кадрлық кеңеске төрағалық ететін психолог доктор Гарольд Хансон өзіне қарсы сексуалдық мазалау бойынша аяқталмаған ісі бар маманды лауазымын жоғарылатуға ұсынбауды жөн көреді. Деонтологиялық парыздарына келетін болсақ, доктор Хансон:

D)
Психиатриялық стационардағы іріктеу тобына жетекшілік ететін ғалым доктор Гарольд Хансон өзіне қарсы жыныстық тиісу бойынша шешімін таппаған айыбы бар қызметкерді жоғары лауазымға тағайындамауды мақұлдайды. Ізгілік міндеттеріне келетін болсақ, доктор Хансон:","Психологиялық ұйымдағы персонал комиссиясын жетектейтін маман доктор Гарольд Хансон өзіне қарсы интимдік қысым көрсету бойынша реттелмеген кінәсі бар сарапшыны қызметтік көтерілуге талқыламауды кеңес береді. Моральдық борыштарына тоқталатын болсақ, доктор Хансон:","Психикалық емханадағы мамандар бөлімін басқаратын қызметкер доктор Гарольд Хансон өзіне қарсы тән құмарлығы бойынша қаралмаған шағымы бар дәрігерді мансаптық өсуге іріктемеуді алға тартады. Кәсіби міндеттеріне қатысты айтар болсақ, доктор Хансон:","Психоневрологиялық орталықтағы кадрлық кеңеске төрағалық ететін психолог доктор Гарольд Хансон өзіне қарсы сексуалдық мазалау бойынша аяқталмаған ісі бар маманды лауазымын жоғарылатуға ұсынбауды жөн көреді. Деонтологиялық парыздарына келетін болсақ, доктор Хансон:","Психиатриялық стационардағы іріктеу тобына жетекшілік ететін ғалым доктор Гарольд Хансон өзіне қарсы жыныстық тиісу бойынша шешімін таппаған айыбы бар қызметкерді жоғары лауазымға тағайындамауды мақұлдайды. Ізгілік міндеттеріне келетін болсақ, доктор Хансон:"
 Рефрактерлік кезең ерлерде ______ сатысында болады., адам_жыныстық_қатынас, ['шешімділік' 'оргазм' 'платео' 'қозу'],0,Sheet1, Рефрактерлік кезең ерлерде ______ сатысында болады.,"A)
Рефрактерлік уақыт ерлерде ______ фазасында жүреді.

B)
Рефрактерлік аралық еркектерде ______ кезеңінде болады.

C)
Рефрактерлік саты ерлерде ______ деңгейінде байқалады.

D)
Рефрактерлік мерзім еркектерде ______ бөлімінде орын алады.",Рефрактерлік уақыт ерлерде ______ фазасында жүреді.,Рефрактерлік аралық еркектерде ______ кезеңінде болады.,Рефрактерлік саты ерлерде ______ деңгейінде байқалады.,Рефрактерлік мерзім еркектерде ______ бөлімінде орын алады.
 Үндістанда қандай жануар қасиетті деп саналады?, әртүрлі, ['Қой' 'Сиыр' 'Тауық' 'Ит'],1,Sheet1, Үндістанда қандай жануар қасиетті деп саналады?,"A)
Үндістанда қай хайуан киелі деп есептеледі?

B)
Үндістанда қандай мақұлық қастерлі деп танылады?

C)
Үндістанда қай тіршілік иесі ардақты деп саналады?

D)
Үндістанда қандай аң қасиетті деп бағаланады?",Үндістанда қай хайуан киелі деп есептеледі?,Үндістанда қандай мақұлық қастерлі деп танылады?,Үндістанда қай тіршілік иесі ардақты деп саналады?,Үндістанда қандай аң қасиетті деп бағаланады?
Екінші дүниежүзілік соғыс кезінде осы елдердің қайсысы Ось одағына кірмеді?, әртүрлі, ['Германия' 'Италия' 'Испания' 'Жапония']],2,Sheet1,Екінші дүниежүзілік соғыс кезінде осы елдердің қайсысы Ось одағына кірмеді?,"A)
Екінші жаһандық соғыс барысында осы мемлекеттердің қайсысы Үштік одаққа енбеді?

B)
Екінші дүниежүзілік шайқас уақытында аталған елдердің қайсысы Ось блогына қосылмады?

C)
Екінші әлемдік соғыс тұсында мына мемлекеттердің қайсысы Ось коалициясына кірген жоқ?

D)
Екінші дүниежүзілік қақтығыс кезеңінде осы державалардың қайсысы Ось тобына енгізілмеді?",Екінші жаһандық соғыс барысында осы мемлекеттердің қайсысы Үштік одаққа енбеді?,Екінші дүниежүзілік шайқас уақытында аталған елдердің қайсысы Ось блогына қосылмады?,Екінші әлемдік соғыс тұсында мына мемлекеттердің қайсысы Ось коалициясына кірген жоқ?,Екінші дүниежүзілік қақтығыс кезеңінде осы державалардың қайсысы Ось тобына енгізілмеді?
Әлеуметтік конструктивистік тәсіл милитаризация процесін қалай түсіндіреді?, қауіпсіздікті зерттеу,"[«Қауіпсіздікті әлеуметтік тұрғыдан құрылған тұжырымдама ретінде қарастыра отырып, конструктивисттер милитаризацияның қауіпсіздікке төнетін қауіп туралы түсініктерінің негізінде жатқан ортақ құндылықтар мен мәдени нормаларға негізделген үкіметтік шешімдердің нәтижесі екенін айтады. Тиісінше, әртүрлі үкіметтер әртүрлі қауіптерді анықтап, әртүрлі жолдармен әрекет етеді». «Әлеуметтік конструктивисттер зерттеу саласы ретінде әскери емес, халыққа назар аударуға бейім, сондықтан милитаризация процесін негізінен оның адам қауіпсіздігіне әсері тұрғысынан қарастырады». «Әлеуметтік конструктивисттер бұл процесс эмпирикалық түрде анықталатын қауіптерді халық мойындаған кезде жүзеге асырылады деп мәлімдейді; мәселе нақты және негізді қауіп төндіретіні мойындалған кезде, ол милитаризацияны қажет етеді». «Адам қауіпсіздігін бірыңғай жақтау және қауіпсіздік зерттеулеріне адами-орталық тәсілді қабылдау арқылы әлеуметтік конструктивисттер милитаризацияны кеңірек қауіпсіздік мақсаттарына жетуге зиян келтіретін процесс ретінде қарастырады және қауіпсіздік жүйесін демилитаризациялауды белсенді түрде ынталандырады».",0,Sheet1,Әлеуметтік конструктивистік тәсіл милитаризация процесін қалай түсіндіреді?,"A)
Қоғамдық конструктивистік әдіс милитаризация үдерісін қалай пайымдайды?

B)
Әлеуметтік құрылымдық тұрғы милитаризациялау барысын қалай түсіндіреді?

C)
Қоғамдық құрылымдаушы амал милитаризация ағымын қалай баяндайды?

D)
Әлеуметтік конструктивистік концепция милитаризация феноменін қалай сипаттайды?",Қоғамдық конструктивистік әдіс милитаризация үдерісін қалай пайымдайды?,Әлеуметтік құрылымдық тұрғы милитаризациялау барысын қалай түсіндіреді?,Қоғамдық құрылымдаушы амал милитаризация ағымын қалай баяндайды?,Әлеуметтік конструктивистік концепция милитаризация феноменін қалай сипаттайды?
1-мәлімдеме | Логистикалық регрессия модельдері сияқты тірек векторлық машиналар кіріс мысалы берілген мүмкін белгілер бойынша ықтималдық үлестірімін береді. 2-мәлімдеме | Сызықтық ядродан жоғары ретті полиномдық ядроларға ауысқан кезде тірек векторларының жалпы алғанда өзгеріссіз қалуын күтеміз., машиналық оқыту," ['Шын, Рас' 'Жалған, Жалған' 'Шын, Жалған' 'Жалған, Рас']",1,Sheet1,1-мәлімдеме | Логистикалық регрессия модельдері сияқты тірек векторлық машиналар кіріс мысалы берілген мүмкін белгілер бойынша ықтималдық үлестірімін береді. 2-мәлімдеме | Сызықтық ядродан жоғары ретті полиномдық ядроларға ауысқан кезде тірек векторларының жалпы алғанда өзгеріссіз қалуын күтеміз.,"A)
1-мәлімдеме | Логистикалық регрессия үлгілері секілді тірек векторлық аппараттар кіріс нұсқасы ұсынылған ықтимал таңбалар негізінде ықтималдық таралымын ұсынады. 2-мәлімдеме | Түзу сызықты ядродан жоғары дәрежелі көпмүшелік ядроларға көшкен уақытта тірек векторларының әдетте өзгермеуін болжаймыз.

B)
1-мәлімдеме | Логистикалық регрессия құрылымдары тәрізді тірек векторлық механизмдер енгізу үлгісі көрсетілген мүмкін категориялар бойынша ықтималдық бөлінісін көрсетеді. 2-мәлімдеме | Сызықтық өзекшеден жоғары ретті полиномдық өзекшелерге ауысқан сәтте тірек векторларының жалпы алғанда тұрақты қалуын аңғарамыз.

C)
1-мәлімдеме | Логистикалық регрессия схемалары сияқты тірек векторлық жүйелер кіріс дерегі берілген ықтимал кластар бойынша ықтималдық үлесін тудырады. 2-мәлімдеме | Түзу ядродан жоғары деңгейлі полиномдық ядроларға ауысқан кезде тірек векторларының негізінен өзгеріссіз сақталуын күтеміз.

D)
1-мәлімдеме | Логистикалық регрессия формалары сияқты тірек векторлық қондырғылар кіріс нысаны берілген ықтимал белгілер бойынша ықтималдық жайылымын береді. 2-мәлімдеме | Сызықтық ядродан жоғары дәрежелі көпмүшелік ядроларға өткен кезде тірек векторларының жиынтық түрде өзгеріссіз қалуын пайымдаймыз.",1-мәлімдеме | Логистикалық регрессия үлгілері секілді тірек векторлық аппараттар кіріс нұсқасы ұсынылған ықтимал таңбалар негізінде ықтималдық таралымын ұсынады. 2-мәлімдеме | Түзу сызықты ядродан жоғары дәрежелі көпмүшелік ядроларға көшкен уақытта тірек векторларының әдетте өзгермеуін болжаймыз.,1-мәлімдеме | Логистикалық регрессия құрылымдары тәрізді тірек векторлық механизмдер енгізу үлгісі көрсетілген мүмкін категориялар бойынша ықтималдық бөлінісін көрсетеді. 2-мәлімдеме | Сызықтық өзекшеден жоғары ретті полиномдық өзекшелерге ауысқан сәтте тірек векторларының жалпы алғанда тұрақты қалуын аңғарамыз.,1-мәлімдеме | Логистикалық регрессия схемалары сияқты тірек векторлық жүйелер кіріс дерегі берілген ықтимал кластар бойынша ықтималдық үлесін тудырады. 2-мәлімдеме | Түзу ядродан жоғары деңгейлі полиномдық ядроларға ауысқан кезде тірек векторларының негізінен өзгеріссіз сақталуын күтеміз.,1-мәлімдеме | Логистикалық регрессия формалары сияқты тірек векторлық қондырғылар кіріс нысаны берілген ықтимал белгілер бойынша ықтималдық жайылымын береді. 2-мәлімдеме | Сызықтық ядродан жоғары дәрежелі көпмүшелік ядроларға өткен кезде тірек векторларының жиынтық түрде өзгеріссіз қалуын пайымдаймыз.
" Когнитивтік диссонанс теориясына сәйкес, мәжбүрлі бағыну жағдайларында сенімнің үлкен өзгерісі болады.", кәсіби_психология, ['алдын ала шешім қабылдау кезеңінде' 'сәйкестік үлкен сыйақымен қатар жүргенде' 'сәйкестік шағын сыйақымен қатар жүргенде' 'шектен тыс поляризация болғанда'],2,Sheet1," Когнитивтік диссонанс теориясына сәйкес, мәжбүрлі бағыну жағдайларында сенімнің үлкен өзгерісі болады.","A)
Когнитивтік диссонанс іліміне сәйкес, еріксіз көну жағдайларында нанымның елеулі жаңартылуы жүреді.

B)
Танымдық диссонанс тұжырымдамасына сай, еріксіз бағыну кездерінде сенімнің ауқымды құбылуы орын алады.

C)
Когнитивтік үйлесімсіздік теориясы бойынша, мәжбүрлі көну сәттерінде ұстанымның зор алмасуы байқалады.

D)
Интеллектуалдық диссонанс қағидасына орай, еріксіз бағыну сәттерінде көзқарастың маңызды ауысуы болады.","Когнитивтік диссонанс іліміне сәйкес, еріксіз көну жағдайларында нанымның елеулі жаңартылуы жүреді.","Танымдық диссонанс тұжырымдамасына сай, еріксіз бағыну кездерінде сенімнің ауқымды құбылуы орын алады.","Когнитивтік үйлесімсіздік теориясы бойынша, мәжбүрлі көну сәттерінде ұстанымның зор алмасуы байқалады.","Интеллектуалдық диссонанс қағидасына орай, еріксіз бағыну сәттерінде көзқарастың маңызды ауысуы болады."
 Хабарлама алушы оны алуға келісім беретін электрондық пошта арқылы маркетинг әдісі қалай аталады:, маркетинг, ['Іздеу маркетингі.' 'Интернет жарнамасы.' 'Рұқсатқа негізделген электрондық пошта маркетингі.' 'Әлеуметтік веб-маркетинг.'],2,Sheet1, Хабарлама алушы оны алуға келісім беретін электрондық пошта арқылы маркетинг әдісі қалай аталады:,"A)
Ақпаратты қабылдаушы оны иеленуге рұқсат ететін цифрлық хаттар арқылы жарнамалау тәсілі қалай аталады:

B)
Мәліметті алушы оны қабылдауға мақұлдау беретін желілік пошта арқылы коммерциялық тәсіл қалай аталады:

C)
Жолданымды иеленуші оны алуға келісімін растайтын виртуалды жәшік арқылы насихаттау жолы қалай аталады:

D)
Хабарды алушы оны иемденуге ерік білдіретін интернет поштасы арқылы сату стратегиясы қалай аталады:",Ақпаратты қабылдаушы оны иеленуге рұқсат ететін цифрлық хаттар арқылы жарнамалау тәсілі қалай аталады:,Мәліметті алушы оны қабылдауға мақұлдау беретін желілік пошта арқылы коммерциялық тәсіл қалай аталады:,Жолданымды иеленуші оны алуға келісімін растайтын виртуалды жәшік арқылы насихаттау жолы қалай аталады:,Хабарды алушы оны иемденуге ерік білдіретін интернет поштасы арқылы сату стратегиясы қалай аталады:
