subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split
electrical_engineering,The resistivity of the conductor depends on,area of the conductor.,length of the conductor.,type of material.,none of these.,2,C,test
high_school_european_history,"This question refers to the following information.
Read the following quote.
I had now decided beyond all question that there existed in the heavens three stars wandering about Jupiter as do Venus and Mercury about the sun, and this became plainer than daylight from observations on similar occasions which followed. Nor were there just three such stars; four wanderers complete their revolutions about Jupiter, and of their alterations as observed more precisely later on we shall give a description here. Also I measured the distances between them by means of the telescope. . . .
Such are the observations concerning the four Medicean planets recently first discovered by me, and although from this data their periods have not yet been reconstructed in numerical form, it is legitimate at least to put in evidence some facts worthy of note. Above all, since they sometimes follow and sometimes precede Jupiter by the same intervals, and they remain within very limited distances either to east or west of Jupiter, accompanying that planet in both its retrograde and direct movements in a constant manner, no one can doubt that they complete their revolutions about Jupiter and at the same time effect all together a twelve-year period about the center of the universe.
—Galileo Galilei, 1610
Which of the following conclusions drawn in part from the observations above was the most revolutionary over time?",There were four smaller stars that seemed to move around Jupiter.,The Earth is not the center of the universe.,The heavens are occupied by bodies revolving around each other rather than by God alone.,The Earth is but one tiny planet in an infinite universe or even multiverse.,3,D,test
high_school_computer_science,"The code fragment below is intended to display ""odd"" if the positive number num is odd.
 IF (<MISSING CONDITION>)
 DISPLAY “odd”

 Which of the following can be used to replace <MISSING CONDITION> so that the code fragment will work as intended?",(num MOD 1) = 0,(num MOD 1) = 1,(num MOD 2 ) = 0,(num MOD 2) = 1,3,D,test
college_medicine,"Rational choice theory is premised on the concept that actions are chosen based on the benefit to the individual. The three main assumptions of rational theory are completeness, transitivity, and independence of variables. This is most accurately described as what kind of system?",Hierarchical,Patriarchal,Matriarchal,Oligarchic,0,A,test
nutrition,"Inviduals suffering from inhalant allergies may also react to cross- reacting food allergens. A person suffering from a natural latex allergy might not react to one of the following allergens
",avocado,mango,peach,figs,3,D,test
nutrition,"Which one of these organs has the lowest energy expenditure per unit of body mass (kg)?
",Brain,Kidney,Liver,Skeletal Muscle,3,D,test
professional_law,"During a hotly contested gubernatorial election, a local newspaper endorsed the candidacy of a corporate official of a chemical company. Inspired by a progressive revolt against the chemical company's domination of the state government, the corporate official's opponent, won by an extremely close margin. After the new governor took office, he vowed to get back at the company that owned the local newspaper for its newspaper's endorsement of the corporate official. Using his influence, the new governor was instrumental in getting the state legislature to pass a bill that imposed a special tax on the sale of ink and paper used in the publication of newspapers and periodicals of general circulation. The tax bill was signed into law by the governor. The strongest constitutional basis upon which to challenge the validity of the tax would be the",equal protection clause of the Fourteenth Amendment.,"bill of attainder provision under Article I, Section 10.",privileges or immunities clause of the Fourteenth Amendment.,"First Amendment, as incorporated in the Fourteenth Amendment.",3,D,test
formal_logic, Select the best translation into predicate logic. All kings are luckier than all paupers. (Kx: x is a king; Px: x is a pauper; Lxy: x is luckier than y),(∀x)[Kx ⊃ (∀y)(Py ⊃ Lxy)],(∀x)[Kx ⊃ (∀y)(Lxy ⊃ Py)],(∀x)(∀y)[(Kx • Py) ⊃ Lyx],(∀x)[(Kx • (∀y)(Py)) ⊃ Lxy],0,A,test
high_school_us_history,"This question refers to the following information.
Tonight, the daughter of a woman whose highest goal was a future for her children talks to our nation's oldest political party about a future for us all. Tonight, the daughter of working Americans tells all Americans that the future is within our reach, if we're willing to reach for it. Tonight, the daughter of an immigrant from Italy has been chosen to run for (vice) president in the new land my father came to love.… Americans want to live by the same set of rules. But under this administration, the rules are rigged against too many of our people. It isn't right that every year the share of taxes paid by individual citizens is going up, while the share paid by large corporations is getting smaller and smaller.… It isn't right that young couples question whether to bring children into a world of 50,000 nuclear warheads. That isn't the vision for which Americans have struggled for more than two centuries.… Tonight, we reclaim our dream. We're going to make the rules of American life work for all Americans again.… The issue is not what America can do for women, but what women can do for America.
—Geraldine Ferraro, Vice Presidential Nomination Acceptance Address, July 19, 1984
The nomination of Geraldine Ferraro for vice president was most directly a continuation of which of the following?",The successful assimilation of immigrants to the United States,The struggle for civil rights for ethnic minorities,Increased economic and political opportunities for women,The increasing democratization of the political nomination process,2,C,test
high_school_world_history,"This question refers to the following information.
Whether the question be to continue or to discontinue the practice of sati, the decision is equally surrounded by an awful responsibility. To consent to the consignment year after year of hundreds of innocent victims to a cruel and untimely end, when the power exists of preventing it, is a predicament which no conscience can contemplate without horror. But, on the other hand, to put to hazard by a contrary course the very safety of the British Empire in India is an alternative which itself may be considered a still greater evil. When we had powerful neighbours and greater reason to doubt our own security, expediency might recommend a more cautious proceeding, but now that we are supreme my opinion is decidedly in favour of an open and general prohibition.
William Bentinck, Govenor-General of India, ""On the Suppression of Sati,"" 1829
I have made it my study to examine the nature and character of the Indians [who trade with us], and however repugnant it may be to our feelings, I am convinced they must be ruled with a rod of iron, to bring and keep them in a proper state of subordination, and the most certain way to effect this is by letting them feel their dependence on [the foodstuffs and manufactured goods we sell them].
George Simpson, Head of Northern Department, Hudson's Bay Company, 1826
Which of the following resources would the author of the second passage have been most likely interested in obtaining from local natives?",Ivory,Tobacco,Silver,Furs,3,D,test
