id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,instance,generated_options,option_a,option_b,option_c,option_d
20759,https://oltest.kz/tests/obshchestvennye_nauki/,"Social Science





",Social Science,University,Russian,Social Science (Professional & University in rus),"Какое направление было первым в социологии?
",материализм,"интернационализм
",идеализм,позитивизм,"марксизм
",D,test,"question: Какое направление было первым в социологии?
","A)
question: Которое течение являлось первым в социологии?

B)
question: Какое направление являлось первоначальным в социологии?

C)
question: Которое течение было первоначальным в социологии?

D)
question: Какая школа была первой в социологии?",question: Которое течение являлось первым в социологии?,question: Какое направление являлось первоначальным в социологии?,question: Которое течение было первоначальным в социологии?,question: Какая школа была первой в социологии?
21909,https://itest.kz/kz/endless,Humanities,World_History,High School,Kazakh,World History (High School in kaz),«Тайпалар мекені» деп аталатын аймақ:,Пәкістан аймақтары,Ауғаныстан-Пәкістан шекарасындағы таулы-қыраттар,Шығыс Бенгалия жері,Хайдараб пен Кашмир өңірі,,B,test,question: «Тайпалар мекені» деп аталатын аймақ:,"A)
question: «Рулар орны» деп аталатын аймақ:

B)
question: «Топтар мекені» деп аталатын аймақ:

C)
question: «Қауымдар орны» деп аталатын аймақ:

D)
question: «Ұрпақтар мекені» деп аталатын аймақ:",question: «Рулар орны» деп аталатын аймақ:,question: «Топтар мекені» деп аталатын аймақ:,question: «Қауымдар орны» деп аталатын аймақ:,question: «Ұрпақтар мекені» деп аталатын аймақ:
14922,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),"Бірінші қорапта – \(\frac{3}{10}\) кг, екінші қорапта \(\frac{3}{5}\) кг кәмпит бар. Екі қорапта қанша кәмпит бар?",\({6\over15}\) кг,\(\frac{9}{10}\) кг,1 кг,\({7\over10}\) кг,,B,test,"question: Бірінші қорапта – \(\frac{3}{10}\) кг, екінші қорапта \(\frac{3}{5}\) кг кәмпит бар. Екі қорапта қанша кәмпит бар?","A)
question: Алғашқы жәшікте – \(\frac{3}{10}\) кг, екінші жәшікте \(\frac{3}{5}\) кг кәмпит бар. Екі жәшікте қанша кәмпит бар?

B)
question: Біріншісінде – \(\frac{3}{10}\) кг, екіншісінде \(\frac{3}{5}\) кг бонбон бар. Екі қорапта қанша бонбон бар?

C)
question: Бірінші қорапта – \(\frac{3}{10}\) кг, екінші қорапта \(\frac{3}{5}\) кг конфета бар. Қос қорапта неше конфета бар?

D)
question: Алғашқы қорапта – \(\frac{3}{10}\) кг, кейінгі қорапта \(\frac{3}{5}\) кг тәтті бар. Екі қорапта қанша тәтті бар?","question: Алғашқы жәшікте – \(\frac{3}{10}\) кг, екінші жәшікте \(\frac{3}{5}\) кг кәмпит бар. Екі жәшікте қанша кәмпит бар?","question: Біріншісінде – \(\frac{3}{10}\) кг, екіншісінде \(\frac{3}{5}\) кг бонбон бар. Екі қорапта қанша бонбон бар?","question: Бірінші қорапта – \(\frac{3}{10}\) кг, екінші қорапта \(\frac{3}{5}\) кг конфета бар. Қос қорапта неше конфета бар?","question: Алғашқы қорапта – \(\frac{3}{10}\) кг, кейінгі қорапта \(\frac{3}{5}\) кг тәтті бар. Екі қорапта қанша тәтті бар?"
17813,https://itest.kz/kz/endless,STEM,Physics,High School,Kazakh,Physics (High School in kaz),Оң зарядталған бөлшектерден тұратын табиғи радиоактивті сәулеленудің түрі,Альфа-сәулелену,Бета-сәулелену,Гамма-сәулелену,Нейтрондық сәулелену,,A,test,question: Оң зарядталған бөлшектерден тұратын табиғи радиоактивті сәулеленудің түрі,"A)
question: Оң зарядты бөлшектерден құралатын табиғи радиоактивті сәулеленудің түрі

B)
question: Позитивті жүктелген бөлшектерден тұратын табиғи радиоактивті сәулеленудің түрі

C)
question: Оң зарядталған бөлшектерден тұратын жаратылыстық радиоактивті сәуле шығару түрі

D)
question: Оң жүктелген бөлшектерден құралатын табиғи радиоактивтік сәулеленудің түрі",question: Оң зарядты бөлшектерден құралатын табиғи радиоактивті сәулеленудің түрі,question: Позитивті жүктелген бөлшектерден тұратын табиғи радиоактивті сәулеленудің түрі,question: Оң зарядталған бөлшектерден тұратын жаратылыстық радиоактивті сәуле шығару түрі,question: Оң жүктелген бөлшектерден құралатын табиғи радиоактивтік сәулеленудің түрі
12400,https://ymnik.kz/tests_old/literature_kz/?v=55,Humanities,Kazakh_Literature,High School,Kazakh,Kazakh Literature (High School in kaz),"Ғылымға берілудің, ғалым болудың жолдары айтылған Абайдың өлеңін табыңыз.",«Шәкірт ойы».,«Қазақ қалпы».,«Ғылым таппай мақтанба».,"«Кел, балалар, оқылық».",«Өнер - білім бар жұрттар».,C,test,"question: Ғылымға берілудің, ғалым болудың жолдары айтылған Абайдың өлеңін табыңыз.","A)
question: Білімге арналудың, ғалым атанудың тәсілдері сипатталған Абайдың өлеңін анықтаңыз.

B)
question: Ғылымға берілудің, ғалым болудың тәсілдері көрсетілген Абайның өлеңін іздеңіз.

C)
question: Ғылымға арнаудың, ғалым болудың қадамдары баяндалған Абайдың өлеңін табыңыз.

D)
question: Білімге берілуінің, ғалым болудың жолдары жазылған Абайның өлеңін іздеңіз.","question: Білімге арналудың, ғалым атанудың тәсілдері сипатталған Абайдың өлеңін анықтаңыз.","question: Ғылымға берілудің, ғалым болудың тәсілдері көрсетілген Абайның өлеңін іздеңіз.","question: Ғылымға арнаудың, ғалым болудың қадамдары баяндалған Абайдың өлеңін табыңыз.","question: Білімге берілуінің, ғалым болудың жолдары жазылған Абайның өлеңін іздеңіз."
14837,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),"Теңдеулер жүйесін шешіңіз: \(\begin{cases} 3^{log_3(3x-y)}&=8,\\ log_{16}(x+y)&=0,5\end{cases}\)",(3; 1),(2; 1),(3; 4),(4; 1),,A,test,"question: Теңдеулер жүйесін шешіңіз: \(\begin{cases} 3^{log_3(3x-y)}&=8,\\ log_{16}(x+y)&=0,5\end{cases}\)","A)
question: Теңдеулер жүйесінің шешімін табыңыз: \(\begin{cases} 3^{log_3(3x-y)}&=8,\\ log_{16}(x+y)&=0,5\end{cases}\)

B)
question: Теңдеулер жиынтығының шешімін анықтаңыз: \(\begin{cases} 3^{log_3(3x-y)}&=8,\\ log_{16}(x+y)&=0,5\end{cases}\)

C)
question: Теңдеулер жиынтығын шешіңіз: \(\begin{cases} 3^{log_3(3x-y)}&=8,\\ log_{16}(x+y)&=0,5\end{cases}\)

D)
question: Осы теңдеулер жүйесінің шешімін табыңыз: \(\begin{cases} 3^{log_3(3x-y)}&=8,\\ log_{16}(x+y)&=0,5\end{cases}\)","question: Теңдеулер жүйесінің шешімін табыңыз: \(\begin{cases} 3^{log_3(3x-y)}&=8,\\ log_{16}(x+y)&=0,5\end{cases}\)","question: Теңдеулер жиынтығының шешімін анықтаңыз: \(\begin{cases} 3^{log_3(3x-y)}&=8,\\ log_{16}(x+y)&=0,5\end{cases}\)","question: Теңдеулер жиынтығын шешіңіз: \(\begin{cases} 3^{log_3(3x-y)}&=8,\\ log_{16}(x+y)&=0,5\end{cases}\)","question: Осы теңдеулер жүйесінің шешімін табыңыз: \(\begin{cases} 3^{log_3(3x-y)}&=8,\\ log_{16}(x+y)&=0,5\end{cases}\)"
5660,https://oltest.kz/tests/finansy_i_kredit/,"Social Science





","Finance, credit, insurance ",University,Russian,Finance (Professional & University in rus),"Краткосрочный кредит, который погашается по первому требованию (с предупреждением за 2-7 дней) и выдается, как правило, под обеспечение ценными бумагами и товарами:
","ипотечный кредит
","онкольный кредит
","ломбардный кредит
","вексельный кредит
","дисконтный кредит
",B,test,"question: Краткосрочный кредит, который погашается по первому требованию (с предупреждением за 2-7 дней) и выдается, как правило, под обеспечение ценными бумагами и товарами:
","A)
Короткосрочный заём, который гасится по первому требованию (с уведомлением за 2-7 дней) и выдается, как правило, под обеспечение ценными бумагами и товарами:

B)
Кратковременный заём, который выплачивается по первому требованию (с оповещением за 2-7 дней) и выдается, как правило, под обеспечение ценными бумагами и товарами:

C)
Короткосрочный кредит, который погашается по первому требованию (с предупреждением за 2-7 дней) и предоставляется, как правило, под обеспечение ценными бумагами и товарами:

D)
Кратковременный кредит, который гасится по первому требованию (с уведомлением за 2-7 дней) и предоставляется, как правило, под обеспечение ценными бумагами и товарами:","Короткосрочный заём, который гасится по первому требованию (с уведомлением за 2-7 дней) и выдается, как правило, под обеспечение ценными бумагами и товарами:","Кратковременный заём, который выплачивается по первому требованию (с оповещением за 2-7 дней) и выдается, как правило, под обеспечение ценными бумагами и товарами:","Короткосрочный кредит, который погашается по первому требованию (с предупреждением за 2-7 дней) и предоставляется, как правило, под обеспечение ценными бумагами и товарами:","Кратковременный кредит, который гасится по первому требованию (с уведомлением за 2-7 дней) и предоставляется, как правило, под обеспечение ценными бумагами и товарами:"
18288,https://itest.kz/ru/endless,STEM,Physics,High School,Russian,Physics (High School in rus),Уравнение движения материальной точки имеет вид \(x = 8 + 4t - 5t^2\). Проекция ускорения и проекция перемещения через 2 секунды соответственно равны,5 м/с²; −12 м,5 м/с²; 16 м,−10 м/с²; −4 м,−10 м/с²; −12 м,,C,test,question: Уравнение движения материальной точки имеет вид \(x = 8 + 4t - 5t^2\). Проекция ускорения и проекция перемещения через 2 секунды соответственно равны,"A)
question: Формула движения материальной частицы принимает вид \(x = 8 + 4t - 5t^2\). Проекция ускорения и проекция перемещения через 2 секунды соответственно равны

B)
question: Уравнение перемещения материальной частицы имеет вид \(x = 8 + 4t - 5t^2\). Проекция ускорения и проекция смещения через 2 секунды соответственно равны

C)
question: Уравнение движения материальной частицы имеет вид \(x = 8 + 4t - 5t^2\). Составляющая ускорения и проекция перемещения через 2 секунды соответственно равны

D)
question: Формула перемещения материальной точки принимает вид \(x = 8 + 4t - 5t^2\). Составляющая ускорения и проекция смещения через 2 секунды соответственно равны",question: Формула движения материальной частицы принимает вид \(x = 8 + 4t - 5t^2\). Проекция ускорения и проекция перемещения через 2 секунды соответственно равны,question: Уравнение перемещения материальной частицы имеет вид \(x = 8 + 4t - 5t^2\). Проекция ускорения и проекция смещения через 2 секунды соответственно равны,question: Уравнение движения материальной частицы имеет вид \(x = 8 + 4t - 5t^2\). Составляющая ускорения и проекция перемещения через 2 секунды соответственно равны,question: Формула перемещения материальной точки принимает вид \(x = 8 + 4t - 5t^2\). Составляющая ускорения и проекция смещения через 2 секунды соответственно равны
20401,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),Малыми нелирическими жанрами фольклора являются,былины и сказки,хороводы и ряжение,частушки и лирические песни,пословицы и поговорки,,D,test,question: Малыми нелирическими жанрами фольклора являются,"A)
question: Небольшими нелирическими жанрами фольклора являются

B)
question: Мелкими нелирическими жанрами фольклора являются

C)
question: Малыми не лирическими жанрами фольклора являются

D)
question: Малыми нелирическими родами народного творчества являются",question: Небольшими нелирическими жанрами фольклора являются,question: Мелкими нелирическими жанрами фольклора являются,question: Малыми не лирическими жанрами фольклора являются,question: Малыми нелирическими родами народного творчества являются
1052,https://itest.kz/kz/endless,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Бір жасушалы жәндіктер типіне жататын ағза,ішекқуыстылар,споралылар,табақшатәріздестер,гидратәріздестер,,B,test,question: Бір жасушалы жәндіктер типіне жататын ағза,"A)
question: Жалғыз жасушалы жәндіктер типіне жататын ағза

B)
question: Бір жасушалық жәндіктер типіне жататын ағза

C)
question: Бір жасушалы жәндіктер типіне жататын организм

D)
question: Жалғыз жасушалық жәндіктер типіне жататын организм",question: Жалғыз жасушалы жәндіктер типіне жататын ағза,question: Бір жасушалық жәндіктер типіне жататын ағза,question: Бір жасушалы жәндіктер типіне жататын организм,question: Жалғыз жасушалық жәндіктер типіне жататын организм
